context: Good morning, everyone! response:	It's a beautiful day!
context: Good morning, everyone!\It's a beautiful day! response:	Huh? Takako?
context: Good morning, everyone!\It's a beautiful day!\Huh? Takako? response:	What? It's four in the morning...
context: Good morning, everyone!\It's a beautiful day!\Huh? Takako?\What? It's four in the morning... response:	The early bird catches the worm!
context: Good morning, everyone!\It's a beautiful day!\Huh? Takako?\What? It's four in the morning...\The early bird catches the worm! response:	Not only do you have
context: Good morning, everyone!\It's a beautiful day!\Huh? Takako?\What? It's four in the morning...\The early bird catches the worm!\Not only do you have response:	your regular duties at the inn to take care of,
context: Good morning, everyone!\It's a beautiful day!\Huh? Takako?\What? It's four in the morning...\The early bird catches the worm!\Not only do you have\your regular duties at the inn to take care of, response:	you also have to help with the preparations for our wedding!
context: Good morning, everyone!\It's a beautiful day!\Huh? Takako?\What? It's four in the morning...\The early bird catches the worm!\Not only do you have\your regular duties at the inn to take care of,\you also have to help with the preparations for our wedding! response:	Thus, I've concluded that cutting the sleeping time
context: It's a beautiful day!\Huh? Takako?\What? It's four in the morning...\The early bird catches the worm!\Not only do you have\your regular duties at the inn to take care of,\you also have to help with the preparations for our wedding!\Thus, I've concluded that cutting the sleeping time response:	of you young ones, will be
context: Huh? Takako?\What? It's four in the morning...\The early bird catches the worm!\Not only do you have\your regular duties at the inn to take care of,\you also have to help with the preparations for our wedding!\Thus, I've concluded that cutting the sleeping time\of you young ones, will be response:	the first step to making this a success.
context: What? It's four in the morning...\The early bird catches the worm!\Not only do you have\your regular duties at the inn to take care of,\you also have to help with the preparations for our wedding!\Thus, I've concluded that cutting the sleeping time\of you young ones, will be\the first step to making this a success. response:	What?
context: The early bird catches the worm!\Not only do you have\your regular duties at the inn to take care of,\you also have to help with the preparations for our wedding!\Thus, I've concluded that cutting the sleeping time\of you young ones, will be\the first step to making this a success.\What? response:	Anyway, you now have a meeting with Enishing you must attend.
context: Not only do you have\your regular duties at the inn to take care of,\you also have to help with the preparations for our wedding!\Thus, I've concluded that cutting the sleeping time\of you young ones, will be\the first step to making this a success.\What?\Anyway, you now have a meeting with Enishing you must attend. response:	Here we go, to the staff dining room!
