context: I may have needed more soy sauce. response:	I may have needed more soy sauce.
context: I may have needed more soy sauce.\I may have needed more soy sauce. response:	I don't like abilities that act on their own.
context: I may have needed more soy sauce.\I may have needed more soy sauce.\I don't like abilities that act on their own. response:	It's okay.
context: I may have needed more soy sauce.\I may have needed more soy sauce.\I don't like abilities that act on their own.\It's okay. response:	Demon Snow saved us once before, after all.
context: I may have needed more soy sauce.\I may have needed more soy sauce.\I don't like abilities that act on their own.\It's okay.\Demon Snow saved us once before, after all. response:	That said, she killed Kyouka-chan's parents.
context: I may have needed more soy sauce.\I may have needed more soy sauce.\I don't like abilities that act on their own.\It's okay.\Demon Snow saved us once before, after all.\That said, she killed Kyouka-chan's parents. response:	If Demon Snow were human, I could sever her third cervical nerve to stop her from reaching.
context: I may have needed more soy sauce.\I may have needed more soy sauce.\I don't like abilities that act on their own.\It's okay.\Demon Snow saved us once before, after all.\That said, she killed Kyouka-chan's parents.\If Demon Snow were human, I could sever her third cervical nerve to stop her from reaching. response:	Kyouka-chan's knowledge scares me.
context: I may have needed more soy sauce.\I may have needed more soy sauce.\I don't like abilities that act on their own.\It's okay.\Demon Snow saved us once before, after all.\That said, she killed Kyouka-chan's parents.\If Demon Snow were human, I could sever her third cervical nerve to stop her from reaching.\Kyouka-chan's knowledge scares me. response:	This is the wanted list the military police sends us every month.
context: I may have needed more soy sauce.\I don't like abilities that act on their own.\It's okay.\Demon Snow saved us once before, after all.\That said, she killed Kyouka-chan's parents.\If Demon Snow were human, I could sever her third cervical nerve to stop her from reaching.\Kyouka-chan's knowledge scares me.\This is the wanted list the military police sends us every month. response:	And these are our regular bodyguard clients.
context: I don't like abilities that act on their own.\It's okay.\Demon Snow saved us once before, after all.\That said, she killed Kyouka-chan's parents.\If Demon Snow were human, I could sever her third cervical nerve to stop her from reaching.\Kyouka-chan's knowledge scares me.\This is the wanted list the military police sends us every month.\And these are our regular bodyguard clients. response:	It's fine. I memorized all of them.
context: It's okay.\Demon Snow saved us once before, after all.\That said, she killed Kyouka-chan's parents.\If Demon Snow were human, I could sever her third cervical nerve to stop her from reaching.\Kyouka-chan's knowledge scares me.\This is the wanted list the military police sends us every month.\And these are our regular bodyguard clients.\It's fine. I memorized all of them. response:	Really?
context: Demon Snow saved us once before, after all.\That said, she killed Kyouka-chan's parents.\If Demon Snow were human, I could sever her third cervical nerve to stop her from reaching.\Kyouka-chan's knowledge scares me.\This is the wanted list the military police sends us every month.\And these are our regular bodyguard clients.\It's fine. I memorized all of them.\Really? response:	It took me a month.
context: That said, she killed Kyouka-chan's parents.\If Demon Snow were human, I could sever her third cervical nerve to stop her from reaching.\Kyouka-chan's knowledge scares me.\This is the wanted list the military police sends us every month.\And these are our regular bodyguard clients.\It's fine. I memorized all of them.\Really?\It took me a month. response:	I-I forgot...
context: If Demon Snow were human, I could sever her third cervical nerve to stop her from reaching.\Kyouka-chan's knowledge scares me.\This is the wanted list the military police sends us every month.\And these are our regular bodyguard clients.\It's fine. I memorized all of them.\Really?\It took me a month.\I-I forgot... response:	She works at this shop.
context: Kyouka-chan's knowledge scares me.\This is the wanted list the military police sends us every month.\And these are our regular bodyguard clients.\It's fine. I memorized all of them.\Really?\It took me a month.\I-I forgot...\She works at this shop. response:	What's good on the menu today?
context: This is the wanted list the military police sends us every month.\And these are our regular bodyguard clients.\It's fine. I memorized all of them.\Really?\It took me a month.\I-I forgot...\She works at this shop.\What's good on the menu today? response:	Dark-roasted muddy water!
context: And these are our regular bodyguard clients.\It's fine. I memorized all of them.\Really?\It took me a month.\I-I forgot...\She works at this shop.\What's good on the menu today?\Dark-roasted muddy water! response:	She's Lucy, an ex-Guild member.
