context: So many kinds of weapons! response:	All made from the bones and hides of demons!
context: So many kinds of weapons!\All made from the bones and hides of demons! response:	With these arms, the people of this village slew demons.
context: So many kinds of weapons!\All made from the bones and hides of demons!\With these arms, the people of this village slew demons. response:	So there are strong humans, too.
context: So many kinds of weapons!\All made from the bones and hides of demons!\With these arms, the people of this village slew demons.\So there are strong humans, too. response:	That's why demons despised this village.
context: So many kinds of weapons!\All made from the bones and hides of demons!\With these arms, the people of this village slew demons.\So there are strong humans, too.\That's why demons despised this village. response:	And Naraku took advantage of that hatred...
context: So many kinds of weapons!\All made from the bones and hides of demons!\With these arms, the people of this village slew demons.\So there are strong humans, too.\That's why demons despised this village.\And Naraku took advantage of that hatred... response:	Precisely, he set the demons upon this village.
context: So many kinds of weapons!\All made from the bones and hides of demons!\With these arms, the people of this village slew demons.\So there are strong humans, too.\That's why demons despised this village.\And Naraku took advantage of that hatred...\Precisely, he set the demons upon this village. response:	On our journey in search of Sacred Jewel fragments...
context: So many kinds of weapons!\All made from the bones and hides of demons!\With these arms, the people of this village slew demons.\So there are strong humans, too.\That's why demons despised this village.\And Naraku took advantage of that hatred...\Precisely, he set the demons upon this village.\On our journey in search of Sacred Jewel fragments... response:	we came upon a village of Demon Slayers...
context: All made from the bones and hides of demons!\With these arms, the people of this village slew demons.\So there are strong humans, too.\That's why demons despised this village.\And Naraku took advantage of that hatred...\Precisely, he set the demons upon this village.\On our journey in search of Sacred Jewel fragments...\we came upon a village of Demon Slayers... response:	said to be the birthplace of the Sacred Jewel.
context: With these arms, the people of this village slew demons.\So there are strong humans, too.\That's why demons despised this village.\And Naraku took advantage of that hatred...\Precisely, he set the demons upon this village.\On our journey in search of Sacred Jewel fragments...\we came upon a village of Demon Slayers...\said to be the birthplace of the Sacred Jewel. response:	Naraku's treachery had reached this spot as well...
context: So there are strong humans, too.\That's why demons despised this village.\And Naraku took advantage of that hatred...\Precisely, he set the demons upon this village.\On our journey in search of Sacred Jewel fragments...\we came upon a village of Demon Slayers...\said to be the birthplace of the Sacred Jewel.\Naraku's treachery had reached this spot as well... response:	and the entire village had been annihilated.
context: That's why demons despised this village.\And Naraku took advantage of that hatred...\Precisely, he set the demons upon this village.\On our journey in search of Sacred Jewel fragments...\we came upon a village of Demon Slayers...\said to be the birthplace of the Sacred Jewel.\Naraku's treachery had reached this spot as well...\and the entire village had been annihilated. response:	Every Slayer except Sango was killed.
context: And Naraku took advantage of that hatred...\Precisely, he set the demons upon this village.\On our journey in search of Sacred Jewel fragments...\we came upon a village of Demon Slayers...\said to be the birthplace of the Sacred Jewel.\Naraku's treachery had reached this spot as well...\and the entire village had been annihilated.\Every Slayer except Sango was killed. response:	The Sacred Jewel which Kikyo had tried to hide from the world...
context: Precisely, he set the demons upon this village.\On our journey in search of Sacred Jewel fragments...\we came upon a village of Demon Slayers...\said to be the birthplace of the Sacred Jewel.\Naraku's treachery had reached this spot as well...\and the entire village had been annihilated.\Every Slayer except Sango was killed.\The Sacred Jewel which Kikyo had tried to hide from the world... response:	The Sacred Jewel which eons later burst forth from my body...
context: On our journey in search of Sacred Jewel fragments...\we came upon a village of Demon Slayers...\said to be the birthplace of the Sacred Jewel.\Naraku's treachery had reached this spot as well...\and the entire village had been annihilated.\Every Slayer except Sango was killed.\The Sacred Jewel which Kikyo had tried to hide from the world...\The Sacred Jewel which eons later burst forth from my body... response:	In this village, everything would become clear.
