context: Okikura here. response:	Hi, it's Fukami, from school.
context: Okikura here.\Hi, it's Fukami, from school. response:	Oh, it's me.
context: Okikura here.\Hi, it's Fukami, from school.\Oh, it's me. response:	Oh, Okikura-kun, hey,
context: Okikura here.\Hi, it's Fukami, from school.\Oh, it's me.\Oh, Okikura-kun, hey, response:	I want to see the future.
context: Okikura here.\Hi, it's Fukami, from school.\Oh, it's me.\Oh, Okikura-kun, hey,\I want to see the future. response:	I want to see the future, too.
context: Okikura here.\Hi, it's Fukami, from school.\Oh, it's me.\Oh, Okikura-kun, hey,\I want to see the future.\I want to see the future, too. response:	That thing just now
context: Okikura here.\Hi, it's Fukami, from school.\Oh, it's me.\Oh, Okikura-kun, hey,\I want to see the future.\I want to see the future, too.\That thing just now response:	Episode 3 Utility Tank
context: Okikura here.\Hi, it's Fukami, from school.\Oh, it's me.\Oh, Okikura-kun, hey,\I want to see the future.\I want to see the future, too.\That thing just now\Episode 3 Utility Tank response:	Yeah, is that now?
context: Hi, it's Fukami, from school.\Oh, it's me.\Oh, Okikura-kun, hey,\I want to see the future.\I want to see the future, too.\That thing just now\Episode 3 Utility Tank\Yeah, is that now? response:	Yeah, now.
context: Oh, it's me.\Oh, Okikura-kun, hey,\I want to see the future.\I want to see the future, too.\That thing just now\Episode 3 Utility Tank\Yeah, is that now?\Yeah, now. response:	Let's meet up to talk.
context: Oh, Okikura-kun, hey,\I want to see the future.\I want to see the future, too.\That thing just now\Episode 3 Utility Tank\Yeah, is that now?\Yeah, now.\Let's meet up to talk. response:	I'll go to your place.
context: I want to see the future.\I want to see the future, too.\That thing just now\Episode 3 Utility Tank\Yeah, is that now?\Yeah, now.\Let's meet up to talk.\I'll go to your place. response:	Eh?
context: I want to see the future, too.\That thing just now\Episode 3 Utility Tank\Yeah, is that now?\Yeah, now.\Let's meet up to talk.\I'll go to your place.\Eh? response:	It'll get late if we meet now.
context: That thing just now\Episode 3 Utility Tank\Yeah, is that now?\Yeah, now.\Let's meet up to talk.\I'll go to your place.\Eh?\It'll get late if we meet now. response:	No, don't worry about it. I'll be fine.
