context: Everyone here is out playing around at night. response:	Which means...
context: Everyone here is out playing around at night.\Which means... response:	I have to exact punishment.
context: Everyone here is out playing around at night.\Which means...\I have to exact punishment. response:	What does this mean?
context: Everyone here is out playing around at night.\Which means...\I have to exact punishment.\What does this mean? response:	Kanade...
context: Everyone here is out playing around at night.\Which means...\I have to exact punishment.\What does this mean?\Kanade... response:	Hey, what's going on?
context: Everyone here is out playing around at night.\Which means...\I have to exact punishment.\What does this mean?\Kanade...\Hey, what's going on? response:	Wasn't Angel harmless now?
context: Everyone here is out playing around at night.\Which means...\I have to exact punishment.\What does this mean?\Kanade...\Hey, what's going on?\Wasn't Angel harmless now? response:	No...
context: Everyone here is out playing around at night.\Which means...\I have to exact punishment.\What does this mean?\Kanade...\Hey, what's going on?\Wasn't Angel harmless now?\No... response:	That's not Kanade.
context: Which means...\I have to exact punishment.\What does this mean?\Kanade...\Hey, what's going on?\Wasn't Angel harmless now?\No...\That's not Kanade. response:	Kanade never drew her blade on us before we showed signs of resistance.
context: I have to exact punishment.\What does this mean?\Kanade...\Hey, what's going on?\Wasn't Angel harmless now?\No...\That's not Kanade.\Kanade never drew her blade on us before we showed signs of resistance. response:	Dammit!
context: What does this mean?\Kanade...\Hey, what's going on?\Wasn't Angel harmless now?\No...\That's not Kanade.\Kanade never drew her blade on us before we showed signs of resistance.\Dammit! response:	Yurippe, what should we do?
context: Kanade...\Hey, what's going on?\Wasn't Angel harmless now?\No...\That's not Kanade.\Kanade never drew her blade on us before we showed signs of resistance.\Dammit!\Yurippe, what should we do? response:	Everyone, form a semi - circle around her!
context: Hey, what's going on?\Wasn't Angel harmless now?\No...\That's not Kanade.\Kanade never drew her blade on us before we showed signs of resistance.\Dammit!\Yurippe, what should we do?\Everyone, form a semi - circle around her! response:	Why the hell are you giving orders?
context: Wasn't Angel harmless now?\No...\That's not Kanade.\Kanade never drew her blade on us before we showed signs of resistance.\Dammit!\Yurippe, what should we do?\Everyone, form a semi - circle around her!\Why the hell are you giving orders? response:	Even if she's protected by Distortion, just attack!
context: No...\That's not Kanade.\Kanade never drew her blade on us before we showed signs of resistance.\Dammit!\Yurippe, what should we do?\Everyone, form a semi - circle around her!\Why the hell are you giving orders?\Even if she's protected by Distortion, just attack! response:	Who do you think you are?
context: That's not Kanade.\Kanade never drew her blade on us before we showed signs of resistance.\Dammit!\Yurippe, what should we do?\Everyone, form a semi - circle around her!\Why the hell are you giving orders?\Even if she's protected by Distortion, just attack!\Who do you think you are? response:	Got it!
context: Kanade never drew her blade on us before we showed signs of resistance.\Dammit!\Yurippe, what should we do?\Everyone, form a semi - circle around her!\Why the hell are you giving orders?\Even if she's protected by Distortion, just attack!\Who do you think you are?\Got it! response:	Let go of me!
context: Dammit!\Yurippe, what should we do?\Everyone, form a semi - circle around her!\Why the hell are you giving orders?\Even if she's protected by Distortion, just attack!\Who do you think you are?\Got it!\Let go of me! response:	Roger!
context: Yurippe, what should we do?\Everyone, form a semi - circle around her!\Why the hell are you giving orders?\Even if she's protected by Distortion, just attack!\Who do you think you are?\Got it!\Let go of me!\Roger! response:	Move, Yuri!
context: Everyone, form a semi - circle around her!\Why the hell are you giving orders?\Even if she's protected by Distortion, just attack!\Who do you think you are?\Got it!\Let go of me!\Roger!\Move, Yuri! response:	Fire!
context: Why the hell are you giving orders?\Even if she's protected by Distortion, just attack!\Who do you think you are?\Got it!\Let go of me!\Roger!\Move, Yuri!\Fire! response:	Dammit!
context: Even if she's protected by Distortion, just attack!\Who do you think you are?\Got it!\Let go of me!\Roger!\Move, Yuri!\Fire!\Dammit! response:	<sign: Medical Offices (Currently Closed) - Nurse's Office>
context: Who do you think you are?\Got it!\Let go of me!\Roger!\Move, Yuri!\Fire!\Dammit!\<sign: Medical Offices (Currently Closed) - Nurse's Office> response:	Is Kanade going to be okay?
context: Got it!\Let go of me!\Roger!\Move, Yuri!\Fire!\Dammit!\<sign: Medical Offices (Currently Closed) - Nurse's Office>\Is Kanade going to be okay? response:	It's quite a deep wound...
context: Let go of me!\Roger!\Move, Yuri!\Fire!\Dammit!\<sign: Medical Offices (Currently Closed) - Nurse's Office>\Is Kanade going to be okay?\It's quite a deep wound... response:	She's the same as us.
context: Roger!\Move, Yuri!\Fire!\Dammit!\<sign: Medical Offices (Currently Closed) - Nurse's Office>\Is Kanade going to be okay?\It's quite a deep wound...\She's the same as us. response:	Even fatal injuries will heal up.
context: Move, Yuri!\Fire!\Dammit!\<sign: Medical Offices (Currently Closed) - Nurse's Office>\Is Kanade going to be okay?\It's quite a deep wound...\She's the same as us.\Even fatal injuries will heal up. response:	How could there be two of her?
context: Fire!\Dammit!\<sign: Medical Offices (Currently Closed) - Nurse's Office>\Is Kanade going to be okay?\It's quite a deep wound...\She's the same as us.\Even fatal injuries will heal up.\How could there be two of her? response:	Has this world become even more messed up?
context: Dammit!\<sign: Medical Offices (Currently Closed) - Nurse's Office>\Is Kanade going to be okay?\It's quite a deep wound...\She's the same as us.\Even fatal injuries will heal up.\How could there be two of her?\Has this world become even more messed up? response:	There's a reason.
context: <sign: Medical Offices (Currently Closed) - Nurse's Office>\Is Kanade going to be okay?\It's quite a deep wound...\She's the same as us.\Even fatal injuries will heal up.\How could there be two of her?\Has this world become even more messed up?\There's a reason. response:	What is it?
context: Is Kanade going to be okay?\It's quite a deep wound...\She's the same as us.\Even fatal injuries will heal up.\How could there be two of her?\Has this world become even more messed up?\There's a reason.\What is it? response:	Do you remember the Angel Area Invasion mission?
context: It's quite a deep wound...\She's the same as us.\Even fatal injuries will heal up.\How could there be two of her?\Has this world become even more messed up?\There's a reason.\What is it?\Do you remember the Angel Area Invasion mission? response:	Yeah...
context: She's the same as us.\Even fatal injuries will heal up.\How could there be two of her?\Has this world become even more messed up?\There's a reason.\What is it?\Do you remember the Angel Area Invasion mission?\Yeah... response:	We found some skill development software on her computer right?
context: Even fatal injuries will heal up.\How could there be two of her?\Has this world become even more messed up?\There's a reason.\What is it?\Do you remember the Angel Area Invasion mission?\Yeah...\We found some skill development software on her computer right? response:	There were a number of powers we'd never seen listed there.
context: How could there be two of her?\Has this world become even more messed up?\There's a reason.\What is it?\Do you remember the Angel Area Invasion mission?\Yeah...\We found some skill development software on her computer right?\There were a number of powers we'd never seen listed there. response:	There was one skill called Harmonics. She activated it.
context: Has this world become even more messed up?\There's a reason.\What is it?\Do you remember the Angel Area Invasion mission?\Yeah...\We found some skill development software on her computer right?\There were a number of powers we'd never seen listed there.\There was one skill called Harmonics. She activated it. response:	Harmonics...
context: There's a reason.\What is it?\Do you remember the Angel Area Invasion mission?\Yeah...\We found some skill development software on her computer right?\There were a number of powers we'd never seen listed there.\There was one skill called Harmonics. She activated it.\Harmonics... response:	What kind of power is that?
