context: The Alliance of Official Guilds vs. Oracion Seis! response:	During that fierce battle, Jellal was resurrected!
context: The Alliance of Official Guilds vs. Oracion Seis!\During that fierce battle, Jellal was resurrected! response:	I'm sorry...
context: The Alliance of Official Guilds vs. Oracion Seis!\During that fierce battle, Jellal was resurrected!\I'm sorry... response:	Erza, now recovered, goes and disappears...
context: The Alliance of Official Guilds vs. Oracion Seis!\During that fierce battle, Jellal was resurrected!\I'm sorry...\Erza, now recovered, goes and disappears... response:	And the seal locking away Nirvana has been unlocked!
context: The Alliance of Official Guilds vs. Oracion Seis!\During that fierce battle, Jellal was resurrected!\I'm sorry...\Erza, now recovered, goes and disappears...\And the seal locking away Nirvana has been unlocked! response:	I'm sorry...
context: The Alliance of Official Guilds vs. Oracion Seis!\During that fierce battle, Jellal was resurrected!\I'm sorry...\Erza, now recovered, goes and disappears...\And the seal locking away Nirvana has been unlocked!\I'm sorry... response:	If it's love and dreams and you it'll become magical.
context: The Alliance of Official Guilds vs. Oracion Seis!\During that fierce battle, Jellal was resurrected!\I'm sorry...\Erza, now recovered, goes and disappears...\And the seal locking away Nirvana has been unlocked!\I'm sorry...\If it's love and dreams and you it'll become magical. response:	Now, let's cast a smile spell!
context: The Alliance of Official Guilds vs. Oracion Seis!\During that fierce battle, Jellal was resurrected!\I'm sorry...\Erza, now recovered, goes and disappears...\And the seal locking away Nirvana has been unlocked!\I'm sorry...\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell! response:	I kind of admired this powerful world,
context: During that fierce battle, Jellal was resurrected!\I'm sorry...\Erza, now recovered, goes and disappears...\And the seal locking away Nirvana has been unlocked!\I'm sorry...\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world, response:	chock-full of problems.
context: I'm sorry...\Erza, now recovered, goes and disappears...\And the seal locking away Nirvana has been unlocked!\I'm sorry...\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems. response:	Frozen time has started to move again
context: Erza, now recovered, goes and disappears...\And the seal locking away Nirvana has been unlocked!\I'm sorry...\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again response:	ever since I met you.
context: And the seal locking away Nirvana has been unlocked!\I'm sorry...\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you. response:	Why were we born? Why do we live?
context: I'm sorry...\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live? response:	I don't need any complicated answers.
