context: A date... response:	A date? With who?
context: A date...\A date? With who? response:	Shizuku.
context: A date...\A date? With who?\Shizuku. response:	Oh, you guys are together now?
context: A date...\A date? With who?\Shizuku.\Oh, you guys are together now? response:	That must be nice.
context: A date...\A date? With who?\Shizuku.\Oh, you guys are together now?\That must be nice. response:	Make sure she has fun.
context: A date...\A date? With who?\Shizuku.\Oh, you guys are together now?\That must be nice.\Make sure she has fun. response:	I know what to do during the day,
context: A date...\A date? With who?\Shizuku.\Oh, you guys are together now?\That must be nice.\Make sure she has fun.\I know what to do during the day, response:	but what about at night?
context: A date...\A date? With who?\Shizuku.\Oh, you guys are together now?\That must be nice.\Make sure she has fun.\I know what to do during the day,\but what about at night? response:	Huh?
context: A date? With who?\Shizuku.\Oh, you guys are together now?\That must be nice.\Make sure she has fun.\I know what to do during the day,\but what about at night?\Huh? response:	I'm not so sure about doing it outside our first time.
context: Shizuku.\Oh, you guys are together now?\That must be nice.\Make sure she has fun.\I know what to do during the day,\but what about at night?\Huh?\I'm not so sure about doing it outside our first time. response:	Is that such a good idea?
context: Oh, you guys are together now?\That must be nice.\Make sure she has fun.\I know what to do during the day,\but what about at night?\Huh?\I'm not so sure about doing it outside our first time.\Is that such a good idea? response:	Shizuku's the one who suggested it though.
context: That must be nice.\Make sure she has fun.\I know what to do during the day,\but what about at night?\Huh?\I'm not so sure about doing it outside our first time.\Is that such a good idea?\Shizuku's the one who suggested it though. response:	She's pretty brave.
context: Make sure she has fun.\I know what to do during the day,\but what about at night?\Huh?\I'm not so sure about doing it outside our first time.\Is that such a good idea?\Shizuku's the one who suggested it though.\She's pretty brave. response:	Haru...
context: I know what to do during the day,\but what about at night?\Huh?\I'm not so sure about doing it outside our first time.\Is that such a good idea?\Shizuku's the one who suggested it though.\She's pretty brave.\Haru... response:	Just let me say this.
context: but what about at night?\Huh?\I'm not so sure about doing it outside our first time.\Is that such a good idea?\Shizuku's the one who suggested it though.\She's pretty brave.\Haru...\Just let me say this. response:	Your night plans will probably shock Shizuku,
context: Huh?\I'm not so sure about doing it outside our first time.\Is that such a good idea?\Shizuku's the one who suggested it though.\She's pretty brave.\Haru...\Just let me say this.\Your night plans will probably shock Shizuku, response:	so you should reconsider.
context: I'm not so sure about doing it outside our first time.\Is that such a good idea?\Shizuku's the one who suggested it though.\She's pretty brave.\Haru...\Just let me say this.\Your night plans will probably shock Shizuku,\so you should reconsider. response:	Why?
context: Is that such a good idea?\Shizuku's the one who suggested it though.\She's pretty brave.\Haru...\Just let me say this.\Your night plans will probably shock Shizuku,\so you should reconsider.\Why? response:	Yoshida Family Matters
context: Shizuku's the one who suggested it though.\She's pretty brave.\Haru...\Just let me say this.\Your night plans will probably shock Shizuku,\so you should reconsider.\Why?\Yoshida Family Matters response:	Revolt of Taira no Tadatsune Bald with chest hair
context: She's pretty brave.\Haru...\Just let me say this.\Your night plans will probably shock Shizuku,\so you should reconsider.\Why?\Yoshida Family Matters\Revolt of Taira no Tadatsune Bald with chest hair response:	Taira no Kiyomori, Hot woman with a thin waist Chancellor of the Realm
context: Haru...\Just let me say this.\Your night plans will probably shock Shizuku,\so you should reconsider.\Why?\Yoshida Family Matters\Revolt of Taira no Tadatsune Bald with chest hair\Taira no Kiyomori, Hot woman with a thin waist Chancellor of the Realm response:	How have you been?
context: Just let me say this.\Your night plans will probably shock Shizuku,\so you should reconsider.\Why?\Yoshida Family Matters\Revolt of Taira no Tadatsune Bald with chest hair\Taira no Kiyomori, Hot woman with a thin waist Chancellor of the Realm\How have you been? response:	Well, we saw each other every day.
context: Your night plans will probably shock Shizuku,\so you should reconsider.\Why?\Yoshida Family Matters\Revolt of Taira no Tadatsune Bald with chest hair\Taira no Kiyomori, Hot woman with a thin waist Chancellor of the Realm\How have you been?\Well, we saw each other every day. response:	There you go.
context: so you should reconsider.\Why?\Yoshida Family Matters\Revolt of Taira no Tadatsune Bald with chest hair\Taira no Kiyomori, Hot woman with a thin waist Chancellor of the Realm\How have you been?\Well, we saw each other every day.\There you go. response:	Good morning, Haru.
context: Why?\Yoshida Family Matters\Revolt of Taira no Tadatsune Bald with chest hair\Taira no Kiyomori, Hot woman with a thin waist Chancellor of the Realm\How have you been?\Well, we saw each other every day.\There you go.\Good morning, Haru. response:	Yo, Shizuku.
context: Yoshida Family Matters\Revolt of Taira no Tadatsune Bald with chest hair\Taira no Kiyomori, Hot woman with a thin waist Chancellor of the Realm\How have you been?\Well, we saw each other every day.\There you go.\Good morning, Haru.\Yo, Shizuku. response:	You're early.
context: Revolt of Taira no Tadatsune Bald with chest hair\Taira no Kiyomori, Hot woman with a thin waist Chancellor of the Realm\How have you been?\Well, we saw each other every day.\There you go.\Good morning, Haru.\Yo, Shizuku.\You're early. response:	It's the second term.
context: Taira no Kiyomori, Hot woman with a thin waist Chancellor of the Realm\How have you been?\Well, we saw each other every day.\There you go.\Good morning, Haru.\Yo, Shizuku.\You're early.\It's the second term. response:	I was here at six.
context: How have you been?\Well, we saw each other every day.\There you go.\Good morning, Haru.\Yo, Shizuku.\You're early.\It's the second term.\I was here at six. response:	Six?
context: Well, we saw each other every day.\There you go.\Good morning, Haru.\Yo, Shizuku.\You're early.\It's the second term.\I was here at six.\Six? response:	I woke up when I realized
context: There you go.\Good morning, Haru.\Yo, Shizuku.\You're early.\It's the second term.\I was here at six.\Six?\I woke up when I realized response:	that I get to see you every day, again.
context: Good morning, Haru.\Yo, Shizuku.\You're early.\It's the second term.\I was here at six.\Six?\I woke up when I realized\that I get to see you every day, again. response:	You never picked up the phone over summer break.
context: Yo, Shizuku.\You're early.\It's the second term.\I was here at six.\Six?\I woke up when I realized\that I get to see you every day, again.\You never picked up the phone over summer break. response:	Is he hitting on her?
context: You're early.\It's the second term.\I was here at six.\Six?\I woke up when I realized\that I get to see you every day, again.\You never picked up the phone over summer break.\Is he hitting on her? response:	All nonchalant?
context: It's the second term.\I was here at six.\Six?\I woke up when I realized\that I get to see you every day, again.\You never picked up the phone over summer break.\Is he hitting on her?\All nonchalant? response:	First thing in the morning?
context: I was here at six.\Six?\I woke up when I realized\that I get to see you every day, again.\You never picked up the phone over summer break.\Is he hitting on her?\All nonchalant?\First thing in the morning? response:	It was September and still warm outside.
context: Six?\I woke up when I realized\that I get to see you every day, again.\You never picked up the phone over summer break.\Is he hitting on her?\All nonchalant?\First thing in the morning?\It was September and still warm outside. response:	Second term was starting.
context: I woke up when I realized\that I get to see you every day, again.\You never picked up the phone over summer break.\Is he hitting on her?\All nonchalant?\First thing in the morning?\It was September and still warm outside.\Second term was starting. response:	Good morning.
context: that I get to see you every day, again.\You never picked up the phone over summer break.\Is he hitting on her?\All nonchalant?\First thing in the morning?\It was September and still warm outside.\Second term was starting.\Good morning. response:	Are you sick, Natsume-san?
context: You never picked up the phone over summer break.\Is he hitting on her?\All nonchalant?\First thing in the morning?\It was September and still warm outside.\Second term was starting.\Good morning.\Are you sick, Natsume-san? response:	Yes, I actually have a fever,
context: Is he hitting on her?\All nonchalant?\First thing in the morning?\It was September and still warm outside.\Second term was starting.\Good morning.\Are you sick, Natsume-san?\Yes, I actually have a fever, response:	but I forced myself to come to school.
context: All nonchalant?\First thing in the morning?\It was September and still warm outside.\Second term was starting.\Good morning.\Are you sick, Natsume-san?\Yes, I actually have a fever,\but I forced myself to come to school. response:	Really? Don't give me your cold.
context: First thing in the morning?\It was September and still warm outside.\Second term was starting.\Good morning.\Are you sick, Natsume-san?\Yes, I actually have a fever,\but I forced myself to come to school.\Really? Don't give me your cold. response:	Don't make me sick.
context: It was September and still warm outside.\Second term was starting.\Good morning.\Are you sick, Natsume-san?\Yes, I actually have a fever,\but I forced myself to come to school.\Really? Don't give me your cold.\Don't make me sick. response:	Try to keep it to yourself.
context: Second term was starting.\Good morning.\Are you sick, Natsume-san?\Yes, I actually have a fever,\but I forced myself to come to school.\Really? Don't give me your cold.\Don't make me sick.\Try to keep it to yourself. response:	Oh, Natsume-san.
context: Good morning.\Are you sick, Natsume-san?\Yes, I actually have a fever,\but I forced myself to come to school.\Really? Don't give me your cold.\Don't make me sick.\Try to keep it to yourself.\Oh, Natsume-san. response:	I have pictures from the fishing trip.
context: Are you sick, Natsume-san?\Yes, I actually have a fever,\but I forced myself to come to school.\Really? Don't give me your cold.\Don't make me sick.\Try to keep it to yourself.\Oh, Natsume-san.\I have pictures from the fishing trip. response:	Wait, are you doing trig?
context: Yes, I actually have a fever,\but I forced myself to come to school.\Really? Don't give me your cold.\Don't make me sick.\Try to keep it to yourself.\Oh, Natsume-san.\I have pictures from the fishing trip.\Wait, are you doing trig? response:	Oh, let me see.
context: but I forced myself to come to school.\Really? Don't give me your cold.\Don't make me sick.\Try to keep it to yourself.\Oh, Natsume-san.\I have pictures from the fishing trip.\Wait, are you doing trig?\Oh, let me see. response:	Wait, that's second-year stuff.
context: Really? Don't give me your cold.\Don't make me sick.\Try to keep it to yourself.\Oh, Natsume-san.\I have pictures from the fishing trip.\Wait, are you doing trig?\Oh, let me see.\Wait, that's second-year stuff. response:	You're that far ahead, Mizutani-san?
context: Don't make me sick.\Try to keep it to yourself.\Oh, Natsume-san.\I have pictures from the fishing trip.\Wait, are you doing trig?\Oh, let me see.\Wait, that's second-year stuff.\You're that far ahead, Mizutani-san? response:	I've been wondering...
context: Try to keep it to yourself.\Oh, Natsume-san.\I have pictures from the fishing trip.\Wait, are you doing trig?\Oh, let me see.\Wait, that's second-year stuff.\You're that far ahead, Mizutani-san?\I've been wondering... response:	When do you even study, Haru?
context: Oh, Natsume-san.\I have pictures from the fishing trip.\Wait, are you doing trig?\Oh, let me see.\Wait, that's second-year stuff.\You're that far ahead, Mizutani-san?\I've been wondering...\When do you even study, Haru? response:	Aw, my eyes are rolled back in all of these...
context: I have pictures from the fishing trip.\Wait, are you doing trig?\Oh, let me see.\Wait, that's second-year stuff.\You're that far ahead, Mizutani-san?\I've been wondering...\When do you even study, Haru?\Aw, my eyes are rolled back in all of these... response:	Huh?
context: Wait, are you doing trig?\Oh, let me see.\Wait, that's second-year stuff.\You're that far ahead, Mizutani-san?\I've been wondering...\When do you even study, Haru?\Aw, my eyes are rolled back in all of these...\Huh? response:	I don't.
context: Oh, let me see.\Wait, that's second-year stuff.\You're that far ahead, Mizutani-san?\I've been wondering...\When do you even study, Haru?\Aw, my eyes are rolled back in all of these...\Huh?\I don't. response:	Don't lie!
context: Wait, that's second-year stuff.\You're that far ahead, Mizutani-san?\I've been wondering...\When do you even study, Haru?\Aw, my eyes are rolled back in all of these...\Huh?\I don't.\Don't lie! response:	And why are these all pictures of my swimsuit, Sasayan-kun?
context: You're that far ahead, Mizutani-san?\I've been wondering...\When do you even study, Haru?\Aw, my eyes are rolled back in all of these...\Huh?\I don't.\Don't lie!\And why are these all pictures of my swimsuit, Sasayan-kun? response:	How can you know the answers when you don't study?
context: I've been wondering...\When do you even study, Haru?\Aw, my eyes are rolled back in all of these...\Huh?\I don't.\Don't lie!\And why are these all pictures of my swimsuit, Sasayan-kun?\How can you know the answers when you don't study? response:	No, it's true.
context: When do you even study, Haru?\Aw, my eyes are rolled back in all of these...\Huh?\I don't.\Don't lie!\And why are these all pictures of my swimsuit, Sasayan-kun?\How can you know the answers when you don't study?\No, it's true. response:	I mean, I've already learned all of the high school material.
context: Aw, my eyes are rolled back in all of these...\Huh?\I don't.\Don't lie!\And why are these all pictures of my swimsuit, Sasayan-kun?\How can you know the answers when you don't study?\No, it's true.\I mean, I've already learned all of the high school material. response:	Um, why are you laughing?
context: Huh?\I don't.\Don't lie!\And why are these all pictures of my swimsuit, Sasayan-kun?\How can you know the answers when you don't study?\No, it's true.\I mean, I've already learned all of the high school material.\Um, why are you laughing? response:	I didn't go to class in middle school.
context: I don't.\Don't lie!\And why are these all pictures of my swimsuit, Sasayan-kun?\How can you know the answers when you don't study?\No, it's true.\I mean, I've already learned all of the high school material.\Um, why are you laughing?\I didn't go to class in middle school. response:	I used all that free time to study.
context: Don't lie!\And why are these all pictures of my swimsuit, Sasayan-kun?\How can you know the answers when you don't study?\No, it's true.\I mean, I've already learned all of the high school material.\Um, why are you laughing?\I didn't go to class in middle school.\I used all that free time to study. response:	I'm trying to be serious...
context: And why are these all pictures of my swimsuit, Sasayan-kun?\How can you know the answers when you don't study?\No, it's true.\I mean, I've already learned all of the high school material.\Um, why are you laughing?\I didn't go to class in middle school.\I used all that free time to study.\I'm trying to be serious... response:	Feels like it's been forever...
context: How can you know the answers when you don't study?\No, it's true.\I mean, I've already learned all of the high school material.\Um, why are you laughing?\I didn't go to class in middle school.\I used all that free time to study.\I'm trying to be serious...\Feels like it's been forever... response:	Anyway...
context: No, it's true.\I mean, I've already learned all of the high school material.\Um, why are you laughing?\I didn't go to class in middle school.\I used all that free time to study.\I'm trying to be serious...\Feels like it's been forever...\Anyway... response:	A-About that date, is there anywhere you want to go?
context: I mean, I've already learned all of the high school material.\Um, why are you laughing?\I didn't go to class in middle school.\I used all that free time to study.\I'm trying to be serious...\Feels like it's been forever...\Anyway...\A-About that date, is there anywhere you want to go? response:	The library.
context: Um, why are you laughing?\I didn't go to class in middle school.\I used all that free time to study.\I'm trying to be serious...\Feels like it's been forever...\Anyway...\A-About that date, is there anywhere you want to go?\The library. response:	Y-You still want to study?
context: I didn't go to class in middle school.\I used all that free time to study.\I'm trying to be serious...\Feels like it's been forever...\Anyway...\A-About that date, is there anywhere you want to go?\The library.\Y-You still want to study? response:	You never stop!
context: I used all that free time to study.\I'm trying to be serious...\Feels like it's been forever...\Anyway...\A-About that date, is there anywhere you want to go?\The library.\Y-You still want to study?\You never stop! response:	Japanese History
context: I'm trying to be serious...\Feels like it's been forever...\Anyway...\A-About that date, is there anywhere you want to go?\The library.\Y-You still want to study?\You never stop!\Japanese History response:	Good morning...
context: Feels like it's been forever...\Anyway...\A-About that date, is there anywhere you want to go?\The library.\Y-You still want to study?\You never stop!\Japanese History\Good morning... response:	I didn't go to class in middle school.
context: Anyway...\A-About that date, is there anywhere you want to go?\The library.\Y-You still want to study?\You never stop!\Japanese History\Good morning...\I didn't go to class in middle school. response:	I used all that free time to study.
context: A-About that date, is there anywhere you want to go?\The library.\Y-You still want to study?\You never stop!\Japanese History\Good morning...\I didn't go to class in middle school.\I used all that free time to study. response:	Stop trying to pry.
context: The library.\Y-You still want to study?\You never stop!\Japanese History\Good morning...\I didn't go to class in middle school.\I used all that free time to study.\Stop trying to pry. response:	How much is he willing to reveal?
context: Y-You still want to study?\You never stop!\Japanese History\Good morning...\I didn't go to class in middle school.\I used all that free time to study.\Stop trying to pry.\How much is he willing to reveal? response:	Where does he draw the line?
context: You never stop!\Japanese History\Good morning...\I didn't go to class in middle school.\I used all that free time to study.\Stop trying to pry.\How much is he willing to reveal?\Where does he draw the line? response:	I don't understand.
context: Japanese History\Good morning...\I didn't go to class in middle school.\I used all that free time to study.\Stop trying to pry.\How much is he willing to reveal?\Where does he draw the line?\I don't understand. response:	I want to stop by the library on our way home.
context: Good morning...\I didn't go to class in middle school.\I used all that free time to study.\Stop trying to pry.\How much is he willing to reveal?\Where does he draw the line?\I don't understand.\I want to stop by the library on our way home. response:	Would that be considered a date?
context: I didn't go to class in middle school.\I used all that free time to study.\Stop trying to pry.\How much is he willing to reveal?\Where does he draw the line?\I don't understand.\I want to stop by the library on our way home.\Would that be considered a date? response:	Wow, he's so hot!
context: I used all that free time to study.\Stop trying to pry.\How much is he willing to reveal?\Where does he draw the line?\I don't understand.\I want to stop by the library on our way home.\Would that be considered a date?\Wow, he's so hot! response:	Wait, who is he?
context: Stop trying to pry.\How much is he willing to reveal?\Where does he draw the line?\I don't understand.\I want to stop by the library on our way home.\Would that be considered a date?\Wow, he's so hot!\Wait, who is he? response:	Is he waiting for someone?
context: How much is he willing to reveal?\Where does he draw the line?\I don't understand.\I want to stop by the library on our way home.\Would that be considered a date?\Wow, he's so hot!\Wait, who is he?\Is he waiting for someone? response:	If he isn't, you should talk to him.
context: Where does he draw the line?\I don't understand.\I want to stop by the library on our way home.\Would that be considered a date?\Wow, he's so hot!\Wait, who is he?\Is he waiting for someone?\If he isn't, you should talk to him. response:	No, you talk to him.
context: I don't understand.\I want to stop by the library on our way home.\Would that be considered a date?\Wow, he's so hot!\Wait, who is he?\Is he waiting for someone?\If he isn't, you should talk to him.\No, you talk to him. response:	Shizuku-chan.
context: I want to stop by the library on our way home.\Would that be considered a date?\Wow, he's so hot!\Wait, who is he?\Is he waiting for someone?\If he isn't, you should talk to him.\No, you talk to him.\Shizuku-chan. response:	I'm glad I caught you.
context: Would that be considered a date?\Wow, he's so hot!\Wait, who is he?\Is he waiting for someone?\If he isn't, you should talk to him.\No, you talk to him.\Shizuku-chan.\I'm glad I caught you. response:	I was about to leave.
