context: She sure is taking a long time... response:	Himuro-senpai
context: She sure is taking a long time...\Himuro-senpai response:	All right. That should do it.
context: She sure is taking a long time...\Himuro-senpai\All right. That should do it. response:	Now, where should I implement this...
context: She sure is taking a long time...\Himuro-senpai\All right. That should do it.\Now, where should I implement this... response:	Aika?
context: She sure is taking a long time...\Himuro-senpai\All right. That should do it.\Now, where should I implement this...\Aika? response:	Oh. Yukimura-senpai.
context: She sure is taking a long time...\Himuro-senpai\All right. That should do it.\Now, where should I implement this...\Aika?\Oh. Yukimura-senpai. response:	Kanade. What's wrong?
context: She sure is taking a long time...\Himuro-senpai\All right. That should do it.\Now, where should I implement this...\Aika?\Oh. Yukimura-senpai.\Kanade. What's wrong? response:	Well, Himuro-senpai is...
context: She sure is taking a long time...\Himuro-senpai\All right. That should do it.\Now, where should I implement this...\Aika?\Oh. Yukimura-senpai.\Kanade. What's wrong?\Well, Himuro-senpai is... response:	Yukimura-senpai!
context: Himuro-senpai\All right. That should do it.\Now, where should I implement this...\Aika?\Oh. Yukimura-senpai.\Kanade. What's wrong?\Well, Himuro-senpai is...\Yukimura-senpai! response:	Did you find her?
context: All right. That should do it.\Now, where should I implement this...\Aika?\Oh. Yukimura-senpai.\Kanade. What's wrong?\Well, Himuro-senpai is...\Yukimura-senpai!\Did you find her? response:	She hasn't been back to the room!
context: Now, where should I implement this...\Aika?\Oh. Yukimura-senpai.\Kanade. What's wrong?\Well, Himuro-senpai is...\Yukimura-senpai!\Did you find her?\She hasn't been back to the room! response:	We've searched every inch of the hotel, but we can't find her!
context: Aika?\Oh. Yukimura-senpai.\Kanade. What's wrong?\Well, Himuro-senpai is...\Yukimura-senpai!\Did you find her?\She hasn't been back to the room!\We've searched every inch of the hotel, but we can't find her! response:	Which means... she's gotta be outside, right?
context: Oh. Yukimura-senpai.\Kanade. What's wrong?\Well, Himuro-senpai is...\Yukimura-senpai!\Did you find her?\She hasn't been back to the room!\We've searched every inch of the hotel, but we can't find her!\Which means... she's gotta be outside, right? response:	I hope she's not caught up in some kind of trouble...
context: Kanade. What's wrong?\Well, Himuro-senpai is...\Yukimura-senpai!\Did you find her?\She hasn't been back to the room!\We've searched every inch of the hotel, but we can't find her!\Which means... she's gotta be outside, right?\I hope she's not caught up in some kind of trouble... response:	Now that it's come to this, there's no choice but to use it...
context: Well, Himuro-senpai is...\Yukimura-senpai!\Did you find her?\She hasn't been back to the room!\We've searched every inch of the hotel, but we can't find her!\Which means... she's gotta be outside, right?\I hope she's not caught up in some kind of trouble...\Now that it's come to this, there's no choice but to use it... response:	It's a method unworthy of a computer science specialist, but
context: Yukimura-senpai!\Did you find her?\She hasn't been back to the room!\We've searched every inch of the hotel, but we can't find her!\Which means... she's gotta be outside, right?\I hope she's not caught up in some kind of trouble...\Now that it's come to this, there's no choice but to use it...\It's a method unworthy of a computer science specialist, but response:	it can't be helped.
context: Did you find her?\She hasn't been back to the room!\We've searched every inch of the hotel, but we can't find her!\Which means... she's gotta be outside, right?\I hope she's not caught up in some kind of trouble...\Now that it's come to this, there's no choice but to use it...\It's a method unworthy of a computer science specialist, but\it can't be helped. response:	We'll radiate outward from the hotel,
context: She hasn't been back to the room!\We've searched every inch of the hotel, but we can't find her!\Which means... she's gotta be outside, right?\I hope she's not caught up in some kind of trouble...\Now that it's come to this, there's no choice but to use it...\It's a method unworthy of a computer science specialist, but\it can't be helped.\We'll radiate outward from the hotel, response:	and conduct a full search.
context: We've searched every inch of the hotel, but we can't find her!\Which means... she's gotta be outside, right?\I hope she's not caught up in some kind of trouble...\Now that it's come to this, there's no choice but to use it...\It's a method unworthy of a computer science specialist, but\it can't be helped.\We'll radiate outward from the hotel,\and conduct a full search. response:	A full search?
context: Which means... she's gotta be outside, right?\I hope she's not caught up in some kind of trouble...\Now that it's come to this, there's no choice but to use it...\It's a method unworthy of a computer science specialist, but\it can't be helped.\We'll radiate outward from the hotel,\and conduct a full search.\A full search? response:	Oh!
context: I hope she's not caught up in some kind of trouble...\Now that it's come to this, there's no choice but to use it...\It's a method unworthy of a computer science specialist, but\it can't be helped.\We'll radiate outward from the hotel,\and conduct a full search.\A full search?\Oh! response:	You mean, go search everywhere, right?
context: Now that it's come to this, there's no choice but to use it...\It's a method unworthy of a computer science specialist, but\it can't be helped.\We'll radiate outward from the hotel,\and conduct a full search.\A full search?\Oh!\You mean, go search everywhere, right? response:	Kosuke, you search to the west!
context: It's a method unworthy of a computer science specialist, but\it can't be helped.\We'll radiate outward from the hotel,\and conduct a full search.\A full search?\Oh!\You mean, go search everywhere, right?\Kosuke, you search to the west! response:	Got it!
context: it can't be helped.\We'll radiate outward from the hotel,\and conduct a full search.\A full search?\Oh!\You mean, go search everywhere, right?\Kosuke, you search to the west!\Got it! response:	Kanade, if you could take the east!
context: We'll radiate outward from the hotel,\and conduct a full search.\A full search?\Oh!\You mean, go search everywhere, right?\Kosuke, you search to the west!\Got it!\Kanade, if you could take the east! response:	All right!
context: and conduct a full search.\A full search?\Oh!\You mean, go search everywhere, right?\Kosuke, you search to the west!\Got it!\Kanade, if you could take the east!\All right! response:	But whether this method will allow us to find her or not is...
