context: So, everything that makes me whole response:	I'll now give to you
context: So, everything that makes me whole\I'll now give to you response:	I'm yours
context: So, everything that makes me whole\I'll now give to you\I'm yours response:	Say, there's lots of happiness in this world, isn't there?
context: So, everything that makes me whole\I'll now give to you\I'm yours\Say, there's lots of happiness in this world, isn't there? response:	Someday, if we're together
context: So, everything that makes me whole\I'll now give to you\I'm yours\Say, there's lots of happiness in this world, isn't there?\Someday, if we're together response:	Even if someone calls you a liar
context: So, everything that makes me whole\I'll now give to you\I'm yours\Say, there's lots of happiness in this world, isn't there?\Someday, if we're together\Even if someone calls you a liar response:	And tries to hurt you with hearless words
context: So, everything that makes me whole\I'll now give to you\I'm yours\Say, there's lots of happiness in this world, isn't there?\Someday, if we're together\Even if someone calls you a liar\And tries to hurt you with hearless words response:	Even if the world tries to make you wear a crown of thorns
context: So, everything that makes me whole\I'll now give to you\I'm yours\Say, there's lots of happiness in this world, isn't there?\Someday, if we're together\Even if someone calls you a liar\And tries to hurt you with hearless words\Even if the world tries to make you wear a crown of thorns response:	Without even trying to believe in you
context: I'll now give to you\I'm yours\Say, there's lots of happiness in this world, isn't there?\Someday, if we're together\Even if someone calls you a liar\And tries to hurt you with hearless words\Even if the world tries to make you wear a crown of thorns\Without even trying to believe in you response:	I can take your side, and yours alone
context: I'm yours\Say, there's lots of happiness in this world, isn't there?\Someday, if we're together\Even if someone calls you a liar\And tries to hurt you with hearless words\Even if the world tries to make you wear a crown of thorns\Without even trying to believe in you\I can take your side, and yours alone response:	I know that solitude, that pain
context: Say, there's lots of happiness in this world, isn't there?\Someday, if we're together\Even if someone calls you a liar\And tries to hurt you with hearless words\Even if the world tries to make you wear a crown of thorns\Without even trying to believe in you\I can take your side, and yours alone\I know that solitude, that pain response:	So everything that makes me whole
context: Someday, if we're together\Even if someone calls you a liar\And tries to hurt you with hearless words\Even if the world tries to make you wear a crown of thorns\Without even trying to believe in you\I can take your side, and yours alone\I know that solitude, that pain\So everything that makes me whole response:	I'll give you to you
context: Even if someone calls you a liar\And tries to hurt you with hearless words\Even if the world tries to make you wear a crown of thorns\Without even trying to believe in you\I can take your side, and yours alone\I know that solitude, that pain\So everything that makes me whole\I'll give you to you response:	End Card Illustration: Yuupon
context: And tries to hurt you with hearless words\Even if the world tries to make you wear a crown of thorns\Without even trying to believe in you\I can take your side, and yours alone\I know that solitude, that pain\So everything that makes me whole\I'll give you to you\End Card Illustration: Yuupon response:	I'm yours
context: Even if the world tries to make you wear a crown of thorns\Without even trying to believe in you\I can take your side, and yours alone\I know that solitude, that pain\So everything that makes me whole\I'll give you to you\End Card Illustration: Yuupon\I'm yours response:	I'm yours
context: Without even trying to believe in you\I can take your side, and yours alone\I know that solitude, that pain\So everything that makes me whole\I'll give you to you\End Card Illustration: Yuupon\I'm yours\I'm yours response:	I'm yours
context: I can take your side, and yours alone\I know that solitude, that pain\So everything that makes me whole\I'll give you to you\End Card Illustration: Yuupon\I'm yours\I'm yours\I'm yours response:	and tries to hurt you with cruel words,
context: I know that solitude, that pain\So everything that makes me whole\I'll give you to you\End Card Illustration: Yuupon\I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words, response:	even if the world does not try to believe you
context: So everything that makes me whole\I'll give you to you\End Card Illustration: Yuupon\I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you response:	and places a crown of thorns upon your head,
context: I'll give you to you\End Card Illustration: Yuupon\I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head, response:	I can take your side, and yours alone
context: End Card Illustration: Yuupon\I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone response:	I know your pain and loneliness
context: I'm yours\I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness response:	So everything that makes me whole
context: I'm yours\I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole response:	I'll give that to you now
context: I'm yours\and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now response:	Medic!
context: and tries to hurt you with cruel words,\even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\Medic! response:	Serious damage to Unit 322! Emergency bailout!
context: even if the world does not try to believe you\and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\Medic!\Serious damage to Unit 322! Emergency bailout! response:	Second Lieutenant Saen was injured in the backlash!
context: and places a crown of thorns upon your head,\I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\Medic!\Serious damage to Unit 322! Emergency bailout!\Second Lieutenant Saen was injured in the backlash! response:	What the hell... just happened?
context: I can take your side, and yours alone\I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\Medic!\Serious damage to Unit 322! Emergency bailout!\Second Lieutenant Saen was injured in the backlash!\What the hell... just happened? response:	How dare you do that to Saen!
context: I know your pain and loneliness\So everything that makes me whole\I'll give that to you now\Medic!\Serious damage to Unit 322! Emergency bailout!\Second Lieutenant Saen was injured in the backlash!\What the hell... just happened?\How dare you do that to Saen! response:	Stay away!
context: So everything that makes me whole\I'll give that to you now\Medic!\Serious damage to Unit 322! Emergency bailout!\Second Lieutenant Saen was injured in the backlash!\What the hell... just happened?\How dare you do that to Saen!\Stay away! response:	So that's the power of a Void?
context: I'll give that to you now\Medic!\Serious damage to Unit 322! Emergency bailout!\Second Lieutenant Saen was injured in the backlash!\What the hell... just happened?\How dare you do that to Saen!\Stay away!\So that's the power of a Void? response:	Now, Ogumo.
context: Medic!\Serious damage to Unit 322! Emergency bailout!\Second Lieutenant Saen was injured in the backlash!\What the hell... just happened?\How dare you do that to Saen!\Stay away!\So that's the power of a Void?\Now, Ogumo. response:	Yes, Commander.
context: Serious damage to Unit 322! Emergency bailout!\Second Lieutenant Saen was injured in the backlash!\What the hell... just happened?\How dare you do that to Saen!\Stay away!\So that's the power of a Void?\Now, Ogumo.\Yes, Commander. response:	Inori...
context: Second Lieutenant Saen was injured in the backlash!\What the hell... just happened?\How dare you do that to Saen!\Stay away!\So that's the power of a Void?\Now, Ogumo.\Yes, Commander.\Inori... response:	Wake up!
context: What the hell... just happened?\How dare you do that to Saen!\Stay away!\So that's the power of a Void?\Now, Ogumo.\Yes, Commander.\Inori...\Wake up! response:	Inori!
context: How dare you do that to Saen!\Stay away!\So that's the power of a Void?\Now, Ogumo.\Yes, Commander.\Inori...\Wake up!\Inori! response:	What was that?
context: Stay away!\So that's the power of a Void?\Now, Ogumo.\Yes, Commander.\Inori...\Wake up!\Inori!\What was that? response:	Ouma Shu.
context: So that's the power of a Void?\Now, Ogumo.\Yes, Commander.\Inori...\Wake up!\Inori!\What was that?\Ouma Shu. response:	I'll give you fifteen seconds.
context: Now, Ogumo.\Yes, Commander.\Inori...\Wake up!\Inori!\What was that?\Ouma Shu.\I'll give you fifteen seconds. response:	Recover Inori and get out of there.
context: Yes, Commander.\Inori...\Wake up!\Inori!\What was that?\Ouma Shu.\I'll give you fifteen seconds.\Recover Inori and get out of there. response:	H-Huh?!
context: Inori...\Wake up!\Inori!\What was that?\Ouma Shu.\I'll give you fifteen seconds.\Recover Inori and get out of there.\H-Huh?! response:	Tsugumi! Where's my next target?
context: Wake up!\Inori!\What was that?\Ouma Shu.\I'll give you fifteen seconds.\Recover Inori and get out of there.\H-Huh?!\Tsugumi! Where's my next target? response:	Direction: ten o'clock. Distance: 400!
context: Inori!\What was that?\Ouma Shu.\I'll give you fifteen seconds.\Recover Inori and get out of there.\H-Huh?!\Tsugumi! Where's my next target?\Direction: ten o'clock. Distance: 400! response:	That's too far away! Don't you have a closer one?
context: What was that?\Ouma Shu.\I'll give you fifteen seconds.\Recover Inori and get out of there.\H-Huh?!\Tsugumi! Where's my next target?\Direction: ten o'clock. Distance: 400!\That's too far away! Don't you have a closer one? response:	You can withdraw if you don't like it! You're working too hard anyway, Aya!
context: Ouma Shu.\I'll give you fifteen seconds.\Recover Inori and get out of there.\H-Huh?!\Tsugumi! Where's my next target?\Direction: ten o'clock. Distance: 400!\That's too far away! Don't you have a closer one?\You can withdraw if you don't like it! You're working too hard anyway, Aya! response:	Your poor craft's had about all it can take!
context: I'll give you fifteen seconds.\Recover Inori and get out of there.\H-Huh?!\Tsugumi! Where's my next target?\Direction: ten o'clock. Distance: 400!\That's too far away! Don't you have a closer one?\You can withdraw if you don't like it! You're working too hard anyway, Aya!\Your poor craft's had about all it can take! response:	But I want to do all I can...
