context: Ow. response:	Oh...
context: Ow.\Oh... response:	Who's in a relationship with who? What kind of relationship?
context: Ow.\Oh...\Who's in a relationship with who? What kind of relationship? response:	Yeah right.
context: Ow.\Oh...\Who's in a relationship with who? What kind of relationship?\Yeah right. response:	Tell me! Spit it out!
context: Ow.\Oh...\Who's in a relationship with who? What kind of relationship?\Yeah right.\Tell me! Spit it out! response:	Oh no.
context: Ow.\Oh...\Who's in a relationship with who? What kind of relationship?\Yeah right.\Tell me! Spit it out!\Oh no. response:	What the heck? What's going on? You gotta be joking.
context: Ow.\Oh...\Who's in a relationship with who? What kind of relationship?\Yeah right.\Tell me! Spit it out!\Oh no.\What the heck? What's going on? You gotta be joking. response:	When did you step into that territory?
context: Ow.\Oh...\Who's in a relationship with who? What kind of relationship?\Yeah right.\Tell me! Spit it out!\Oh no.\What the heck? What's going on? You gotta be joking.\When did you step into that territory? response:	No way.
context: Oh...\Who's in a relationship with who? What kind of relationship?\Yeah right.\Tell me! Spit it out!\Oh no.\What the heck? What's going on? You gotta be joking.\When did you step into that territory?\No way. response:	That's so lame...
context: Who's in a relationship with who? What kind of relationship?\Yeah right.\Tell me! Spit it out!\Oh no.\What the heck? What's going on? You gotta be joking.\When did you step into that territory?\No way.\That's so lame... response:	Lame.
context: Yeah right.\Tell me! Spit it out!\Oh no.\What the heck? What's going on? You gotta be joking.\When did you step into that territory?\No way.\That's so lame...\Lame. response:	You're so lame, Haruhiro.
context: Tell me! Spit it out!\Oh no.\What the heck? What's going on? You gotta be joking.\When did you step into that territory?\No way.\That's so lame...\Lame.\You're so lame, Haruhiro. response:	Of course.
context: Oh no.\What the heck? What's going on? You gotta be joking.\When did you step into that territory?\No way.\That's so lame...\Lame.\You're so lame, Haruhiro.\Of course. response:	Y-Yeah right.
context: What the heck? What's going on? You gotta be joking.\When did you step into that territory?\No way.\That's so lame...\Lame.\You're so lame, Haruhiro.\Of course.\Y-Yeah right. response:	He did, right? You did!
context: When did you step into that territory?\No way.\That's so lame...\Lame.\You're so lame, Haruhiro.\Of course.\Y-Yeah right.\He did, right? You did! response:	I don't know.
context: No way.\That's so lame...\Lame.\You're so lame, Haruhiro.\Of course.\Y-Yeah right.\He did, right? You did!\I don't know. response:	Moguzo and Ranta, I'm counting on you to each get one.
context: That's so lame...\Lame.\You're so lame, Haruhiro.\Of course.\Y-Yeah right.\He did, right? You did!\I don't know.\Moguzo and Ranta, I'm counting on you to each get one. response:	Argh!
context: Lame.\You're so lame, Haruhiro.\Of course.\Y-Yeah right.\He did, right? You did!\I don't know.\Moguzo and Ranta, I'm counting on you to each get one.\Argh! response:	And it's Miss Merry to you.
context: You're so lame, Haruhiro.\Of course.\Y-Yeah right.\He did, right? You did!\I don't know.\Moguzo and Ranta, I'm counting on you to each get one.\Argh!\And it's Miss Merry to you. response:	Maybe it's your method.
context: Of course.\Y-Yeah right.\He did, right? You did!\I don't know.\Moguzo and Ranta, I'm counting on you to each get one.\Argh!\And it's Miss Merry to you.\Maybe it's your method. response:	What?
context: Y-Yeah right.\He did, right? You did!\I don't know.\Moguzo and Ranta, I'm counting on you to each get one.\Argh!\And it's Miss Merry to you.\Maybe it's your method.\What? response:	I don't know.
context: He did, right? You did!\I don't know.\Moguzo and Ranta, I'm counting on you to each get one.\Argh!\And it's Miss Merry to you.\Maybe it's your method.\What?\I don't know. response:	I just wanted...
context: I don't know.\Moguzo and Ranta, I'm counting on you to each get one.\Argh!\And it's Miss Merry to you.\Maybe it's your method.\What?\I don't know.\I just wanted... response:	No, they're normal-sized!
context: Moguzo and Ranta, I'm counting on you to each get one.\Argh!\And it's Miss Merry to you.\Maybe it's your method.\What?\I don't know.\I just wanted...\No, they're normal-sized! response:	So was he basically telling me to take his place, and be the leader for our party?
