context: HALF response:	TS
context: HALF\TS response:	Naru?
context: HALF\TS\Naru? response:	Naru... Naru!
context: HALF\TS\Naru?\Naru... Naru! response:	Naru... why?
context: HALF\TS\Naru?\Naru... Naru!\Naru... why? response:	Why did you choose Truth?
context: HALF\TS\Naru?\Naru... Naru!\Naru... why?\Why did you choose Truth? response:	Don't leave!
context: HALF\TS\Naru?\Naru... Naru!\Naru... why?\Why did you choose Truth?\Don't leave! response:	Don't leave, Naru!
context: HALF\TS\Naru?\Naru... Naru!\Naru... why?\Why did you choose Truth?\Don't leave!\Don't leave, Naru! response:	What's this...?
context: TS\Naru?\Naru... Naru!\Naru... why?\Why did you choose Truth?\Don't leave!\Don't leave, Naru!\What's this...? response:	Naru! Naru!
context: Naru?\Naru... Naru!\Naru... why?\Why did you choose Truth?\Don't leave!\Don't leave, Naru!\What's this...?\Naru! Naru! response:	What's going...
context: Naru... Naru!\Naru... why?\Why did you choose Truth?\Don't leave!\Don't leave, Naru!\What's this...?\Naru! Naru!\What's going... response:	Naru... Naru...
context: Naru... why?\Why did you choose Truth?\Don't leave!\Don't leave, Naru!\What's this...?\Naru! Naru!\What's going...\Naru... Naru... response:	Naru...!
context: Why did you choose Truth?\Don't leave!\Don't leave, Naru!\What's this...?\Naru! Naru!\What's going...\Naru... Naru...\Naru...! response:	Naru!!
context: Don't leave!\Don't leave, Naru!\What's this...?\Naru! Naru!\What's going...\Naru... Naru...\Naru...!\Naru!! response:	Ao... Ao!
context: Don't leave, Naru!\What's this...?\Naru! Naru!\What's going...\Naru... Naru...\Naru...!\Naru!!\Ao... Ao! response:	Goodness, I'm certainly not impressed.
context: What's this...?\Naru! Naru!\What's going...\Naru... Naru...\Naru...!\Naru!!\Ao... Ao!\Goodness, I'm certainly not impressed. response:	I'm so sorry.
context: Naru! Naru!\What's going...\Naru... Naru...\Naru...!\Naru!!\Ao... Ao!\Goodness, I'm certainly not impressed.\I'm so sorry. response:	I'll run through today's flight data again.
context: What's going...\Naru... Naru...\Naru...!\Naru!!\Ao... Ao!\Goodness, I'm certainly not impressed.\I'm so sorry.\I'll run through today's flight data again. response:	That's not what I meant.
context: Naru... Naru...\Naru...!\Naru!!\Ao... Ao!\Goodness, I'm certainly not impressed.\I'm so sorry.\I'll run through today's flight data again.\That's not what I meant. response:	I was referring to you being up so late.
context: Naru...!\Naru!!\Ao... Ao!\Goodness, I'm certainly not impressed.\I'm so sorry.\I'll run through today's flight data again.\That's not what I meant.\I was referring to you being up so late. response:	Regaining stamina is also a part of being a pilot, you know.
context: Naru!!\Ao... Ao!\Goodness, I'm certainly not impressed.\I'm so sorry.\I'll run through today's flight data again.\That's not what I meant.\I was referring to you being up so late.\Regaining stamina is also a part of being a pilot, you know. response:	I know... but...
context: Ao... Ao!\Goodness, I'm certainly not impressed.\I'm so sorry.\I'll run through today's flight data again.\That's not what I meant.\I was referring to you being up so late.\Regaining stamina is also a part of being a pilot, you know.\I know... but... response:	With Alleluia and Kyrie's Third Engines inoperative,
context: Goodness, I'm certainly not impressed.\I'm so sorry.\I'll run through today's flight data again.\That's not what I meant.\I was referring to you being up so late.\Regaining stamina is also a part of being a pilot, you know.\I know... but...\With Alleluia and Kyrie's Third Engines inoperative, response:	I must be strong enough by myself.
context: I'm so sorry.\I'll run through today's flight data again.\That's not what I meant.\I was referring to you being up so late.\Regaining stamina is also a part of being a pilot, you know.\I know... but...\With Alleluia and Kyrie's Third Engines inoperative,\I must be strong enough by myself. response:	I have to... become stronger.
context: I'll run through today's flight data again.\That's not what I meant.\I was referring to you being up so late.\Regaining stamina is also a part of being a pilot, you know.\I know... but...\With Alleluia and Kyrie's Third Engines inoperative,\I must be strong enough by myself.\I have to... become stronger. response:	What was that for?!
context: That's not what I meant.\I was referring to you being up so late.\Regaining stamina is also a part of being a pilot, you know.\I know... but...\With Alleluia and Kyrie's Third Engines inoperative,\I must be strong enough by myself.\I have to... become stronger.\What was that for?! response:	That's enough! Get some rest.
context: I was referring to you being up so late.\Regaining stamina is also a part of being a pilot, you know.\I know... but...\With Alleluia and Kyrie's Third Engines inoperative,\I must be strong enough by myself.\I have to... become stronger.\What was that for?!\That's enough! Get some rest. response:	My IFOs aren't meant to be piloted by sleep-deprived kids!
context: Regaining stamina is also a part of being a pilot, you know.\I know... but...\With Alleluia and Kyrie's Third Engines inoperative,\I must be strong enough by myself.\I have to... become stronger.\What was that for?!\That's enough! Get some rest.\My IFOs aren't meant to be piloted by sleep-deprived kids! response:	Mr. Alex...
