context: The Third Plate response:	Thirteen
context: The Third Plate\Thirteen response:	Saiba Joichiro...
context: The Third Plate\Thirteen\Saiba Joichiro... response:	He's... my dad.
context: The Third Plate\Thirteen\Saiba Joichiro...\He's... my dad. response:	Saiba-sama and Yukihira-kun... father and son...
context: The Third Plate\Thirteen\Saiba Joichiro...\He's... my dad.\Saiba-sama and Yukihira-kun... father and son... response:	Saiba-senpai...
context: The Third Plate\Thirteen\Saiba Joichiro...\He's... my dad.\Saiba-sama and Yukihira-kun... father and son...\Saiba-senpai... response:	I will achieve a total revolution of this world
context: The Third Plate\Thirteen\Saiba Joichiro...\He's... my dad.\Saiba-sama and Yukihira-kun... father and son...\Saiba-senpai...\I will achieve a total revolution of this world response:	in order to save victims like you, Saiba-senpai.
context: The Third Plate\Thirteen\Saiba Joichiro...\He's... my dad.\Saiba-sama and Yukihira-kun... father and son...\Saiba-senpai...\I will achieve a total revolution of this world\in order to save victims like you, Saiba-senpai. response:	Totsuki
context: Thirteen\Saiba Joichiro...\He's... my dad.\Saiba-sama and Yukihira-kun... father and son...\Saiba-senpai...\I will achieve a total revolution of this world\in order to save victims like you, Saiba-senpai.\Totsuki response:	Are we really going ahead with this?
context: Saiba Joichiro...\He's... my dad.\Saiba-sama and Yukihira-kun... father and son...\Saiba-senpai...\I will achieve a total revolution of this world\in order to save victims like you, Saiba-senpai.\Totsuki\Are we really going ahead with this? response:	I've said it before... I'm not the type to make public speeches...
context: He's... my dad.\Saiba-sama and Yukihira-kun... father and son...\Saiba-senpai...\I will achieve a total revolution of this world\in order to save victims like you, Saiba-senpai.\Totsuki\Are we really going ahead with this?\I've said it before... I'm not the type to make public speeches... response:	Start talking, Tsukasa!
context: Saiba-sama and Yukihira-kun... father and son...\Saiba-senpai...\I will achieve a total revolution of this world\in order to save victims like you, Saiba-senpai.\Totsuki\Are we really going ahead with this?\I've said it before... I'm not the type to make public speeches...\Start talking, Tsukasa! response:	If only Isshiki or Nakiri were here...
context: Saiba-senpai...\I will achieve a total revolution of this world\in order to save victims like you, Saiba-senpai.\Totsuki\Are we really going ahead with this?\I've said it before... I'm not the type to make public speeches...\Start talking, Tsukasa!\If only Isshiki or Nakiri were here... response:	And how much more time do I have before we go live?
context: I will achieve a total revolution of this world\in order to save victims like you, Saiba-senpai.\Totsuki\Are we really going ahead with this?\I've said it before... I'm not the type to make public speeches...\Start talking, Tsukasa!\If only Isshiki or Nakiri were here...\And how much more time do I have before we go live? response:	The cameras are already rolling.
context: in order to save victims like you, Saiba-senpai.\Totsuki\Are we really going ahead with this?\I've said it before... I'm not the type to make public speeches...\Start talking, Tsukasa!\If only Isshiki or Nakiri were here...\And how much more time do I have before we go live?\The cameras are already rolling. response:	Talk!
context: Totsuki\Are we really going ahead with this?\I've said it before... I'm not the type to make public speeches...\Start talking, Tsukasa!\If only Isshiki or Nakiri were here...\And how much more time do I have before we go live?\The cameras are already rolling.\Talk! response:	What?!
context: Are we really going ahead with this?\I've said it before... I'm not the type to make public speeches...\Start talking, Tsukasa!\If only Isshiki or Nakiri were here...\And how much more time do I have before we go live?\The cameras are already rolling.\Talk!\What?! response:	Um, hello. I'm Tsukasa Eishi from Central.
context: I've said it before... I'm not the type to make public speeches...\Start talking, Tsukasa!\If only Isshiki or Nakiri were here...\And how much more time do I have before we go live?\The cameras are already rolling.\Talk!\What?!\Um, hello. I'm Tsukasa Eishi from Central. response:	Advancement Exam
context: Start talking, Tsukasa!\If only Isshiki or Nakiri were here...\And how much more time do I have before we go live?\The cameras are already rolling.\Talk!\What?!\Um, hello. I'm Tsukasa Eishi from Central.\Advancement Exam response:	Polar Star Dormitory
context: If only Isshiki or Nakiri were here...\And how much more time do I have before we go live?\The cameras are already rolling.\Talk!\What?!\Um, hello. I'm Tsukasa Eishi from Central.\Advancement Exam\Polar Star Dormitory response:	I'm here today to tell you all
context: And how much more time do I have before we go live?\The cameras are already rolling.\Talk!\What?!\Um, hello. I'm Tsukasa Eishi from Central.\Advancement Exam\Polar Star Dormitory\I'm here today to tell you all response:	about the major event awaiting high-school
context: The cameras are already rolling.\Talk!\What?!\Um, hello. I'm Tsukasa Eishi from Central.\Advancement Exam\Polar Star Dormitory\I'm here today to tell you all\about the major event awaiting high-school response:	first-years at the end of the second semester
context: Talk!\What?!\Um, hello. I'm Tsukasa Eishi from Central.\Advancement Exam\Polar Star Dormitory\I'm here today to tell you all\about the major event awaiting high-school\first-years at the end of the second semester response:	the advancement exam.
context: What?!\Um, hello. I'm Tsukasa Eishi from Central.\Advancement Exam\Polar Star Dormitory\I'm here today to tell you all\about the major event awaiting high-school\first-years at the end of the second semester\the advancement exam. response:	Last year, more than half of the first-years left the Academy
context: Um, hello. I'm Tsukasa Eishi from Central.\Advancement Exam\Polar Star Dormitory\I'm here today to tell you all\about the major event awaiting high-school\first-years at the end of the second semester\the advancement exam.\Last year, more than half of the first-years left the Academy response:	due to the excessively rigorous exam.
context: Advancement Exam\Polar Star Dormitory\I'm here today to tell you all\about the major event awaiting high-school\first-years at the end of the second semester\the advancement exam.\Last year, more than half of the first-years left the Academy\due to the excessively rigorous exam. response:	But from now on, that will change.
context: Polar Star Dormitory\I'm here today to tell you all\about the major event awaiting high-school\first-years at the end of the second semester\the advancement exam.\Last year, more than half of the first-years left the Academy\due to the excessively rigorous exam.\But from now on, that will change. response:	Director Azami has liberated you from unnecessary weeding.
context: I'm here today to tell you all\about the major event awaiting high-school\first-years at the end of the second semester\the advancement exam.\Last year, more than half of the first-years left the Academy\due to the excessively rigorous exam.\But from now on, that will change.\Director Azami has liberated you from unnecessary weeding. response:	You can easily pass most of the exam
context: about the major event awaiting high-school\first-years at the end of the second semester\the advancement exam.\Last year, more than half of the first-years left the Academy\due to the excessively rigorous exam.\But from now on, that will change.\Director Azami has liberated you from unnecessary weeding.\You can easily pass most of the exam response:	by demonstrating mastery of the techniques we have taught you in class.
context: first-years at the end of the second semester\the advancement exam.\Last year, more than half of the first-years left the Academy\due to the excessively rigorous exam.\But from now on, that will change.\Director Azami has liberated you from unnecessary weeding.\You can easily pass most of the exam\by demonstrating mastery of the techniques we have taught you in class. response:	You are no longer bound by the old, outdated system.
context: the advancement exam.\Last year, more than half of the first-years left the Academy\due to the excessively rigorous exam.\But from now on, that will change.\Director Azami has liberated you from unnecessary weeding.\You can easily pass most of the exam\by demonstrating mastery of the techniques we have taught you in class.\You are no longer bound by the old, outdated system. response:	If you side with Central, you can all become first-rate chefs!
context: Last year, more than half of the first-years left the Academy\due to the excessively rigorous exam.\But from now on, that will change.\Director Azami has liberated you from unnecessary weeding.\You can easily pass most of the exam\by demonstrating mastery of the techniques we have taught you in class.\You are no longer bound by the old, outdated system.\If you side with Central, you can all become first-rate chefs! response:	But the exams will also clearly demonstrate what happens to those of you
context: due to the excessively rigorous exam.\But from now on, that will change.\Director Azami has liberated you from unnecessary weeding.\You can easily pass most of the exam\by demonstrating mastery of the techniques we have taught you in class.\You are no longer bound by the old, outdated system.\If you side with Central, you can all become first-rate chefs!\But the exams will also clearly demonstrate what happens to those of you response:	who do not fall in line with Director Azami's vision.
context: But from now on, that will change.\Director Azami has liberated you from unnecessary weeding.\You can easily pass most of the exam\by demonstrating mastery of the techniques we have taught you in class.\You are no longer bound by the old, outdated system.\If you side with Central, you can all become first-rate chefs!\But the exams will also clearly demonstrate what happens to those of you\who do not fall in line with Director Azami's vision. response:	Um, well, that's it.
context: Director Azami has liberated you from unnecessary weeding.\You can easily pass most of the exam\by demonstrating mastery of the techniques we have taught you in class.\You are no longer bound by the old, outdated system.\If you side with Central, you can all become first-rate chefs!\But the exams will also clearly demonstrate what happens to those of you\who do not fall in line with Director Azami's vision.\Um, well, that's it. response:	Whew, I was so nervous.
context: You can easily pass most of the exam\by demonstrating mastery of the techniques we have taught you in class.\You are no longer bound by the old, outdated system.\If you side with Central, you can all become first-rate chefs!\But the exams will also clearly demonstrate what happens to those of you\who do not fall in line with Director Azami's vision.\Um, well, that's it.\Whew, I was so nervous. response:	Totsuki
context: by demonstrating mastery of the techniques we have taught you in class.\You are no longer bound by the old, outdated system.\If you side with Central, you can all become first-rate chefs!\But the exams will also clearly demonstrate what happens to those of you\who do not fall in line with Director Azami's vision.\Um, well, that's it.\Whew, I was so nervous.\Totsuki response:	Next time, you or Kinokuni should do it, Rindo.
context: You are no longer bound by the old, outdated system.\If you side with Central, you can all become first-rate chefs!\But the exams will also clearly demonstrate what happens to those of you\who do not fall in line with Director Azami's vision.\Um, well, that's it.\Whew, I was so nervous.\Totsuki\Next time, you or Kinokuni should do it, Rindo. response:	No way.
context: If you side with Central, you can all become first-rate chefs!\But the exams will also clearly demonstrate what happens to those of you\who do not fall in line with Director Azami's vision.\Um, well, that's it.\Whew, I was so nervous.\Totsuki\Next time, you or Kinokuni should do it, Rindo.\No way. response:	I refuse.
context: But the exams will also clearly demonstrate what happens to those of you\who do not fall in line with Director Azami's vision.\Um, well, that's it.\Whew, I was so nervous.\Totsuki\Next time, you or Kinokuni should do it, Rindo.\No way.\I refuse. response:	The advancement exam, huh.
context: who do not fall in line with Director Azami's vision.\Um, well, that's it.\Whew, I was so nervous.\Totsuki\Next time, you or Kinokuni should do it, Rindo.\No way.\I refuse.\The advancement exam, huh. response:	Having it at the end of second semester sounds super early,
context: Um, well, that's it.\Whew, I was so nervous.\Totsuki\Next time, you or Kinokuni should do it, Rindo.\No way.\I refuse.\The advancement exam, huh.\Having it at the end of second semester sounds super early, response:	but I guess we'll just have to put our backs to it
context: Whew, I was so nervous.\Totsuki\Next time, you or Kinokuni should do it, Rindo.\No way.\I refuse.\The advancement exam, huh.\Having it at the end of second semester sounds super early,\but I guess we'll just have to put our backs to it response:	if we want to be second-years, huh?
context: Totsuki\Next time, you or Kinokuni should do it, Rindo.\No way.\I refuse.\The advancement exam, huh.\Having it at the end of second semester sounds super early,\but I guess we'll just have to put our backs to it\if we want to be second-years, huh? response:	What, what?
context: Next time, you or Kinokuni should do it, Rindo.\No way.\I refuse.\The advancement exam, huh.\Having it at the end of second semester sounds super early,\but I guess we'll just have to put our backs to it\if we want to be second-years, huh?\What, what? response:	Why are y'all so glum?
context: No way.\I refuse.\The advancement exam, huh.\Having it at the end of second semester sounds super early,\but I guess we'll just have to put our backs to it\if we want to be second-years, huh?\What, what?\Why are y'all so glum? response:	Didn't you notice anything about what they said?!
context: I refuse.\The advancement exam, huh.\Having it at the end of second semester sounds super early,\but I guess we'll just have to put our backs to it\if we want to be second-years, huh?\What, what?\Why are y'all so glum?\Didn't you notice anything about what they said?! response:	Central basically declared us rebels as targets in the exam.
context: The advancement exam, huh.\Having it at the end of second semester sounds super early,\but I guess we'll just have to put our backs to it\if we want to be second-years, huh?\What, what?\Why are y'all so glum?\Didn't you notice anything about what they said?!\Central basically declared us rebels as targets in the exam. response:	That announcement was tantamount to a death sentence.
context: Having it at the end of second semester sounds super early,\but I guess we'll just have to put our backs to it\if we want to be second-years, huh?\What, what?\Why are y'all so glum?\Didn't you notice anything about what they said?!\Central basically declared us rebels as targets in the exam.\That announcement was tantamount to a death sentence. response:	It was a notice that anyone who does not obey Nakiri Azami will be expelled!
context: but I guess we'll just have to put our backs to it\if we want to be second-years, huh?\What, what?\Why are y'all so glum?\Didn't you notice anything about what they said?!\Central basically declared us rebels as targets in the exam.\That announcement was tantamount to a death sentence.\It was a notice that anyone who does not obey Nakiri Azami will be expelled! response:	Sorry, Mom.
context: if we want to be second-years, huh?\What, what?\Why are y'all so glum?\Didn't you notice anything about what they said?!\Central basically declared us rebels as targets in the exam.\That announcement was tantamount to a death sentence.\It was a notice that anyone who does not obey Nakiri Azami will be expelled!\Sorry, Mom. response:	Sorry, harbor folk...
context: What, what?\Why are y'all so glum?\Didn't you notice anything about what they said?!\Central basically declared us rebels as targets in the exam.\That announcement was tantamount to a death sentence.\It was a notice that anyone who does not obey Nakiri Azami will be expelled!\Sorry, Mom.\Sorry, harbor folk... response:	You all sent me out to Tokyo for nothing.
context: Why are y'all so glum?\Didn't you notice anything about what they said?!\Central basically declared us rebels as targets in the exam.\That announcement was tantamount to a death sentence.\It was a notice that anyone who does not obey Nakiri Azami will be expelled!\Sorry, Mom.\Sorry, harbor folk...\You all sent me out to Tokyo for nothing. response:	I need to write a letter to the folks back home.
context: Didn't you notice anything about what they said?!\Central basically declared us rebels as targets in the exam.\That announcement was tantamount to a death sentence.\It was a notice that anyone who does not obey Nakiri Azami will be expelled!\Sorry, Mom.\Sorry, harbor folk...\You all sent me out to Tokyo for nothing.\I need to write a letter to the folks back home. response:	I have such fond memories of the fun we had at the camp from hell.
context: Central basically declared us rebels as targets in the exam.\That announcement was tantamount to a death sentence.\It was a notice that anyone who does not obey Nakiri Azami will be expelled!\Sorry, Mom.\Sorry, harbor folk...\You all sent me out to Tokyo for nothing.\I need to write a letter to the folks back home.\I have such fond memories of the fun we had at the camp from hell. response:	The camp from hell...
context: That announcement was tantamount to a death sentence.\It was a notice that anyone who does not obey Nakiri Azami will be expelled!\Sorry, Mom.\Sorry, harbor folk...\You all sent me out to Tokyo for nothing.\I need to write a letter to the folks back home.\I have such fond memories of the fun we had at the camp from hell.\The camp from hell... response:	The Stagiaire we endured.
context: It was a notice that anyone who does not obey Nakiri Azami will be expelled!\Sorry, Mom.\Sorry, harbor folk...\You all sent me out to Tokyo for nothing.\I need to write a letter to the folks back home.\I have such fond memories of the fun we had at the camp from hell.\The camp from hell...\The Stagiaire we endured. response:	The Stagiaire...
context: Sorry, Mom.\Sorry, harbor folk...\You all sent me out to Tokyo for nothing.\I need to write a letter to the folks back home.\I have such fond memories of the fun we had at the camp from hell.\The camp from hell...\The Stagiaire we endured.\The Stagiaire... response:	What are you doing?
context: Sorry, harbor folk...\You all sent me out to Tokyo for nothing.\I need to write a letter to the folks back home.\I have such fond memories of the fun we had at the camp from hell.\The camp from hell...\The Stagiaire we endured.\The Stagiaire...\What are you doing? response:	The Moon Festival where we all came together.
context: You all sent me out to Tokyo for nothing.\I need to write a letter to the folks back home.\I have such fond memories of the fun we had at the camp from hell.\The camp from hell...\The Stagiaire we endured.\The Stagiaire...\What are you doing?\The Moon Festival where we all came together. response:	You don't have to get that depressed...
context: I need to write a letter to the folks back home.\I have such fond memories of the fun we had at the camp from hell.\The camp from hell...\The Stagiaire we endured.\The Stagiaire...\What are you doing?\The Moon Festival where we all came together.\You don't have to get that depressed... response:	The Moon Festival...
context: I have such fond memories of the fun we had at the camp from hell.\The camp from hell...\The Stagiaire we endured.\The Stagiaire...\What are you doing?\The Moon Festival where we all came together.\You don't have to get that depressed...\The Moon Festival... response:	Calm down, everyone.
context: The camp from hell...\The Stagiaire we endured.\The Stagiaire...\What are you doing?\The Moon Festival where we all came together.\You don't have to get that depressed...\The Moon Festival...\Calm down, everyone. response:	You should all write letters, too.
context: The Stagiaire we endured.\The Stagiaire...\What are you doing?\The Moon Festival where we all came together.\You don't have to get that depressed...\The Moon Festival...\Calm down, everyone.\You should all write letters, too. response:	The exams will also clearly demonstrate what happens to those of you
context: The Stagiaire...\What are you doing?\The Moon Festival where we all came together.\You don't have to get that depressed...\The Moon Festival...\Calm down, everyone.\You should all write letters, too.\The exams will also clearly demonstrate what happens to those of you response:	who do not fall in line with Director Azami's vision.
context: What are you doing?\The Moon Festival where we all came together.\You don't have to get that depressed...\The Moon Festival...\Calm down, everyone.\You should all write letters, too.\The exams will also clearly demonstrate what happens to those of you\who do not fall in line with Director Azami's vision. response:	Who is it?
context: The Moon Festival where we all came together.\You don't have to get that depressed...\The Moon Festival...\Calm down, everyone.\You should all write letters, too.\The exams will also clearly demonstrate what happens to those of you\who do not fall in line with Director Azami's vision.\Who is it? response:	Door's open.
context: You don't have to get that depressed...\The Moon Festival...\Calm down, everyone.\You should all write letters, too.\The exams will also clearly demonstrate what happens to those of you\who do not fall in line with Director Azami's vision.\Who is it?\Door's open. response:	Nakiri?
context: The Moon Festival...\Calm down, everyone.\You should all write letters, too.\The exams will also clearly demonstrate what happens to those of you\who do not fall in line with Director Azami's vision.\Who is it?\Door's open.\Nakiri? response:	What's up? You need something?
context: Calm down, everyone.\You should all write letters, too.\The exams will also clearly demonstrate what happens to those of you\who do not fall in line with Director Azami's vision.\Who is it?\Door's open.\Nakiri?\What's up? You need something? response:	U-Um...
