context: Misaki, you really like greasy food, don't you? response:	Well, I'm hungry.
context: Misaki, you really like greasy food, don't you?\Well, I'm hungry. response:	You don't get fat, either.
context: Misaki, you really like greasy food, don't you?\Well, I'm hungry.\You don't get fat, either. response:	That's because I move around every day.
context: Misaki, you really like greasy food, don't you?\Well, I'm hungry.\You don't get fat, either.\That's because I move around every day. response:	Kanami, what are you filling out?
context: Misaki, you really like greasy food, don't you?\Well, I'm hungry.\You don't get fat, either.\That's because I move around every day.\Kanami, what are you filling out? response:	Oh, the career survey.
context: Misaki, you really like greasy food, don't you?\Well, I'm hungry.\You don't get fat, either.\That's because I move around every day.\Kanami, what are you filling out?\Oh, the career survey. response:	What a hassle. We're still in our first year, you know.
context: Misaki, you really like greasy food, don't you?\Well, I'm hungry.\You don't get fat, either.\That's because I move around every day.\Kanami, what are you filling out?\Oh, the career survey.\What a hassle. We're still in our first year, you know. response:	It's not like we're thinking about our careers yet.
context: Misaki, you really like greasy food, don't you?\Well, I'm hungry.\You don't get fat, either.\That's because I move around every day.\Kanami, what are you filling out?\Oh, the career survey.\What a hassle. We're still in our first year, you know.\It's not like we're thinking about our careers yet. response:	What are you going to be?
context: Well, I'm hungry.\You don't get fat, either.\That's because I move around every day.\Kanami, what are you filling out?\Oh, the career survey.\What a hassle. We're still in our first year, you know.\It's not like we're thinking about our careers yet.\What are you going to be? response:	I don't know anything about my future so I might look into a college education,
context: You don't get fat, either.\That's because I move around every day.\Kanami, what are you filling out?\Oh, the career survey.\What a hassle. We're still in our first year, you know.\It's not like we're thinking about our careers yet.\What are you going to be?\I don't know anything about my future so I might look into a college education, response:	unlike someone who's already set her academic and vocational goals.
context: That's because I move around every day.\Kanami, what are you filling out?\Oh, the career survey.\What a hassle. We're still in our first year, you know.\It's not like we're thinking about our careers yet.\What are you going to be?\I don't know anything about my future so I might look into a college education,\unlike someone who's already set her academic and vocational goals. response:	Did you know she already decided to join the police right after she graduates from Tokyo University?
context: Kanami, what are you filling out?\Oh, the career survey.\What a hassle. We're still in our first year, you know.\It's not like we're thinking about our careers yet.\What are you going to be?\I don't know anything about my future so I might look into a college education,\unlike someone who's already set her academic and vocational goals.\Did you know she already decided to join the police right after she graduates from Tokyo University? response:	Police?
context: Oh, the career survey.\What a hassle. We're still in our first year, you know.\It's not like we're thinking about our careers yet.\What are you going to be?\I don't know anything about my future so I might look into a college education,\unlike someone who's already set her academic and vocational goals.\Did you know she already decided to join the police right after she graduates from Tokyo University?\Police? response:	Kanami!
context: What a hassle. We're still in our first year, you know.\It's not like we're thinking about our careers yet.\What are you going to be?\I don't know anything about my future so I might look into a college education,\unlike someone who's already set her academic and vocational goals.\Did you know she already decided to join the police right after she graduates from Tokyo University?\Police?\Kanami! response:	You really have a father complex.
context: It's not like we're thinking about our careers yet.\What are you going to be?\I don't know anything about my future so I might look into a college education,\unlike someone who's already set her academic and vocational goals.\Did you know she already decided to join the police right after she graduates from Tokyo University?\Police?\Kanami!\You really have a father complex. response:	That's not true.
context: What are you going to be?\I don't know anything about my future so I might look into a college education,\unlike someone who's already set her academic and vocational goals.\Did you know she already decided to join the police right after she graduates from Tokyo University?\Police?\Kanami!\You really have a father complex.\That's not true. response:	Is that so?
context: I don't know anything about my future so I might look into a college education,\unlike someone who's already set her academic and vocational goals.\Did you know she already decided to join the police right after she graduates from Tokyo University?\Police?\Kanami!\You really have a father complex.\That's not true.\Is that so? response:	My father might have suggested it, but I have my own reasons.
context: unlike someone who's already set her academic and vocational goals.\Did you know she already decided to join the police right after she graduates from Tokyo University?\Police?\Kanami!\You really have a father complex.\That's not true.\Is that so?\My father might have suggested it, but I have my own reasons. response:	Like what?
context: Did you know she already decided to join the police right after she graduates from Tokyo University?\Police?\Kanami!\You really have a father complex.\That's not true.\Is that so?\My father might have suggested it, but I have my own reasons.\Like what? response:	There are a lot of people in this world who seek to gain at the expense of other people's misery.
context: Police?\Kanami!\You really have a father complex.\That's not true.\Is that so?\My father might have suggested it, but I have my own reasons.\Like what?\There are a lot of people in this world who seek to gain at the expense of other people's misery. response:	That's something I can't tolerate.
context: Kanami!\You really have a father complex.\That's not true.\Is that so?\My father might have suggested it, but I have my own reasons.\Like what?\There are a lot of people in this world who seek to gain at the expense of other people's misery.\That's something I can't tolerate. response:	So you want to defend the weak, huh?
context: You really have a father complex.\That's not true.\Is that so?\My father might have suggested it, but I have my own reasons.\Like what?\There are a lot of people in this world who seek to gain at the expense of other people's misery.\That's something I can't tolerate.\So you want to defend the weak, huh? response:	You're still the same old goody two-shoes, Misaki.
context: That's not true.\Is that so?\My father might have suggested it, but I have my own reasons.\Like what?\There are a lot of people in this world who seek to gain at the expense of other people's misery.\That's something I can't tolerate.\So you want to defend the weak, huh?\You're still the same old goody two-shoes, Misaki. response:	Hey, is that any way to treat me for telling you about it?
context: Is that so?\My father might have suggested it, but I have my own reasons.\Like what?\There are a lot of people in this world who seek to gain at the expense of other people's misery.\That's something I can't tolerate.\So you want to defend the weak, huh?\You're still the same old goody two-shoes, Misaki.\Hey, is that any way to treat me for telling you about it? response:	That's mine!
context: My father might have suggested it, but I have my own reasons.\Like what?\There are a lot of people in this world who seek to gain at the expense of other people's misery.\That's something I can't tolerate.\So you want to defend the weak, huh?\You're still the same old goody two-shoes, Misaki.\Hey, is that any way to treat me for telling you about it?\That's mine! response:	Hey, give it back!
context: Like what?\There are a lot of people in this world who seek to gain at the expense of other people's misery.\That's something I can't tolerate.\So you want to defend the weak, huh?\You're still the same old goody two-shoes, Misaki.\Hey, is that any way to treat me for telling you about it?\That's mine!\Hey, give it back! response:	Too late now!
context: There are a lot of people in this world who seek to gain at the expense of other people's misery.\That's something I can't tolerate.\So you want to defend the weak, huh?\You're still the same old goody two-shoes, Misaki.\Hey, is that any way to treat me for telling you about it?\That's mine!\Hey, give it back!\Too late now! response:	You eat too much!
context: That's something I can't tolerate.\So you want to defend the weak, huh?\You're still the same old goody two-shoes, Misaki.\Hey, is that any way to treat me for telling you about it?\That's mine!\Hey, give it back!\Too late now!\You eat too much! response:	Delicious! Give me another one!
context: So you want to defend the weak, huh?\You're still the same old goody two-shoes, Misaki.\Hey, is that any way to treat me for telling you about it?\That's mine!\Hey, give it back!\Too late now!\You eat too much!\Delicious! Give me another one! response:	No!
context: You're still the same old goody two-shoes, Misaki.\Hey, is that any way to treat me for telling you about it?\That's mine!\Hey, give it back!\Too late now!\You eat too much!\Delicious! Give me another one!\No! response:	Why not?
context: Hey, is that any way to treat me for telling you about it?\That's mine!\Hey, give it back!\Too late now!\You eat too much!\Delicious! Give me another one!\No!\Why not? response:	Today is such a wonderful day.
context: That's mine!\Hey, give it back!\Too late now!\You eat too much!\Delicious! Give me another one!\No!\Why not?\Today is such a wonderful day. response:	Don't you think so, Misaki?
context: Hey, give it back!\Too late now!\You eat too much!\Delicious! Give me another one!\No!\Why not?\Today is such a wonderful day.\Don't you think so, Misaki? response:	Don't hide. Come out and celebrate with me.
context: Too late now!\You eat too much!\Delicious! Give me another one!\No!\Why not?\Today is such a wonderful day.\Don't you think so, Misaki?\Don't hide. Come out and celebrate with me. response:	What are you doing in a place like this?
context: You eat too much!\Delicious! Give me another one!\No!\Why not?\Today is such a wonderful day.\Don't you think so, Misaki?\Don't hide. Come out and celebrate with me.\What are you doing in a place like this? response:	Well, I was told to bring drinks to the owner,
context: Delicious! Give me another one!\No!\Why not?\Today is such a wonderful day.\Don't you think so, Misaki?\Don't hide. Come out and celebrate with me.\What are you doing in a place like this?\Well, I was told to bring drinks to the owner, response:	but when I arrived...
context: No!\Why not?\Today is such a wonderful day.\Don't you think so, Misaki?\Don't hide. Come out and celebrate with me.\What are you doing in a place like this?\Well, I was told to bring drinks to the owner,\but when I arrived... response:	At this rate, we'll be killed as well.
context: Why not?\Today is such a wonderful day.\Don't you think so, Misaki?\Don't hide. Come out and celebrate with me.\What are you doing in a place like this?\Well, I was told to bring drinks to the owner,\but when I arrived...\At this rate, we'll be killed as well. response:	Try to do something.
context: Today is such a wonderful day.\Don't you think so, Misaki?\Don't hide. Come out and celebrate with me.\What are you doing in a place like this?\Well, I was told to bring drinks to the owner,\but when I arrived...\At this rate, we'll be killed as well.\Try to do something. response:	Easier said than done.
context: Don't you think so, Misaki?\Don't hide. Come out and celebrate with me.\What are you doing in a place like this?\Well, I was told to bring drinks to the owner,\but when I arrived...\At this rate, we'll be killed as well.\Try to do something.\Easier said than done. response:	Even after I started using the bees, there was one thing that wouldn't disappear from this world.
context: Don't hide. Come out and celebrate with me.\What are you doing in a place like this?\Well, I was told to bring drinks to the owner,\but when I arrived...\At this rate, we'll be killed as well.\Try to do something.\Easier said than done.\Even after I started using the bees, there was one thing that wouldn't disappear from this world. response:	That will come to an end tonight, though.
context: What are you doing in a place like this?\Well, I was told to bring drinks to the owner,\but when I arrived...\At this rate, we'll be killed as well.\Try to do something.\Easier said than done.\Even after I started using the bees, there was one thing that wouldn't disappear from this world.\That will come to an end tonight, though. response:	Everything that held me down...
context: Well, I was told to bring drinks to the owner,\but when I arrived...\At this rate, we'll be killed as well.\Try to do something.\Easier said than done.\Even after I started using the bees, there was one thing that wouldn't disappear from this world.\That will come to an end tonight, though.\Everything that held me down... response:	My father,
context: but when I arrived...\At this rate, we'll be killed as well.\Try to do something.\Easier said than done.\Even after I started using the bees, there was one thing that wouldn't disappear from this world.\That will come to an end tonight, though.\Everything that held me down...\My father, response:	Chen Long Tang...
context: At this rate, we'll be killed as well.\Try to do something.\Easier said than done.\Even after I started using the bees, there was one thing that wouldn't disappear from this world.\That will come to an end tonight, though.\Everything that held me down...\My father,\Chen Long Tang... response:	Everything...
context: Try to do something.\Easier said than done.\Even after I started using the bees, there was one thing that wouldn't disappear from this world.\That will come to an end tonight, though.\Everything that held me down...\My father,\Chen Long Tang...\Everything... response:	Wei...
context: Easier said than done.\Even after I started using the bees, there was one thing that wouldn't disappear from this world.\That will come to an end tonight, though.\Everything that held me down...\My father,\Chen Long Tang...\Everything...\Wei... response:	You bastard...
context: Even after I started using the bees, there was one thing that wouldn't disappear from this world.\That will come to an end tonight, though.\Everything that held me down...\My father,\Chen Long Tang...\Everything...\Wei...\You bastard... response:	Wei has been assisting me.
context: That will come to an end tonight, though.\Everything that held me down...\My father,\Chen Long Tang...\Everything...\Wei...\You bastard...\Wei has been assisting me. response:	He's a confidant of mine.
context: Everything that held me down...\My father,\Chen Long Tang...\Everything...\Wei...\You bastard...\Wei has been assisting me.\He's a confidant of mine. response:	Besides, today is a good day.
context: My father,\Chen Long Tang...\Everything...\Wei...\You bastard...\Wei has been assisting me.\He's a confidant of mine.\Besides, today is a good day. response:	It must have been fate for us to have been reunited today.
context: Chen Long Tang...\Everything...\Wei...\You bastard...\Wei has been assisting me.\He's a confidant of mine.\Besides, today is a good day.\It must have been fate for us to have been reunited today. response:	When I give you the signal, run.
context: Everything...\Wei...\You bastard...\Wei has been assisting me.\He's a confidant of mine.\Besides, today is a good day.\It must have been fate for us to have been reunited today.\When I give you the signal, run. response:	Misaki, that's why you should die for my sake and set me free.
context: Wei...\You bastard...\Wei has been assisting me.\He's a confidant of mine.\Besides, today is a good day.\It must have been fate for us to have been reunited today.\When I give you the signal, run.\Misaki, that's why you should die for my sake and set me free. response:	I'm talking to you, Misaki.
context: You bastard...\Wei has been assisting me.\He's a confidant of mine.\Besides, today is a good day.\It must have been fate for us to have been reunited today.\When I give you the signal, run.\Misaki, that's why you should die for my sake and set me free.\I'm talking to you, Misaki. response:	Now!
context: Wei has been assisting me.\He's a confidant of mine.\Besides, today is a good day.\It must have been fate for us to have been reunited today.\When I give you the signal, run.\Misaki, that's why you should die for my sake and set me free.\I'm talking to you, Misaki.\Now! response:	I won't let you escape, Misaki.
context: He's a confidant of mine.\Besides, today is a good day.\It must have been fate for us to have been reunited today.\When I give you the signal, run.\Misaki, that's why you should die for my sake and set me free.\I'm talking to you, Misaki.\Now!\I won't let you escape, Misaki. response:	Who are you exactly?
context: Besides, today is a good day.\It must have been fate for us to have been reunited today.\When I give you the signal, run.\Misaki, that's why you should die for my sake and set me free.\I'm talking to you, Misaki.\Now!\I won't let you escape, Misaki.\Who are you exactly? response:	I'm from the police.
context: It must have been fate for us to have been reunited today.\When I give you the signal, run.\Misaki, that's why you should die for my sake and set me free.\I'm talking to you, Misaki.\Now!\I won't let you escape, Misaki.\Who are you exactly?\I'm from the police. response:	Aren't you a friend of the debutante?
context: When I give you the signal, run.\Misaki, that's why you should die for my sake and set me free.\I'm talking to you, Misaki.\Now!\I won't let you escape, Misaki.\Who are you exactly?\I'm from the police.\Aren't you a friend of the debutante? response:	What are we going to do now?
context: Misaki, that's why you should die for my sake and set me free.\I'm talking to you, Misaki.\Now!\I won't let you escape, Misaki.\Who are you exactly?\I'm from the police.\Aren't you a friend of the debutante?\What are we going to do now? response:	I'd like to get out of the building, for one.
context: I'm talking to you, Misaki.\Now!\I won't let you escape, Misaki.\Who are you exactly?\I'm from the police.\Aren't you a friend of the debutante?\What are we going to do now?\I'd like to get out of the building, for one. response:	Closed for periodic inspection
context: Now!\I won't let you escape, Misaki.\Who are you exactly?\I'm from the police.\Aren't you a friend of the debutante?\What are we going to do now?\I'd like to get out of the building, for one.\Closed for periodic inspection response:	We are very sorry.
context: I won't let you escape, Misaki.\Who are you exactly?\I'm from the police.\Aren't you a friend of the debutante?\What are we going to do now?\I'd like to get out of the building, for one.\Closed for periodic inspection\We are very sorry. response:	We are currently in the process of identifying the problem. Please be patient.
context: Who are you exactly?\I'm from the police.\Aren't you a friend of the debutante?\What are we going to do now?\I'd like to get out of the building, for one.\Closed for periodic inspection\We are very sorry.\We are currently in the process of identifying the problem. Please be patient. response:	They're not allowing anyone to go downstairs.
context: I'm from the police.\Aren't you a friend of the debutante?\What are we going to do now?\I'd like to get out of the building, for one.\Closed for periodic inspection\We are very sorry.\We are currently in the process of identifying the problem. Please be patient.\They're not allowing anyone to go downstairs. response:	How about the emergency stairwell?
context: Aren't you a friend of the debutante?\What are we going to do now?\I'd like to get out of the building, for one.\Closed for periodic inspection\We are very sorry.\We are currently in the process of identifying the problem. Please be patient.\They're not allowing anyone to go downstairs.\How about the emergency stairwell? response:	That's definitely been closed off.
context: What are we going to do now?\I'd like to get out of the building, for one.\Closed for periodic inspection\We are very sorry.\We are currently in the process of identifying the problem. Please be patient.\They're not allowing anyone to go downstairs.\How about the emergency stairwell?\That's definitely been closed off. response:	You cannot allow anyone to leave.
context: I'd like to get out of the building, for one.\Closed for periodic inspection\We are very sorry.\We are currently in the process of identifying the problem. Please be patient.\They're not allowing anyone to go downstairs.\How about the emergency stairwell?\That's definitely been closed off.\You cannot allow anyone to leave. response:	Is that clear?
context: Closed for periodic inspection\We are very sorry.\We are currently in the process of identifying the problem. Please be patient.\They're not allowing anyone to go downstairs.\How about the emergency stairwell?\That's definitely been closed off.\You cannot allow anyone to leave.\Is that clear? response:	Yes?
context: We are very sorry.\We are currently in the process of identifying the problem. Please be patient.\They're not allowing anyone to go downstairs.\How about the emergency stairwell?\That's definitely been closed off.\You cannot allow anyone to leave.\Is that clear?\Yes? response:	Yes, I understand.
context: We are currently in the process of identifying the problem. Please be patient.\They're not allowing anyone to go downstairs.\How about the emergency stairwell?\That's definitely been closed off.\You cannot allow anyone to leave.\Is that clear?\Yes?\Yes, I understand. response:	The board meeting is over.
context: They're not allowing anyone to go downstairs.\How about the emergency stairwell?\That's definitely been closed off.\You cannot allow anyone to leave.\Is that clear?\Yes?\Yes, I understand.\The board meeting is over. response:	Clean up the room.
context: How about the emergency stairwell?\That's definitely been closed off.\You cannot allow anyone to leave.\Is that clear?\Yes?\Yes, I understand.\The board meeting is over.\Clean up the room. response:	Sir.
context: That's definitely been closed off.\You cannot allow anyone to leave.\Is that clear?\Yes?\Yes, I understand.\The board meeting is over.\Clean up the room.\Sir. response:	Um... What are we going to do now?
context: You cannot allow anyone to leave.\Is that clear?\Yes?\Yes, I understand.\The board meeting is over.\Clean up the room.\Sir.\Um... What are we going to do now? response:	I'm thinking about that right now!
context: Is that clear?\Yes?\Yes, I understand.\The board meeting is over.\Clean up the room.\Sir.\Um... What are we going to do now?\I'm thinking about that right now! response:	Okay...
context: Yes?\Yes, I understand.\The board meeting is over.\Clean up the room.\Sir.\Um... What are we going to do now?\I'm thinking about that right now!\Okay... response:	Do you have a cell phone?
context: Yes, I understand.\The board meeting is over.\Clean up the room.\Sir.\Um... What are we going to do now?\I'm thinking about that right now!\Okay...\Do you have a cell phone? response:	No, carrying one around during work is against the rules.
context: The board meeting is over.\Clean up the room.\Sir.\Um... What are we going to do now?\I'm thinking about that right now!\Okay...\Do you have a cell phone?\No, carrying one around during work is against the rules. response:	I'm sorry.
context: Clean up the room.\Sir.\Um... What are we going to do now?\I'm thinking about that right now!\Okay...\Do you have a cell phone?\No, carrying one around during work is against the rules.\I'm sorry. response:	It's a blackout,
context: Sir.\Um... What are we going to do now?\I'm thinking about that right now!\Okay...\Do you have a cell phone?\No, carrying one around during work is against the rules.\I'm sorry.\It's a blackout, response:	but there's no need to worry.
context: Um... What are we going to do now?\I'm thinking about that right now!\Okay...\Do you have a cell phone?\No, carrying one around during work is against the rules.\I'm sorry.\It's a blackout,\but there's no need to worry. response:	This hotel is equipped with a proprietary power generator.
context: I'm thinking about that right now!\Okay...\Do you have a cell phone?\No, carrying one around during work is against the rules.\I'm sorry.\It's a blackout,\but there's no need to worry.\This hotel is equipped with a proprietary power generator. response:	See?
context: Okay...\Do you have a cell phone?\No, carrying one around during work is against the rules.\I'm sorry.\It's a blackout,\but there's no need to worry.\This hotel is equipped with a proprietary power generator.\See? response:	Did they cut the power from the lines to prevent observer apparitions from entering?
