context: I'm Aono Tsukune, 15 years old. response:	From this summer on,
context: I'm Aono Tsukune, 15 years old.\From this summer on, response:	I'll be a sparkling high school student...supposedly...
context: I'm Aono Tsukune, 15 years old.\From this summer on,\I'll be a sparkling high school student...supposedly... response:	Damn it, it's an all boys school for the next three years.
context: I'm Aono Tsukune, 15 years old.\From this summer on,\I'll be a sparkling high school student...supposedly...\Damn it, it's an all boys school for the next three years. response:	I really envy mixed schools.
context: I'm Aono Tsukune, 15 years old.\From this summer on,\I'll be a sparkling high school student...supposedly...\Damn it, it's an all boys school for the next three years.\I really envy mixed schools. response:	What are you saying?
context: I'm Aono Tsukune, 15 years old.\From this summer on,\I'll be a sparkling high school student...supposedly...\Damn it, it's an all boys school for the next three years.\I really envy mixed schools.\What are you saying? response:	It only takes an hour to get to school.
context: I'm Aono Tsukune, 15 years old.\From this summer on,\I'll be a sparkling high school student...supposedly...\Damn it, it's an all boys school for the next three years.\I really envy mixed schools.\What are you saying?\It only takes an hour to get to school. response:	Isn't that alright?
context: I'm Aono Tsukune, 15 years old.\From this summer on,\I'll be a sparkling high school student...supposedly...\Damn it, it's an all boys school for the next three years.\I really envy mixed schools.\What are you saying?\It only takes an hour to get to school.\Isn't that alright? response:	There's lots of cute girls over there.
context: From this summer on,\I'll be a sparkling high school student...supposedly...\Damn it, it's an all boys school for the next three years.\I really envy mixed schools.\What are you saying?\It only takes an hour to get to school.\Isn't that alright?\There's lots of cute girls over there. response:	Right, Tsukune?
context: I'll be a sparkling high school student...supposedly...\Damn it, it's an all boys school for the next three years.\I really envy mixed schools.\What are you saying?\It only takes an hour to get to school.\Isn't that alright?\There's lots of cute girls over there.\Right, Tsukune? response:	Oh, is that so?
context: Damn it, it's an all boys school for the next three years.\I really envy mixed schools.\What are you saying?\It only takes an hour to get to school.\Isn't that alright?\There's lots of cute girls over there.\Right, Tsukune?\Oh, is that so? response:	Hey!
context: I really envy mixed schools.\What are you saying?\It only takes an hour to get to school.\Isn't that alright?\There's lots of cute girls over there.\Right, Tsukune?\Oh, is that so?\Hey! response:	Well... you don't need to get so depressed over not being able to make the grade.
context: What are you saying?\It only takes an hour to get to school.\Isn't that alright?\There's lots of cute girls over there.\Right, Tsukune?\Oh, is that so?\Hey!\Well... you don't need to get so depressed over not being able to make the grade. response:	You will be able to make it by next year!
context: It only takes an hour to get to school.\Isn't that alright?\There's lots of cute girls over there.\Right, Tsukune?\Oh, is that so?\Hey!\Well... you don't need to get so depressed over not being able to make the grade.\You will be able to make it by next year! response:	Well, see you later!
context: Isn't that alright?\There's lots of cute girls over there.\Right, Tsukune?\Oh, is that so?\Hey!\Well... you don't need to get so depressed over not being able to make the grade.\You will be able to make it by next year!\Well, see you later! response:	Let's go to an arcade before we head home.
context: There's lots of cute girls over there.\Right, Tsukune?\Oh, is that so?\Hey!\Well... you don't need to get so depressed over not being able to make the grade.\You will be able to make it by next year!\Well, see you later!\Let's go to an arcade before we head home. response:	Alright then.
context: Right, Tsukune?\Oh, is that so?\Hey!\Well... you don't need to get so depressed over not being able to make the grade.\You will be able to make it by next year!\Well, see you later!\Let's go to an arcade before we head home.\Alright then. response:	It's about that new game, right?
context: Oh, is that so?\Hey!\Well... you don't need to get so depressed over not being able to make the grade.\You will be able to make it by next year!\Well, see you later!\Let's go to an arcade before we head home.\Alright then.\It's about that new game, right? response:	Tsukune! Tsukune!
context: Hey!\Well... you don't need to get so depressed over not being able to make the grade.\You will be able to make it by next year!\Well, see you later!\Let's go to an arcade before we head home.\Alright then.\It's about that new game, right?\Tsukune! Tsukune! response:	What is it, mom?
context: Well... you don't need to get so depressed over not being able to make the grade.\You will be able to make it by next year!\Well, see you later!\Let's go to an arcade before we head home.\Alright then.\It's about that new game, right?\Tsukune! Tsukune!\What is it, mom? response:	Isn't this great, Tsukune?
context: You will be able to make it by next year!\Well, see you later!\Let's go to an arcade before we head home.\Alright then.\It's about that new game, right?\Tsukune! Tsukune!\What is it, mom?\Isn't this great, Tsukune? response:	I happened to meet a priest today.
context: Well, see you later!\Let's go to an arcade before we head home.\Alright then.\It's about that new game, right?\Tsukune! Tsukune!\What is it, mom?\Isn't this great, Tsukune?\I happened to meet a priest today. response:	What a good person he is.
context: Let's go to an arcade before we head home.\Alright then.\It's about that new game, right?\Tsukune! Tsukune!\What is it, mom?\Isn't this great, Tsukune?\I happened to meet a priest today.\What a good person he is. response:	My...! Papa is the best!
context: Alright then.\It's about that new game, right?\Tsukune! Tsukune!\What is it, mom?\Isn't this great, Tsukune?\I happened to meet a priest today.\What a good person he is.\My...! Papa is the best! response:	With this, Tsukune will become a high school student this summer!
context: It's about that new game, right?\Tsukune! Tsukune!\What is it, mom?\Isn't this great, Tsukune?\I happened to meet a priest today.\What a good person he is.\My...! Papa is the best!\With this, Tsukune will become a high school student this summer! response:	But wasn't this dropped by someone?
context: Tsukune! Tsukune!\What is it, mom?\Isn't this great, Tsukune?\I happened to meet a priest today.\What a good person he is.\My...! Papa is the best!\With this, Tsukune will become a high school student this summer!\But wasn't this dropped by someone? response:	That's such a relief.
context: What is it, mom?\Isn't this great, Tsukune?\I happened to meet a priest today.\What a good person he is.\My...! Papa is the best!\With this, Tsukune will become a high school student this summer!\But wasn't this dropped by someone?\That's such a relief. response:	You won't have to repeat this year again then.
context: Isn't this great, Tsukune?\I happened to meet a priest today.\What a good person he is.\My...! Papa is the best!\With this, Tsukune will become a high school student this summer!\But wasn't this dropped by someone?\That's such a relief.\You won't have to repeat this year again then. response:	Mister.
context: I happened to meet a priest today.\What a good person he is.\My...! Papa is the best!\With this, Tsukune will become a high school student this summer!\But wasn't this dropped by someone?\That's such a relief.\You won't have to repeat this year again then.\Mister. response:	Are you a freshman at Youkai Academy?
context: What a good person he is.\My...! Papa is the best!\With this, Tsukune will become a high school student this summer!\But wasn't this dropped by someone?\That's such a relief.\You won't have to repeat this year again then.\Mister.\Are you a freshman at Youkai Academy? response:	Yeah...
context: My...! Papa is the best!\With this, Tsukune will become a high school student this summer!\But wasn't this dropped by someone?\That's such a relief.\You won't have to repeat this year again then.\Mister.\Are you a freshman at Youkai Academy?\Yeah... response:	Then you should be mentally prepared.
context: With this, Tsukune will become a high school student this summer!\But wasn't this dropped by someone?\That's such a relief.\You won't have to repeat this year again then.\Mister.\Are you a freshman at Youkai Academy?\Yeah...\Then you should be mentally prepared. response:	It's a terrifying school.
context: But wasn't this dropped by someone?\That's such a relief.\You won't have to repeat this year again then.\Mister.\Are you a freshman at Youkai Academy?\Yeah...\Then you should be mentally prepared.\It's a terrifying school. response:	Huh? You mean...
context: That's such a relief.\You won't have to repeat this year again then.\Mister.\Are you a freshman at Youkai Academy?\Yeah...\Then you should be mentally prepared.\It's a terrifying school.\Huh? You mean... response:	Hello, Kyou-chan?
context: You won't have to repeat this year again then.\Mister.\Are you a freshman at Youkai Academy?\Yeah...\Then you should be mentally prepared.\It's a terrifying school.\Huh? You mean...\Hello, Kyou-chan? response:	Oh, Tsukki?
context: Mister.\Are you a freshman at Youkai Academy?\Yeah...\Then you should be mentally prepared.\It's a terrifying school.\Huh? You mean...\Hello, Kyou-chan?\Oh, Tsukki? response:	I heard from Auntie,
context: Are you a freshman at Youkai Academy?\Yeah...\Then you should be mentally prepared.\It's a terrifying school.\Huh? You mean...\Hello, Kyou-chan?\Oh, Tsukki?\I heard from Auntie, response:	but are you going to Youkai Academy?
context: Yeah...\Then you should be mentally prepared.\It's a terrifying school.\Huh? You mean...\Hello, Kyou-chan?\Oh, Tsukki?\I heard from Auntie,\but are you going to Youkai Academy? response:	Yeah...
