context: Laxus... response:	Laxus has come for us!
context: Laxus...\Laxus has come for us! response:	That person is the Master's grandson?
context: Laxus...\Laxus has come for us!\That person is the Master's grandson? response:	Brat.
context: Laxus...\Laxus has come for us!\That person is the Master's grandson?\Brat. response:	Related to Makarov, are we?
context: Laxus...\Laxus has come for us!\That person is the Master's grandson?\Brat.\Related to Makarov, are we? response:	Pitiful...
context: Laxus...\Laxus has come for us!\That person is the Master's grandson?\Brat.\Related to Makarov, are we?\Pitiful... response:	Looks like this guy totally wiped the floor with all of ya.
context: Laxus...\Laxus has come for us!\That person is the Master's grandson?\Brat.\Related to Makarov, are we?\Pitiful...\Looks like this guy totally wiped the floor with all of ya. response:	No kidding.
context: Laxus...\Laxus has come for us!\That person is the Master's grandson?\Brat.\Related to Makarov, are we?\Pitiful...\Looks like this guy totally wiped the floor with all of ya.\No kidding. response:	Why are you here?
context: Laxus has come for us!\That person is the Master's grandson?\Brat.\Related to Makarov, are we?\Pitiful...\Looks like this guy totally wiped the floor with all of ya.\No kidding.\Why are you here? response:	Came to visit the founder's grave.
context: That person is the Master's grandson?\Brat.\Related to Makarov, are we?\Pitiful...\Looks like this guy totally wiped the floor with all of ya.\No kidding.\Why are you here?\Came to visit the founder's grave. response:	I used to be in Fairy Tail, if you remember.
context: Brat.\Related to Makarov, are we?\Pitiful...\Looks like this guy totally wiped the floor with all of ya.\No kidding.\Why are you here?\Came to visit the founder's grave.\I used to be in Fairy Tail, if you remember. response:	I came here to visit Mavis's grave.
context: Related to Makarov, are we?\Pitiful...\Looks like this guy totally wiped the floor with all of ya.\No kidding.\Why are you here?\Came to visit the founder's grave.\I used to be in Fairy Tail, if you remember.\I came here to visit Mavis's grave. response:	And looky what I found... The 2nd master's here, too.
context: Pitiful...\Looks like this guy totally wiped the floor with all of ya.\No kidding.\Why are you here?\Came to visit the founder's grave.\I used to be in Fairy Tail, if you remember.\I came here to visit Mavis's grave.\And looky what I found... The 2nd master's here, too. response:	Since you're here and all, maybe I'll make you a grave, too!
context: Looks like this guy totally wiped the floor with all of ya.\No kidding.\Why are you here?\Came to visit the founder's grave.\I used to be in Fairy Tail, if you remember.\I came here to visit Mavis's grave.\And looky what I found... The 2nd master's here, too.\Since you're here and all, maybe I'll make you a grave, too! response:	The Man Without the Mark!
context: No kidding.\Why are you here?\Came to visit the founder's grave.\I used to be in Fairy Tail, if you remember.\I came here to visit Mavis's grave.\And looky what I found... The 2nd master's here, too.\Since you're here and all, maybe I'll make you a grave, too!\The Man Without the Mark! response:	Hmph. Honestly, now.
context: Why are you here?\Came to visit the founder's grave.\I used to be in Fairy Tail, if you remember.\I came here to visit Mavis's grave.\And looky what I found... The 2nd master's here, too.\Since you're here and all, maybe I'll make you a grave, too!\The Man Without the Mark!\Hmph. Honestly, now. response:	Never thought the boy would have such a stuck-up grandkid.
context: Came to visit the founder's grave.\I used to be in Fairy Tail, if you remember.\I came here to visit Mavis's grave.\And looky what I found... The 2nd master's here, too.\Since you're here and all, maybe I'll make you a grave, too!\The Man Without the Mark!\Hmph. Honestly, now.\Never thought the boy would have such a stuck-up grandkid. response:	You move fairly well.
context: I used to be in Fairy Tail, if you remember.\I came here to visit Mavis's grave.\And looky what I found... The 2nd master's here, too.\Since you're here and all, maybe I'll make you a grave, too!\The Man Without the Mark!\Hmph. Honestly, now.\Never thought the boy would have such a stuck-up grandkid.\You move fairly well. response:	And that magic power, too.
context: I came here to visit Mavis's grave.\And looky what I found... The 2nd master's here, too.\Since you're here and all, maybe I'll make you a grave, too!\The Man Without the Mark!\Hmph. Honestly, now.\Never thought the boy would have such a stuck-up grandkid.\You move fairly well.\And that magic power, too. response:	To think the boy had someone other than Gildarts at this level.
context: And looky what I found... The 2nd master's here, too.\Since you're here and all, maybe I'll make you a grave, too!\The Man Without the Mark!\Hmph. Honestly, now.\Never thought the boy would have such a stuck-up grandkid.\You move fairly well.\And that magic power, too.\To think the boy had someone other than Gildarts at this level. response:	It don't matter how strong the guy is.
context: Since you're here and all, maybe I'll make you a grave, too!\The Man Without the Mark!\Hmph. Honestly, now.\Never thought the boy would have such a stuck-up grandkid.\You move fairly well.\And that magic power, too.\To think the boy had someone other than Gildarts at this level.\It don't matter how strong the guy is. response:	What's more important is standing up to him.
context: The Man Without the Mark!\Hmph. Honestly, now.\Never thought the boy would have such a stuck-up grandkid.\You move fairly well.\And that magic power, too.\To think the boy had someone other than Gildarts at this level.\It don't matter how strong the guy is.\What's more important is standing up to him. response:	Ain't that right, Natsu?
