context: dou ka please can you keep my se cret? response:	mu ga mu chuu da that's all right
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right response:	Please, please can you keep my secret?
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right\Please, please can you keep my secret? response:	The mirror, shining so brilliantly.
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right\Please, please can you keep my secret?\The mirror, shining so brilliantly. response:	I wonder how do I look in it.
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right\Please, please can you keep my secret?\The mirror, shining so brilliantly.\I wonder how do I look in it. response:	The future, beckoning me forward.
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right\Please, please can you keep my secret?\The mirror, shining so brilliantly.\I wonder how do I look in it.\The future, beckoning me forward. response:	What will happen from now, I wonder?
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right\Please, please can you keep my secret?\The mirror, shining so brilliantly.\I wonder how do I look in it.\The future, beckoning me forward.\What will happen from now, I wonder? response:	Because what we see is not everything.
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right\Please, please can you keep my secret?\The mirror, shining so brilliantly.\I wonder how do I look in it.\The future, beckoning me forward.\What will happen from now, I wonder?\Because what we see is not everything. response:	I'm losing myself but that's all right.
context: mu ga mu chuu da that's all right\Please, please can you keep my secret?\The mirror, shining so brilliantly.\I wonder how do I look in it.\The future, beckoning me forward.\What will happen from now, I wonder?\Because what we see is not everything.\I'm losing myself but that's all right. response:	I will now try not to waver.
context: Please, please can you keep my secret?\The mirror, shining so brilliantly.\I wonder how do I look in it.\The future, beckoning me forward.\What will happen from now, I wonder?\Because what we see is not everything.\I'm losing myself but that's all right.\I will now try not to waver. response:	I want to be true to my heart.
context: The mirror, shining so brilliantly.\I wonder how do I look in it.\The future, beckoning me forward.\What will happen from now, I wonder?\Because what we see is not everything.\I'm losing myself but that's all right.\I will now try not to waver.\I want to be true to my heart. response:	But even I have a secret or two.
context: I wonder how do I look in it.\The future, beckoning me forward.\What will happen from now, I wonder?\Because what we see is not everything.\I'm losing myself but that's all right.\I will now try not to waver.\I want to be true to my heart.\But even I have a secret or two. response:	That I want to keep to myself.
context: The future, beckoning me forward.\What will happen from now, I wonder?\Because what we see is not everything.\I'm losing myself but that's all right.\I will now try not to waver.\I want to be true to my heart.\But even I have a secret or two.\That I want to keep to myself. response:	That's why my secret makes my heart aches slightly.
context: What will happen from now, I wonder?\Because what we see is not everything.\I'm losing myself but that's all right.\I will now try not to waver.\I want to be true to my heart.\But even I have a secret or two.\That I want to keep to myself.\That's why my secret makes my heart aches slightly. response:	We'll surely meet again
context: Because what we see is not everything.\I'm losing myself but that's all right.\I will now try not to waver.\I want to be true to my heart.\But even I have a secret or two.\That I want to keep to myself.\That's why my secret makes my heart aches slightly.\We'll surely meet again response:	Everything that's reflected by your eyes,
context: I'm losing myself but that's all right.\I will now try not to waver.\I want to be true to my heart.\But even I have a secret or two.\That I want to keep to myself.\That's why my secret makes my heart aches slightly.\We'll surely meet again\Everything that's reflected by your eyes, response:	is it all just an illusion?
context: I will now try not to waver.\I want to be true to my heart.\But even I have a secret or two.\That I want to keep to myself.\That's why my secret makes my heart aches slightly.\We'll surely meet again\Everything that's reflected by your eyes,\is it all just an illusion? response:	I wonder how you feel,
context: I want to be true to my heart.\But even I have a secret or two.\That I want to keep to myself.\That's why my secret makes my heart aches slightly.\We'll surely meet again\Everything that's reflected by your eyes,\is it all just an illusion?\I wonder how you feel, response:	as you melt away in this entangling love
context: But even I have a secret or two.\That I want to keep to myself.\That's why my secret makes my heart aches slightly.\We'll surely meet again\Everything that's reflected by your eyes,\is it all just an illusion?\I wonder how you feel,\as you melt away in this entangling love response:	Take a look at this tainted scene,
context: That I want to keep to myself.\That's why my secret makes my heart aches slightly.\We'll surely meet again\Everything that's reflected by your eyes,\is it all just an illusion?\I wonder how you feel,\as you melt away in this entangling love\Take a look at this tainted scene, response:	and the reason we're joined together
context: That's why my secret makes my heart aches slightly.\We'll surely meet again\Everything that's reflected by your eyes,\is it all just an illusion?\I wonder how you feel,\as you melt away in this entangling love\Take a look at this tainted scene,\and the reason we're joined together response:	Let's cling on to each other from our sadness
context: We'll surely meet again\Everything that's reflected by your eyes,\is it all just an illusion?\I wonder how you feel,\as you melt away in this entangling love\Take a look at this tainted scene,\and the reason we're joined together\Let's cling on to each other from our sadness response:	Isn't it fine just like that?
context: Everything that's reflected by your eyes,\is it all just an illusion?\I wonder how you feel,\as you melt away in this entangling love\Take a look at this tainted scene,\and the reason we're joined together\Let's cling on to each other from our sadness\Isn't it fine just like that? response:	It'll be an unadorned beauty
context: is it all just an illusion?\I wonder how you feel,\as you melt away in this entangling love\Take a look at this tainted scene,\and the reason we're joined together\Let's cling on to each other from our sadness\Isn't it fine just like that?\It'll be an unadorned beauty response:	Let's understand this, someday...
context: I wonder how you feel,\as you melt away in this entangling love\Take a look at this tainted scene,\and the reason we're joined together\Let's cling on to each other from our sadness\Isn't it fine just like that?\It'll be an unadorned beauty\Let's understand this, someday... response:	That no matter where we go,
context: as you melt away in this entangling love\Take a look at this tainted scene,\and the reason we're joined together\Let's cling on to each other from our sadness\Isn't it fine just like that?\It'll be an unadorned beauty\Let's understand this, someday...\That no matter where we go, response:	we'll surely meet again
context: Take a look at this tainted scene,\and the reason we're joined together\Let's cling on to each other from our sadness\Isn't it fine just like that?\It'll be an unadorned beauty\Let's understand this, someday...\That no matter where we go,\we'll surely meet again response:	Outdoor education begins tomorrow!
context: and the reason we're joined together\Let's cling on to each other from our sadness\Isn't it fine just like that?\It'll be an unadorned beauty\Let's understand this, someday...\That no matter where we go,\we'll surely meet again\Outdoor education begins tomorrow! response:	A relaxing 5 days and 4 nights to have fun in the wild!
context: Let's cling on to each other from our sadness\Isn't it fine just like that?\It'll be an unadorned beauty\Let's understand this, someday...\That no matter where we go,\we'll surely meet again\Outdoor education begins tomorrow!\A relaxing 5 days and 4 nights to have fun in the wild! response:	We can forget about studies, play tennis, and frolic in the river!
context: Isn't it fine just like that?\It'll be an unadorned beauty\Let's understand this, someday...\That no matter where we go,\we'll surely meet again\Outdoor education begins tomorrow!\A relaxing 5 days and 4 nights to have fun in the wild!\We can forget about studies, play tennis, and frolic in the river! response:	We'll engorge ourselves on nature's delights in the evening and then bathe in the hot springs!
context: It'll be an unadorned beauty\Let's understand this, someday...\That no matter where we go,\we'll surely meet again\Outdoor education begins tomorrow!\A relaxing 5 days and 4 nights to have fun in the wild!\We can forget about studies, play tennis, and frolic in the river!\We'll engorge ourselves on nature's delights in the evening and then bathe in the hot springs! response:	Grab and sell a few rhino beetles, and we'll have enough to indulge in Maid Latte for a week!
context: Let's understand this, someday...\That no matter where we go,\we'll surely meet again\Outdoor education begins tomorrow!\A relaxing 5 days and 4 nights to have fun in the wild!\We can forget about studies, play tennis, and frolic in the river!\We'll engorge ourselves on nature's delights in the evening and then bathe in the hot springs!\Grab and sell a few rhino beetles, and we'll have enough to indulge in Maid Latte for a week! response:	I heard from a senior that there's a dress-wearing beauty recovering in nearby villa!
context: That no matter where we go,\we'll surely meet again\Outdoor education begins tomorrow!\A relaxing 5 days and 4 nights to have fun in the wild!\We can forget about studies, play tennis, and frolic in the river!\We'll engorge ourselves on nature's delights in the evening and then bathe in the hot springs!\Grab and sell a few rhino beetles, and we'll have enough to indulge in Maid Latte for a week!\I heard from a senior that there's a dress-wearing beauty recovering in nearby villa! response:	Is outdoor education that fun?
context: we'll surely meet again\Outdoor education begins tomorrow!\A relaxing 5 days and 4 nights to have fun in the wild!\We can forget about studies, play tennis, and frolic in the river!\We'll engorge ourselves on nature's delights in the evening and then bathe in the hot springs!\Grab and sell a few rhino beetles, and we'll have enough to indulge in Maid Latte for a week!\I heard from a senior that there's a dress-wearing beauty recovering in nearby villa!\Is outdoor education that fun? response:	Of course! According to the seniors, that is.
context: Outdoor education begins tomorrow!\A relaxing 5 days and 4 nights to have fun in the wild!\We can forget about studies, play tennis, and frolic in the river!\We'll engorge ourselves on nature's delights in the evening and then bathe in the hot springs!\Grab and sell a few rhino beetles, and we'll have enough to indulge in Maid Latte for a week!\I heard from a senior that there's a dress-wearing beauty recovering in nearby villa!\Is outdoor education that fun?\Of course! According to the seniors, that is. response:	Ah, Misaki-chan!
context: A relaxing 5 days and 4 nights to have fun in the wild!\We can forget about studies, play tennis, and frolic in the river!\We'll engorge ourselves on nature's delights in the evening and then bathe in the hot springs!\Grab and sell a few rhino beetles, and we'll have enough to indulge in Maid Latte for a week!\I heard from a senior that there's a dress-wearing beauty recovering in nearby villa!\Is outdoor education that fun?\Of course! According to the seniors, that is.\Ah, Misaki-chan! response:	He's not listening to us at all.
context: We can forget about studies, play tennis, and frolic in the river!\We'll engorge ourselves on nature's delights in the evening and then bathe in the hot springs!\Grab and sell a few rhino beetles, and we'll have enough to indulge in Maid Latte for a week!\I heard from a senior that there's a dress-wearing beauty recovering in nearby villa!\Is outdoor education that fun?\Of course! According to the seniors, that is.\Ah, Misaki-chan!\He's not listening to us at all. response:	Alright, let's go back to our class.
context: We'll engorge ourselves on nature's delights in the evening and then bathe in the hot springs!\Grab and sell a few rhino beetles, and we'll have enough to indulge in Maid Latte for a week!\I heard from a senior that there's a dress-wearing beauty recovering in nearby villa!\Is outdoor education that fun?\Of course! According to the seniors, that is.\Ah, Misaki-chan!\He's not listening to us at all.\Alright, let's go back to our class. response:	We're from a different class, after all.
context: Grab and sell a few rhino beetles, and we'll have enough to indulge in Maid Latte for a week!\I heard from a senior that there's a dress-wearing beauty recovering in nearby villa!\Is outdoor education that fun?\Of course! According to the seniors, that is.\Ah, Misaki-chan!\He's not listening to us at all.\Alright, let's go back to our class.\We're from a different class, after all. response:	Don't eat bread crusts while walking!
context: I heard from a senior that there's a dress-wearing beauty recovering in nearby villa!\Is outdoor education that fun?\Of course! According to the seniors, that is.\Ah, Misaki-chan!\He's not listening to us at all.\Alright, let's go back to our class.\We're from a different class, after all.\Don't eat bread crusts while walking! response:	This is completely different from what we heard!
context: Is outdoor education that fun?\Of course! According to the seniors, that is.\Ah, Misaki-chan!\He's not listening to us at all.\Alright, let's go back to our class.\We're from a different class, after all.\Don't eat bread crusts while walking!\This is completely different from what we heard! response:	Why the hell are we training like this? Why are we in a temple?!
context: Of course! According to the seniors, that is.\Ah, Misaki-chan!\He's not listening to us at all.\Alright, let's go back to our class.\We're from a different class, after all.\Don't eat bread crusts while walking!\This is completely different from what we heard!\Why the hell are we training like this? Why are we in a temple?! response:	Didn't the seniors say that Seika's outdoor education is a paradise?!
context: Ah, Misaki-chan!\He's not listening to us at all.\Alright, let's go back to our class.\We're from a different class, after all.\Don't eat bread crusts while walking!\This is completely different from what we heard!\Why the hell are we training like this? Why are we in a temple?!\Didn't the seniors say that Seika's outdoor education is a paradise?! response:	And where is this dress-wearing beauty who's resting in a nearby villa?!
context: He's not listening to us at all.\Alright, let's go back to our class.\We're from a different class, after all.\Don't eat bread crusts while walking!\This is completely different from what we heard!\Why the hell are we training like this? Why are we in a temple?!\Didn't the seniors say that Seika's outdoor education is a paradise?!\And where is this dress-wearing beauty who's resting in a nearby villa?! response:	No normal person would reside in a mountain like this!
context: Alright, let's go back to our class.\We're from a different class, after all.\Don't eat bread crusts while walking!\This is completely different from what we heard!\Why the hell are we training like this? Why are we in a temple?!\Didn't the seniors say that Seika's outdoor education is a paradise?!\And where is this dress-wearing beauty who's resting in a nearby villa?!\No normal person would reside in a mountain like this! response:	But what about stories the seniors told us?!
context: We're from a different class, after all.\Don't eat bread crusts while walking!\This is completely different from what we heard!\Why the hell are we training like this? Why are we in a temple?!\Didn't the seniors say that Seika's outdoor education is a paradise?!\And where is this dress-wearing beauty who's resting in a nearby villa?!\No normal person would reside in a mountain like this!\But what about stories the seniors told us?! response:	All of them are lies.
context: Don't eat bread crusts while walking!\This is completely different from what we heard!\Why the hell are we training like this? Why are we in a temple?!\Didn't the seniors say that Seika's outdoor education is a paradise?!\And where is this dress-wearing beauty who's resting in a nearby villa?!\No normal person would reside in a mountain like this!\But what about stories the seniors told us?!\All of them are lies. response:	Seems like Seika Seniors traditionally deceive the 2nd years.
