context: Wi...With Mt. Ontake as the only clue, this place is too vast to search on foot. response:	Just how much farther is it from here?
context: Wi...With Mt. Ontake as the only clue, this place is too vast to search on foot.\Just how much farther is it from here? response:	Kuromaro-donooo!!!
context: Wi...With Mt. Ontake as the only clue, this place is too vast to search on foot.\Just how much farther is it from here?\Kuromaro-donooo!!! response:	Nanami?
context: Wi...With Mt. Ontake as the only clue, this place is too vast to search on foot.\Just how much farther is it from here?\Kuromaro-donooo!!!\Nanami? response:	What are you doing in a place like this?
context: Wi...With Mt. Ontake as the only clue, this place is too vast to search on foot.\Just how much farther is it from here?\Kuromaro-donooo!!!\Nanami?\What are you doing in a place like this? response:	Yukiji-san!
context: Wi...With Mt. Ontake as the only clue, this place is too vast to search on foot.\Just how much farther is it from here?\Kuromaro-donooo!!!\Nanami?\What are you doing in a place like this?\Yukiji-san! response:	The God Becomes a Bride
context: Wi...With Mt. Ontake as the only clue, this place is too vast to search on foot.\Just how much farther is it from here?\Kuromaro-donooo!!!\Nanami?\What are you doing in a place like this?\Yukiji-san!\The God Becomes a Bride response:	Himetaro isn't with you?
context: Wi...With Mt. Ontake as the only clue, this place is too vast to search on foot.\Just how much farther is it from here?\Kuromaro-donooo!!!\Nanami?\What are you doing in a place like this?\Yukiji-san!\The God Becomes a Bride\Himetaro isn't with you? response:	I heard that on the day you left, he disappeared too.
context: Just how much farther is it from here?\Kuromaro-donooo!!!\Nanami?\What are you doing in a place like this?\Yukiji-san!\The God Becomes a Bride\Himetaro isn't with you?\I heard that on the day you left, he disappeared too. response:	So I thought for certain that he must have left with you.
context: Kuromaro-donooo!!!\Nanami?\What are you doing in a place like this?\Yukiji-san!\The God Becomes a Bride\Himetaro isn't with you?\I heard that on the day you left, he disappeared too.\So I thought for certain that he must have left with you. response:	I-I'm sorry... for leaving without saying a word.
context: Nanami?\What are you doing in a place like this?\Yukiji-san!\The God Becomes a Bride\Himetaro isn't with you?\I heard that on the day you left, he disappeared too.\So I thought for certain that he must have left with you.\I-I'm sorry... for leaving without saying a word. response:	Himetarou
context: What are you doing in a place like this?\Yukiji-san!\The God Becomes a Bride\Himetaro isn't with you?\I heard that on the day you left, he disappeared too.\So I thought for certain that he must have left with you.\I-I'm sorry... for leaving without saying a word.\Himetarou response:	Tomoe also left the house that day...
context: Yukiji-san!\The God Becomes a Bride\Himetaro isn't with you?\I heard that on the day you left, he disappeared too.\So I thought for certain that he must have left with you.\I-I'm sorry... for leaving without saying a word.\Himetarou\Tomoe also left the house that day... response:	I wonder if his fate was properly linked to Yukiji-san...
