context: Akiteru, how long are you able to stay? response:	I have to go back to work on the 14th,
context: Akiteru, how long are you able to stay?\I have to go back to work on the 14th, response:	so I'm heading back to Sendai the day after tomorrow.
context: Akiteru, how long are you able to stay?\I have to go back to work on the 14th,\so I'm heading back to Sendai the day after tomorrow. response:	You didn't want to go to Kei's game?
context: Akiteru, how long are you able to stay?\I have to go back to work on the 14th,\so I'm heading back to Sendai the day after tomorrow.\You didn't want to go to Kei's game? response:	When I mentioned that I was thinking about going yesterday,
context: Akiteru, how long are you able to stay?\I have to go back to work on the 14th,\so I'm heading back to Sendai the day after tomorrow.\You didn't want to go to Kei's game?\When I mentioned that I was thinking about going yesterday, response:	he looked really annoyed...
context: Akiteru, how long are you able to stay?\I have to go back to work on the 14th,\so I'm heading back to Sendai the day after tomorrow.\You didn't want to go to Kei's game?\When I mentioned that I was thinking about going yesterday,\he looked really annoyed... response:	Oh, yeah.
context: Akiteru, how long are you able to stay?\I have to go back to work on the 14th,\so I'm heading back to Sendai the day after tomorrow.\You didn't want to go to Kei's game?\When I mentioned that I was thinking about going yesterday,\he looked really annoyed...\Oh, yeah. response:	Mom, about Kei's glasses...
context: Akiteru, how long are you able to stay?\I have to go back to work on the 14th,\so I'm heading back to Sendai the day after tomorrow.\You didn't want to go to Kei's game?\When I mentioned that I was thinking about going yesterday,\he looked really annoyed...\Oh, yeah.\Mom, about Kei's glasses... response:	I'm home.
context: I have to go back to work on the 14th,\so I'm heading back to Sendai the day after tomorrow.\You didn't want to go to Kei's game?\When I mentioned that I was thinking about going yesterday,\he looked really annoyed...\Oh, yeah.\Mom, about Kei's glasses...\I'm home. response:	How was the game?
context: so I'm heading back to Sendai the day after tomorrow.\You didn't want to go to Kei's game?\When I mentioned that I was thinking about going yesterday,\he looked really annoyed...\Oh, yeah.\Mom, about Kei's glasses...\I'm home.\How was the game? response:	Oh. Well, we won.
context: You didn't want to go to Kei's game?\When I mentioned that I was thinking about going yesterday,\he looked really annoyed...\Oh, yeah.\Mom, about Kei's glasses...\I'm home.\How was the game?\Oh. Well, we won. response:	What were your opponents like?
context: When I mentioned that I was thinking about going yesterday,\he looked really annoyed...\Oh, yeah.\Mom, about Kei's glasses...\I'm home.\How was the game?\Oh. Well, we won.\What were your opponents like? response:	Two meters.
context: he looked really annoyed...\Oh, yeah.\Mom, about Kei's glasses...\I'm home.\How was the game?\Oh. Well, we won.\What were your opponents like?\Two meters. response:	Huh?
context: Oh, yeah.\Mom, about Kei's glasses...\I'm home.\How was the game?\Oh. Well, we won.\What were your opponents like?\Two meters.\Huh? response:	They had a first-year that was 201 cm tall.
context: Mom, about Kei's glasses...\I'm home.\How was the game?\Oh. Well, we won.\What were your opponents like?\Two meters.\Huh?\They had a first-year that was 201 cm tall. response:	Two hundred... And you won?
context: I'm home.\How was the game?\Oh. Well, we won.\What were your opponents like?\Two meters.\Huh?\They had a first-year that was 201 cm tall.\Two hundred... And you won? response:	Apparently, he'd just started playing volleyball.
context: How was the game?\Oh. Well, we won.\What were your opponents like?\Two meters.\Huh?\They had a first-year that was 201 cm tall.\Two hundred... And you won?\Apparently, he'd just started playing volleyball. response:	Seriously?
context: Oh. Well, we won.\What were your opponents like?\Two meters.\Huh?\They had a first-year that was 201 cm tall.\Two hundred... And you won?\Apparently, he'd just started playing volleyball.\Seriously? response:	Our blocks were absolutely useless, though.
context: What were your opponents like?\Two meters.\Huh?\They had a first-year that was 201 cm tall.\Two hundred... And you won?\Apparently, he'd just started playing volleyball.\Seriously?\Our blocks were absolutely useless, though. response:	Ah...
context: Two meters.\Huh?\They had a first-year that was 201 cm tall.\Two hundred... And you won?\Apparently, he'd just started playing volleyball.\Seriously?\Our blocks were absolutely useless, though.\Ah... response:	What?
context: Huh?\They had a first-year that was 201 cm tall.\Two hundred... And you won?\Apparently, he'd just started playing volleyball.\Seriously?\Our blocks were absolutely useless, though.\Ah...\What? response:	You think it's only obvious if you lose, don't you?
context: They had a first-year that was 201 cm tall.\Two hundred... And you won?\Apparently, he'd just started playing volleyball.\Seriously?\Our blocks were absolutely useless, though.\Ah...\What?\You think it's only obvious if you lose, don't you? response:	Huh? Yeah.
context: Two hundred... And you won?\Apparently, he'd just started playing volleyball.\Seriously?\Our blocks were absolutely useless, though.\Ah...\What?\You think it's only obvious if you lose, don't you?\Huh? Yeah. response:	I mean, he was two meters tall.
context: Apparently, he'd just started playing volleyball.\Seriously?\Our blocks were absolutely useless, though.\Ah...\What?\You think it's only obvious if you lose, don't you?\Huh? Yeah.\I mean, he was two meters tall. response:	Why don't you come over and join my team's practice?
context: Seriously?\Our blocks were absolutely useless, though.\Ah...\What?\You think it's only obvious if you lose, don't you?\Huh? Yeah.\I mean, he was two meters tall.\Why don't you come over and join my team's practice? response:	Haikyu!!
context: Our blocks were absolutely useless, though.\Ah...\What?\You think it's only obvious if you lose, don't you?\Huh? Yeah.\I mean, he was two meters tall.\Why don't you come over and join my team's practice?\Haikyu!! response:	Episode 14: Still Growing
context: Ah...\What?\You think it's only obvious if you lose, don't you?\Huh? Yeah.\I mean, he was two meters tall.\Why don't you come over and join my team's practice?\Haikyu!!\Episode 14: Still Growing response:	All right, start your individual practice now.
