context: Class 3-2 response:	I have to hide somewhere!
context: Class 3-2\I have to hide somewhere! response:	I have to wake up... I have to wake up soon!
context: Class 3-2\I have to hide somewhere!\I have to wake up... I have to wake up soon! response:	Or they'll...
context: Class 3-2\I have to hide somewhere!\I have to wake up... I have to wake up soon!\Or they'll... response:	Ryo?
context: Class 3-2\I have to hide somewhere!\I have to wake up... I have to wake up soon!\Or they'll...\Ryo? response:	Wh-What do I do?
context: Class 3-2\I have to hide somewhere!\I have to wake up... I have to wake up soon!\Or they'll...\Ryo?\Wh-What do I do? response:	It found me...
context: Class 3-2\I have to hide somewhere!\I have to wake up... I have to wake up soon!\Or they'll...\Ryo?\Wh-What do I do?\It found me... response:	Next time, I'm finished!
context: Class 3-2\I have to hide somewhere!\I have to wake up... I have to wake up soon!\Or they'll...\Ryo?\Wh-What do I do?\It found me...\Next time, I'm finished! response:	October 8th Nocturnal Community Relations Division
context: I have to hide somewhere!\I have to wake up... I have to wake up soon!\Or they'll...\Ryo?\Wh-What do I do?\It found me...\Next time, I'm finished!\October 8th Nocturnal Community Relations Division response:	Storage 1
context: I have to wake up... I have to wake up soon!\Or they'll...\Ryo?\Wh-What do I do?\It found me...\Next time, I'm finished!\October 8th Nocturnal Community Relations Division\Storage 1 response:	What the heck, where did it go? Where could it have gone?
context: Or they'll...\Ryo?\Wh-What do I do?\It found me...\Next time, I'm finished!\October 8th Nocturnal Community Relations Division\Storage 1\What the heck, where did it go? Where could it have gone? response:	Miyako, are you almost done?
context: Ryo?\Wh-What do I do?\It found me...\Next time, I'm finished!\October 8th Nocturnal Community Relations Division\Storage 1\What the heck, where did it go? Where could it have gone?\Miyako, are you almost done? response:	Yes, just give me a minute.
context: Wh-What do I do?\It found me...\Next time, I'm finished!\October 8th Nocturnal Community Relations Division\Storage 1\What the heck, where did it go? Where could it have gone?\Miyako, are you almost done?\Yes, just give me a minute. response:	So, what are you doing, Theo?
context: It found me...\Next time, I'm finished!\October 8th Nocturnal Community Relations Division\Storage 1\What the heck, where did it go? Where could it have gone?\Miyako, are you almost done?\Yes, just give me a minute.\So, what are you doing, Theo? response:	Do you guys know what happened to that budget request I made?
