context: I had lost my way during my journey. response:	Only my soul was wandering, while I stood still.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still. response:	But right now, I'm walking to a distant place.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place. response:	That's right, ever since I met you on this road.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road. response:	The travellers witnessed the song, the forbidden song,
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song, response:	And I became attached to it as I heard it alone with you.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you. response:	If the world I saw in my dreams exists somewhere,
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere, response:	Let's go search for it, beyond the winds.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds. response:	Whether it's a freezing dawn,
context: Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn, response:	A dry midday,
context: But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday, response:	A shivering night,
context: That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night, response:	or the ends of the Earth, let's go and see it.
context: The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it. response:	Once upon a time in a village,
context: And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Once upon a time in a village, response:	an abundance of wheat would ripen and sway in the wind,
context: If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Once upon a time in a village,\an abundance of wheat would ripen and sway in the wind, response:	and a wolf could be seen running through it.
context: Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Once upon a time in a village,\an abundance of wheat would ripen and sway in the wind,\and a wolf could be seen running through it. response:	Wheat that fell due to the wind would be trampled on by the wolf.
context: Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Once upon a time in a village,\an abundance of wheat would ripen and sway in the wind,\and a wolf could be seen running through it.\Wheat that fell due to the wind would be trampled on by the wolf. response:	When the crop was poor, the wolf would then eat it.
context: A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Once upon a time in a village,\an abundance of wheat would ripen and sway in the wind,\and a wolf could be seen running through it.\Wheat that fell due to the wind would be trampled on by the wolf.\When the crop was poor, the wolf would then eat it. response:	There was nothing in the beginning.
context: A shivering night,\or the ends of the Earth, let's go and see it.\Once upon a time in a village,\an abundance of wheat would ripen and sway in the wind,\and a wolf could be seen running through it.\Wheat that fell due to the wind would be trampled on by the wolf.\When the crop was poor, the wolf would then eat it.\There was nothing in the beginning. response:	There was only warmth.
context: or the ends of the Earth, let's go and see it.\Once upon a time in a village,\an abundance of wheat would ripen and sway in the wind,\and a wolf could be seen running through it.\Wheat that fell due to the wind would be trampled on by the wolf.\When the crop was poor, the wolf would then eat it.\There was nothing in the beginning.\There was only warmth. response:	And then, a promise was made.
context: Once upon a time in a village,\an abundance of wheat would ripen and sway in the wind,\and a wolf could be seen running through it.\Wheat that fell due to the wind would be trampled on by the wolf.\When the crop was poor, the wolf would then eat it.\There was nothing in the beginning.\There was only warmth.\And then, a promise was made. response:	Meetings and partings continued.
context: an abundance of wheat would ripen and sway in the wind,\and a wolf could be seen running through it.\Wheat that fell due to the wind would be trampled on by the wolf.\When the crop was poor, the wolf would then eat it.\There was nothing in the beginning.\There was only warmth.\And then, a promise was made.\Meetings and partings continued. response:	Eventually, humans gained wealth using their own power.
context: and a wolf could be seen running through it.\Wheat that fell due to the wind would be trampled on by the wolf.\When the crop was poor, the wolf would then eat it.\There was nothing in the beginning.\There was only warmth.\And then, a promise was made.\Meetings and partings continued.\Eventually, humans gained wealth using their own power. response:	There was probably no need to keep the promise faithfully anymore.
context: Wheat that fell due to the wind would be trampled on by the wolf.\When the crop was poor, the wolf would then eat it.\There was nothing in the beginning.\There was only warmth.\And then, a promise was made.\Meetings and partings continued.\Eventually, humans gained wealth using their own power.\There was probably no need to keep the promise faithfully anymore. response:	Wolf and Best Clothes
context: When the crop was poor, the wolf would then eat it.\There was nothing in the beginning.\There was only warmth.\And then, a promise was made.\Meetings and partings continued.\Eventually, humans gained wealth using their own power.\There was probably no need to keep the promise faithfully anymore.\Wolf and Best Clothes response:	I'm getting awfully tired of these countryside roads.
context: There was nothing in the beginning.\There was only warmth.\And then, a promise was made.\Meetings and partings continued.\Eventually, humans gained wealth using their own power.\There was probably no need to keep the promise faithfully anymore.\Wolf and Best Clothes\I'm getting awfully tired of these countryside roads. response:	Aren't you?
context: There was only warmth.\And then, a promise was made.\Meetings and partings continued.\Eventually, humans gained wealth using their own power.\There was probably no need to keep the promise faithfully anymore.\Wolf and Best Clothes\I'm getting awfully tired of these countryside roads.\Aren't you? response:	You're a peddler?
context: And then, a promise was made.\Meetings and partings continued.\Eventually, humans gained wealth using their own power.\There was probably no need to keep the promise faithfully anymore.\Wolf and Best Clothes\I'm getting awfully tired of these countryside roads.\Aren't you?\You're a peddler? response:	If you head south for half a day, there's a small village in the mountains.
context: Meetings and partings continued.\Eventually, humans gained wealth using their own power.\There was probably no need to keep the promise faithfully anymore.\Wolf and Best Clothes\I'm getting awfully tired of these countryside roads.\Aren't you?\You're a peddler?\If you head south for half a day, there's a small village in the mountains. response:	I just came back from selling salt there.
context: Eventually, humans gained wealth using their own power.\There was probably no need to keep the promise faithfully anymore.\Wolf and Best Clothes\I'm getting awfully tired of these countryside roads.\Aren't you?\You're a peddler?\If you head south for half a day, there's a small village in the mountains.\I just came back from selling salt there. response:	So, all of that's salt?
