context: What's the status on the Demonic Tool, the Morality Manipulation Machine? response:	Mosquito-sama contacted us earlier.
context: What's the status on the Demonic Tool, the Morality Manipulation Machine?\Mosquito-sama contacted us earlier. response:	The production is nearing completion.
context: What's the status on the Demonic Tool, the Morality Manipulation Machine?\Mosquito-sama contacted us earlier.\The production is nearing completion. response:	Is it alright to leave it to that senile old sack?
context: What's the status on the Demonic Tool, the Morality Manipulation Machine?\Mosquito-sama contacted us earlier.\The production is nearing completion.\Is it alright to leave it to that senile old sack? response:	In these past 800 years, he's gotten a lot shorter.
context: What's the status on the Demonic Tool, the Morality Manipulation Machine?\Mosquito-sama contacted us earlier.\The production is nearing completion.\Is it alright to leave it to that senile old sack?\In these past 800 years, he's gotten a lot shorter. response:	I'm itching to go berserk!
context: What's the status on the Demonic Tool, the Morality Manipulation Machine?\Mosquito-sama contacted us earlier.\The production is nearing completion.\Is it alright to leave it to that senile old sack?\In these past 800 years, he's gotten a lot shorter.\I'm itching to go berserk! response:	I'll go, too...
context: What's the status on the Demonic Tool, the Morality Manipulation Machine?\Mosquito-sama contacted us earlier.\The production is nearing completion.\Is it alright to leave it to that senile old sack?\In these past 800 years, he's gotten a lot shorter.\I'm itching to go berserk!\I'll go, too... response:	There's no need for that.
context: What's the status on the Demonic Tool, the Morality Manipulation Machine?\Mosquito-sama contacted us earlier.\The production is nearing completion.\Is it alright to leave it to that senile old sack?\In these past 800 years, he's gotten a lot shorter.\I'm itching to go berserk!\I'll go, too...\There's no need for that. response:	I've obtained the assistance of someone very powerful.
context: Mosquito-sama contacted us earlier.\The production is nearing completion.\Is it alright to leave it to that senile old sack?\In these past 800 years, he's gotten a lot shorter.\I'm itching to go berserk!\I'll go, too...\There's no need for that.\I've obtained the assistance of someone very powerful. response:	Assistance?
context: The production is nearing completion.\Is it alright to leave it to that senile old sack?\In these past 800 years, he's gotten a lot shorter.\I'm itching to go berserk!\I'll go, too...\There's no need for that.\I've obtained the assistance of someone very powerful.\Assistance? response:	Someone who's lived long enough to be considered legendary,
context: Is it alright to leave it to that senile old sack?\In these past 800 years, he's gotten a lot shorter.\I'm itching to go berserk!\I'll go, too...\There's no need for that.\I've obtained the assistance of someone very powerful.\Assistance?\Someone who's lived long enough to be considered legendary, response:	You actually managed to get that man's cooperation, huh?
context: In these past 800 years, he's gotten a lot shorter.\I'm itching to go berserk!\I'll go, too...\There's no need for that.\I've obtained the assistance of someone very powerful.\Assistance?\Someone who's lived long enough to be considered legendary,\You actually managed to get that man's cooperation, huh? response:	Humans with weaknesses are the easiest to manipulate.
context: I'm itching to go berserk!\I'll go, too...\There's no need for that.\I've obtained the assistance of someone very powerful.\Assistance?\Someone who's lived long enough to be considered legendary,\You actually managed to get that man's cooperation, huh?\Humans with weaknesses are the easiest to manipulate. response:	You know, this is awfully embarrassing...
context: I'll go, too...\There's no need for that.\I've obtained the assistance of someone very powerful.\Assistance?\Someone who's lived long enough to be considered legendary,\You actually managed to get that man's cooperation, huh?\Humans with weaknesses are the easiest to manipulate.\You know, this is awfully embarrassing... response:	Stop whining and eat properly.
context: There's no need for that.\I've obtained the assistance of someone very powerful.\Assistance?\Someone who's lived long enough to be considered legendary,\You actually managed to get that man's cooperation, huh?\Humans with weaknesses are the easiest to manipulate.\You know, this is awfully embarrassing...\Stop whining and eat properly. response:	The doctor's examination showed that the spell's effect will be dispelled in a few days.
context: I've obtained the assistance of someone very powerful.\Assistance?\Someone who's lived long enough to be considered legendary,\You actually managed to get that man's cooperation, huh?\Humans with weaknesses are the easiest to manipulate.\You know, this is awfully embarrassing...\Stop whining and eat properly.\The doctor's examination showed that the spell's effect will be dispelled in a few days. response:	Since you can't move, you have no choice, right?
context: Assistance?\Someone who's lived long enough to be considered legendary,\You actually managed to get that man's cooperation, huh?\Humans with weaknesses are the easiest to manipulate.\You know, this is awfully embarrassing...\Stop whining and eat properly.\The doctor's examination showed that the spell's effect will be dispelled in a few days.\Since you can't move, you have no choice, right? response:	Ta-dah!
