context: Heh... response:	Next Ep Preview
context: Heh...\Next Ep Preview response:	My sil ky love
context: Heh...\Next Ep Preview\My sil ky love response:	My sil ky love
context: Heh...\Next Ep Preview\My sil ky love\My sil ky love response:	My sil ky love
context: Heh...\Next Ep Preview\My sil ky love\My sil ky love\My sil ky love response:	My sil ky love
context: Heh...\Next Ep Preview\My sil ky love\My sil ky love\My sil ky love\My sil ky love response:	Every hour of the day
context: Heh...\Next Ep Preview\My sil ky love\My sil ky love\My sil ky love\My sil ky love\Every hour of the day response:	whenever I think of you
context: Heh...\Next Ep Preview\My sil ky love\My sil ky love\My sil ky love\My sil ky love\Every hour of the day\whenever I think of you response:	these impatient feelings
context: Next Ep Preview\My sil ky love\My sil ky love\My sil ky love\My sil ky love\Every hour of the day\whenever I think of you\these impatient feelings response:	simply overflow.
context: My sil ky love\My sil ky love\My sil ky love\My sil ky love\Every hour of the day\whenever I think of you\these impatient feelings\simply overflow. response:	Even though it's easy to say I love you
context: My sil ky love\My sil ky love\My sil ky love\Every hour of the day\whenever I think of you\these impatient feelings\simply overflow.\Even though it's easy to say I love you response:	when you stand in front of me
context: My sil ky love\My sil ky love\Every hour of the day\whenever I think of you\these impatient feelings\simply overflow.\Even though it's easy to say I love you\when you stand in front of me response:	my personality stands up and gets in my way.
context: My sil ky love\Every hour of the day\whenever I think of you\these impatient feelings\simply overflow.\Even though it's easy to say I love you\when you stand in front of me\my personality stands up and gets in my way. response:	I can usually pull through with my assertiveness
context: Every hour of the day\whenever I think of you\these impatient feelings\simply overflow.\Even though it's easy to say I love you\when you stand in front of me\my personality stands up and gets in my way.\I can usually pull through with my assertiveness response:	that's just how I am.
context: whenever I think of you\these impatient feelings\simply overflow.\Even though it's easy to say I love you\when you stand in front of me\my personality stands up and gets in my way.\I can usually pull through with my assertiveness\that's just how I am. response:	But no matter how hard I try, I can't break the wall that's between us.
context: these impatient feelings\simply overflow.\Even though it's easy to say I love you\when you stand in front of me\my personality stands up and gets in my way.\I can usually pull through with my assertiveness\that's just how I am.\But no matter how hard I try, I can't break the wall that's between us. response:	I want you to realise my feelings.
context: simply overflow.\Even though it's easy to say I love you\when you stand in front of me\my personality stands up and gets in my way.\I can usually pull through with my assertiveness\that's just how I am.\But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings. response:	So I always send a gaze
context: Even though it's easy to say I love you\when you stand in front of me\my personality stands up and gets in my way.\I can usually pull through with my assertiveness\that's just how I am.\But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings.\So I always send a gaze response:	of I really love you your way
context: when you stand in front of me\my personality stands up and gets in my way.\I can usually pull through with my assertiveness\that's just how I am.\But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings.\So I always send a gaze\of I really love you your way response:	with all of my courage!
context: my personality stands up and gets in my way.\I can usually pull through with my assertiveness\that's just how I am.\But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings.\So I always send a gaze\of I really love you your way\with all of my courage! response:	My flimsy silky heart.
context: I can usually pull through with my assertiveness\that's just how I am.\But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings.\So I always send a gaze\of I really love you your way\with all of my courage!\My flimsy silky heart. response:	After meeting you, I finally realised
context: that's just how I am.\But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings.\So I always send a gaze\of I really love you your way\with all of my courage!\My flimsy silky heart.\After meeting you, I finally realised response:	that I'm really clumsy when it comes to love.
context: But no matter how hard I try, I can't break the wall that's between us.\I want you to realise my feelings.\So I always send a gaze\of I really love you your way\with all of my courage!\My flimsy silky heart.\After meeting you, I finally realised\that I'm really clumsy when it comes to love. response:	The scars from love that I'd almost forgotten
context: I want you to realise my feelings.\So I always send a gaze\of I really love you your way\with all of my courage!\My flimsy silky heart.\After meeting you, I finally realised\that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten response:	have started to ache all of a sudden.
context: So I always send a gaze\of I really love you your way\with all of my courage!\My flimsy silky heart.\After meeting you, I finally realised\that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten\have started to ache all of a sudden. response:	Someday, like how I normally would...
context: of I really love you your way\with all of my courage!\My flimsy silky heart.\After meeting you, I finally realised\that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten\have started to ache all of a sudden.\Someday, like how I normally would... response:	I must say I love you, or else I'll become even weaker.
context: with all of my courage!\My flimsy silky heart.\After meeting you, I finally realised\that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten\have started to ache all of a sudden.\Someday, like how I normally would...\I must say I love you, or else I'll become even weaker. response:	Now it's Christmas, there are lots of smiles
context: My flimsy silky heart.\After meeting you, I finally realised\that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten\have started to ache all of a sudden.\Someday, like how I normally would...\I must say I love you, or else I'll become even weaker.\Now it's Christmas, there are lots of smiles response:	I've given you a party night
context: After meeting you, I finally realised\that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten\have started to ache all of a sudden.\Someday, like how I normally would...\I must say I love you, or else I'll become even weaker.\Now it's Christmas, there are lots of smiles\I've given you a party night response:	Now it's Christmas, there are lots of wishes
context: that I'm really clumsy when it comes to love.\The scars from love that I'd almost forgotten\have started to ache all of a sudden.\Someday, like how I normally would...\I must say I love you, or else I'll become even weaker.\Now it's Christmas, there are lots of smiles\I've given you a party night\Now it's Christmas, there are lots of wishes response:	I promise you a Holy, Holy, Night
context: The scars from love that I'd almost forgotten\have started to ache all of a sudden.\Someday, like how I normally would...\I must say I love you, or else I'll become even weaker.\Now it's Christmas, there are lots of smiles\I've given you a party night\Now it's Christmas, there are lots of wishes\I promise you a Holy, Holy, Night response:	This year's Christmas is a bit special
context: have started to ache all of a sudden.\Someday, like how I normally would...\I must say I love you, or else I'll become even weaker.\Now it's Christmas, there are lots of smiles\I've given you a party night\Now it's Christmas, there are lots of wishes\I promise you a Holy, Holy, Night\This year's Christmas is a bit special response:	Even though it's not a white Christmas
context: Someday, like how I normally would...\I must say I love you, or else I'll become even weaker.\Now it's Christmas, there are lots of smiles\I've given you a party night\Now it's Christmas, there are lots of wishes\I promise you a Holy, Holy, Night\This year's Christmas is a bit special\Even though it's not a white Christmas response:	The illumination of the stardust
context: I must say I love you, or else I'll become even weaker.\Now it's Christmas, there are lots of smiles\I've given you a party night\Now it's Christmas, there are lots of wishes\I promise you a Holy, Holy, Night\This year's Christmas is a bit special\Even though it's not a white Christmas\The illumination of the stardust response:	Look, it's snowing
context: Now it's Christmas, there are lots of smiles\I've given you a party night\Now it's Christmas, there are lots of wishes\I promise you a Holy, Holy, Night\This year's Christmas is a bit special\Even though it's not a white Christmas\The illumination of the stardust\Look, it's snowing response:	It's glittering and shining, everyone is happy
context: I've given you a party night\Now it's Christmas, there are lots of wishes\I promise you a Holy, Holy, Night\This year's Christmas is a bit special\Even though it's not a white Christmas\The illumination of the stardust\Look, it's snowing\It's glittering and shining, everyone is happy response:	It's flickering and twinkling, everyone is dreaming
