context: Exams suck! response:	I'm so sick of this.
context: Exams suck!\I'm so sick of this. response:	Picked your first-choice school yet?
context: Exams suck!\I'm so sick of this.\Picked your first-choice school yet? response:	Not yet.
context: Exams suck!\I'm so sick of this.\Picked your first-choice school yet?\Not yet. response:	Have you, Daichi?
context: Exams suck!\I'm so sick of this.\Picked your first-choice school yet?\Not yet.\Have you, Daichi? response:	More or less, I guess.
context: Exams suck!\I'm so sick of this.\Picked your first-choice school yet?\Not yet.\Have you, Daichi?\More or less, I guess. response:	I'll take what I can, with my grades.
context: Exams suck!\I'm so sick of this.\Picked your first-choice school yet?\Not yet.\Have you, Daichi?\More or less, I guess.\I'll take what I can, with my grades. response:	I already know what I'm gonna do.
context: Exams suck!\I'm so sick of this.\Picked your first-choice school yet?\Not yet.\Have you, Daichi?\More or less, I guess.\I'll take what I can, with my grades.\I already know what I'm gonna do. response:	Really? What?
context: I'm so sick of this.\Picked your first-choice school yet?\Not yet.\Have you, Daichi?\More or less, I guess.\I'll take what I can, with my grades.\I already know what I'm gonna do.\Really? What? response:	Amateur model.
context: Picked your first-choice school yet?\Not yet.\Have you, Daichi?\More or less, I guess.\I'll take what I can, with my grades.\I already know what I'm gonna do.\Really? What?\Amateur model. response:	That's not a high school.
context: Not yet.\Have you, Daichi?\More or less, I guess.\I'll take what I can, with my grades.\I already know what I'm gonna do.\Really? What?\Amateur model.\That's not a high school. response:	What's wrong with that?
context: Have you, Daichi?\More or less, I guess.\I'll take what I can, with my grades.\I already know what I'm gonna do.\Really? What?\Amateur model.\That's not a high school.\What's wrong with that? response:	Post-Middle School Plans Questionnaire
context: More or less, I guess.\I'll take what I can, with my grades.\I already know what I'm gonna do.\Really? What?\Amateur model.\That's not a high school.\What's wrong with that?\Post-Middle School Plans Questionnaire response:	Dude, stop it.
context: I'll take what I can, with my grades.\I already know what I'm gonna do.\Really? What?\Amateur model.\That's not a high school.\What's wrong with that?\Post-Middle School Plans Questionnaire\Dude, stop it. response:	What the heck?!
context: I already know what I'm gonna do.\Really? What?\Amateur model.\That's not a high school.\What's wrong with that?\Post-Middle School Plans Questionnaire\Dude, stop it.\What the heck?! response:	Ah! S-Sorry!
context: Really? What?\Amateur model.\That's not a high school.\What's wrong with that?\Post-Middle School Plans Questionnaire\Dude, stop it.\What the heck?!\Ah! S-Sorry! response:	Ow, ow! Sorry! Mercy! Mercy!
context: Amateur model.\That's not a high school.\What's wrong with that?\Post-Middle School Plans Questionnaire\Dude, stop it.\What the heck?!\Ah! S-Sorry!\Ow, ow! Sorry! Mercy! Mercy! response:	High school, huh?
context: That's not a high school.\What's wrong with that?\Post-Middle School Plans Questionnaire\Dude, stop it.\What the heck?!\Ah! S-Sorry!\Ow, ow! Sorry! Mercy! Mercy!\High school, huh? response:	Are your parents coming to the fall meet?
context: What's wrong with that?\Post-Middle School Plans Questionnaire\Dude, stop it.\What the heck?!\Ah! S-Sorry!\Ow, ow! Sorry! Mercy! Mercy!\High school, huh?\Are your parents coming to the fall meet? response:	I think so.
context: Post-Middle School Plans Questionnaire\Dude, stop it.\What the heck?!\Ah! S-Sorry!\Ow, ow! Sorry! Mercy! Mercy!\High school, huh?\Are your parents coming to the fall meet?\I think so. response:	Your parents always come, Akanecchi.
context: Dude, stop it.\What the heck?!\Ah! S-Sorry!\Ow, ow! Sorry! Mercy! Mercy!\High school, huh?\Are your parents coming to the fall meet?\I think so.\Your parents always come, Akanecchi. response:	Mine are too, since it's my last one.
context: What the heck?!\Ah! S-Sorry!\Ow, ow! Sorry! Mercy! Mercy!\High school, huh?\Are your parents coming to the fall meet?\I think so.\Your parents always come, Akanecchi.\Mine are too, since it's my last one. response:	Isn't it embarrassing?
context: Ah! S-Sorry!\Ow, ow! Sorry! Mercy! Mercy!\High school, huh?\Are your parents coming to the fall meet?\I think so.\Your parents always come, Akanecchi.\Mine are too, since it's my last one.\Isn't it embarrassing? response:	Totally.
context: Ow, ow! Sorry! Mercy! Mercy!\High school, huh?\Are your parents coming to the fall meet?\I think so.\Your parents always come, Akanecchi.\Mine are too, since it's my last one.\Isn't it embarrassing?\Totally. response:	Right? I'd hate that.
context: High school, huh?\Are your parents coming to the fall meet?\I think so.\Your parents always come, Akanecchi.\Mine are too, since it's my last one.\Isn't it embarrassing?\Totally.\Right? I'd hate that. response:	Maybe I should buy new shoes.
context: Are your parents coming to the fall meet?\I think so.\Your parents always come, Akanecchi.\Mine are too, since it's my last one.\Isn't it embarrassing?\Totally.\Right? I'd hate that.\Maybe I should buy new shoes. response:	Sounds good.
context: I think so.\Your parents always come, Akanecchi.\Mine are too, since it's my last one.\Isn't it embarrassing?\Totally.\Right? I'd hate that.\Maybe I should buy new shoes.\Sounds good. response:	I should, right?
context: Your parents always come, Akanecchi.\Mine are too, since it's my last one.\Isn't it embarrassing?\Totally.\Right? I'd hate that.\Maybe I should buy new shoes.\Sounds good.\I should, right? response:	Yeah.
context: Mine are too, since it's my last one.\Isn't it embarrassing?\Totally.\Right? I'd hate that.\Maybe I should buy new shoes.\Sounds good.\I should, right?\Yeah. response:	Wait, wait, you're still going to do track in high school, right?
context: Isn't it embarrassing?\Totally.\Right? I'd hate that.\Maybe I should buy new shoes.\Sounds good.\I should, right?\Yeah.\Wait, wait, you're still going to do track in high school, right? response:	I don't know.
context: Totally.\Right? I'd hate that.\Maybe I should buy new shoes.\Sounds good.\I should, right?\Yeah.\Wait, wait, you're still going to do track in high school, right?\I don't know. response:	I think I will.
context: Right? I'd hate that.\Maybe I should buy new shoes.\Sounds good.\I should, right?\Yeah.\Wait, wait, you're still going to do track in high school, right?\I don't know.\I think I will. response:	Yeah?
