context: J To catch them is my real test J response:	J To train them is my cause J
context: J To catch them is my real test J\J To train them is my cause J response:	J I will travel across the land J
context: J To catch them is my real test J\J To train them is my cause J\J I will travel across the land J response:	J Searching far and wide J
context: J To catch them is my real test J\J To train them is my cause J\J I will travel across the land J\J Searching far and wide J response:	J Teach Pokemon to understand The power that's inside J
context: J To catch them is my real test J\J To train them is my cause J\J I will travel across the land J\J Searching far and wide J\J Teach Pokemon to understand The power that's inside J response:	J Pokemon! Gotta catch'em all J
context: J To catch them is my real test J\J To train them is my cause J\J I will travel across the land J\J Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J response:	J It's you and me I know it's my destiny J
context: J To catch them is my real test J\J To train them is my cause J\J I will travel across the land J\J Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J response:	J Pokemon! Oh, you're my best friend J
context: J To catch them is my real test J\J To train them is my cause J\J I will travel across the land J\J Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend J response:	J In a world we must defend J
context: J To train them is my cause J\J I will travel across the land J\J Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend J\J In a world we must defend J response:	J Pokemon! Gotta catch'em all A heart so true J
context: J I will travel across the land J\J Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend J\J In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J response:	J Our courage will pull us through J
context: J Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend J\J In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J response:	J You teach me and I'll teach you J
context: J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend J\J In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you J response:	J Pokemon! J
context: J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend J\J In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you J\J Pokemon! J response:	J Gotta catch'em all Gotta catch'em all! J
context: J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend J\J In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you J\J Pokemon! J\J Gotta catch'em all Gotta catch'em all! J response:	J Pokemon! J
context: J Pokemon! Oh, you're my best friend J\J In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you J\J Pokemon! J\J Gotta catch'em all Gotta catch'em all! J\J Pokemon! J response:	That's right. I declare to the Pokemon of the world.
context: J In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you J\J Pokemon! J\J Gotta catch'em all Gotta catch'em all! J\J Pokemon! J\That's right. I declare to the Pokemon of the world. response:	I will be the greatest Pokemon trainer,
context: J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you J\J Pokemon! J\J Gotta catch'em all Gotta catch'em all! J\J Pokemon! J\That's right. I declare to the Pokemon of the world.\I will be the greatest Pokemon trainer, response:	the greatest Pokemon Master of all time!
context: J Our courage will pull us through J\J You teach me and I'll teach you J\J Pokemon! J\J Gotta catch'em all Gotta catch'em all! J\J Pokemon! J\That's right. I declare to the Pokemon of the world.\I will be the greatest Pokemon trainer,\the greatest Pokemon Master of all time! response:	As his adventures began, Ash, our hero from Pallet, chose Pikachu,
context: J You teach me and I'll teach you J\J Pokemon! J\J Gotta catch'em all Gotta catch'em all! J\J Pokemon! J\That's right. I declare to the Pokemon of the world.\I will be the greatest Pokemon trainer,\the greatest Pokemon Master of all time!\As his adventures began, Ash, our hero from Pallet, chose Pikachu, response:	a Pokemon who wasnt too thrilled with its new trainer.
