context: Kitty, come on, come here. response:	It's time. Let's go back to the lab.
context: Kitty, come on, come here.\It's time. Let's go back to the lab. response:	Ashikabi? Ku's big brother?
context: Kitty, come on, come here.\It's time. Let's go back to the lab.\Ashikabi? Ku's big brother? response:	Yes. If you're a good girl, you will meet him for sure.
context: Kitty, come on, come here.\It's time. Let's go back to the lab.\Ashikabi? Ku's big brother?\Yes. If you're a good girl, you will meet him for sure. response:	Really? For sure?
context: Kitty, come on, come here.\It's time. Let's go back to the lab.\Ashikabi? Ku's big brother?\Yes. If you're a good girl, you will meet him for sure.\Really? For sure? response:	Yes. For sure.
context: Kitty, come on, come here.\It's time. Let's go back to the lab.\Ashikabi? Ku's big brother?\Yes. If you're a good girl, you will meet him for sure.\Really? For sure?\Yes. For sure. response:	Kusano!
context: Kitty, come on, come here.\It's time. Let's go back to the lab.\Ashikabi? Ku's big brother?\Yes. If you're a good girl, you will meet him for sure.\Really? For sure?\Yes. For sure.\Kusano! response:	You guys!
context: Kitty, come on, come here.\It's time. Let's go back to the lab.\Ashikabi? Ku's big brother?\Yes. If you're a good girl, you will meet him for sure.\Really? For sure?\Yes. For sure.\Kusano!\You guys! response:	No!
context: It's time. Let's go back to the lab.\Ashikabi? Ku's big brother?\Yes. If you're a good girl, you will meet him for sure.\Really? For sure?\Yes. For sure.\Kusano!\You guys!\No! response:	No, Kusano!
context: Ashikabi? Ku's big brother?\Yes. If you're a good girl, you will meet him for sure.\Really? For sure?\Yes. For sure.\Kusano!\You guys!\No!\No, Kusano! response:	Help me...
context: Yes. If you're a good girl, you will meet him for sure.\Really? For sure?\Yes. For sure.\Kusano!\You guys!\No!\No, Kusano!\Help me... response:	Now my life is blooming then falling
context: Really? For sure?\Yes. For sure.\Kusano!\You guys!\No!\No, Kusano!\Help me...\Now my life is blooming then falling response:	I grab destiny tight
context: Yes. For sure.\Kusano!\You guys!\No!\No, Kusano!\Help me...\Now my life is blooming then falling\I grab destiny tight response:	There's no more hesitation anymore
context: Kusano!\You guys!\No!\No, Kusano!\Help me...\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore response:	Tying our bond
context: You guys!\No!\No, Kusano!\Help me...\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond response:	To the sky waiting for the dawn
