context: And now, it's your morning horoscope countdown! response:	In the top spot, it's YOU, Pisces! We predict you'll be getting close to a certain special someone!
context: And now, it's your morning horoscope countdown!\In the top spot, it's YOU, Pisces! We predict you'll be getting close to a certain special someone! response:	Umaruuun!
context: And now, it's your morning horoscope countdown!\In the top spot, it's YOU, Pisces! We predict you'll be getting close to a certain special someone!\Umaruuun! response:	Kirie, we're at the amusement park!
context: And now, it's your morning horoscope countdown!\In the top spot, it's YOU, Pisces! We predict you'll be getting close to a certain special someone!\Umaruuun!\Kirie, we're at the amusement park! response:	Yes we are, Umaru!
context: And now, it's your morning horoscope countdown!\In the top spot, it's YOU, Pisces! We predict you'll be getting close to a certain special someone!\Umaruuun!\Kirie, we're at the amusement park!\Yes we are, Umaru! response:	Kirie?
context: And now, it's your morning horoscope countdown!\In the top spot, it's YOU, Pisces! We predict you'll be getting close to a certain special someone!\Umaruuun!\Kirie, we're at the amusement park!\Yes we are, Umaru!\Kirie? response:	Kirie!
context: And now, it's your morning horoscope countdown!\In the top spot, it's YOU, Pisces! We predict you'll be getting close to a certain special someone!\Umaruuun!\Kirie, we're at the amusement park!\Yes we are, Umaru!\Kirie?\Kirie! response:	Are you all right?
context: And now, it's your morning horoscope countdown!\In the top spot, it's YOU, Pisces! We predict you'll be getting close to a certain special someone!\Umaruuun!\Kirie, we're at the amusement park!\Yes we are, Umaru!\Kirie?\Kirie!\Are you all right? response:	Do you feel bad?
context: In the top spot, it's YOU, Pisces! We predict you'll be getting close to a certain special someone!\Umaruuun!\Kirie, we're at the amusement park!\Yes we are, Umaru!\Kirie?\Kirie!\Are you all right?\Do you feel bad? response:	Um, i-it's nothing.
context: Umaruuun!\Kirie, we're at the amusement park!\Yes we are, Umaru!\Kirie?\Kirie!\Are you all right?\Do you feel bad?\Um, i-it's nothing. response:	I haven't been to an amusement park in a while.
context: Kirie, we're at the amusement park!\Yes we are, Umaru!\Kirie?\Kirie!\Are you all right?\Do you feel bad?\Um, i-it's nothing.\I haven't been to an amusement park in a while. response:	Indeed, I'm looking forward to us all going together!
context: Yes we are, Umaru!\Kirie?\Kirie!\Are you all right?\Do you feel bad?\Um, i-it's nothing.\I haven't been to an amusement park in a while.\Indeed, I'm looking forward to us all going together! response:	Hey, everyone!
context: Kirie?\Kirie!\Are you all right?\Do you feel bad?\Um, i-it's nothing.\I haven't been to an amusement park in a while.\Indeed, I'm looking forward to us all going together!\Hey, everyone! response:	Sorry to keep you waiting!
context: Kirie!\Are you all right?\Do you feel bad?\Um, i-it's nothing.\I haven't been to an amusement park in a while.\Indeed, I'm looking forward to us all going together!\Hey, everyone!\Sorry to keep you waiting! response:	Umaru...!
