context: Miku, what is it you wanted to talk to me about? response:	We don't need to be equals.
context: Miku, what is it you wanted to talk to me about?\We don't need to be equals. response:	We need to be fair.
context: Miku, what is it you wanted to talk to me about?\We don't need to be equals.\We need to be fair. response:	So then what should I do?
context: Miku, what is it you wanted to talk to me about?\We don't need to be equals.\We need to be fair.\So then what should I do? response:	Are you talking about the campfire?
context: Miku, what is it you wanted to talk to me about?\We don't need to be equals.\We need to be fair.\So then what should I do?\Are you talking about the campfire? response:	Y-Yeah.
context: Miku, what is it you wanted to talk to me about?\We don't need to be equals.\We need to be fair.\So then what should I do?\Are you talking about the campfire?\Y-Yeah. response:	The legend that the people in class were talking about
context: Miku, what is it you wanted to talk to me about?\We don't need to be equals.\We need to be fair.\So then what should I do?\Are you talking about the campfire?\Y-Yeah.\The legend that the people in class were talking about response:	says that you have to hold hands at the finale.
context: Miku, what is it you wanted to talk to me about?\We don't need to be equals.\We need to be fair.\So then what should I do?\Are you talking about the campfire?\Y-Yeah.\The legend that the people in class were talking about\says that you have to hold hands at the finale. response:	Right.
context: We don't need to be equals.\We need to be fair.\So then what should I do?\Are you talking about the campfire?\Y-Yeah.\The legend that the people in class were talking about\says that you have to hold hands at the finale.\Right. response:	Futaro has two hands.
context: We need to be fair.\So then what should I do?\Are you talking about the campfire?\Y-Yeah.\The legend that the people in class were talking about\says that you have to hold hands at the finale.\Right.\Futaro has two hands. response:	Let's take both his hands.
context: So then what should I do?\Are you talking about the campfire?\Y-Yeah.\The legend that the people in class were talking about\says that you have to hold hands at the finale.\Right.\Futaro has two hands.\Let's take both his hands. response:	Huh? Say what?
context: Are you talking about the campfire?\Y-Yeah.\The legend that the people in class were talking about\says that you have to hold hands at the finale.\Right.\Futaro has two hands.\Let's take both his hands.\Huh? Say what? response:	Never mind.
context: Y-Yeah.\The legend that the people in class were talking about\says that you have to hold hands at the finale.\Right.\Futaro has two hands.\Let's take both his hands.\Huh? Say what?\Never mind. response:	Sorry, I still have a cough.
context: The legend that the people in class were talking about\says that you have to hold hands at the finale.\Right.\Futaro has two hands.\Let's take both his hands.\Huh? Say what?\Never mind.\Sorry, I still have a cough. response:	You should be staying inside, not skiing.
context: says that you have to hold hands at the finale.\Right.\Futaro has two hands.\Let's take both his hands.\Huh? Say what?\Never mind.\Sorry, I still have a cough.\You should be staying inside, not skiing. response:	But I just changed into my ski wear.
context: Right.\Futaro has two hands.\Let's take both his hands.\Huh? Say what?\Never mind.\Sorry, I still have a cough.\You should be staying inside, not skiing.\But I just changed into my ski wear. response:	No.
context: Futaro has two hands.\Let's take both his hands.\Huh? Say what?\Never mind.\Sorry, I still have a cough.\You should be staying inside, not skiing.\But I just changed into my ski wear.\No. response:	You're sick. Stay in bed.
context: Let's take both his hands.\Huh? Say what?\Never mind.\Sorry, I still have a cough.\You should be staying inside, not skiing.\But I just changed into my ski wear.\No.\You're sick. Stay in bed. response:	Ichika?
context: Huh? Say what?\Never mind.\Sorry, I still have a cough.\You should be staying inside, not skiing.\But I just changed into my ski wear.\No.\You're sick. Stay in bed.\Ichika? response:	It's gotten worse, huh?
context: Never mind.\Sorry, I still have a cough.\You should be staying inside, not skiing.\But I just changed into my ski wear.\No.\You're sick. Stay in bed.\Ichika?\It's gotten worse, huh? response:	We both have some bad luck.
context: Sorry, I still have a cough.\You should be staying inside, not skiing.\But I just changed into my ski wear.\No.\You're sick. Stay in bed.\Ichika?\It's gotten worse, huh?\We both have some bad luck. response:	Huh? Did I ever tell Futaro-kun that I'm sick?
context: You should be staying inside, not skiing.\But I just changed into my ski wear.\No.\You're sick. Stay in bed.\Ichika?\It's gotten worse, huh?\We both have some bad luck.\Huh? Did I ever tell Futaro-kun that I'm sick? response:	No, you just said...
context: But I just changed into my ski wear.\No.\You're sick. Stay in bed.\Ichika?\It's gotten worse, huh?\We both have some bad luck.\Huh? Did I ever tell Futaro-kun that I'm sick?\No, you just said... response:	Y-You were on speakerphone.
context: No.\You're sick. Stay in bed.\Ichika?\It's gotten worse, huh?\We both have some bad luck.\Huh? Did I ever tell Futaro-kun that I'm sick?\No, you just said...\Y-You were on speakerphone. response:	Oh, whatever.
context: You're sick. Stay in bed.\Ichika?\It's gotten worse, huh?\We both have some bad luck.\Huh? Did I ever tell Futaro-kun that I'm sick?\No, you just said...\Y-You were on speakerphone.\Oh, whatever. response:	So you two are together, right?
context: Ichika?\It's gotten worse, huh?\We both have some bad luck.\Huh? Did I ever tell Futaro-kun that I'm sick?\No, you just said...\Y-You were on speakerphone.\Oh, whatever.\So you two are together, right? response:	I'm kind of relieved, I think.
context: It's gotten worse, huh?\We both have some bad luck.\Huh? Did I ever tell Futaro-kun that I'm sick?\No, you just said...\Y-You were on speakerphone.\Oh, whatever.\So you two are together, right?\I'm kind of relieved, I think. response:	Okay, I'm going to head back, but I have a favor to ask of you two.
context: We both have some bad luck.\Huh? Did I ever tell Futaro-kun that I'm sick?\No, you just said...\Y-You were on speakerphone.\Oh, whatever.\So you two are together, right?\I'm kind of relieved, I think.\Okay, I'm going to head back, but I have a favor to ask of you two. response:	Find Itsuki-chan. She's on her own.
context: Huh? Did I ever tell Futaro-kun that I'm sick?\No, you just said...\Y-You were on speakerphone.\Oh, whatever.\So you two are together, right?\I'm kind of relieved, I think.\Okay, I'm going to head back, but I have a favor to ask of you two.\Find Itsuki-chan. She's on her own. response:	I'm sure she's actually lonely.
context: No, you just said...\Y-You were on speakerphone.\Oh, whatever.\So you two are together, right?\I'm kind of relieved, I think.\Okay, I'm going to head back, but I have a favor to ask of you two.\Find Itsuki-chan. She's on her own.\I'm sure she's actually lonely. response:	Weird.
context: Y-You were on speakerphone.\Oh, whatever.\So you two are together, right?\I'm kind of relieved, I think.\Okay, I'm going to head back, but I have a favor to ask of you two.\Find Itsuki-chan. She's on her own.\I'm sure she's actually lonely.\Weird. response:	How could Itsuki not be here?
context: Oh, whatever.\So you two are together, right?\I'm kind of relieved, I think.\Okay, I'm going to head back, but I have a favor to ask of you two.\Find Itsuki-chan. She's on her own.\I'm sure she's actually lonely.\Weird.\How could Itsuki not be here? response:	That's rude.
context: So you two are together, right?\I'm kind of relieved, I think.\Okay, I'm going to head back, but I have a favor to ask of you two.\Find Itsuki-chan. She's on her own.\I'm sure she's actually lonely.\Weird.\How could Itsuki not be here?\That's rude. response:	Come to think of it, I haven't seen her since we started skiing.
context: I'm kind of relieved, I think.\Okay, I'm going to head back, but I have a favor to ask of you two.\Find Itsuki-chan. She's on her own.\I'm sure she's actually lonely.\Weird.\How could Itsuki not be here?\That's rude.\Come to think of it, I haven't seen her since we started skiing. response:	I can't get through to her phone, either.
context: Okay, I'm going to head back, but I have a favor to ask of you two.\Find Itsuki-chan. She's on her own.\I'm sure she's actually lonely.\Weird.\How could Itsuki not be here?\That's rude.\Come to think of it, I haven't seen her since we started skiing.\I can't get through to her phone, either. response:	I wonder if she went to the advanced course.
context: Find Itsuki-chan. She's on her own.\I'm sure she's actually lonely.\Weird.\How could Itsuki not be here?\That's rude.\Come to think of it, I haven't seen her since we started skiing.\I can't get through to her phone, either.\I wonder if she went to the advanced course. response:	F-Futaro?
context: I'm sure she's actually lonely.\Weird.\How could Itsuki not be here?\That's rude.\Come to think of it, I haven't seen her since we started skiing.\I can't get through to her phone, either.\I wonder if she went to the advanced course.\F-Futaro? response:	You're sweating really bad. Are you okay?
