context: Why did I do something that embarrassing? response:	I wanna die! I wanna die!
context: Why did I do something that embarrassing?\I wanna die! I wanna die! response:	I don't wanna go to school tomorrow!
context: Why did I do something that embarrassing?\I wanna die! I wanna die!\I don't wanna go to school tomorrow! response:	Am I stupid?! Am I stupid?!
context: Why did I do something that embarrassing?\I wanna die! I wanna die!\I don't wanna go to school tomorrow!\Am I stupid?! Am I stupid?! response:	Stupid! Stupid!
context: Why did I do something that embarrassing?\I wanna die! I wanna die!\I don't wanna go to school tomorrow!\Am I stupid?! Am I stupid?!\Stupid! Stupid! response:	I want to die.
context: Why did I do something that embarrassing?\I wanna die! I wanna die!\I don't wanna go to school tomorrow!\Am I stupid?! Am I stupid?!\Stupid! Stupid!\I want to die. response:	What's with you, Onii-chan?
context: Why did I do something that embarrassing?\I wanna die! I wanna die!\I don't wanna go to school tomorrow!\Am I stupid?! Am I stupid?!\Stupid! Stupid!\I want to die.\What's with you, Onii-chan? response:	Leave me alone.
context: Why did I do something that embarrassing?\I wanna die! I wanna die!\I don't wanna go to school tomorrow!\Am I stupid?! Am I stupid?!\Stupid! Stupid!\I want to die.\What's with you, Onii-chan?\Leave me alone. response:	I'm having a little identity crisis right now.
context: I wanna die! I wanna die!\I don't wanna go to school tomorrow!\Am I stupid?! Am I stupid?!\Stupid! Stupid!\I want to die.\What's with you, Onii-chan?\Leave me alone.\I'm having a little identity crisis right now. response:	Look, Onii-chan...
context: I don't wanna go to school tomorrow!\Am I stupid?! Am I stupid?!\Stupid! Stupid!\I want to die.\What's with you, Onii-chan?\Leave me alone.\I'm having a little identity crisis right now.\Look, Onii-chan... response:	Identity? What?
context: Am I stupid?! Am I stupid?!\Stupid! Stupid!\I want to die.\What's with you, Onii-chan?\Leave me alone.\I'm having a little identity crisis right now.\Look, Onii-chan...\Identity? What? response:	The people who yap about identities all the time
context: Stupid! Stupid!\I want to die.\What's with you, Onii-chan?\Leave me alone.\I'm having a little identity crisis right now.\Look, Onii-chan...\Identity? What?\The people who yap about identities all the time response:	are usually the ones with no identity.
context: I want to die.\What's with you, Onii-chan?\Leave me alone.\I'm having a little identity crisis right now.\Look, Onii-chan...\Identity? What?\The people who yap about identities all the time\are usually the ones with no identity. response:	Like something that changes so easily could really be an identity, anyway.
context: What's with you, Onii-chan?\Leave me alone.\I'm having a little identity crisis right now.\Look, Onii-chan...\Identity? What?\The people who yap about identities all the time\are usually the ones with no identity.\Like something that changes so easily could really be an identity, anyway. response:	Komachi-chan, why are you talking like that? It's crude.
