context: The culture festival is finally drawing near... response:	Yano, where are you?
context: The culture festival is finally drawing near...\Yano, where are you? response:	Hey, have you seen Yano?
context: The culture festival is finally drawing near...\Yano, where are you?\Hey, have you seen Yano? response:	Ah, Yano? I think he's around here somewhere, so I'll take a look.
context: The culture festival is finally drawing near...\Yano, where are you?\Hey, have you seen Yano?\Ah, Yano? I think he's around here somewhere, so I'll take a look. response:	Are you sure that's really all right?
context: The culture festival is finally drawing near...\Yano, where are you?\Hey, have you seen Yano?\Ah, Yano? I think he's around here somewhere, so I'll take a look.\Are you sure that's really all right? response:	Yeah.
context: The culture festival is finally drawing near...\Yano, where are you?\Hey, have you seen Yano?\Ah, Yano? I think he's around here somewhere, so I'll take a look.\Are you sure that's really all right?\Yeah. response:	One thing I'm especially good at...
context: The culture festival is finally drawing near...\Yano, where are you?\Hey, have you seen Yano?\Ah, Yano? I think he's around here somewhere, so I'll take a look.\Are you sure that's really all right?\Yeah.\One thing I'm especially good at... response:	That's amazing.
context: The culture festival is finally drawing near...\Yano, where are you?\Hey, have you seen Yano?\Ah, Yano? I think he's around here somewhere, so I'll take a look.\Are you sure that's really all right?\Yeah.\One thing I'm especially good at...\That's amazing. response:	Really?
context: Yano, where are you?\Hey, have you seen Yano?\Ah, Yano? I think he's around here somewhere, so I'll take a look.\Are you sure that's really all right?\Yeah.\One thing I'm especially good at...\That's amazing.\Really? response:	Yano.
context: Hey, have you seen Yano?\Ah, Yano? I think he's around here somewhere, so I'll take a look.\Are you sure that's really all right?\Yeah.\One thing I'm especially good at...\That's amazing.\Really?\Yano. response:	Because he's the one I love.
context: Ah, Yano? I think he's around here somewhere, so I'll take a look.\Are you sure that's really all right?\Yeah.\One thing I'm especially good at...\That's amazing.\Really?\Yano.\Because he's the one I love. response:	Usotsuki na anata nakimushi no atashi
context: Are you sure that's really all right?\Yeah.\One thing I'm especially good at...\That's amazing.\Really?\Yano.\Because he's the one I love.\Usotsuki na anata nakimushi no atashi response:	Doushite umaku ikanai wa
context: Yeah.\One thing I'm especially good at...\That's amazing.\Really?\Yano.\Because he's the one I love.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa response:	Oshare shita kami mo rain suton no tsume mo
context: One thing I'm especially good at...\That's amazing.\Really?\Yano.\Because he's the one I love.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo response:	Anata wa kidzuki mo shinai ne
context: That's amazing.\Really?\Yano.\Because he's the one I love.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne response:	Love kanashii namida nanka ja nai yo
context: Really?\Yano.\Because he's the one I love.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo response:	Me ga kawaite hirihiri suru dake
context: Yano.\Because he's the one I love.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake response:	Kono unmei bakari I love
