context: You've been staying up late every night. response:	Here, your lunch.
context: You've been staying up late every night.\Here, your lunch. response:	Are you sure I shouldn't come to the sports festival?
context: You've been staying up late every night.\Here, your lunch.\Are you sure I shouldn't come to the sports festival? response:	No. Don't.
context: You've been staying up late every night.\Here, your lunch.\Are you sure I shouldn't come to the sports festival?\No. Don't. response:	Fine, fine.
context: You've been staying up late every night.\Here, your lunch.\Are you sure I shouldn't come to the sports festival?\No. Don't.\Fine, fine. response:	Are you writing?
context: You've been staying up late every night.\Here, your lunch.\Are you sure I shouldn't come to the sports festival?\No. Don't.\Fine, fine.\Are you writing? response:	It's fine.
context: You've been staying up late every night.\Here, your lunch.\Are you sure I shouldn't come to the sports festival?\No. Don't.\Fine, fine.\Are you writing?\It's fine. response:	I was like that once, too.
context: You've been staying up late every night.\Here, your lunch.\Are you sure I shouldn't come to the sports festival?\No. Don't.\Fine, fine.\Are you writing?\It's fine.\I was like that once, too. response:	Do what makes you happy.
context: Here, your lunch.\Are you sure I shouldn't come to the sports festival?\No. Don't.\Fine, fine.\Are you writing?\It's fine.\I was like that once, too.\Do what makes you happy. response:	That's the whole point of being young.
context: Are you sure I shouldn't come to the sports festival?\No. Don't.\Fine, fine.\Are you writing?\It's fine.\I was like that once, too.\Do what makes you happy.\That's the whole point of being young. response:	I've never let anyone around me read my stories.
context: No. Don't.\Fine, fine.\Are you writing?\It's fine.\I was like that once, too.\Do what makes you happy.\That's the whole point of being young.\I've never let anyone around me read my stories. response:	After all, Dazai said,
context: Fine, fine.\Are you writing?\It's fine.\I was like that once, too.\Do what makes you happy.\That's the whole point of being young.\I've never let anyone around me read my stories.\After all, Dazai said, response:	One cannot influence another, nor can one be influenced by another.
context: Are you writing?\It's fine.\I was like that once, too.\Do what makes you happy.\That's the whole point of being young.\I've never let anyone around me read my stories.\After all, Dazai said,\One cannot influence another, nor can one be influenced by another. response:	Sports Festival
context: It's fine.\I was like that once, too.\Do what makes you happy.\That's the whole point of being young.\I've never let anyone around me read my stories.\After all, Dazai said,\One cannot influence another, nor can one be influenced by another.\Sports Festival response:	Participants in the girls' 200-meter sprint,
context: I was like that once, too.\Do what makes you happy.\That's the whole point of being young.\I've never let anyone around me read my stories.\After all, Dazai said,\One cannot influence another, nor can one be influenced by another.\Sports Festival\Participants in the girls' 200-meter sprint, response:	please assemble at the entrance gate.
context: Do what makes you happy.\That's the whole point of being young.\I've never let anyone around me read my stories.\After all, Dazai said,\One cannot influence another, nor can one be influenced by another.\Sports Festival\Participants in the girls' 200-meter sprint,\please assemble at the entrance gate. response:	On your marks...
context: That's the whole point of being young.\I've never let anyone around me read my stories.\After all, Dazai said,\One cannot influence another, nor can one be influenced by another.\Sports Festival\Participants in the girls' 200-meter sprint,\please assemble at the entrance gate.\On your marks... response:	The blue team's gonna win this year!
context: I've never let anyone around me read my stories.\After all, Dazai said,\One cannot influence another, nor can one be influenced by another.\Sports Festival\Participants in the girls' 200-meter sprint,\please assemble at the entrance gate.\On your marks...\The blue team's gonna win this year! response:	You're pretty gung-ho, Chinatsu.
