context: After spending Tanabata in a state of melancholy... response:	Japanese
context: After spending Tanabata in a state of melancholy...\Japanese response:	Answer Sheet
context: After spending Tanabata in a state of melancholy...\Japanese\Answer Sheet response:	As for me...
context: After spending Tanabata in a state of melancholy...\Japanese\Answer Sheet\As for me... response:	I felt like the blue baton of melancholy had been passed to me...
context: After spending Tanabata in a state of melancholy...\Japanese\Answer Sheet\As for me...\I felt like the blue baton of melancholy had been passed to me... response:	Totally down in the dumps.
context: After spending Tanabata in a state of melancholy...\Japanese\Answer Sheet\As for me...\I felt like the blue baton of melancholy had been passed to me...\Totally down in the dumps. response:	And Haruhi, taking her test in the seat behind me...
context: After spending Tanabata in a state of melancholy...\Japanese\Answer Sheet\As for me...\I felt like the blue baton of melancholy had been passed to me...\Totally down in the dumps.\And Haruhi, taking her test in the seat behind me... response:	Annoying.
context: After spending Tanabata in a state of melancholy...\Japanese\Answer Sheet\As for me...\I felt like the blue baton of melancholy had been passed to me...\Totally down in the dumps.\And Haruhi, taking her test in the seat behind me...\Annoying. response:	Oh, so annoying.
context: Japanese\Answer Sheet\As for me...\I felt like the blue baton of melancholy had been passed to me...\Totally down in the dumps.\And Haruhi, taking her test in the seat behind me...\Annoying.\Oh, so annoying. response:	Annoying!
context: Answer Sheet\As for me...\I felt like the blue baton of melancholy had been passed to me...\Totally down in the dumps.\And Haruhi, taking her test in the seat behind me...\Annoying.\Oh, so annoying.\Annoying! response:	As far as Haruhi is concerned...
context: As for me...\I felt like the blue baton of melancholy had been passed to me...\Totally down in the dumps.\And Haruhi, taking her test in the seat behind me...\Annoying.\Oh, so annoying.\Annoying!\As far as Haruhi is concerned... response:	Mysterique Sign
context: I felt like the blue baton of melancholy had been passed to me...\Totally down in the dumps.\And Haruhi, taking her test in the seat behind me...\Annoying.\Oh, so annoying.\Annoying!\As far as Haruhi is concerned...\Mysterique Sign response:	Even during exam season when club activities were suspended...
context: Totally down in the dumps.\And Haruhi, taking her test in the seat behind me...\Annoying.\Oh, so annoying.\Annoying!\As far as Haruhi is concerned...\Mysterique Sign\Even during exam season when club activities were suspended... response:	Hey.
context: And Haruhi, taking her test in the seat behind me...\Annoying.\Oh, so annoying.\Annoying!\As far as Haruhi is concerned...\Mysterique Sign\Even during exam season when club activities were suspended...\Hey. response:	Take a look at this.
context: Annoying.\Oh, so annoying.\Annoying!\As far as Haruhi is concerned...\Mysterique Sign\Even during exam season when club activities were suspended...\Hey.\Take a look at this. response:	What is this?
context: Oh, so annoying.\Annoying!\As far as Haruhi is concerned...\Mysterique Sign\Even during exam season when club activities were suspended...\Hey.\Take a look at this.\What is this? response:	Can't you tell?
context: Annoying!\As far as Haruhi is concerned...\Mysterique Sign\Even during exam season when club activities were suspended...\Hey.\Take a look at this.\What is this?\Can't you tell? response:	I can't.
context: As far as Haruhi is concerned...\Mysterique Sign\Even during exam season when club activities were suspended...\Hey.\Take a look at this.\What is this?\Can't you tell?\I can't. response:	I have no idea.
context: Mysterique Sign\Even during exam season when club activities were suspended...\Hey.\Take a look at this.\What is this?\Can't you tell?\I can't.\I have no idea. response:	It's my SOS Brigade emblem!
context: Even during exam season when club activities were suspended...\Hey.\Take a look at this.\What is this?\Can't you tell?\I can't.\I have no idea.\It's my SOS Brigade emblem! response:	Emblem?
context: Hey.\Take a look at this.\What is this?\Can't you tell?\I can't.\I have no idea.\It's my SOS Brigade emblem!\Emblem? response:	Looks like a grumbling, drunken tapeworm to me.
context: Take a look at this.\What is this?\Can't you tell?\I can't.\I have no idea.\It's my SOS Brigade emblem!\Emblem?\Looks like a grumbling, drunken tapeworm to me. response:	Look closer!
context: What is this?\Can't you tell?\I can't.\I have no idea.\It's my SOS Brigade emblem!\Emblem?\Looks like a grumbling, drunken tapeworm to me.\Look closer! response:	See.
context: Can't you tell?\I can't.\I have no idea.\It's my SOS Brigade emblem!\Emblem?\Looks like a grumbling, drunken tapeworm to me.\Look closer!\See. response:	It says SOS Brigade in the center, right?
context: I can't.\I have no idea.\It's my SOS Brigade emblem!\Emblem?\Looks like a grumbling, drunken tapeworm to me.\Look closer!\See.\It says SOS Brigade in the center, right? response:	When you put it that way...
context: I have no idea.\It's my SOS Brigade emblem!\Emblem?\Looks like a grumbling, drunken tapeworm to me.\Look closer!\See.\It says SOS Brigade in the center, right?\When you put it that way... response:	But you can't say that it wouldn't be difficult to assert that claim.
context: It's my SOS Brigade emblem!\Emblem?\Looks like a grumbling, drunken tapeworm to me.\Look closer!\See.\It says SOS Brigade in the center, right?\When you put it that way...\But you can't say that it wouldn't be difficult to assert that claim. response:	Well then.
context: Emblem?\Looks like a grumbling, drunken tapeworm to me.\Look closer!\See.\It says SOS Brigade in the center, right?\When you put it that way...\But you can't say that it wouldn't be difficult to assert that claim.\Well then. response:	How many negatives did I just string together?
context: Looks like a grumbling, drunken tapeworm to me.\Look closer!\See.\It says SOS Brigade in the center, right?\When you put it that way...\But you can't say that it wouldn't be difficult to assert that claim.\Well then.\How many negatives did I just string together? response:	If someone's free, tally it up for me.
context: Look closer!\See.\It says SOS Brigade in the center, right?\When you put it that way...\But you can't say that it wouldn't be difficult to assert that claim.\Well then.\How many negatives did I just string together?\If someone's free, tally it up for me. response:	You're the one with the most free time!
context: See.\It says SOS Brigade in the center, right?\When you put it that way...\But you can't say that it wouldn't be difficult to assert that claim.\Well then.\How many negatives did I just string together?\If someone's free, tally it up for me.\You're the one with the most free time! response:	Anyway, I'm thinking about putting this on the SOS Brigade's top page.
context: It says SOS Brigade in the center, right?\When you put it that way...\But you can't say that it wouldn't be difficult to assert that claim.\Well then.\How many negatives did I just string together?\If someone's free, tally it up for me.\You're the one with the most free time!\Anyway, I'm thinking about putting this on the SOS Brigade's top page. response:	On that pathetic site that only has a top page?
context: When you put it that way...\But you can't say that it wouldn't be difficult to assert that claim.\Well then.\How many negatives did I just string together?\If someone's free, tally it up for me.\You're the one with the most free time!\Anyway, I'm thinking about putting this on the SOS Brigade's top page.\On that pathetic site that only has a top page? response:	The site you made won't bring in visitors.
context: But you can't say that it wouldn't be difficult to assert that claim.\Well then.\How many negatives did I just string together?\If someone's free, tally it up for me.\You're the one with the most free time!\Anyway, I'm thinking about putting this on the SOS Brigade's top page.\On that pathetic site that only has a top page?\The site you made won't bring in visitors. response:	You should feel mortified.
context: Well then.\How many negatives did I just string together?\If someone's free, tally it up for me.\You're the one with the most free time!\Anyway, I'm thinking about putting this on the SOS Brigade's top page.\On that pathetic site that only has a top page?\The site you made won't bring in visitors.\You should feel mortified. response:	We totally don't have anything to liven it up.
context: How many negatives did I just string together?\If someone's free, tally it up for me.\You're the one with the most free time!\Anyway, I'm thinking about putting this on the SOS Brigade's top page.\On that pathetic site that only has a top page?\The site you made won't bring in visitors.\You should feel mortified.\We totally don't have anything to liven it up. response:	It's because you got in my way!
context: If someone's free, tally it up for me.\You're the one with the most free time!\Anyway, I'm thinking about putting this on the SOS Brigade's top page.\On that pathetic site that only has a top page?\The site you made won't bring in visitors.\You should feel mortified.\We totally don't have anything to liven it up.\It's because you got in my way! response:	And I was planning on attracting visitors with erotic images of Mikuru-chan.
context: You're the one with the most free time!\Anyway, I'm thinking about putting this on the SOS Brigade's top page.\On that pathetic site that only has a top page?\The site you made won't bring in visitors.\You should feel mortified.\We totally don't have anything to liven it up.\It's because you got in my way!\And I was planning on attracting visitors with erotic images of Mikuru-chan. response:	That's why I came up with this!
context: Anyway, I'm thinking about putting this on the SOS Brigade's top page.\On that pathetic site that only has a top page?\The site you made won't bring in visitors.\You should feel mortified.\We totally don't have anything to liven it up.\It's because you got in my way!\And I was planning on attracting visitors with erotic images of Mikuru-chan.\That's why I came up with this! response:	How about putting up something like an SOS Brigade symbol?
context: On that pathetic site that only has a top page?\The site you made won't bring in visitors.\You should feel mortified.\We totally don't have anything to liven it up.\It's because you got in my way!\And I was planning on attracting visitors with erotic images of Mikuru-chan.\That's why I came up with this!\How about putting up something like an SOS Brigade symbol? response:	Just delete this retarded homepage off the Internet already.
context: The site you made won't bring in visitors.\You should feel mortified.\We totally don't have anything to liven it up.\It's because you got in my way!\And I was planning on attracting visitors with erotic images of Mikuru-chan.\That's why I came up with this!\How about putting up something like an SOS Brigade symbol?\Just delete this retarded homepage off the Internet already. response:	The access counter hasn't even reached three digits...
context: You should feel mortified.\We totally don't have anything to liven it up.\It's because you got in my way!\And I was planning on attracting visitors with erotic images of Mikuru-chan.\That's why I came up with this!\How about putting up something like an SOS Brigade symbol?\Just delete this retarded homepage off the Internet already.\The access counter hasn't even reached three digits... response:	Why don't you write a journal?
context: We totally don't have anything to liven it up.\It's because you got in my way!\And I was planning on attracting visitors with erotic images of Mikuru-chan.\That's why I came up with this!\How about putting up something like an SOS Brigade symbol?\Just delete this retarded homepage off the Internet already.\The access counter hasn't even reached three digits...\Why don't you write a journal? response:	Isn't it the chief's job to put up a task schedule?
context: It's because you got in my way!\And I was planning on attracting visitors with erotic images of Mikuru-chan.\That's why I came up with this!\How about putting up something like an SOS Brigade symbol?\Just delete this retarded homepage off the Internet already.\The access counter hasn't even reached three digits...\Why don't you write a journal?\Isn't it the chief's job to put up a task schedule? response:	Screw that. It's a pain.
context: And I was planning on attracting visitors with erotic images of Mikuru-chan.\That's why I came up with this!\How about putting up something like an SOS Brigade symbol?\Just delete this retarded homepage off the Internet already.\The access counter hasn't even reached three digits...\Why don't you write a journal?\Isn't it the chief's job to put up a task schedule?\Screw that. It's a pain. response:	It'd be a pain for me, too.
context: That's why I came up with this!\How about putting up something like an SOS Brigade symbol?\Just delete this retarded homepage off the Internet already.\The access counter hasn't even reached three digits...\Why don't you write a journal?\Isn't it the chief's job to put up a task schedule?\Screw that. It's a pain.\It'd be a pain for me, too. response:	Come on, Kyon.
context: How about putting up something like an SOS Brigade symbol?\Just delete this retarded homepage off the Internet already.\The access counter hasn't even reached three digits...\Why don't you write a journal?\Isn't it the chief's job to put up a task schedule?\Screw that. It's a pain.\It'd be a pain for me, too.\Come on, Kyon. response:	Make this symbol display at the top of the site.
context: Just delete this retarded homepage off the Internet already.\The access counter hasn't even reached three digits...\Why don't you write a journal?\Isn't it the chief's job to put up a task schedule?\Screw that. It's a pain.\It'd be a pain for me, too.\Come on, Kyon.\Make this symbol display at the top of the site. response:	You do it yourself.
context: The access counter hasn't even reached three digits...\Why don't you write a journal?\Isn't it the chief's job to put up a task schedule?\Screw that. It's a pain.\It'd be a pain for me, too.\Come on, Kyon.\Make this symbol display at the top of the site.\You do it yourself. response:	I'm the brigade chief!
context: Why don't you write a journal?\Isn't it the chief's job to put up a task schedule?\Screw that. It's a pain.\It'd be a pain for me, too.\Come on, Kyon.\Make this symbol display at the top of the site.\You do it yourself.\I'm the brigade chief! response:	The chief's job is to give orders.
