context: There are several rules you must follow while traveling outside of Luna Nova. response:	Just because you will not be on campus does not mean you may forget your status as students.
context: There are several rules you must follow while traveling outside of Luna Nova.\Just because you will not be on campus does not mean you may forget your status as students. response:	Act with dignity and virtue at all times!
context: There are several rules you must follow while traveling outside of Luna Nova.\Just because you will not be on campus does not mean you may forget your status as students.\Act with dignity and virtue at all times! response:	You must be noble and upright at all times.
context: There are several rules you must follow while traveling outside of Luna Nova.\Just because you will not be on campus does not mean you may forget your status as students.\Act with dignity and virtue at all times!\You must be noble and upright at all times. response:	So it's all about eating for you, Akko?
context: There are several rules you must follow while traveling outside of Luna Nova.\Just because you will not be on campus does not mean you may forget your status as students.\Act with dignity and virtue at all times!\You must be noble and upright at all times.\So it's all about eating for you, Akko? response:	Akko, you just want to eat food?
context: There are several rules you must follow while traveling outside of Luna Nova.\Just because you will not be on campus does not mean you may forget your status as students.\Act with dignity and virtue at all times!\You must be noble and upright at all times.\So it's all about eating for you, Akko?\Akko, you just want to eat food? response:	First, do not take any action that would not befit the pride of a Luna Nova student.
context: There are several rules you must follow while traveling outside of Luna Nova.\Just because you will not be on campus does not mean you may forget your status as students.\Act with dignity and virtue at all times!\You must be noble and upright at all times.\So it's all about eating for you, Akko?\Akko, you just want to eat food?\First, do not take any action that would not befit the pride of a Luna Nova student. response:	You are not in the position to take responsibility for causing an issue of that sort.
context: There are several rules you must follow while traveling outside of Luna Nova.\Just because you will not be on campus does not mean you may forget your status as students.\Act with dignity and virtue at all times!\You must be noble and upright at all times.\So it's all about eating for you, Akko?\Akko, you just want to eat food?\First, do not take any action that would not befit the pride of a Luna Nova student.\You are not in the position to take responsibility for causing an issue of that sort. response:	If you cause an incident, you would not have the proper means to take responsibility.
context: Just because you will not be on campus does not mean you may forget your status as students.\Act with dignity and virtue at all times!\You must be noble and upright at all times.\So it's all about eating for you, Akko?\Akko, you just want to eat food?\First, do not take any action that would not befit the pride of a Luna Nova student.\You are not in the position to take responsibility for causing an issue of that sort.\If you cause an incident, you would not have the proper means to take responsibility. response:	It's a long boot I bought by mail order.
context: Act with dignity and virtue at all times!\You must be noble and upright at all times.\So it's all about eating for you, Akko?\Akko, you just want to eat food?\First, do not take any action that would not befit the pride of a Luna Nova student.\You are not in the position to take responsibility for causing an issue of that sort.\If you cause an incident, you would not have the proper means to take responsibility.\It's a long boot I bought by mail order. response:	Look, these poor students all look like you've been lecturing them since the second century.
context: You must be noble and upright at all times.\So it's all about eating for you, Akko?\Akko, you just want to eat food?\First, do not take any action that would not befit the pride of a Luna Nova student.\You are not in the position to take responsibility for causing an issue of that sort.\If you cause an incident, you would not have the proper means to take responsibility.\It's a long boot I bought by mail order.\Look, these poor students all look like you've been lecturing them since the second century. response:	See, all of the poor students look like you've been lecturing them since the second century.
context: So it's all about eating for you, Akko?\Akko, you just want to eat food?\First, do not take any action that would not befit the pride of a Luna Nova student.\You are not in the position to take responsibility for causing an issue of that sort.\If you cause an incident, you would not have the proper means to take responsibility.\It's a long boot I bought by mail order.\Look, these poor students all look like you've been lecturing them since the second century.\See, all of the poor students look like you've been lecturing them since the second century. response:	Say, would you look at this, Professor Ursula? Try it on, I'm certain it will look becoming on you.
context: Akko, you just want to eat food?\First, do not take any action that would not befit the pride of a Luna Nova student.\You are not in the position to take responsibility for causing an issue of that sort.\If you cause an incident, you would not have the proper means to take responsibility.\It's a long boot I bought by mail order.\Look, these poor students all look like you've been lecturing them since the second century.\See, all of the poor students look like you've been lecturing them since the second century.\Say, would you look at this, Professor Ursula? Try it on, I'm certain it will look becoming on you. response:	Say, isn't this interesting, Professor Ursula?
context: First, do not take any action that would not befit the pride of a Luna Nova student.\You are not in the position to take responsibility for causing an issue of that sort.\If you cause an incident, you would not have the proper means to take responsibility.\It's a long boot I bought by mail order.\Look, these poor students all look like you've been lecturing them since the second century.\See, all of the poor students look like you've been lecturing them since the second century.\Say, would you look at this, Professor Ursula? Try it on, I'm certain it will look becoming on you.\Say, isn't this interesting, Professor Ursula? response:	Try it on, I'm certain it will look becoming on you.
context: You are not in the position to take responsibility for causing an issue of that sort.\If you cause an incident, you would not have the proper means to take responsibility.\It's a long boot I bought by mail order.\Look, these poor students all look like you've been lecturing them since the second century.\See, all of the poor students look like you've been lecturing them since the second century.\Say, would you look at this, Professor Ursula? Try it on, I'm certain it will look becoming on you.\Say, isn't this interesting, Professor Ursula?\Try it on, I'm certain it will look becoming on you. response:	No, I'm...
context: If you cause an incident, you would not have the proper means to take responsibility.\It's a long boot I bought by mail order.\Look, these poor students all look like you've been lecturing them since the second century.\See, all of the poor students look like you've been lecturing them since the second century.\Say, would you look at this, Professor Ursula? Try it on, I'm certain it will look becoming on you.\Say, isn't this interesting, Professor Ursula?\Try it on, I'm certain it will look becoming on you.\No, I'm... response:	Well...
context: It's a long boot I bought by mail order.\Look, these poor students all look like you've been lecturing them since the second century.\See, all of the poor students look like you've been lecturing them since the second century.\Say, would you look at this, Professor Ursula? Try it on, I'm certain it will look becoming on you.\Say, isn't this interesting, Professor Ursula?\Try it on, I'm certain it will look becoming on you.\No, I'm...\Well... response:	Ah no, no, no, I'm afraid it is not.
context: Look, these poor students all look like you've been lecturing them since the second century.\See, all of the poor students look like you've been lecturing them since the second century.\Say, would you look at this, Professor Ursula? Try it on, I'm certain it will look becoming on you.\Say, isn't this interesting, Professor Ursula?\Try it on, I'm certain it will look becoming on you.\No, I'm...\Well...\Ah no, no, no, I'm afraid it is not. response:	No, no, no, no it is not.
context: See, all of the poor students look like you've been lecturing them since the second century.\Say, would you look at this, Professor Ursula? Try it on, I'm certain it will look becoming on you.\Say, isn't this interesting, Professor Ursula?\Try it on, I'm certain it will look becoming on you.\No, I'm...\Well...\Ah no, no, no, I'm afraid it is not.\No, no, no, no it is not. response:	An amulet must be something with emotional value.
context: Say, would you look at this, Professor Ursula? Try it on, I'm certain it will look becoming on you.\Say, isn't this interesting, Professor Ursula?\Try it on, I'm certain it will look becoming on you.\No, I'm...\Well...\Ah no, no, no, I'm afraid it is not.\No, no, no, no it is not.\An amulet must be something with emotional value. response:	Do you understand? It's a charm that will get you home safely.
context: Say, isn't this interesting, Professor Ursula?\Try it on, I'm certain it will look becoming on you.\No, I'm...\Well...\Ah no, no, no, I'm afraid it is not.\No, no, no, no it is not.\An amulet must be something with emotional value.\Do you understand? It's a charm that will get you home safely. response:	Just the thought of it should be enough to compel you to return.
context: Try it on, I'm certain it will look becoming on you.\No, I'm...\Well...\Ah no, no, no, I'm afraid it is not.\No, no, no, no it is not.\An amulet must be something with emotional value.\Do you understand? It's a charm that will get you home safely.\Just the thought of it should be enough to compel you to return. response:	I thought we were going to the city! We only ended up here because you said it was a shortcut.
context: No, I'm...\Well...\Ah no, no, no, I'm afraid it is not.\No, no, no, no it is not.\An amulet must be something with emotional value.\Do you understand? It's a charm that will get you home safely.\Just the thought of it should be enough to compel you to return.\I thought we were going to the city! We only ended up here because you said it was a shortcut. response:	You can only find these grave blushers growing in cemeteries.
context: Well...\Ah no, no, no, I'm afraid it is not.\No, no, no, no it is not.\An amulet must be something with emotional value.\Do you understand? It's a charm that will get you home safely.\Just the thought of it should be enough to compel you to return.\I thought we were going to the city! We only ended up here because you said it was a shortcut.\You can only find these grave blushers growing in cemeteries. response:	Ew, that's gross looking!
context: Ah no, no, no, I'm afraid it is not.\No, no, no, no it is not.\An amulet must be something with emotional value.\Do you understand? It's a charm that will get you home safely.\Just the thought of it should be enough to compel you to return.\I thought we were going to the city! We only ended up here because you said it was a shortcut.\You can only find these grave blushers growing in cemeteries.\Ew, that's gross looking! response:	So creepy... feels like a ghost is about to pop up.
