context: I have gathered you all here today for one reason. response:	I want all of us to overcome...
context: I have gathered you all here today for one reason.\I want all of us to overcome... response:	the grave situation afflicting Sakura Hall together.
context: I have gathered you all here today for one reason.\I want all of us to overcome...\the grave situation afflicting Sakura Hall together. response:	the Shiina Mashiro-san sitting here.
context: I have gathered you all here today for one reason.\I want all of us to overcome...\the grave situation afflicting Sakura Hall together.\the Shiina Mashiro-san sitting here. response:	This morning, by the time I'd helped her put on her socks,
context: I have gathered you all here today for one reason.\I want all of us to overcome...\the grave situation afflicting Sakura Hall together.\the Shiina Mashiro-san sitting here.\This morning, by the time I'd helped her put on her socks, response:	and fix her bed hair, we were late...
context: I have gathered you all here today for one reason.\I want all of us to overcome...\the grave situation afflicting Sakura Hall together.\the Shiina Mashiro-san sitting here.\This morning, by the time I'd helped her put on her socks,\and fix her bed hair, we were late... response:	This is heaven.
context: I have gathered you all here today for one reason.\I want all of us to overcome...\the grave situation afflicting Sakura Hall together.\the Shiina Mashiro-san sitting here.\This morning, by the time I'd helped her put on her socks,\and fix her bed hair, we were late...\This is heaven. response:	I'm in hell!
context: I have gathered you all here today for one reason.\I want all of us to overcome...\the grave situation afflicting Sakura Hall together.\the Shiina Mashiro-san sitting here.\This morning, by the time I'd helped her put on her socks,\and fix her bed hair, we were late...\This is heaven.\I'm in hell! response:	Shiina, where are you?
context: I want all of us to overcome...\the grave situation afflicting Sakura Hall together.\the Shiina Mashiro-san sitting here.\This morning, by the time I'd helped her put on her socks,\and fix her bed hair, we were late...\This is heaven.\I'm in hell!\Shiina, where are you? response:	On our way to school, we got lost,
context: the grave situation afflicting Sakura Hall together.\the Shiina Mashiro-san sitting here.\This morning, by the time I'd helped her put on her socks,\and fix her bed hair, we were late...\This is heaven.\I'm in hell!\Shiina, where are you?\On our way to school, we got lost, response:	Hurry up!
context: the Shiina Mashiro-san sitting here.\This morning, by the time I'd helped her put on her socks,\and fix her bed hair, we were late...\This is heaven.\I'm in hell!\Shiina, where are you?\On our way to school, we got lost,\Hurry up! response:	and finally arrived at school halfway through second period.
context: This morning, by the time I'd helped her put on her socks,\and fix her bed hair, we were late...\This is heaven.\I'm in hell!\Shiina, where are you?\On our way to school, we got lost,\Hurry up!\and finally arrived at school halfway through second period. response:	Shiina's a little different,
context: and fix her bed hair, we were late...\This is heaven.\I'm in hell!\Shiina, where are you?\On our way to school, we got lost,\Hurry up!\and finally arrived at school halfway through second period.\Shiina's a little different, response:	so she isn't capable of leading a normal life.
context: This is heaven.\I'm in hell!\Shiina, where are you?\On our way to school, we got lost,\Hurry up!\and finally arrived at school halfway through second period.\Shiina's a little different,\so she isn't capable of leading a normal life. response:	We should create a system where we take turns in looking after
context: I'm in hell!\Shiina, where are you?\On our way to school, we got lost,\Hurry up!\and finally arrived at school halfway through second period.\Shiina's a little different,\so she isn't capable of leading a normal life.\We should create a system where we take turns in looking after response:	I was just thinking...
context: Shiina, where are you?\On our way to school, we got lost,\Hurry up!\and finally arrived at school halfway through second period.\Shiina's a little different,\so she isn't capable of leading a normal life.\We should create a system where we take turns in looking after\I was just thinking... response:	Notebook PC and no panties kinda sound similar, don't they?
context: On our way to school, we got lost,\Hurry up!\and finally arrived at school halfway through second period.\Shiina's a little different,\so she isn't capable of leading a normal life.\We should create a system where we take turns in looking after\I was just thinking...\Notebook PC and no panties kinda sound similar, don't they? response:	What are you on about?!
context: Hurry up!\and finally arrived at school halfway through second period.\Shiina's a little different,\so she isn't capable of leading a normal life.\We should create a system where we take turns in looking after\I was just thinking...\Notebook PC and no panties kinda sound similar, don't they?\What are you on about?! response:	Well, her parents did tell her...
context: and finally arrived at school halfway through second period.\Shiina's a little different,\so she isn't capable of leading a normal life.\We should create a system where we take turns in looking after\I was just thinking...\Notebook PC and no panties kinda sound similar, don't they?\What are you on about?!\Well, her parents did tell her... response:	that she needed someone to look after her.
context: Shiina's a little different,\so she isn't capable of leading a normal life.\We should create a system where we take turns in looking after\I was just thinking...\Notebook PC and no panties kinda sound similar, don't they?\What are you on about?!\Well, her parents did tell her...\that she needed someone to look after her. response:	That's why we decided to have her stay in Sakura Hall.
context: so she isn't capable of leading a normal life.\We should create a system where we take turns in looking after\I was just thinking...\Notebook PC and no panties kinda sound similar, don't they?\What are you on about?!\Well, her parents did tell her...\that she needed someone to look after her.\That's why we decided to have her stay in Sakura Hall. response:	Look after her?
context: We should create a system where we take turns in looking after\I was just thinking...\Notebook PC and no panties kinda sound similar, don't they?\What are you on about?!\Well, her parents did tell her...\that she needed someone to look after her.\That's why we decided to have her stay in Sakura Hall.\Look after her? response:	Then, Sensei, take responsibility for her...
context: I was just thinking...\Notebook PC and no panties kinda sound similar, don't they?\What are you on about?!\Well, her parents did tell her...\that she needed someone to look after her.\That's why we decided to have her stay in Sakura Hall.\Look after her?\Then, Sensei, take responsibility for her... response:	and take care of her!
context: Notebook PC and no panties kinda sound similar, don't they?\What are you on about?!\Well, her parents did tell her...\that she needed someone to look after her.\That's why we decided to have her stay in Sakura Hall.\Look after her?\Then, Sensei, take responsibility for her...\and take care of her! response:	You're getting crumbs everywhere!
context: What are you on about?!\Well, her parents did tell her...\that she needed someone to look after her.\That's why we decided to have her stay in Sakura Hall.\Look after her?\Then, Sensei, take responsibility for her...\and take care of her!\You're getting crumbs everywhere! response:	We're holding this meeting for you, you know.
context: Well, her parents did tell her...\that she needed someone to look after her.\That's why we decided to have her stay in Sakura Hall.\Look after her?\Then, Sensei, take responsibility for her...\and take care of her!\You're getting crumbs everywhere!\We're holding this meeting for you, you know. response:	You got some up here!
context: that she needed someone to look after her.\That's why we decided to have her stay in Sakura Hall.\Look after her?\Then, Sensei, take responsibility for her...\and take care of her!\You're getting crumbs everywhere!\We're holding this meeting for you, you know.\You got some up here! response:	He's perfect.
context: That's why we decided to have her stay in Sakura Hall.\Look after her?\Then, Sensei, take responsibility for her...\and take care of her!\You're getting crumbs everywhere!\We're holding this meeting for you, you know.\You got some up here!\He's perfect. response:	Yes, indeedy!
context: Look after her?\Then, Sensei, take responsibility for her...\and take care of her!\You're getting crumbs everywhere!\We're holding this meeting for you, you know.\You got some up here!\He's perfect.\Yes, indeedy! response:	Okay, so Kanda will be on Mashiro Duty.
context: Then, Sensei, take responsibility for her...\and take care of her!\You're getting crumbs everywhere!\We're holding this meeting for you, you know.\You got some up here!\He's perfect.\Yes, indeedy!\Okay, so Kanda will be on Mashiro Duty. response:	What's that? Mashiro Duty?
context: and take care of her!\You're getting crumbs everywhere!\We're holding this meeting for you, you know.\You got some up here!\He's perfect.\Yes, indeedy!\Okay, so Kanda will be on Mashiro Duty.\What's that? Mashiro Duty? response:	It's decided! It's decided!
context: You're getting crumbs everywhere!\We're holding this meeting for you, you know.\You got some up here!\He's perfect.\Yes, indeedy!\Okay, so Kanda will be on Mashiro Duty.\What's that? Mashiro Duty?\It's decided! It's decided! response:	Akasaka Ryunosuke: I do not have time to waste on your mundane, pointless meeting.
context: We're holding this meeting for you, you know.\You got some up here!\He's perfect.\Yes, indeedy!\Okay, so Kanda will be on Mashiro Duty.\What's that? Mashiro Duty?\It's decided! It's decided!\Akasaka Ryunosuke: I do not have time to waste on your mundane, pointless meeting. response:	Ryunosuke-sama has logged out.
context: You got some up here!\He's perfect.\Yes, indeedy!\Okay, so Kanda will be on Mashiro Duty.\What's that? Mashiro Duty?\It's decided! It's decided!\Akasaka Ryunosuke: I do not have time to waste on your mundane, pointless meeting.\Ryunosuke-sama has logged out. response:	The dragon agrees too!
context: He's perfect.\Yes, indeedy!\Okay, so Kanda will be on Mashiro Duty.\What's that? Mashiro Duty?\It's decided! It's decided!\Akasaka Ryunosuke: I do not have time to waste on your mundane, pointless meeting.\Ryunosuke-sama has logged out.\The dragon agrees too! response:	It's unanimous. Then...
context: Yes, indeedy!\Okay, so Kanda will be on Mashiro Duty.\What's that? Mashiro Duty?\It's decided! It's decided!\Akasaka Ryunosuke: I do not have time to waste on your mundane, pointless meeting.\Ryunosuke-sama has logged out.\The dragon agrees too!\It's unanimous. Then... response:	Meeting adjourned!
context: Okay, so Kanda will be on Mashiro Duty.\What's that? Mashiro Duty?\It's decided! It's decided!\Akasaka Ryunosuke: I do not have time to waste on your mundane, pointless meeting.\Ryunosuke-sama has logged out.\The dragon agrees too!\It's unanimous. Then...\Meeting adjourned! response:	Good work, everybody.
context: What's that? Mashiro Duty?\It's decided! It's decided!\Akasaka Ryunosuke: I do not have time to waste on your mundane, pointless meeting.\Ryunosuke-sama has logged out.\The dragon agrees too!\It's unanimous. Then...\Meeting adjourned!\Good work, everybody. response:	I need to go over to Noriko the nurse's place tonight.
context: It's decided! It's decided!\Akasaka Ryunosuke: I do not have time to waste on your mundane, pointless meeting.\Ryunosuke-sama has logged out.\The dragon agrees too!\It's unanimous. Then...\Meeting adjourned!\Good work, everybody.\I need to go over to Noriko the nurse's place tonight. response:	Hey, wait.
context: Akasaka Ryunosuke: I do not have time to waste on your mundane, pointless meeting.\Ryunosuke-sama has logged out.\The dragon agrees too!\It's unanimous. Then...\Meeting adjourned!\Good work, everybody.\I need to go over to Noriko the nurse's place tonight.\Hey, wait. response:	What? I can't ignore that! Absolutely not!
context: Ryunosuke-sama has logged out.\The dragon agrees too!\It's unanimous. Then...\Meeting adjourned!\Good work, everybody.\I need to go over to Noriko the nurse's place tonight.\Hey, wait.\What? I can't ignore that! Absolutely not! response:	Sorata.
context: The dragon agrees too!\It's unanimous. Then...\Meeting adjourned!\Good work, everybody.\I need to go over to Noriko the nurse's place tonight.\Hey, wait.\What? I can't ignore that! Absolutely not!\Sorata. response:	What is it?
context: It's unanimous. Then...\Meeting adjourned!\Good work, everybody.\I need to go over to Noriko the nurse's place tonight.\Hey, wait.\What? I can't ignore that! Absolutely not!\Sorata.\What is it? response:	I hope we can be friends.
context: Meeting adjourned!\Good work, everybody.\I need to go over to Noriko the nurse's place tonight.\Hey, wait.\What? I can't ignore that! Absolutely not!\Sorata.\What is it?\I hope we can be friends. response:	Yeah, me too...
context: Good work, everybody.\I need to go over to Noriko the nurse's place tonight.\Hey, wait.\What? I can't ignore that! Absolutely not!\Sorata.\What is it?\I hope we can be friends.\Yeah, me too... response:	Kanda Sorata will be on Mashiro Duty! You can do it, kouhai-kun! I'll be supporting you! Secretary Kamiigusa Misaki
context: I need to go over to Noriko the nurse's place tonight.\Hey, wait.\What? I can't ignore that! Absolutely not!\Sorata.\What is it?\I hope we can be friends.\Yeah, me too...\Kanda Sorata will be on Mashiro Duty! You can do it, kouhai-kun! I'll be supporting you! Secretary Kamiigusa Misaki response:	Wait, this is crazy!
context: Hey, wait.\What? I can't ignore that! Absolutely not!\Sorata.\What is it?\I hope we can be friends.\Yeah, me too...\Kanda Sorata will be on Mashiro Duty! You can do it, kouhai-kun! I'll be supporting you! Secretary Kamiigusa Misaki\Wait, this is crazy! response:	02 I Drew a Picture
context: What? I can't ignore that! Absolutely not!\Sorata.\What is it?\I hope we can be friends.\Yeah, me too...\Kanda Sorata will be on Mashiro Duty! You can do it, kouhai-kun! I'll be supporting you! Secretary Kamiigusa Misaki\Wait, this is crazy!\02 I Drew a Picture response:	Cabbage, cabbage...
context: Sorata.\What is it?\I hope we can be friends.\Yeah, me too...\Kanda Sorata will be on Mashiro Duty! You can do it, kouhai-kun! I'll be supporting you! Secretary Kamiigusa Misaki\Wait, this is crazy!\02 I Drew a Picture\Cabbage, cabbage... response:	Kanda: Mashiro Duty
context: What is it?\I hope we can be friends.\Yeah, me too...\Kanda Sorata will be on Mashiro Duty! You can do it, kouhai-kun! I'll be supporting you! Secretary Kamiigusa Misaki\Wait, this is crazy!\02 I Drew a Picture\Cabbage, cabbage...\Kanda: Mashiro Duty response:	Gotcha!
context: I hope we can be friends.\Yeah, me too...\Kanda Sorata will be on Mashiro Duty! You can do it, kouhai-kun! I'll be supporting you! Secretary Kamiigusa Misaki\Wait, this is crazy!\02 I Drew a Picture\Cabbage, cabbage...\Kanda: Mashiro Duty\Gotcha! response:	When you sigh, your happiness escapes!
context: Yeah, me too...\Kanda Sorata will be on Mashiro Duty! You can do it, kouhai-kun! I'll be supporting you! Secretary Kamiigusa Misaki\Wait, this is crazy!\02 I Drew a Picture\Cabbage, cabbage...\Kanda: Mashiro Duty\Gotcha!\When you sigh, your happiness escapes! response:	Let's put it back!
context: Kanda Sorata will be on Mashiro Duty! You can do it, kouhai-kun! I'll be supporting you! Secretary Kamiigusa Misaki\Wait, this is crazy!\02 I Drew a Picture\Cabbage, cabbage...\Kanda: Mashiro Duty\Gotcha!\When you sigh, your happiness escapes!\Let's put it back! response:	Say, Ah.
context: Wait, this is crazy!\02 I Drew a Picture\Cabbage, cabbage...\Kanda: Mashiro Duty\Gotcha!\When you sigh, your happiness escapes!\Let's put it back!\Say, Ah. response:	Stop that!
context: 02 I Drew a Picture\Cabbage, cabbage...\Kanda: Mashiro Duty\Gotcha!\When you sigh, your happiness escapes!\Let's put it back!\Say, Ah.\Stop that! response:	I can't be on Mashiro Duty!
context: Cabbage, cabbage...\Kanda: Mashiro Duty\Gotcha!\When you sigh, your happiness escapes!\Let's put it back!\Say, Ah.\Stop that!\I can't be on Mashiro Duty! response:	I'm planning to leave Sakura Hall soon...
