context: I accidentally studied during class today. response:	Now I'm all sleepy.
context: I accidentally studied during class today.\Now I'm all sleepy. response:	We've got English next.
context: I accidentally studied during class today.\Now I'm all sleepy.\We've got English next. response:	You forgot your homework last week.
context: I accidentally studied during class today.\Now I'm all sleepy.\We've got English next.\You forgot your homework last week. response:	Did you do it this week?
context: I accidentally studied during class today.\Now I'm all sleepy.\We've got English next.\You forgot your homework last week.\Did you do it this week? response:	Crap! I forgot!
context: I accidentally studied during class today.\Now I'm all sleepy.\We've got English next.\You forgot your homework last week.\Did you do it this week?\Crap! I forgot! response:	Hey, someone! Let me copy your homework!
context: I accidentally studied during class today.\Now I'm all sleepy.\We've got English next.\You forgot your homework last week.\Did you do it this week?\Crap! I forgot!\Hey, someone! Let me copy your homework! response:	Just use the same excuse you did last week.
context: I accidentally studied during class today.\Now I'm all sleepy.\We've got English next.\You forgot your homework last week.\Did you do it this week?\Crap! I forgot!\Hey, someone! Let me copy your homework!\Just use the same excuse you did last week. response:	Aliens came down and beamed my notebook into oblivion.
context: Now I'm all sleepy.\We've got English next.\You forgot your homework last week.\Did you do it this week?\Crap! I forgot!\Hey, someone! Let me copy your homework!\Just use the same excuse you did last week.\Aliens came down and beamed my notebook into oblivion. response:	No, that one won't work more than once.
context: We've got English next.\You forgot your homework last week.\Did you do it this week?\Crap! I forgot!\Hey, someone! Let me copy your homework!\Just use the same excuse you did last week.\Aliens came down and beamed my notebook into oblivion.\No, that one won't work more than once. response:	Now matter how you look at it, aliens aren't going to be coming down that often.
context: You forgot your homework last week.\Did you do it this week?\Crap! I forgot!\Hey, someone! Let me copy your homework!\Just use the same excuse you did last week.\Aliens came down and beamed my notebook into oblivion.\No, that one won't work more than once.\Now matter how you look at it, aliens aren't going to be coming down that often. response:	Why don't you make the aliens Osakans, then?
context: Did you do it this week?\Crap! I forgot!\Hey, someone! Let me copy your homework!\Just use the same excuse you did last week.\Aliens came down and beamed my notebook into oblivion.\No, that one won't work more than once.\Now matter how you look at it, aliens aren't going to be coming down that often.\Why don't you make the aliens Osakans, then? response:	I see...
context: Crap! I forgot!\Hey, someone! Let me copy your homework!\Just use the same excuse you did last week.\Aliens came down and beamed my notebook into oblivion.\No, that one won't work more than once.\Now matter how you look at it, aliens aren't going to be coming down that often.\Why don't you make the aliens Osakans, then?\I see... response:	Osakans came down and beamed my notebook into oblivion.
context: Hey, someone! Let me copy your homework!\Just use the same excuse you did last week.\Aliens came down and beamed my notebook into oblivion.\No, that one won't work more than once.\Now matter how you look at it, aliens aren't going to be coming down that often.\Why don't you make the aliens Osakans, then?\I see...\Osakans came down and beamed my notebook into oblivion. response:	Aw, yeah. I rock!
context: Just use the same excuse you did last week.\Aliens came down and beamed my notebook into oblivion.\No, that one won't work more than once.\Now matter how you look at it, aliens aren't going to be coming down that often.\Why don't you make the aliens Osakans, then?\I see...\Osakans came down and beamed my notebook into oblivion.\Aw, yeah. I rock! response:	But wouldn't they ask why Osakans have a grudge against me?
context: Aliens came down and beamed my notebook into oblivion.\No, that one won't work more than once.\Now matter how you look at it, aliens aren't going to be coming down that often.\Why don't you make the aliens Osakans, then?\I see...\Osakans came down and beamed my notebook into oblivion.\Aw, yeah. I rock!\But wouldn't they ask why Osakans have a grudge against me? response:	Start by changing the beaming into oblivion part.
