context: Some villagers lost their lives in the attack. response:	We're at war with a raccoon dog.
context: Some villagers lost their lives in the attack.\We're at war with a raccoon dog. response:	Thanks to you, Saizo, we kept Isanami from falling into Ieyasu's hands.
context: Some villagers lost their lives in the attack.\We're at war with a raccoon dog.\Thanks to you, Saizo, we kept Isanami from falling into Ieyasu's hands. response:	Which is why...
context: Some villagers lost their lives in the attack.\We're at war with a raccoon dog.\Thanks to you, Saizo, we kept Isanami from falling into Ieyasu's hands.\Which is why... response:	I have a favor to ask of you.
context: Some villagers lost their lives in the attack.\We're at war with a raccoon dog.\Thanks to you, Saizo, we kept Isanami from falling into Ieyasu's hands.\Which is why...\I have a favor to ask of you. response:	I don't like the sound of that.
context: Some villagers lost their lives in the attack.\We're at war with a raccoon dog.\Thanks to you, Saizo, we kept Isanami from falling into Ieyasu's hands.\Which is why...\I have a favor to ask of you.\I don't like the sound of that. response:	I want you to take Isanami and go to Izumo.
context: Some villagers lost their lives in the attack.\We're at war with a raccoon dog.\Thanks to you, Saizo, we kept Isanami from falling into Ieyasu's hands.\Which is why...\I have a favor to ask of you.\I don't like the sound of that.\I want you to take Isanami and go to Izumo. response:	Then what was the point of keeping her here?
context: Some villagers lost their lives in the attack.\We're at war with a raccoon dog.\Thanks to you, Saizo, we kept Isanami from falling into Ieyasu's hands.\Which is why...\I have a favor to ask of you.\I don't like the sound of that.\I want you to take Isanami and go to Izumo.\Then what was the point of keeping her here? response:	Old man, are you sure you're not crazy?
context: We're at war with a raccoon dog.\Thanks to you, Saizo, we kept Isanami from falling into Ieyasu's hands.\Which is why...\I have a favor to ask of you.\I don't like the sound of that.\I want you to take Isanami and go to Izumo.\Then what was the point of keeping her here?\Old man, are you sure you're not crazy? response:	How dare you call Yukimura-sama crazy?!
context: Thanks to you, Saizo, we kept Isanami from falling into Ieyasu's hands.\Which is why...\I have a favor to ask of you.\I don't like the sound of that.\I want you to take Isanami and go to Izumo.\Then what was the point of keeping her here?\Old man, are you sure you're not crazy?\How dare you call Yukimura-sama crazy?! response:	Apologize immediately!
context: Which is why...\I have a favor to ask of you.\I don't like the sound of that.\I want you to take Isanami and go to Izumo.\Then what was the point of keeping her here?\Old man, are you sure you're not crazy?\How dare you call Yukimura-sama crazy?!\Apologize immediately! response:	Who the hell is he?
context: I have a favor to ask of you.\I don't like the sound of that.\I want you to take Isanami and go to Izumo.\Then what was the point of keeping her here?\Old man, are you sure you're not crazy?\How dare you call Yukimura-sama crazy?!\Apologize immediately!\Who the hell is he? response:	How dare you?!
