context: Oh! response:	Cafe
context: Oh!\Cafe response:	Christmas, huh?
context: Oh!\Cafe\Christmas, huh? response:	It pains me to celebrate the birth of that guy's son,
context: Oh!\Cafe\Christmas, huh?\It pains me to celebrate the birth of that guy's son, response:	Realty
context: Oh!\Cafe\Christmas, huh?\It pains me to celebrate the birth of that guy's son,\Realty response:	but it does sound like a fun event.
context: Oh!\Cafe\Christmas, huh?\It pains me to celebrate the birth of that guy's son,\Realty\but it does sound like a fun event. response:	Oh, Tohru-chan!
context: Oh!\Cafe\Christmas, huh?\It pains me to celebrate the birth of that guy's son,\Realty\but it does sound like a fun event.\Oh, Tohru-chan! response:	Hello.
context: Oh!\Cafe\Christmas, huh?\It pains me to celebrate the birth of that guy's son,\Realty\but it does sound like a fun event.\Oh, Tohru-chan!\Hello. response:	Huh? Are you hurt?
context: Cafe\Christmas, huh?\It pains me to celebrate the birth of that guy's son,\Realty\but it does sound like a fun event.\Oh, Tohru-chan!\Hello.\Huh? Are you hurt? response:	I am. I was practicing for the nearby old folk home's Christmas Eve show,
context: Christmas, huh?\It pains me to celebrate the birth of that guy's son,\Realty\but it does sound like a fun event.\Oh, Tohru-chan!\Hello.\Huh? Are you hurt?\I am. I was practicing for the nearby old folk home's Christmas Eve show, response:	Roast Chicken
context: It pains me to celebrate the birth of that guy's son,\Realty\but it does sound like a fun event.\Oh, Tohru-chan!\Hello.\Huh? Are you hurt?\I am. I was practicing for the nearby old folk home's Christmas Eve show,\Roast Chicken response:	but I hurt my leg badly.
context: Realty\but it does sound like a fun event.\Oh, Tohru-chan!\Hello.\Huh? Are you hurt?\I am. I was practicing for the nearby old folk home's Christmas Eve show,\Roast Chicken\but I hurt my leg badly. response:	Oh!
context: but it does sound like a fun event.\Oh, Tohru-chan!\Hello.\Huh? Are you hurt?\I am. I was practicing for the nearby old folk home's Christmas Eve show,\Roast Chicken\but I hurt my leg badly.\Oh! response:	How frail.
context: Oh, Tohru-chan!\Hello.\Huh? Are you hurt?\I am. I was practicing for the nearby old folk home's Christmas Eve show,\Roast Chicken\but I hurt my leg badly.\Oh!\How frail. response:	Right!
context: Hello.\Huh? Are you hurt?\I am. I was practicing for the nearby old folk home's Christmas Eve show,\Roast Chicken\but I hurt my leg badly.\Oh!\How frail.\Right! response:	Could you put on a show in my stead, Tohru-chan?
context: Huh? Are you hurt?\I am. I was practicing for the nearby old folk home's Christmas Eve show,\Roast Chicken\but I hurt my leg badly.\Oh!\How frail.\Right!\Could you put on a show in my stead, Tohru-chan? response:	Huh?
context: I am. I was practicing for the nearby old folk home's Christmas Eve show,\Roast Chicken\but I hurt my leg badly.\Oh!\How frail.\Right!\Could you put on a show in my stead, Tohru-chan?\Huh? response:	Taxes Included in Prices
context: Roast Chicken\but I hurt my leg badly.\Oh!\How frail.\Right!\Could you put on a show in my stead, Tohru-chan?\Huh?\Taxes Included in Prices response:	I feel bad since the folks in the home were looking forward to it.
context: but I hurt my leg badly.\Oh!\How frail.\Right!\Could you put on a show in my stead, Tohru-chan?\Huh?\Taxes Included in Prices\I feel bad since the folks in the home were looking forward to it. response:	You want us to?
context: Oh!\How frail.\Right!\Could you put on a show in my stead, Tohru-chan?\Huh?\Taxes Included in Prices\I feel bad since the folks in the home were looking forward to it.\You want us to? response:	Is that all right?
context: How frail.\Right!\Could you put on a show in my stead, Tohru-chan?\Huh?\Taxes Included in Prices\I feel bad since the folks in the home were looking forward to it.\You want us to?\Is that all right? response:	Of course!
context: Right!\Could you put on a show in my stead, Tohru-chan?\Huh?\Taxes Included in Prices\I feel bad since the folks in the home were looking forward to it.\You want us to?\Is that all right?\Of course! response:	You're the pride of our shopping district.
context: Could you put on a show in my stead, Tohru-chan?\Huh?\Taxes Included in Prices\I feel bad since the folks in the home were looking forward to it.\You want us to?\Is that all right?\Of course!\You're the pride of our shopping district. response:	All right!
context: Huh?\Taxes Included in Prices\I feel bad since the folks in the home were looking forward to it.\You want us to?\Is that all right?\Of course!\You're the pride of our shopping district.\All right! response:	Leave it to me.
context: Taxes Included in Prices\I feel bad since the folks in the home were looking forward to it.\You want us to?\Is that all right?\Of course!\You're the pride of our shopping district.\All right!\Leave it to me. response:	So that's how things turned out.
