context: As I wait... response:	We touched it at the same time!
context: As I wait...\We touched it at the same time! response:	All right!
context: As I wait...\We touched it at the same time!\All right! response:	Trit-Trot
context: As I wait...\We touched it at the same time!\All right!\Trit-Trot response:	That was mine...
context: As I wait...\We touched it at the same time!\All right!\Trit-Trot\That was mine... response:	It was mine.
context: As I wait...\We touched it at the same time!\All right!\Trit-Trot\That was mine...\It was mine. response:	I was faster.
context: As I wait...\We touched it at the same time!\All right!\Trit-Trot\That was mine...\It was mine.\I was faster. response:	Trit-Trot
context: As I wait...\We touched it at the same time!\All right!\Trit-Trot\That was mine...\It was mine.\I was faster.\Trit-Trot response:	I could tell.
context: We touched it at the same time!\All right!\Trit-Trot\That was mine...\It was mine.\I was faster.\Trit-Trot\I could tell. response:	What? But...
context: All right!\Trit-Trot\That was mine...\It was mine.\I was faster.\Trit-Trot\I could tell.\What? But... response:	Megumu...
context: Trit-Trot\That was mine...\It was mine.\I was faster.\Trit-Trot\I could tell.\What? But...\Megumu... response:	I was slightly faster!
context: That was mine...\It was mine.\I was faster.\Trit-Trot\I could tell.\What? But...\Megumu...\I was slightly faster! response:	Don't be ridiculous, Yu-chan.
context: It was mine.\I was faster.\Trit-Trot\I could tell.\What? But...\Megumu...\I was slightly faster!\Don't be ridiculous, Yu-chan. response:	The leader of this team is me.
context: I was faster.\Trit-Trot\I could tell.\What? But...\Megumu...\I was slightly faster!\Don't be ridiculous, Yu-chan.\The leader of this team is me. response:	The person who can make everyone happy is me.
context: Trit-Trot\I could tell.\What? But...\Megumu...\I was slightly faster!\Don't be ridiculous, Yu-chan.\The leader of this team is me.\The person who can make everyone happy is me. response:	The one who will challenge the Queen
context: I could tell.\What? But...\Megumu...\I was slightly faster!\Don't be ridiculous, Yu-chan.\The leader of this team is me.\The person who can make everyone happy is me.\The one who will challenge the Queen response:	is me!
context: What? But...\Megumu...\I was slightly faster!\Don't be ridiculous, Yu-chan.\The leader of this team is me.\The person who can make everyone happy is me.\The one who will challenge the Queen\is me! response:	I gave up the card she contested,
context: Megumu...\I was slightly faster!\Don't be ridiculous, Yu-chan.\The leader of this team is me.\The person who can make everyone happy is me.\The one who will challenge the Queen\is me!\I gave up the card she contested, response:	but that makes up for the earlier one.
context: I was slightly faster!\Don't be ridiculous, Yu-chan.\The leader of this team is me.\The person who can make everyone happy is me.\The one who will challenge the Queen\is me!\I gave up the card she contested,\but that makes up for the earlier one. response:	It's fine, Ayase.
context: Don't be ridiculous, Yu-chan.\The leader of this team is me.\The person who can make everyone happy is me.\The one who will challenge the Queen\is me!\I gave up the card she contested,\but that makes up for the earlier one.\It's fine, Ayase. response:	Just be your usual self.
context: The leader of this team is me.\The person who can make everyone happy is me.\The one who will challenge the Queen\is me!\I gave up the card she contested,\but that makes up for the earlier one.\It's fine, Ayase.\Just be your usual self. response:	Okay...
context: The person who can make everyone happy is me.\The one who will challenge the Queen\is me!\I gave up the card she contested,\but that makes up for the earlier one.\It's fine, Ayase.\Just be your usual self.\Okay... response:	Time to attack!
context: The one who will challenge the Queen\is me!\I gave up the card she contested,\but that makes up for the earlier one.\It's fine, Ayase.\Just be your usual self.\Okay...\Time to attack! response:	Mizusawa!
