context: It appears that you're the last one. response:	Damn it! You damn brats... Who do you think you are?!
context: It appears that you're the last one.\Damn it! You damn brats... Who do you think you are?! response:	Dust Cyclone!
context: It appears that you're the last one.\Damn it! You damn brats... Who do you think you are?!\Dust Cyclone! response:	Flamethrower!
context: It appears that you're the last one.\Damn it! You damn brats... Who do you think you are?!\Dust Cyclone!\Flamethrower! response:	Combo Attack! Telekinetic Pillar of Flame!
context: It appears that you're the last one.\Damn it! You damn brats... Who do you think you are?!\Dust Cyclone!\Flamethrower!\Combo Attack! Telekinetic Pillar of Flame! response:	Don't underestimate me! This is nothing
context: It appears that you're the last one.\Damn it! You damn brats... Who do you think you are?!\Dust Cyclone!\Flamethrower!\Combo Attack! Telekinetic Pillar of Flame!\Don't underestimate me! This is nothing response:	Good job, you two.
context: It appears that you're the last one.\Damn it! You damn brats... Who do you think you are?!\Dust Cyclone!\Flamethrower!\Combo Attack! Telekinetic Pillar of Flame!\Don't underestimate me! This is nothing\Good job, you two. response:	You've gotten stronger.
context: It appears that you're the last one.\Damn it! You damn brats... Who do you think you are?!\Dust Cyclone!\Flamethrower!\Combo Attack! Telekinetic Pillar of Flame!\Don't underestimate me! This is nothing\Good job, you two.\You've gotten stronger. response:	We've been practicing every day.
context: Damn it! You damn brats... Who do you think you are?!\Dust Cyclone!\Flamethrower!\Combo Attack! Telekinetic Pillar of Flame!\Don't underestimate me! This is nothing\Good job, you two.\You've gotten stronger.\We've been practicing every day. response:	It's all thanks to your guidance, Teru-san.
context: Dust Cyclone!\Flamethrower!\Combo Attack! Telekinetic Pillar of Flame!\Don't underestimate me! This is nothing\Good job, you two.\You've gotten stronger.\We've been practicing every day.\It's all thanks to your guidance, Teru-san. response:	Thank you for helping us, Takeuchi-san.
context: Flamethrower!\Combo Attack! Telekinetic Pillar of Flame!\Don't underestimate me! This is nothing\Good job, you two.\You've gotten stronger.\We've been practicing every day.\It's all thanks to your guidance, Teru-san.\Thank you for helping us, Takeuchi-san. response:	No need to thank me. I left the organization as well.
context: Combo Attack! Telekinetic Pillar of Flame!\Don't underestimate me! This is nothing\Good job, you two.\You've gotten stronger.\We've been practicing every day.\It's all thanks to your guidance, Teru-san.\Thank you for helping us, Takeuchi-san.\No need to thank me. I left the organization as well. response:	I acted like I betrayed you so we could pull off a splendid surprise attack.
context: Don't underestimate me! This is nothing\Good job, you two.\You've gotten stronger.\We've been practicing every day.\It's all thanks to your guidance, Teru-san.\Thank you for helping us, Takeuchi-san.\No need to thank me. I left the organization as well.\I acted like I betrayed you so we could pull off a splendid surprise attack. response:	You better be grateful for me and my peerless wit.
context: Good job, you two.\You've gotten stronger.\We've been practicing every day.\It's all thanks to your guidance, Teru-san.\Thank you for helping us, Takeuchi-san.\No need to thank me. I left the organization as well.\I acted like I betrayed you so we could pull off a splendid surprise attack.\You better be grateful for me and my peerless wit. response:	What? H-Huh? I can't move...
context: You've gotten stronger.\We've been practicing every day.\It's all thanks to your guidance, Teru-san.\Thank you for helping us, Takeuchi-san.\No need to thank me. I left the organization as well.\I acted like I betrayed you so we could pull off a splendid surprise attack.\You better be grateful for me and my peerless wit.\What? H-Huh? I can't move... response:	Kaito-kun.
