context: These are for the children, and these are for the adults. response:	Please put them on your hand before you go in.
context: These are for the children, and these are for the adults.\Please put them on your hand before you go in. response:	Great!
context: These are for the children, and these are for the adults.\Please put them on your hand before you go in.\Great! response:	Sakura-chan is very cute.
context: These are for the children, and these are for the adults.\Please put them on your hand before you go in.\Great!\Sakura-chan is very cute. response:	Excuse me, I would like to buy 128 please!
context: These are for the children, and these are for the adults.\Please put them on your hand before you go in.\Great!\Sakura-chan is very cute.\Excuse me, I would like to buy 128 please! response:	Being able to videotape Sakura-chan in a bathing suit
context: These are for the children, and these are for the adults.\Please put them on your hand before you go in.\Great!\Sakura-chan is very cute.\Excuse me, I would like to buy 128 please!\Being able to videotape Sakura-chan in a bathing suit response:	in the winter is very good. It's like I'm in a dream!
context: These are for the children, and these are for the adults.\Please put them on your hand before you go in.\Great!\Sakura-chan is very cute.\Excuse me, I would like to buy 128 please!\Being able to videotape Sakura-chan in a bathing suit\in the winter is very good. It's like I'm in a dream! response:	It's very very fun.
context: These are for the children, and these are for the adults.\Please put them on your hand before you go in.\Great!\Sakura-chan is very cute.\Excuse me, I would like to buy 128 please!\Being able to videotape Sakura-chan in a bathing suit\in the winter is very good. It's like I'm in a dream!\It's very very fun. response:	We are very lucky because we get to come here to go swimming.
context: Please put them on your hand before you go in.\Great!\Sakura-chan is very cute.\Excuse me, I would like to buy 128 please!\Being able to videotape Sakura-chan in a bathing suit\in the winter is very good. It's like I'm in a dream!\It's very very fun.\We are very lucky because we get to come here to go swimming. response:	Right, Tomoyo-chan?
context: Great!\Sakura-chan is very cute.\Excuse me, I would like to buy 128 please!\Being able to videotape Sakura-chan in a bathing suit\in the winter is very good. It's like I'm in a dream!\It's very very fun.\We are very lucky because we get to come here to go swimming.\Right, Tomoyo-chan? response:	You're right!
context: Sakura-chan is very cute.\Excuse me, I would like to buy 128 please!\Being able to videotape Sakura-chan in a bathing suit\in the winter is very good. It's like I'm in a dream!\It's very very fun.\We are very lucky because we get to come here to go swimming.\Right, Tomoyo-chan?\You're right! response:	Because I'll be able to videotape you in a bathing suit any time from now on!
context: Excuse me, I would like to buy 128 please!\Being able to videotape Sakura-chan in a bathing suit\in the winter is very good. It's like I'm in a dream!\It's very very fun.\We are very lucky because we get to come here to go swimming.\Right, Tomoyo-chan?\You're right!\Because I'll be able to videotape you in a bathing suit any time from now on! response:	I'm not coming here to swim only!
context: Being able to videotape Sakura-chan in a bathing suit\in the winter is very good. It's like I'm in a dream!\It's very very fun.\We are very lucky because we get to come here to go swimming.\Right, Tomoyo-chan?\You're right!\Because I'll be able to videotape you in a bathing suit any time from now on!\I'm not coming here to swim only! response:	Wearing the swimming suit that I made would be like a Sakura fish.
context: in the winter is very good. It's like I'm in a dream!\It's very very fun.\We are very lucky because we get to come here to go swimming.\Right, Tomoyo-chan?\You're right!\Because I'll be able to videotape you in a bathing suit any time from now on!\I'm not coming here to swim only!\Wearing the swimming suit that I made would be like a Sakura fish. response:	I'm too happy!
context: It's very very fun.\We are very lucky because we get to come here to go swimming.\Right, Tomoyo-chan?\You're right!\Because I'll be able to videotape you in a bathing suit any time from now on!\I'm not coming here to swim only!\Wearing the swimming suit that I made would be like a Sakura fish.\I'm too happy! response:	Sakura-chan! Tomoyo-chan!
context: We are very lucky because we get to come here to go swimming.\Right, Tomoyo-chan?\You're right!\Because I'll be able to videotape you in a bathing suit any time from now on!\I'm not coming here to swim only!\Wearing the swimming suit that I made would be like a Sakura fish.\I'm too happy!\Sakura-chan! Tomoyo-chan! response:	Come over here and swim!
context: Right, Tomoyo-chan?\You're right!\Because I'll be able to videotape you in a bathing suit any time from now on!\I'm not coming here to swim only!\Wearing the swimming suit that I made would be like a Sakura fish.\I'm too happy!\Sakura-chan! Tomoyo-chan!\Come over here and swim! response:	Yamazaki-kun, lets go swimming ok?
context: You're right!\Because I'll be able to videotape you in a bathing suit any time from now on!\I'm not coming here to swim only!\Wearing the swimming suit that I made would be like a Sakura fish.\I'm too happy!\Sakura-chan! Tomoyo-chan!\Come over here and swim!\Yamazaki-kun, lets go swimming ok? response:	I'm going to let go ok, Rika-chan?
context: Because I'll be able to videotape you in a bathing suit any time from now on!\I'm not coming here to swim only!\Wearing the swimming suit that I made would be like a Sakura fish.\I'm too happy!\Sakura-chan! Tomoyo-chan!\Come over here and swim!\Yamazaki-kun, lets go swimming ok?\I'm going to let go ok, Rika-chan? response:	Go! Go!
context: I'm not coming here to swim only!\Wearing the swimming suit that I made would be like a Sakura fish.\I'm too happy!\Sakura-chan! Tomoyo-chan!\Come over here and swim!\Yamazaki-kun, lets go swimming ok?\I'm going to let go ok, Rika-chan?\Go! Go! response:	Rika-chan looks like she really knows how to swim.
context: Wearing the swimming suit that I made would be like a Sakura fish.\I'm too happy!\Sakura-chan! Tomoyo-chan!\Come over here and swim!\Yamazaki-kun, lets go swimming ok?\I'm going to let go ok, Rika-chan?\Go! Go!\Rika-chan looks like she really knows how to swim. response:	That is because Sakura-chan is teaching her since summer vacations.
