context: What's wrong? response:	Your eyes.
context: What's wrong?\Your eyes. response:	It's the same color as your eyes.
context: What's wrong?\Your eyes.\It's the same color as your eyes. response:	The way I felt when I saw this...
context: What's wrong?\Your eyes.\It's the same color as your eyes.\The way I felt when I saw this... response:	This feeling...
context: What's wrong?\Your eyes.\It's the same color as your eyes.\The way I felt when I saw this...\This feeling... response:	What is it called?
context: What's wrong?\Your eyes.\It's the same color as your eyes.\The way I felt when I saw this...\This feeling...\What is it called? response:	Major Gilbert.
context: What's wrong?\Your eyes.\It's the same color as your eyes.\The way I felt when I saw this...\This feeling...\What is it called?\Major Gilbert. response:	I've been in the hospital for 120 days now.
context: What's wrong?\Your eyes.\It's the same color as your eyes.\The way I felt when I saw this...\This feeling...\What is it called?\Major Gilbert.\I've been in the hospital for 120 days now. response:	My strength has almost recovered.
context: Your eyes.\It's the same color as your eyes.\The way I felt when I saw this...\This feeling...\What is it called?\Major Gilbert.\I've been in the hospital for 120 days now.\My strength has almost recovered. response:	Movement is still a little difficult,
context: It's the same color as your eyes.\The way I felt when I saw this...\This feeling...\What is it called?\Major Gilbert.\I've been in the hospital for 120 days now.\My strength has almost recovered.\Movement is still a little difficult, response:	but I can perform my duties.
context: The way I felt when I saw this...\This feeling...\What is it called?\Major Gilbert.\I've been in the hospital for 120 days now.\My strength has almost recovered.\Movement is still a little difficult,\but I can perform my duties. response:	Please let me return to my post soon.
context: This feeling...\What is it called?\Major Gilbert.\I've been in the hospital for 120 days now.\My strength has almost recovered.\Movement is still a little difficult,\but I can perform my duties.\Please let me return to my post soon. response:	KINGDOM OF ENCIEL SOMEWHERE IN THE CAPITAL OF ENCHAINE
context: What is it called?\Major Gilbert.\I've been in the hospital for 120 days now.\My strength has almost recovered.\Movement is still a little difficult,\but I can perform my duties.\Please let me return to my post soon.\KINGDOM OF ENCIEL SOMEWHERE IN THE CAPITAL OF ENCHAINE response:	Her existence was hidden from everyone.
