context: Christmas is just around the corner, huh? response:	Do you guys already have plans?
context: Christmas is just around the corner, huh?\Do you guys already have plans? response:	I'm not doing anything.
context: Christmas is just around the corner, huh?\Do you guys already have plans?\I'm not doing anything. response:	Listen, Master Raku...
context: Christmas is just around the corner, huh?\Do you guys already have plans?\I'm not doing anything.\Listen, Master Raku... response:	My father won't be home on Christmas Eve, so...
context: Christmas is just around the corner, huh?\Do you guys already have plans?\I'm not doing anything.\Listen, Master Raku...\My father won't be home on Christmas Eve, so... response:	I'll be home...
context: Christmas is just around the corner, huh?\Do you guys already have plans?\I'm not doing anything.\Listen, Master Raku...\My father won't be home on Christmas Eve, so...\I'll be home... response:	Uh, I mean, of course I'll be spending it with Honey!
context: Christmas is just around the corner, huh?\Do you guys already have plans?\I'm not doing anything.\Listen, Master Raku...\My father won't be home on Christmas Eve, so...\I'll be home...\Uh, I mean, of course I'll be spending it with Honey! response:	My, how callous!
context: Christmas is just around the corner, huh?\Do you guys already have plans?\I'm not doing anything.\Listen, Master Raku...\My father won't be home on Christmas Eve, so...\I'll be home...\Uh, I mean, of course I'll be spending it with Honey!\My, how callous! response:	Hey, since we are here, why don't we throw a Christmas party?
context: Do you guys already have plans?\I'm not doing anything.\Listen, Master Raku...\My father won't be home on Christmas Eve, so...\I'll be home...\Uh, I mean, of course I'll be spending it with Honey!\My, how callous!\Hey, since we are here, why don't we throw a Christmas party? response:	You know, get together and have a blast?
context: I'm not doing anything.\Listen, Master Raku...\My father won't be home on Christmas Eve, so...\I'll be home...\Uh, I mean, of course I'll be spending it with Honey!\My, how callous!\Hey, since we are here, why don't we throw a Christmas party?\You know, get together and have a blast? response:	Sure, as long as the event planner's a no-show.
context: Listen, Master Raku...\My father won't be home on Christmas Eve, so...\I'll be home...\Uh, I mean, of course I'll be spending it with Honey!\My, how callous!\Hey, since we are here, why don't we throw a Christmas party?\You know, get together and have a blast?\Sure, as long as the event planner's a no-show. response:	Even though it was my idea?
