context: Gust of wind leaves fall leaves falling response:	Got it!
context: Gust of wind leaves fall leaves falling\Got it! response:	That was big!
context: Gust of wind leaves fall leaves falling\Got it!\That was big! response:	I moved so fast!
context: Gust of wind leaves fall leaves falling\Got it!\That was big!\I moved so fast! response:	Not as fast as Chihaya though.
context: Gust of wind leaves fall leaves falling\Got it!\That was big!\I moved so fast!\Not as fast as Chihaya though. response:	She's not even watching.
context: Gust of wind leaves fall leaves falling\Got it!\That was big!\I moved so fast!\Not as fast as Chihaya though.\She's not even watching. response:	Kana-chan and Desktomu-kun are
context: Gust of wind leaves fall leaves falling\Got it!\That was big!\I moved so fast!\Not as fast as Chihaya though.\She's not even watching.\Kana-chan and Desktomu-kun are response:	pretty even in terms of reflexes and speed.
context: Gust of wind leaves fall leaves falling\Got it!\That was big!\I moved so fast!\Not as fast as Chihaya though.\She's not even watching.\Kana-chan and Desktomu-kun are\pretty even in terms of reflexes and speed. response:	But...
context: Got it!\That was big!\I moved so fast!\Not as fast as Chihaya though.\She's not even watching.\Kana-chan and Desktomu-kun are\pretty even in terms of reflexes and speed.\But... response:	one of them is pulling ahead.
context: That was big!\I moved so fast!\Not as fast as Chihaya though.\She's not even watching.\Kana-chan and Desktomu-kun are\pretty even in terms of reflexes and speed.\But...\one of them is pulling ahead. response:	Chihaya Furu
context: I moved so fast!\Not as fast as Chihaya though.\She's not even watching.\Kana-chan and Desktomu-kun are\pretty even in terms of reflexes and speed.\But...\one of them is pulling ahead.\Chihaya Furu response:	Verse 19
context: Not as fast as Chihaya though.\She's not even watching.\Kana-chan and Desktomu-kun are\pretty even in terms of reflexes and speed.\But...\one of them is pulling ahead.\Chihaya Furu\Verse 19 response:	As the Years Pass
context: She's not even watching.\Kana-chan and Desktomu-kun are\pretty even in terms of reflexes and speed.\But...\one of them is pulling ahead.\Chihaya Furu\Verse 19\As the Years Pass response:	Desktomu-kun has two faults.
context: Kana-chan and Desktomu-kun are\pretty even in terms of reflexes and speed.\But...\one of them is pulling ahead.\Chihaya Furu\Verse 19\As the Years Pass\Desktomu-kun has two faults. response:	Kana-chan has zero.
context: pretty even in terms of reflexes and speed.\But...\one of them is pulling ahead.\Chihaya Furu\Verse 19\As the Years Pass\Desktomu-kun has two faults.\Kana-chan has zero. response:	Those faults give Kana-chan a two card lead by default.
context: But...\one of them is pulling ahead.\Chihaya Furu\Verse 19\As the Years Pass\Desktomu-kun has two faults.\Kana-chan has zero.\Those faults give Kana-chan a two card lead by default. response:	I've always believed that you can make up for faults,
context: one of them is pulling ahead.\Chihaya Furu\Verse 19\As the Years Pass\Desktomu-kun has two faults.\Kana-chan has zero.\Those faults give Kana-chan a two card lead by default.\I've always believed that you can make up for faults, response:	but after playing Kanai Sakura-san, I realized something.
context: Chihaya Furu\Verse 19\As the Years Pass\Desktomu-kun has two faults.\Kana-chan has zero.\Those faults give Kana-chan a two card lead by default.\I've always believed that you can make up for faults,\but after playing Kanai Sakura-san, I realized something. response:	Faults can be fatal when you're playing
context: Verse 19\As the Years Pass\Desktomu-kun has two faults.\Kana-chan has zero.\Those faults give Kana-chan a two card lead by default.\I've always believed that you can make up for faults,\but after playing Kanai Sakura-san, I realized something.\Faults can be fatal when you're playing response:	an opponent who doesn't make mistakes.
context: As the Years Pass\Desktomu-kun has two faults.\Kana-chan has zero.\Those faults give Kana-chan a two card lead by default.\I've always believed that you can make up for faults,\but after playing Kanai Sakura-san, I realized something.\Faults can be fatal when you're playing\an opponent who doesn't make mistakes. response:	You're giving up more than just a card.
context: Desktomu-kun has two faults.\Kana-chan has zero.\Those faults give Kana-chan a two card lead by default.\I've always believed that you can make up for faults,\but after playing Kanai Sakura-san, I realized something.\Faults can be fatal when you're playing\an opponent who doesn't make mistakes.\You're giving up more than just a card. response:	You lose your cool.
context: Kana-chan has zero.\Those faults give Kana-chan a two card lead by default.\I've always believed that you can make up for faults,\but after playing Kanai Sakura-san, I realized something.\Faults can be fatal when you're playing\an opponent who doesn't make mistakes.\You're giving up more than just a card.\You lose your cool. response:	Two faults against Kana-chan...
context: Those faults give Kana-chan a two card lead by default.\I've always believed that you can make up for faults,\but after playing Kanai Sakura-san, I realized something.\Faults can be fatal when you're playing\an opponent who doesn't make mistakes.\You're giving up more than just a card.\You lose your cool.\Two faults against Kana-chan... response:	This is bad. Really bad.
context: I've always believed that you can make up for faults,\but after playing Kanai Sakura-san, I realized something.\Faults can be fatal when you're playing\an opponent who doesn't make mistakes.\You're giving up more than just a card.\You lose your cool.\Two faults against Kana-chan...\This is bad. Really bad. response:	I need to make up those cards.
context: but after playing Kanai Sakura-san, I realized something.\Faults can be fatal when you're playing\an opponent who doesn't make mistakes.\You're giving up more than just a card.\You lose your cool.\Two faults against Kana-chan...\This is bad. Really bad.\I need to make up those cards. response:	You lose your rhythm,
context: Faults can be fatal when you're playing\an opponent who doesn't make mistakes.\You're giving up more than just a card.\You lose your cool.\Two faults against Kana-chan...\This is bad. Really bad.\I need to make up those cards.\You lose your rhythm, response:	while allowing your opponent to relax.
context: an opponent who doesn't make mistakes.\You're giving up more than just a card.\You lose your cool.\Two faults against Kana-chan...\This is bad. Really bad.\I need to make up those cards.\You lose your rhythm,\while allowing your opponent to relax. response:	His two faults have done more than cost him two cards.
context: You're giving up more than just a card.\You lose your cool.\Two faults against Kana-chan...\This is bad. Really bad.\I need to make up those cards.\You lose your rhythm,\while allowing your opponent to relax.\His two faults have done more than cost him two cards. response:	As this trip takes me away in haste,
context: You lose your cool.\Two faults against Kana-chan...\This is bad. Really bad.\I need to make up those cards.\You lose your rhythm,\while allowing your opponent to relax.\His two faults have done more than cost him two cards.\As this trip takes me away in haste, response:	Good, I finally took a card from the opponent's side.
context: Two faults against Kana-chan...\This is bad. Really bad.\I need to make up those cards.\You lose your rhythm,\while allowing your opponent to relax.\His two faults have done more than cost him two cards.\As this trip takes me away in haste,\Good, I finally took a card from the opponent's side. response:	A comeback!
context: This is bad. Really bad.\I need to make up those cards.\You lose your rhythm,\while allowing your opponent to relax.\His two faults have done more than cost him two cards.\As this trip takes me away in haste,\Good, I finally took a card from the opponent's side.\A comeback! response:	Time to stage a comeback!
context: I need to make up those cards.\You lose your rhythm,\while allowing your opponent to relax.\His two faults have done more than cost him two cards.\As this trip takes me away in haste,\Good, I finally took a card from the opponent's side.\A comeback!\Time to stage a comeback! response:	Huh?
context: You lose your rhythm,\while allowing your opponent to relax.\His two faults have done more than cost him two cards.\As this trip takes me away in haste,\Good, I finally took a card from the opponent's side.\A comeback!\Time to stage a comeback!\Huh? response:	Huh?
context: while allowing your opponent to relax.\His two faults have done more than cost him two cards.\As this trip takes me away in haste,\Good, I finally took a card from the opponent's side.\A comeback!\Time to stage a comeback!\Huh?\Huh? response:	for I could not recognize you, like the moon hidden behind the clouds
context: His two faults have done more than cost him two cards.\As this trip takes me away in haste,\Good, I finally took a card from the opponent's side.\A comeback!\Time to stage a comeback!\Huh?\Huh?\for I could not recognize you, like the moon hidden behind the clouds response:	This is a one-syllable card!
context: As this trip takes me away in haste,\Good, I finally took a card from the opponent's side.\A comeback!\Time to stage a comeback!\Huh?\Huh?\for I could not recognize you, like the moon hidden behind the clouds\This is a one-syllable card! response:	I sent the wrong card!
context: Good, I finally took a card from the opponent's side.\A comeback!\Time to stage a comeback!\Huh?\Huh?\for I could not recognize you, like the moon hidden behind the clouds\This is a one-syllable card!\I sent the wrong card! response:	Why?
context: A comeback!\Time to stage a comeback!\Huh?\Huh?\for I could not recognize you, like the moon hidden behind the clouds\This is a one-syllable card!\I sent the wrong card!\Why? response:	I've never sent a one-syllable card before!
context: Time to stage a comeback!\Huh?\Huh?\for I could not recognize you, like the moon hidden behind the clouds\This is a one-syllable card!\I sent the wrong card!\Why?\I've never sent a one-syllable card before! response:	First, I commit faults.
context: Huh?\Huh?\for I could not recognize you, like the moon hidden behind the clouds\This is a one-syllable card!\I sent the wrong card!\Why?\I've never sent a one-syllable card before!\First, I commit faults. response:	Now, I'm sending the wrong cards.
context: Huh?\for I could not recognize you, like the moon hidden behind the clouds\This is a one-syllable card!\I sent the wrong card!\Why?\I've never sent a one-syllable card before!\First, I commit faults.\Now, I'm sending the wrong cards. response:	Why do I keep screwing up?
context: for I could not recognize you, like the moon hidden behind the clouds\This is a one-syllable card!\I sent the wrong card!\Why?\I've never sent a one-syllable card before!\First, I commit faults.\Now, I'm sending the wrong cards.\Why do I keep screwing up? response:	It's like I'm playing against
context: This is a one-syllable card!\I sent the wrong card!\Why?\I've never sent a one-syllable card before!\First, I commit faults.\Now, I'm sending the wrong cards.\Why do I keep screwing up?\It's like I'm playing against response:	Kana-chan and myself at the same time.
context: I sent the wrong card!\Why?\I've never sent a one-syllable card before!\First, I commit faults.\Now, I'm sending the wrong cards.\Why do I keep screwing up?\It's like I'm playing against\Kana-chan and myself at the same time. response:	I've seen him do this in practice.
context: Why?\I've never sent a one-syllable card before!\First, I commit faults.\Now, I'm sending the wrong cards.\Why do I keep screwing up?\It's like I'm playing against\Kana-chan and myself at the same time.\I've seen him do this in practice. response:	When Desktomu-kun is losing
context: I've never sent a one-syllable card before!\First, I commit faults.\Now, I'm sending the wrong cards.\Why do I keep screwing up?\It's like I'm playing against\Kana-chan and myself at the same time.\I've seen him do this in practice.\When Desktomu-kun is losing response:	near the end of a match, he tends to give up
context: First, I commit faults.\Now, I'm sending the wrong cards.\Why do I keep screwing up?\It's like I'm playing against\Kana-chan and myself at the same time.\I've seen him do this in practice.\When Desktomu-kun is losing\near the end of a match, he tends to give up response:	and look ahead to his next chance.
