context: Iron-Reaver, Soul-Stealer! response:	You...
context: Iron-Reaver, Soul-Stealer!\You... response:	Why did you kill my minions?
context: Iron-Reaver, Soul-Stealer!\You...\Why did you kill my minions? response:	He...has Sacred Jewel fragments on his right arm and both legs.
context: Iron-Reaver, Soul-Stealer!\You...\Why did you kill my minions?\He...has Sacred Jewel fragments on his right arm and both legs. response:	Inuyasha, watch out! He!
context: Iron-Reaver, Soul-Stealer!\You...\Why did you kill my minions?\He...has Sacred Jewel fragments on his right arm and both legs.\Inuyasha, watch out! He! response:	So you're the leader of the man-eating wolves!
context: Iron-Reaver, Soul-Stealer!\You...\Why did you kill my minions?\He...has Sacred Jewel fragments on his right arm and both legs.\Inuyasha, watch out! He!\So you're the leader of the man-eating wolves! response:	What of it?
context: Iron-Reaver, Soul-Stealer!\You...\Why did you kill my minions?\He...has Sacred Jewel fragments on his right arm and both legs.\Inuyasha, watch out! He!\So you're the leader of the man-eating wolves!\What of it? response:	You killed my dear wolves!
context: Iron-Reaver, Soul-Stealer!\You...\Why did you kill my minions?\He...has Sacred Jewel fragments on his right arm and both legs.\Inuyasha, watch out! He!\So you're the leader of the man-eating wolves!\What of it?\You killed my dear wolves! response:	I won't forgive you!
context: You...\Why did you kill my minions?\He...has Sacred Jewel fragments on his right arm and both legs.\Inuyasha, watch out! He!\So you're the leader of the man-eating wolves!\What of it?\You killed my dear wolves!\I won't forgive you! response:	Shaddup!
context: Why did you kill my minions?\He...has Sacred Jewel fragments on his right arm and both legs.\Inuyasha, watch out! He!\So you're the leader of the man-eating wolves!\What of it?\You killed my dear wolves!\I won't forgive you!\Shaddup! response:	You reek of human blood!
context: He...has Sacred Jewel fragments on his right arm and both legs.\Inuyasha, watch out! He!\So you're the leader of the man-eating wolves!\What of it?\You killed my dear wolves!\I won't forgive you!\Shaddup!\You reek of human blood! response:	How many have you killed?
context: Inuyasha, watch out! He!\So you're the leader of the man-eating wolves!\What of it?\You killed my dear wolves!\I won't forgive you!\Shaddup!\You reek of human blood!\How many have you killed? response:	I just let them feed. Any complaints, you dog?
context: So you're the leader of the man-eating wolves!\What of it?\You killed my dear wolves!\I won't forgive you!\Shaddup!\You reek of human blood!\How many have you killed?\I just let them feed. Any complaints, you dog? response:	You call me dog?!
context: What of it?\You killed my dear wolves!\I won't forgive you!\Shaddup!\You reek of human blood!\How many have you killed?\I just let them feed. Any complaints, you dog?\You call me dog?! response:	I hate the smell of dogs.
context: You killed my dear wolves!\I won't forgive you!\Shaddup!\You reek of human blood!\How many have you killed?\I just let them feed. Any complaints, you dog?\You call me dog?!\I hate the smell of dogs. response:	It makes me sick to my stomach!
context: I won't forgive you!\Shaddup!\You reek of human blood!\How many have you killed?\I just let them feed. Any complaints, you dog?\You call me dog?!\I hate the smell of dogs.\It makes me sick to my stomach! response:	Well then, I'll slit that belly in two...
context: Shaddup!\You reek of human blood!\How many have you killed?\I just let them feed. Any complaints, you dog?\You call me dog?!\I hate the smell of dogs.\It makes me sick to my stomach!\Well then, I'll slit that belly in two... response:	and let some air through!
context: You reek of human blood!\How many have you killed?\I just let them feed. Any complaints, you dog?\You call me dog?!\I hate the smell of dogs.\It makes me sick to my stomach!\Well then, I'll slit that belly in two...\and let some air through! response:	What?!
context: How many have you killed?\I just let them feed. Any complaints, you dog?\You call me dog?!\I hate the smell of dogs.\It makes me sick to my stomach!\Well then, I'll slit that belly in two...\and let some air through!\What?! response:	- W-what! - He's fast!
context: I just let them feed. Any complaints, you dog?\You call me dog?!\I hate the smell of dogs.\It makes me sick to my stomach!\Well then, I'll slit that belly in two...\and let some air through!\What?!\- W-what! - He's fast! response:	Inuyasha, watch out!
context: You call me dog?!\I hate the smell of dogs.\It makes me sick to my stomach!\Well then, I'll slit that belly in two...\and let some air through!\What?!\- W-what! - He's fast!\Inuyasha, watch out! response:	He's using the power of the Sacred Jewel!
context: I hate the smell of dogs.\It makes me sick to my stomach!\Well then, I'll slit that belly in two...\and let some air through!\What?!\- W-what! - He's fast!\Inuyasha, watch out!\He's using the power of the Sacred Jewel! response:	His right arm and both legs!
context: It makes me sick to my stomach!\Well then, I'll slit that belly in two...\and let some air through!\What?!\- W-what! - He's fast!\Inuyasha, watch out!\He's using the power of the Sacred Jewel!\His right arm and both legs! response:	That woman...!
context: Well then, I'll slit that belly in two...\and let some air through!\What?!\- W-what! - He's fast!\Inuyasha, watch out!\He's using the power of the Sacred Jewel!\His right arm and both legs!\That woman...! response:	Damn! Why didn't you say so earlier?!
context: and let some air through!\What?!\- W-what! - He's fast!\Inuyasha, watch out!\He's using the power of the Sacred Jewel!\His right arm and both legs!\That woman...!\Damn! Why didn't you say so earlier?! response:	That explains why you're acting so cocky!
context: What?!\- W-what! - He's fast!\Inuyasha, watch out!\He's using the power of the Sacred Jewel!\His right arm and both legs!\That woman...!\Damn! Why didn't you say so earlier?!\That explains why you're acting so cocky! response:	It's just the power of the Sacred Jewel!
context: - W-what! - He's fast!\Inuyasha, watch out!\He's using the power of the Sacred Jewel!\His right arm and both legs!\That woman...!\Damn! Why didn't you say so earlier?!\That explains why you're acting so cocky!\It's just the power of the Sacred Jewel! response:	You have Sacred Jewel fragments and that's the limit of your power?
context: Inuyasha, watch out!\He's using the power of the Sacred Jewel!\His right arm and both legs!\That woman...!\Damn! Why didn't you say so earlier?!\That explains why you're acting so cocky!\It's just the power of the Sacred Jewel!\You have Sacred Jewel fragments and that's the limit of your power? response:	What a laugh!
context: He's using the power of the Sacred Jewel!\His right arm and both legs!\That woman...!\Damn! Why didn't you say so earlier?!\That explains why you're acting so cocky!\It's just the power of the Sacred Jewel!\You have Sacred Jewel fragments and that's the limit of your power?\What a laugh! response:	Shut up, mutt!
context: His right arm and both legs!\That woman...!\Damn! Why didn't you say so earlier?!\That explains why you're acting so cocky!\It's just the power of the Sacred Jewel!\You have Sacred Jewel fragments and that's the limit of your power?\What a laugh!\Shut up, mutt! response:	Back off, you stray wolf!
context: That woman...!\Damn! Why didn't you say so earlier?!\That explains why you're acting so cocky!\It's just the power of the Sacred Jewel!\You have Sacred Jewel fragments and that's the limit of your power?\What a laugh!\Shut up, mutt!\Back off, you stray wolf! response:	Both of them are so uncouth.
context: Damn! Why didn't you say so earlier?!\That explains why you're acting so cocky!\It's just the power of the Sacred Jewel!\You have Sacred Jewel fragments and that's the limit of your power?\What a laugh!\Shut up, mutt!\Back off, you stray wolf!\Both of them are so uncouth. response:	He's... one of the Wolf-Demon Tribe!
context: That explains why you're acting so cocky!\It's just the power of the Sacred Jewel!\You have Sacred Jewel fragments and that's the limit of your power?\What a laugh!\Shut up, mutt!\Back off, you stray wolf!\Both of them are so uncouth.\He's... one of the Wolf-Demon Tribe! response:	You know him?
context: It's just the power of the Sacred Jewel!\You have Sacred Jewel fragments and that's the limit of your power?\What a laugh!\Shut up, mutt!\Back off, you stray wolf!\Both of them are so uncouth.\He's... one of the Wolf-Demon Tribe!\You know him? response:	I'm the young leader of the Yorozoku.
context: You have Sacred Jewel fragments and that's the limit of your power?\What a laugh!\Shut up, mutt!\Back off, you stray wolf!\Both of them are so uncouth.\He's... one of the Wolf-Demon Tribe!\You know him?\I'm the young leader of the Yorozoku. response:	Remember the name - Koga!
context: What a laugh!\Shut up, mutt!\Back off, you stray wolf!\Both of them are so uncouth.\He's... one of the Wolf-Demon Tribe!\You know him?\I'm the young leader of the Yorozoku.\Remember the name - Koga! response:	I've heard about them from other slayers.
context: Shut up, mutt!\Back off, you stray wolf!\Both of them are so uncouth.\He's... one of the Wolf-Demon Tribe!\You know him?\I'm the young leader of the Yorozoku.\Remember the name - Koga!\I've heard about them from other slayers. response:	They're demons who control wolves.
context: Back off, you stray wolf!\Both of them are so uncouth.\He's... one of the Wolf-Demon Tribe!\You know him?\I'm the young leader of the Yorozoku.\Remember the name - Koga!\I've heard about them from other slayers.\They're demons who control wolves. response:	They disguise themselves as humans...
context: Both of them are so uncouth.\He's... one of the Wolf-Demon Tribe!\You know him?\I'm the young leader of the Yorozoku.\Remember the name - Koga!\I've heard about them from other slayers.\They're demons who control wolves.\They disguise themselves as humans... response:	but their true nature is the wolf, and they're a wild bunch.
context: He's... one of the Wolf-Demon Tribe!\You know him?\I'm the young leader of the Yorozoku.\Remember the name - Koga!\I've heard about them from other slayers.\They're demons who control wolves.\They disguise themselves as humans...\but their true nature is the wolf, and they're a wild bunch. response:	They're coming from this side, too!
context: You know him?\I'm the young leader of the Yorozoku.\Remember the name - Koga!\I've heard about them from other slayers.\They're demons who control wolves.\They disguise themselves as humans...\but their true nature is the wolf, and they're a wild bunch.\They're coming from this side, too! response:	Kirara!
context: I'm the young leader of the Yorozoku.\Remember the name - Koga!\I've heard about them from other slayers.\They're demons who control wolves.\They disguise themselves as humans...\but their true nature is the wolf, and they're a wild bunch.\They're coming from this side, too!\Kirara! response:	They're running with their tails between their legs!
context: Remember the name - Koga!\I've heard about them from other slayers.\They're demons who control wolves.\They disguise themselves as humans...\but their true nature is the wolf, and they're a wild bunch.\They're coming from this side, too!\Kirara!\They're running with their tails between their legs! response:	Now it's up to Inuyasha!
context: I've heard about them from other slayers.\They're demons who control wolves.\They disguise themselves as humans...\but their true nature is the wolf, and they're a wild bunch.\They're coming from this side, too!\Kirara!\They're running with their tails between their legs!\Now it's up to Inuyasha! response:	Look at you!
context: They're demons who control wolves.\They disguise themselves as humans...\but their true nature is the wolf, and they're a wild bunch.\They're coming from this side, too!\Kirara!\They're running with their tails between their legs!\Now it's up to Inuyasha!\Look at you! response:	You have your hands full just being on the defensive!
context: They disguise themselves as humans...\but their true nature is the wolf, and they're a wild bunch.\They're coming from this side, too!\Kirara!\They're running with their tails between their legs!\Now it's up to Inuyasha!\Look at you!\You have your hands full just being on the defensive! response:	The perfect chance...
context: but their true nature is the wolf, and they're a wild bunch.\They're coming from this side, too!\Kirara!\They're running with their tails between their legs!\Now it's up to Inuyasha!\Look at you!\You have your hands full just being on the defensive!\The perfect chance... response:	to test my Tetsusaiga on him.
context: They're coming from this side, too!\Kirara!\They're running with their tails between their legs!\Now it's up to Inuyasha!\Look at you!\You have your hands full just being on the defensive!\The perfect chance...\to test my Tetsusaiga on him. response:	The flow of demon energy collides to create...
context: Kirara!\They're running with their tails between their legs!\Now it's up to Inuyasha!\Look at you!\You have your hands full just being on the defensive!\The perfect chance...\to test my Tetsusaiga on him.\The flow of demon energy collides to create... response:	a fissure in the wind!
context: They're running with their tails between their legs!\Now it's up to Inuyasha!\Look at you!\You have your hands full just being on the defensive!\The perfect chance...\to test my Tetsusaiga on him.\The flow of demon energy collides to create...\a fissure in the wind! response:	This is it...
context: Now it's up to Inuyasha!\Look at you!\You have your hands full just being on the defensive!\The perfect chance...\to test my Tetsusaiga on him.\The flow of demon energy collides to create...\a fissure in the wind!\This is it... response:	The smell of the Wind Scar!
context: Look at you!\You have your hands full just being on the defensive!\The perfect chance...\to test my Tetsusaiga on him.\The flow of demon energy collides to create...\a fissure in the wind!\This is it...\The smell of the Wind Scar! response:	The true power of the Tetsusaiga...
context: You have your hands full just being on the defensive!\The perfect chance...\to test my Tetsusaiga on him.\The flow of demon energy collides to create...\a fissure in the wind!\This is it...\The smell of the Wind Scar!\The true power of the Tetsusaiga... response:	Be known!
context: The perfect chance...\to test my Tetsusaiga on him.\The flow of demon energy collides to create...\a fissure in the wind!\This is it...\The smell of the Wind Scar!\The true power of the Tetsusaiga...\Be known! response:	Watch out!
context: to test my Tetsusaiga on him.\The flow of demon energy collides to create...\a fissure in the wind!\This is it...\The smell of the Wind Scar!\The true power of the Tetsusaiga...\Be known!\Watch out! response:	What?!
context: The flow of demon energy collides to create...\a fissure in the wind!\This is it...\The smell of the Wind Scar!\The true power of the Tetsusaiga...\Be known!\Watch out!\What?! response:	Hey, retreat! This is dangerous!
context: a fissure in the wind!\This is it...\The smell of the Wind Scar!\The true power of the Tetsusaiga...\Be known!\Watch out!\What?!\Hey, retreat! This is dangerous! response:	W-what the...!
context: This is it...\The smell of the Wind Scar!\The true power of the Tetsusaiga...\Be known!\Watch out!\What?!\Hey, retreat! This is dangerous!\W-what the...! response:	He ran away!
context: The smell of the Wind Scar!\The true power of the Tetsusaiga...\Be known!\Watch out!\What?!\Hey, retreat! This is dangerous!\W-what the...!\He ran away! response:	He makes up his mind quick.
context: The true power of the Tetsusaiga...\Be known!\Watch out!\What?!\Hey, retreat! This is dangerous!\W-what the...!\He ran away!\He makes up his mind quick. response:	Inuyasha... were you testing the Wind Scar?
context: Be known!\Watch out!\What?!\Hey, retreat! This is dangerous!\W-what the...!\He ran away!\He makes up his mind quick.\Inuyasha... were you testing the Wind Scar? response:	Yeah...
context: Watch out!\What?!\Hey, retreat! This is dangerous!\W-what the...!\He ran away!\He makes up his mind quick.\Inuyasha... were you testing the Wind Scar?\Yeah... response:	But he just ran. He's only talk.
context: What?!\Hey, retreat! This is dangerous!\W-what the...!\He ran away!\He makes up his mind quick.\Inuyasha... were you testing the Wind Scar?\Yeah...\But he just ran. He's only talk. response:	I wonder...
context: Hey, retreat! This is dangerous!\W-what the...!\He ran away!\He makes up his mind quick.\Inuyasha... were you testing the Wind Scar?\Yeah...\But he just ran. He's only talk.\I wonder... response:	What?
context: W-what the...!\He ran away!\He makes up his mind quick.\Inuyasha... were you testing the Wind Scar?\Yeah...\But he just ran. He's only talk.\I wonder...\What? response:	That Koga wouldn't know the power of the Tetsusaiga.
context: He ran away!\He makes up his mind quick.\Inuyasha... were you testing the Wind Scar?\Yeah...\But he just ran. He's only talk.\I wonder...\What?\That Koga wouldn't know the power of the Tetsusaiga. response:	If he knew instinctively that he was in danger...
context: He makes up his mind quick.\Inuyasha... were you testing the Wind Scar?\Yeah...\But he just ran. He's only talk.\I wonder...\What?\That Koga wouldn't know the power of the Tetsusaiga.\If he knew instinctively that he was in danger... response:	It's not just brute strength that we're up against.
context: Inuyasha... were you testing the Wind Scar?\Yeah...\But he just ran. He's only talk.\I wonder...\What?\That Koga wouldn't know the power of the Tetsusaiga.\If he knew instinctively that he was in danger...\It's not just brute strength that we're up against. response:	I think this is it.
context: Yeah...\But he just ran. He's only talk.\I wonder...\What?\That Koga wouldn't know the power of the Tetsusaiga.\If he knew instinctively that he was in danger...\It's not just brute strength that we're up against.\I think this is it. response:	Man... All we do lately is make graves!
context: But he just ran. He's only talk.\I wonder...\What?\That Koga wouldn't know the power of the Tetsusaiga.\If he knew instinctively that he was in danger...\It's not just brute strength that we're up against.\I think this is it.\Man... All we do lately is make graves! response:	I've gotten pretty good at digging.
context: I wonder...\What?\That Koga wouldn't know the power of the Tetsusaiga.\If he knew instinctively that he was in danger...\It's not just brute strength that we're up against.\I think this is it.\Man... All we do lately is make graves!\I've gotten pretty good at digging. response:	I'm turning into a Good Samaritan!
context: What?\That Koga wouldn't know the power of the Tetsusaiga.\If he knew instinctively that he was in danger...\It's not just brute strength that we're up against.\I think this is it.\Man... All we do lately is make graves!\I've gotten pretty good at digging.\I'm turning into a Good Samaritan! response:	We followed Kagome's sense of the Sacred Jewel fragment...
context: That Koga wouldn't know the power of the Tetsusaiga.\If he knew instinctively that he was in danger...\It's not just brute strength that we're up against.\I think this is it.\Man... All we do lately is make graves!\I've gotten pretty good at digging.\I'm turning into a Good Samaritan!\We followed Kagome's sense of the Sacred Jewel fragment... response:	and we came to this village.
context: If he knew instinctively that he was in danger...\It's not just brute strength that we're up against.\I think this is it.\Man... All we do lately is make graves!\I've gotten pretty good at digging.\I'm turning into a Good Samaritan!\We followed Kagome's sense of the Sacred Jewel fragment...\and we came to this village. response:	Only to find the entire village annihilated.
context: It's not just brute strength that we're up against.\I think this is it.\Man... All we do lately is make graves!\I've gotten pretty good at digging.\I'm turning into a Good Samaritan!\We followed Kagome's sense of the Sacred Jewel fragment...\and we came to this village.\Only to find the entire village annihilated. response:	The battle for the Sacred Jewel fragments...
context: I think this is it.\Man... All we do lately is make graves!\I've gotten pretty good at digging.\I'm turning into a Good Samaritan!\We followed Kagome's sense of the Sacred Jewel fragment...\and we came to this village.\Only to find the entire village annihilated.\The battle for the Sacred Jewel fragments... response:	has brought nothing but tragedy...
context: Man... All we do lately is make graves!\I've gotten pretty good at digging.\I'm turning into a Good Samaritan!\We followed Kagome's sense of the Sacred Jewel fragment...\and we came to this village.\Only to find the entire village annihilated.\The battle for the Sacred Jewel fragments...\has brought nothing but tragedy... response:	killing countless innocent villagers.
context: I've gotten pretty good at digging.\I'm turning into a Good Samaritan!\We followed Kagome's sense of the Sacred Jewel fragment...\and we came to this village.\Only to find the entire village annihilated.\The battle for the Sacred Jewel fragments...\has brought nothing but tragedy...\killing countless innocent villagers. response:	So?
context: I'm turning into a Good Samaritan!\We followed Kagome's sense of the Sacred Jewel fragment...\and we came to this village.\Only to find the entire village annihilated.\The battle for the Sacred Jewel fragments...\has brought nothing but tragedy...\killing countless innocent villagers.\So? response:	So... while I feel that taking possession of the fragments...
context: We followed Kagome's sense of the Sacred Jewel fragment...\and we came to this village.\Only to find the entire village annihilated.\The battle for the Sacred Jewel fragments...\has brought nothing but tragedy...\killing countless innocent villagers.\So?\So... while I feel that taking possession of the fragments... response:	before Naraku can is a good thing...
context: and we came to this village.\Only to find the entire village annihilated.\The battle for the Sacred Jewel fragments...\has brought nothing but tragedy...\killing countless innocent villagers.\So?\So... while I feel that taking possession of the fragments...\before Naraku can is a good thing... response:	I cannot approve of your seeking the Sacred Jewel...
context: Only to find the entire village annihilated.\The battle for the Sacred Jewel fragments...\has brought nothing but tragedy...\killing countless innocent villagers.\So?\So... while I feel that taking possession of the fragments...\before Naraku can is a good thing...\I cannot approve of your seeking the Sacred Jewel... response:	to use its power to become a complete demon.
context: The battle for the Sacred Jewel fragments...\has brought nothing but tragedy...\killing countless innocent villagers.\So?\So... while I feel that taking possession of the fragments...\before Naraku can is a good thing...\I cannot approve of your seeking the Sacred Jewel...\to use its power to become a complete demon. response:	That's all.
context: has brought nothing but tragedy...\killing countless innocent villagers.\So?\So... while I feel that taking possession of the fragments...\before Naraku can is a good thing...\I cannot approve of your seeking the Sacred Jewel...\to use its power to become a complete demon.\That's all. response:	No matter what anyone says, I'm gonna become a full-fledged demon!
context: killing countless innocent villagers.\So?\So... while I feel that taking possession of the fragments...\before Naraku can is a good thing...\I cannot approve of your seeking the Sacred Jewel...\to use its power to become a complete demon.\That's all.\No matter what anyone says, I'm gonna become a full-fledged demon! response:	You're wasting your time trying to stop me.
context: So?\So... while I feel that taking possession of the fragments...\before Naraku can is a good thing...\I cannot approve of your seeking the Sacred Jewel...\to use its power to become a complete demon.\That's all.\No matter what anyone says, I'm gonna become a full-fledged demon!\You're wasting your time trying to stop me. response:	The power of the Sacred Jewel can be used for good or evil.
context: So... while I feel that taking possession of the fragments...\before Naraku can is a good thing...\I cannot approve of your seeking the Sacred Jewel...\to use its power to become a complete demon.\That's all.\No matter what anyone says, I'm gonna become a full-fledged demon!\You're wasting your time trying to stop me.\The power of the Sacred Jewel can be used for good or evil. response:	However, Inuyasha...
