context: Pond of Blood response:	You are one incredible bastard to try to take the fruit of the Enseiju,
context: Pond of Blood\You are one incredible bastard to try to take the fruit of the Enseiju, response:	the Tree of Circular Life oni!
context: Pond of Blood\You are one incredible bastard to try to take the fruit of the Enseiju,\the Tree of Circular Life oni! response:	You mean I can't eat those?
context: Pond of Blood\You are one incredible bastard to try to take the fruit of the Enseiju,\the Tree of Circular Life oni!\You mean I can't eat those? response:	Of course not oni.
context: Pond of Blood\You are one incredible bastard to try to take the fruit of the Enseiju,\the Tree of Circular Life oni!\You mean I can't eat those?\Of course not oni. response:	Those are precious fruit that only the Great King Yama- sama may eat oni.
context: Pond of Blood\You are one incredible bastard to try to take the fruit of the Enseiju,\the Tree of Circular Life oni!\You mean I can't eat those?\Of course not oni.\Those are precious fruit that only the Great King Yama- sama may eat oni. response:	I'm just so hungry, you see...
context: Pond of Blood\You are one incredible bastard to try to take the fruit of the Enseiju,\the Tree of Circular Life oni!\You mean I can't eat those?\Of course not oni.\Those are precious fruit that only the Great King Yama- sama may eat oni.\I'm just so hungry, you see... response:	You're hungry?
context: Pond of Blood\You are one incredible bastard to try to take the fruit of the Enseiju,\the Tree of Circular Life oni!\You mean I can't eat those?\Of course not oni.\Those are precious fruit that only the Great King Yama- sama may eat oni.\I'm just so hungry, you see...\You're hungry? response:	You say the most ridiculous things oni. Who are you oni?
context: You are one incredible bastard to try to take the fruit of the Enseiju,\the Tree of Circular Life oni!\You mean I can't eat those?\Of course not oni.\Those are precious fruit that only the Great King Yama- sama may eat oni.\I'm just so hungry, you see...\You're hungry?\You say the most ridiculous things oni. Who are you oni? response:	What have you come here for oni?
context: the Tree of Circular Life oni!\You mean I can't eat those?\Of course not oni.\Those are precious fruit that only the Great King Yama- sama may eat oni.\I'm just so hungry, you see...\You're hungry?\You say the most ridiculous things oni. Who are you oni?\What have you come here for oni? response:	I'm Goku. Son Goku. I came here to train. Which one of you is Kaio- sama?
context: You mean I can't eat those?\Of course not oni.\Those are precious fruit that only the Great King Yama- sama may eat oni.\I'm just so hungry, you see...\You're hungry?\You say the most ridiculous things oni. Who are you oni?\What have you come here for oni?\I'm Goku. Son Goku. I came here to train. Which one of you is Kaio- sama? response:	Kaio- sama?
context: Of course not oni.\Those are precious fruit that only the Great King Yama- sama may eat oni.\I'm just so hungry, you see...\You're hungry?\You say the most ridiculous things oni. Who are you oni?\What have you come here for oni?\I'm Goku. Son Goku. I came here to train. Which one of you is Kaio- sama?\Kaio- sama? response:	Then you guys ain't Kaio- sama?
context: Those are precious fruit that only the Great King Yama- sama may eat oni.\I'm just so hungry, you see...\You're hungry?\You say the most ridiculous things oni. Who are you oni?\What have you come here for oni?\I'm Goku. Son Goku. I came here to train. Which one of you is Kaio- sama?\Kaio- sama?\Then you guys ain't Kaio- sama? response:	Of course not oni. Where do you think you are oni?
context: I'm just so hungry, you see...\You're hungry?\You say the most ridiculous things oni. Who are you oni?\What have you come here for oni?\I'm Goku. Son Goku. I came here to train. Which one of you is Kaio- sama?\Kaio- sama?\Then you guys ain't Kaio- sama?\Of course not oni. Where do you think you are oni? response:	This is the third street of the first district of Hell oni.
context: You're hungry?\You say the most ridiculous things oni. Who are you oni?\What have you come here for oni?\I'm Goku. Son Goku. I came here to train. Which one of you is Kaio- sama?\Kaio- sama?\Then you guys ain't Kaio- sama?\Of course not oni. Where do you think you are oni?\This is the third street of the first district of Hell oni. response:	We are the watch-keeper ogres of this area oni.
