context: Koumei Private High School response:	List of Accepted Candidates General Studies (Late Exams)
context: Koumei Private High School\List of Accepted Candidates General Studies (Late Exams) response:	1658 General Studies Kotarou Azumi Not Accepted
context: Koumei Private High School\List of Accepted Candidates General Studies (Late Exams)\1658 General Studies Kotarou Azumi Not Accepted response:	I've lived a life full of embarrassments.
context: Koumei Private High School\List of Accepted Candidates General Studies (Late Exams)\1658 General Studies Kotarou Azumi Not Accepted\I've lived a life full of embarrassments. response:	Sorry.
context: Koumei Private High School\List of Accepted Candidates General Studies (Late Exams)\1658 General Studies Kotarou Azumi Not Accepted\I've lived a life full of embarrassments.\Sorry. response:	I didn't get in.
context: Koumei Private High School\List of Accepted Candidates General Studies (Late Exams)\1658 General Studies Kotarou Azumi Not Accepted\I've lived a life full of embarrassments.\Sorry.\I didn't get in. response:	It's okay.
context: Koumei Private High School\List of Accepted Candidates General Studies (Late Exams)\1658 General Studies Kotarou Azumi Not Accepted\I've lived a life full of embarrassments.\Sorry.\I didn't get in.\It's okay. response:	You worked so hard for me.
context: Koumei Private High School\List of Accepted Candidates General Studies (Late Exams)\1658 General Studies Kotarou Azumi Not Accepted\I've lived a life full of embarrassments.\Sorry.\I didn't get in.\It's okay.\You worked so hard for me. response:	That's more than enough.
context: List of Accepted Candidates General Studies (Late Exams)\1658 General Studies Kotarou Azumi Not Accepted\I've lived a life full of embarrassments.\Sorry.\I didn't get in.\It's okay.\You worked so hard for me.\That's more than enough. response:	Thanks.
context: 1658 General Studies Kotarou Azumi Not Accepted\I've lived a life full of embarrassments.\Sorry.\I didn't get in.\It's okay.\You worked so hard for me.\That's more than enough.\Thanks. response:	I'm going to apply for a municipal school.
context: I've lived a life full of embarrassments.\Sorry.\I didn't get in.\It's okay.\You worked so hard for me.\That's more than enough.\Thanks.\I'm going to apply for a municipal school. response:	Okay.
context: Sorry.\I didn't get in.\It's okay.\You worked so hard for me.\That's more than enough.\Thanks.\I'm going to apply for a municipal school.\Okay. response:	Yeah?
context: I didn't get in.\It's okay.\You worked so hard for me.\That's more than enough.\Thanks.\I'm going to apply for a municipal school.\Okay.\Yeah? response:	You know...
context: It's okay.\You worked so hard for me.\That's more than enough.\Thanks.\I'm going to apply for a municipal school.\Okay.\Yeah?\You know... response:	They say nothing an author goes through is in vain.
context: You worked so hard for me.\That's more than enough.\Thanks.\I'm going to apply for a municipal school.\Okay.\Yeah?\You know...\They say nothing an author goes through is in vain. response:	It all gets put to use in writing.
context: That's more than enough.\Thanks.\I'm going to apply for a municipal school.\Okay.\Yeah?\You know...\They say nothing an author goes through is in vain.\It all gets put to use in writing. response:	Why not write?
context: Thanks.\I'm going to apply for a municipal school.\Okay.\Yeah?\You know...\They say nothing an author goes through is in vain.\It all gets put to use in writing.\Why not write? response:	You might feel a little better.
context: I'm going to apply for a municipal school.\Okay.\Yeah?\You know...\They say nothing an author goes through is in vain.\It all gets put to use in writing.\Why not write?\You might feel a little better. response:	That's how it goes sometimes.
context: Okay.\Yeah?\You know...\They say nothing an author goes through is in vain.\It all gets put to use in writing.\Why not write?\You might feel a little better.\That's how it goes sometimes. response:	Yeah.
