context: Over here! response:	Second Disciple!
context: Over here!\Second Disciple! response:	Congratulations, Master, on obtaining this magical artifact.
context: Over here!\Second Disciple!\Congratulations, Master, on obtaining this magical artifact. response:	Kunlun Mountain hasn't had a weapon since the Bell of the East Emperor.
context: Over here!\Second Disciple!\Congratulations, Master, on obtaining this magical artifact.\Kunlun Mountain hasn't had a weapon since the Bell of the East Emperor. response:	Could it be that I will have a new disciple?
context: Over here!\Second Disciple!\Congratulations, Master, on obtaining this magical artifact.\Kunlun Mountain hasn't had a weapon since the Bell of the East Emperor.\Could it be that I will have a new disciple? response:	- Quick! - That way!
context: Over here!\Second Disciple!\Congratulations, Master, on obtaining this magical artifact.\Kunlun Mountain hasn't had a weapon since the Bell of the East Emperor.\Could it be that I will have a new disciple?\- Quick! - That way! response:	Hurry.
context: Over here!\Second Disciple!\Congratulations, Master, on obtaining this magical artifact.\Kunlun Mountain hasn't had a weapon since the Bell of the East Emperor.\Could it be that I will have a new disciple?\- Quick! - That way!\Hurry. response:	This is Kunlun Mountain?
context: Over here!\Second Disciple!\Congratulations, Master, on obtaining this magical artifact.\Kunlun Mountain hasn't had a weapon since the Bell of the East Emperor.\Could it be that I will have a new disciple?\- Quick! - That way!\Hurry.\This is Kunlun Mountain? response:	There is something shining brightly up there.
context: Second Disciple!\Congratulations, Master, on obtaining this magical artifact.\Kunlun Mountain hasn't had a weapon since the Bell of the East Emperor.\Could it be that I will have a new disciple?\- Quick! - That way!\Hurry.\This is Kunlun Mountain?\There is something shining brightly up there. response:	You'll find out when you reach the top.
context: Congratulations, Master, on obtaining this magical artifact.\Kunlun Mountain hasn't had a weapon since the Bell of the East Emperor.\Could it be that I will have a new disciple?\- Quick! - That way!\Hurry.\This is Kunlun Mountain?\There is something shining brightly up there.\You'll find out when you reach the top. response:	Why did you give me the appearance of a boy?
context: Kunlun Mountain hasn't had a weapon since the Bell of the East Emperor.\Could it be that I will have a new disciple?\- Quick! - That way!\Hurry.\This is Kunlun Mountain?\There is something shining brightly up there.\You'll find out when you reach the top.\Why did you give me the appearance of a boy? response:	Kunlun Mountain does not accept female disciples.
context: Could it be that I will have a new disciple?\- Quick! - That way!\Hurry.\This is Kunlun Mountain?\There is something shining brightly up there.\You'll find out when you reach the top.\Why did you give me the appearance of a boy?\Kunlun Mountain does not accept female disciples. response:	If you want to be a disciple, you must be a boy.
context: - Quick! - That way!\Hurry.\This is Kunlun Mountain?\There is something shining brightly up there.\You'll find out when you reach the top.\Why did you give me the appearance of a boy?\Kunlun Mountain does not accept female disciples.\If you want to be a disciple, you must be a boy. response:	Remember this.
context: Hurry.\This is Kunlun Mountain?\There is something shining brightly up there.\You'll find out when you reach the top.\Why did you give me the appearance of a boy?\Kunlun Mountain does not accept female disciples.\If you want to be a disciple, you must be a boy.\Remember this. response:	From this moment on
context: This is Kunlun Mountain?\There is something shining brightly up there.\You'll find out when you reach the top.\Why did you give me the appearance of a boy?\Kunlun Mountain does not accept female disciples.\If you want to be a disciple, you must be a boy.\Remember this.\From this moment on response:	you are no longer Bai Qian, daughter of Qing Qiu's Fox King.
context: There is something shining brightly up there.\You'll find out when you reach the top.\Why did you give me the appearance of a boy?\Kunlun Mountain does not accept female disciples.\If you want to be a disciple, you must be a boy.\Remember this.\From this moment on\you are no longer Bai Qian, daughter of Qing Qiu's Fox King. response:	You will be Si Yin.
context: You'll find out when you reach the top.\Why did you give me the appearance of a boy?\Kunlun Mountain does not accept female disciples.\If you want to be a disciple, you must be a boy.\Remember this.\From this moment on\you are no longer Bai Qian, daughter of Qing Qiu's Fox King.\You will be Si Yin. response:	You are a wild fox I found
context: Why did you give me the appearance of a boy?\Kunlun Mountain does not accept female disciples.\If you want to be a disciple, you must be a boy.\Remember this.\From this moment on\you are no longer Bai Qian, daughter of Qing Qiu's Fox King.\You will be Si Yin.\You are a wild fox I found response:	and sent to Kunlun Mountain to become Mo Yuan's disciple.
context: Kunlun Mountain does not accept female disciples.\If you want to be a disciple, you must be a boy.\Remember this.\From this moment on\you are no longer Bai Qian, daughter of Qing Qiu's Fox King.\You will be Si Yin.\You are a wild fox I found\and sent to Kunlun Mountain to become Mo Yuan's disciple. response:	Will anyone see through the disguise?
context: If you want to be a disciple, you must be a boy.\Remember this.\From this moment on\you are no longer Bai Qian, daughter of Qing Qiu's Fox King.\You will be Si Yin.\You are a wild fox I found\and sent to Kunlun Mountain to become Mo Yuan's disciple.\Will anyone see through the disguise? response:	- That will depend on luck. - Depend on luck?
context: Remember this.\From this moment on\you are no longer Bai Qian, daughter of Qing Qiu's Fox King.\You will be Si Yin.\You are a wild fox I found\and sent to Kunlun Mountain to become Mo Yuan's disciple.\Will anyone see through the disguise?\- That will depend on luck. - Depend on luck? response:	Mo Yuan's disciples won't have the ability to.
context: From this moment on\you are no longer Bai Qian, daughter of Qing Qiu's Fox King.\You will be Si Yin.\You are a wild fox I found\and sent to Kunlun Mountain to become Mo Yuan's disciple.\Will anyone see through the disguise?\- That will depend on luck. - Depend on luck?\Mo Yuan's disciples won't have the ability to. response:	As for whether Mo Yuan himself can see you are a woman...
context: you are no longer Bai Qian, daughter of Qing Qiu's Fox King.\You will be Si Yin.\You are a wild fox I found\and sent to Kunlun Mountain to become Mo Yuan's disciple.\Will anyone see through the disguise?\- That will depend on luck. - Depend on luck?\Mo Yuan's disciples won't have the ability to.\As for whether Mo Yuan himself can see you are a woman... response:	that will depend on your luck today.
context: You will be Si Yin.\You are a wild fox I found\and sent to Kunlun Mountain to become Mo Yuan's disciple.\Will anyone see through the disguise?\- That will depend on luck. - Depend on luck?\Mo Yuan's disciples won't have the ability to.\As for whether Mo Yuan himself can see you are a woman...\that will depend on your luck today. response:	Where did this brat come from?
context: You are a wild fox I found\and sent to Kunlun Mountain to become Mo Yuan's disciple.\Will anyone see through the disguise?\- That will depend on luck. - Depend on luck?\Mo Yuan's disciples won't have the ability to.\As for whether Mo Yuan himself can see you are a woman...\that will depend on your luck today.\Where did this brat come from? response:	He's trying to take my spot as disciple?
context: and sent to Kunlun Mountain to become Mo Yuan's disciple.\Will anyone see through the disguise?\- That will depend on luck. - Depend on luck?\Mo Yuan's disciples won't have the ability to.\As for whether Mo Yuan himself can see you are a woman...\that will depend on your luck today.\Where did this brat come from?\He's trying to take my spot as disciple? response:	Another ignorant and incompetent fellow
context: Will anyone see through the disguise?\- That will depend on luck. - Depend on luck?\Mo Yuan's disciples won't have the ability to.\As for whether Mo Yuan himself can see you are a woman...\that will depend on your luck today.\Where did this brat come from?\He's trying to take my spot as disciple?\Another ignorant and incompetent fellow response:	who relies on the support of his family's elders to become a disciple.
context: - That will depend on luck. - Depend on luck?\Mo Yuan's disciples won't have the ability to.\As for whether Mo Yuan himself can see you are a woman...\that will depend on your luck today.\Where did this brat come from?\He's trying to take my spot as disciple?\Another ignorant and incompetent fellow\who relies on the support of his family's elders to become a disciple. response:	Mo Yuan is the highly revered God of War.
context: Mo Yuan's disciples won't have the ability to.\As for whether Mo Yuan himself can see you are a woman...\that will depend on your luck today.\Where did this brat come from?\He's trying to take my spot as disciple?\Another ignorant and incompetent fellow\who relies on the support of his family's elders to become a disciple.\Mo Yuan is the highly revered God of War. response:	How could he possibly take in a thin and weak fox?
context: As for whether Mo Yuan himself can see you are a woman...\that will depend on your luck today.\Where did this brat come from?\He's trying to take my spot as disciple?\Another ignorant and incompetent fellow\who relies on the support of his family's elders to become a disciple.\Mo Yuan is the highly revered God of War.\How could he possibly take in a thin and weak fox? response:	That...
context: that will depend on your luck today.\Where did this brat come from?\He's trying to take my spot as disciple?\Another ignorant and incompetent fellow\who relies on the support of his family's elders to become a disciple.\Mo Yuan is the highly revered God of War.\How could he possibly take in a thin and weak fox?\That... response:	- Master. - Master.
context: Where did this brat come from?\He's trying to take my spot as disciple?\Another ignorant and incompetent fellow\who relies on the support of his family's elders to become a disciple.\Mo Yuan is the highly revered God of War.\How could he possibly take in a thin and weak fox?\That...\- Master. - Master. response:	- Zhe Yan. - Zhe Yan.
context: He's trying to take my spot as disciple?\Another ignorant and incompetent fellow\who relies on the support of his family's elders to become a disciple.\Mo Yuan is the highly revered God of War.\How could he possibly take in a thin and weak fox?\That...\- Master. - Master.\- Zhe Yan. - Zhe Yan. response:	How strange. The fan chose him as its owner.
context: Another ignorant and incompetent fellow\who relies on the support of his family's elders to become a disciple.\Mo Yuan is the highly revered God of War.\How could he possibly take in a thin and weak fox?\That...\- Master. - Master.\- Zhe Yan. - Zhe Yan.\How strange. The fan chose him as its owner. response:	I had thought the God of War would have a ferocious and formidable appearance.
context: who relies on the support of his family's elders to become a disciple.\Mo Yuan is the highly revered God of War.\How could he possibly take in a thin and weak fox?\That...\- Master. - Master.\- Zhe Yan. - Zhe Yan.\How strange. The fan chose him as its owner.\I had thought the God of War would have a ferocious and formidable appearance. response:	Who would have thought his face would be even prettier than Zhe Yan's.
context: Mo Yuan is the highly revered God of War.\How could he possibly take in a thin and weak fox?\That...\- Master. - Master.\- Zhe Yan. - Zhe Yan.\How strange. The fan chose him as its owner.\I had thought the God of War would have a ferocious and formidable appearance.\Who would have thought his face would be even prettier than Zhe Yan's. response:	Could he have seen through Zhe Yan's enchantment?
