context: I swear I'll save you, so wait for me, Rohan! response:	So it learned my scent?
context: I swear I'll save you, so wait for me, Rohan!\So it learned my scent? response:	It's going to chase me forever,
context: I swear I'll save you, so wait for me, Rohan!\So it learned my scent?\It's going to chase me forever, response:	and as soon as it touches me, it'll suck out my nutrients?
context: I swear I'll save you, so wait for me, Rohan!\So it learned my scent?\It's going to chase me forever,\and as soon as it touches me, it'll suck out my nutrients? response:	Yes!
context: I swear I'll save you, so wait for me, Rohan!\So it learned my scent?\It's going to chase me forever,\and as soon as it touches me, it'll suck out my nutrients?\Yes! response:	That thing can't go faster than 60km/h!
context: I swear I'll save you, so wait for me, Rohan!\So it learned my scent?\It's going to chase me forever,\and as soon as it touches me, it'll suck out my nutrients?\Yes!\That thing can't go faster than 60km/h! response:	This bike'll have no problem beating that.
context: I swear I'll save you, so wait for me, Rohan!\So it learned my scent?\It's going to chase me forever,\and as soon as it touches me, it'll suck out my nutrients?\Yes!\That thing can't go faster than 60km/h!\This bike'll have no problem beating that. response:	But how the hell am I supposed to find the user?
context: I swear I'll save you, so wait for me, Rohan!\So it learned my scent?\It's going to chase me forever,\and as soon as it touches me, it'll suck out my nutrients?\Yes!\That thing can't go faster than 60km/h!\This bike'll have no problem beating that.\But how the hell am I supposed to find the user? response:	I guess I'll sort out everything I know about him first.
context: So it learned my scent?\It's going to chase me forever,\and as soon as it touches me, it'll suck out my nutrients?\Yes!\That thing can't go faster than 60km/h!\This bike'll have no problem beating that.\But how the hell am I supposed to find the user?\I guess I'll sort out everything I know about him first. response:	First, why did he set up a trap inside the tunnel?
context: It's going to chase me forever,\and as soon as it touches me, it'll suck out my nutrients?\Yes!\That thing can't go faster than 60km/h!\This bike'll have no problem beating that.\But how the hell am I supposed to find the user?\I guess I'll sort out everything I know about him first.\First, why did he set up a trap inside the tunnel? response:	It would have been easier to ambush us from the roadside.
context: and as soon as it touches me, it'll suck out my nutrients?\Yes!\That thing can't go faster than 60km/h!\This bike'll have no problem beating that.\But how the hell am I supposed to find the user?\I guess I'll sort out everything I know about him first.\First, why did he set up a trap inside the tunnel?\It would have been easier to ambush us from the roadside. response:	Second, I think there's more to his sucking out nutrients.
context: Yes!\That thing can't go faster than 60km/h!\This bike'll have no problem beating that.\But how the hell am I supposed to find the user?\I guess I'll sort out everything I know about him first.\First, why did he set up a trap inside the tunnel?\It would have been easier to ambush us from the roadside.\Second, I think there's more to his sucking out nutrients. response:	There's got to be a reason for that tunnel.
context: That thing can't go faster than 60km/h!\This bike'll have no problem beating that.\But how the hell am I supposed to find the user?\I guess I'll sort out everything I know about him first.\First, why did he set up a trap inside the tunnel?\It would have been easier to ambush us from the roadside.\Second, I think there's more to his sucking out nutrients.\There's got to be a reason for that tunnel. response:	I've got to check out that tunnel!
context: This bike'll have no problem beating that.\But how the hell am I supposed to find the user?\I guess I'll sort out everything I know about him first.\First, why did he set up a trap inside the tunnel?\It would have been easier to ambush us from the roadside.\Second, I think there's more to his sucking out nutrients.\There's got to be a reason for that tunnel.\I've got to check out that tunnel! response:	I need information about the Futatsumori Tunnel!
context: But how the hell am I supposed to find the user?\I guess I'll sort out everything I know about him first.\First, why did he set up a trap inside the tunnel?\It would have been easier to ambush us from the roadside.\Second, I think there's more to his sucking out nutrients.\There's got to be a reason for that tunnel.\I've got to check out that tunnel!\I need information about the Futatsumori Tunnel! response:	Koichi!
context: I guess I'll sort out everything I know about him first.\First, why did he set up a trap inside the tunnel?\It would have been easier to ambush us from the roadside.\Second, I think there's more to his sucking out nutrients.\There's got to be a reason for that tunnel.\I've got to check out that tunnel!\I need information about the Futatsumori Tunnel!\Koichi! response:	I need to call Koichi and have him use Reverb to find the user!
context: First, why did he set up a trap inside the tunnel?\It would have been easier to ambush us from the roadside.\Second, I think there's more to his sucking out nutrients.\There's got to be a reason for that tunnel.\I've got to check out that tunnel!\I need information about the Futatsumori Tunnel!\Koichi!\I need to call Koichi and have him use Reverb to find the user! response:	Now, now. What's the matter? There, there...
context: It would have been easier to ambush us from the roadside.\Second, I think there's more to his sucking out nutrients.\There's got to be a reason for that tunnel.\I've got to check out that tunnel!\I need information about the Futatsumori Tunnel!\Koichi!\I need to call Koichi and have him use Reverb to find the user!\Now, now. What's the matter? There, there... response:	All right. There should be plenty of distance between us now.
context: Second, I think there's more to his sucking out nutrients.\There's got to be a reason for that tunnel.\I've got to check out that tunnel!\I need information about the Futatsumori Tunnel!\Koichi!\I need to call Koichi and have him use Reverb to find the user!\Now, now. What's the matter? There, there...\All right. There should be plenty of distance between us now. response:	Where's my card?
context: There's got to be a reason for that tunnel.\I've got to check out that tunnel!\I need information about the Futatsumori Tunnel!\Koichi!\I need to call Koichi and have him use Reverb to find the user!\Now, now. What's the matter? There, there...\All right. There should be plenty of distance between us now.\Where's my card? response:	Y-You can't be serious!
context: I've got to check out that tunnel!\I need information about the Futatsumori Tunnel!\Koichi!\I need to call Koichi and have him use Reverb to find the user!\Now, now. What's the matter? There, there...\All right. There should be plenty of distance between us now.\Where's my card?\Y-You can't be serious! response:	Why'd it suddenly appear?
context: I need information about the Futatsumori Tunnel!\Koichi!\I need to call Koichi and have him use Reverb to find the user!\Now, now. What's the matter? There, there...\All right. There should be plenty of distance between us now.\Where's my card?\Y-You can't be serious!\Why'd it suddenly appear? response:	I ran away at 80km/h, and it was going 60km/h.
context: Koichi!\I need to call Koichi and have him use Reverb to find the user!\Now, now. What's the matter? There, there...\All right. There should be plenty of distance between us now.\Where's my card?\Y-You can't be serious!\Why'd it suddenly appear?\I ran away at 80km/h, and it was going 60km/h. response:	Even doing simple math,
context: I need to call Koichi and have him use Reverb to find the user!\Now, now. What's the matter? There, there...\All right. There should be plenty of distance between us now.\Where's my card?\Y-You can't be serious!\Why'd it suddenly appear?\I ran away at 80km/h, and it was going 60km/h.\Even doing simple math, response:	it should have taken another two minutes to get here.
context: Now, now. What's the matter? There, there...\All right. There should be plenty of distance between us now.\Where's my card?\Y-You can't be serious!\Why'd it suddenly appear?\I ran away at 80km/h, and it was going 60km/h.\Even doing simple math,\it should have taken another two minutes to get here. response:	That thing is a Stand.
context: All right. There should be plenty of distance between us now.\Where's my card?\Y-You can't be serious!\Why'd it suddenly appear?\I ran away at 80km/h, and it was going 60km/h.\Even doing simple math,\it should have taken another two minutes to get here.\That thing is a Stand. response:	It can appear and disappear freely...
context: Where's my card?\Y-You can't be serious!\Why'd it suddenly appear?\I ran away at 80km/h, and it was going 60km/h.\Even doing simple math,\it should have taken another two minutes to get here.\That thing is a Stand.\It can appear and disappear freely... response:	He managed to make it appear somewhere near where I am,
context: Y-You can't be serious!\Why'd it suddenly appear?\I ran away at 80km/h, and it was going 60km/h.\Even doing simple math,\it should have taken another two minutes to get here.\That thing is a Stand.\It can appear and disappear freely...\He managed to make it appear somewhere near where I am, response:	and now it's going to accurately
context: Why'd it suddenly appear?\I ran away at 80km/h, and it was going 60km/h.\Even doing simple math,\it should have taken another two minutes to get here.\That thing is a Stand.\It can appear and disappear freely...\He managed to make it appear somewhere near where I am,\and now it's going to accurately response:	attack me by following my scent!
context: I ran away at 80km/h, and it was going 60km/h.\Even doing simple math,\it should have taken another two minutes to get here.\That thing is a Stand.\It can appear and disappear freely...\He managed to make it appear somewhere near where I am,\and now it's going to accurately\attack me by following my scent! response:	S-Sixty kilometers...
context: Even doing simple math,\it should have taken another two minutes to get here.\That thing is a Stand.\It can appear and disappear freely...\He managed to make it appear somewhere near where I am,\and now it's going to accurately\attack me by following my scent!\S-Sixty kilometers... response:	Wh-What?!
context: it should have taken another two minutes to get here.\That thing is a Stand.\It can appear and disappear freely...\He managed to make it appear somewhere near where I am,\and now it's going to accurately\attack me by following my scent!\S-Sixty kilometers...\Wh-What?! response:	Shit! A baby carriage!
context: That thing is a Stand.\It can appear and disappear freely...\He managed to make it appear somewhere near where I am,\and now it's going to accurately\attack me by following my scent!\S-Sixty kilometers...\Wh-What?!\Shit! A baby carriage! response:	What's the matter with you? You're so fussy...
