context: Excuse me! response:	Ohana!
context: Excuse me!\Ohana! response:	Hey!
context: Excuse me!\Ohana!\Hey! response:	Haisai!
context: Excuse me!\Ohana!\Hey!\Haisai! response:	An Okinawan dialect, right?
context: Excuse me!\Ohana!\Hey!\Haisai!\An Okinawan dialect, right? response:	Yup!
context: Excuse me!\Ohana!\Hey!\Haisai!\An Okinawan dialect, right?\Yup! response:	A circular notice, right?
context: Excuse me!\Ohana!\Hey!\Haisai!\An Okinawan dialect, right?\Yup!\A circular notice, right? response:	Give me just a moment, please!
context: Excuse me!\Ohana!\Hey!\Haisai!\An Okinawan dialect, right?\Yup!\A circular notice, right?\Give me just a moment, please! response:	Hot Springs
context: Ohana!\Hey!\Haisai!\An Okinawan dialect, right?\Yup!\A circular notice, right?\Give me just a moment, please!\Hot Springs response:	Anything interesting?
context: Hey!\Haisai!\An Okinawan dialect, right?\Yup!\A circular notice, right?\Give me just a moment, please!\Hot Springs\Anything interesting? response:	Um, yeah!
context: Haisai!\An Okinawan dialect, right?\Yup!\A circular notice, right?\Give me just a moment, please!\Hot Springs\Anything interesting?\Um, yeah! response:	Listen to this.
context: An Okinawan dialect, right?\Yup!\A circular notice, right?\Give me just a moment, please!\Hot Springs\Anything interesting?\Um, yeah!\Listen to this. response:	Yunosagi is going to be covered
context: Yup!\A circular notice, right?\Give me just a moment, please!\Hot Springs\Anything interesting?\Um, yeah!\Listen to this.\Yunosagi is going to be covered response:	in the next issue of that magazine.
context: A circular notice, right?\Give me just a moment, please!\Hot Springs\Anything interesting?\Um, yeah!\Listen to this.\Yunosagi is going to be covered\in the next issue of that magazine. response:	Wow.
context: Give me just a moment, please!\Hot Springs\Anything interesting?\Um, yeah!\Listen to this.\Yunosagi is going to be covered\in the next issue of that magazine.\Wow. response:	Then are you going to have to go through this, too?
context: Hot Springs\Anything interesting?\Um, yeah!\Listen to this.\Yunosagi is going to be covered\in the next issue of that magazine.\Wow.\Then are you going to have to go through this, too? response:	The Mystery Guest Evaluation Ranking?
context: Anything interesting?\Um, yeah!\Listen to this.\Yunosagi is going to be covered\in the next issue of that magazine.\Wow.\Then are you going to have to go through this, too?\The Mystery Guest Evaluation Ranking? response:	Yeah, I bet.
context: Um, yeah!\Listen to this.\Yunosagi is going to be covered\in the next issue of that magazine.\Wow.\Then are you going to have to go through this, too?\The Mystery Guest Evaluation Ranking?\Yeah, I bet. response:	Our staff are really worried about that part.
context: Listen to this.\Yunosagi is going to be covered\in the next issue of that magazine.\Wow.\Then are you going to have to go through this, too?\The Mystery Guest Evaluation Ranking?\Yeah, I bet.\Our staff are really worried about that part. response:	I guess a high ranking toward the top
