context: Passing Time response:	Let's see, 135 over 80.
context: Passing Time\Let's see, 135 over 80. response:	Not bad, Someji.
context: Passing Time\Let's see, 135 over 80.\Not bad, Someji. response:	All right.
context: Passing Time\Let's see, 135 over 80.\Not bad, Someji.\All right. response:	That's what I'm talking about.
context: Passing Time\Let's see, 135 over 80.\Not bad, Someji.\All right.\That's what I'm talking about. response:	Your blood pressure has gone down quite a bit.
context: Passing Time\Let's see, 135 over 80.\Not bad, Someji.\All right.\That's what I'm talking about.\Your blood pressure has gone down quite a bit. response:	But I'm going to give you more medicine. Keep taking it.
context: Passing Time\Let's see, 135 over 80.\Not bad, Someji.\All right.\That's what I'm talking about.\Your blood pressure has gone down quite a bit.\But I'm going to give you more medicine. Keep taking it. response:	Sure thing. Lay it on me!
context: Passing Time\Let's see, 135 over 80.\Not bad, Someji.\All right.\That's what I'm talking about.\Your blood pressure has gone down quite a bit.\But I'm going to give you more medicine. Keep taking it.\Sure thing. Lay it on me! response:	About three months' worth.
context: Let's see, 135 over 80.\Not bad, Someji.\All right.\That's what I'm talking about.\Your blood pressure has gone down quite a bit.\But I'm going to give you more medicine. Keep taking it.\Sure thing. Lay it on me!\About three months' worth. response:	SAKUMA, MD Internal Medicine Pediatrics
context: Not bad, Someji.\All right.\That's what I'm talking about.\Your blood pressure has gone down quite a bit.\But I'm going to give you more medicine. Keep taking it.\Sure thing. Lay it on me!\About three months' worth.\SAKUMA, MD Internal Medicine Pediatrics response:	Idiot, I can't give you that much.
context: All right.\That's what I'm talking about.\Your blood pressure has gone down quite a bit.\But I'm going to give you more medicine. Keep taking it.\Sure thing. Lay it on me!\About three months' worth.\SAKUMA, MD Internal Medicine Pediatrics\Idiot, I can't give you that much. response:	Three weeks' worth. Come back again next month for more.
context: That's what I'm talking about.\Your blood pressure has gone down quite a bit.\But I'm going to give you more medicine. Keep taking it.\Sure thing. Lay it on me!\About three months' worth.\SAKUMA, MD Internal Medicine Pediatrics\Idiot, I can't give you that much.\Three weeks' worth. Come back again next month for more. response:	Feh. All right, fine. Guess I'll see you then.
