context: Lucy-san! Are you awake?! response:	Which match is it right now?
context: Lucy-san! Are you awake?!\Which match is it right now? response:	The first match just finished.
context: Lucy-san! Are you awake?!\Which match is it right now?\The first match just finished. response:	It looks like Blue Pegasus won.
context: Lucy-san! Are you awake?!\Which match is it right now?\The first match just finished.\It looks like Blue Pegasus won. response:	The second match is just about to begin.
context: Lucy-san! Are you awake?!\Which match is it right now?\The first match just finished.\It looks like Blue Pegasus won.\The second match is just about to begin. response:	It's between Lamia Scale and Mermaid Heel.
context: Lucy-san! Are you awake?!\Which match is it right now?\The first match just finished.\It looks like Blue Pegasus won.\The second match is just about to begin.\It's between Lamia Scale and Mermaid Heel. response:	I see... Then Natsu and the others' match hasn't started yet.
context: Lucy-san! Are you awake?!\Which match is it right now?\The first match just finished.\It looks like Blue Pegasus won.\The second match is just about to begin.\It's between Lamia Scale and Mermaid Heel.\I see... Then Natsu and the others' match hasn't started yet. response:	Natsu-san said he'd come and see you before his match.
context: Lucy-san! Are you awake?!\Which match is it right now?\The first match just finished.\It looks like Blue Pegasus won.\The second match is just about to begin.\It's between Lamia Scale and Mermaid Heel.\I see... Then Natsu and the others' match hasn't started yet.\Natsu-san said he'd come and see you before his match. response:	Rest up a little more until then.
context: Which match is it right now?\The first match just finished.\It looks like Blue Pegasus won.\The second match is just about to begin.\It's between Lamia Scale and Mermaid Heel.\I see... Then Natsu and the others' match hasn't started yet.\Natsu-san said he'd come and see you before his match.\Rest up a little more until then. response:	It's important for you to get your strength back.
context: The first match just finished.\It looks like Blue Pegasus won.\The second match is just about to begin.\It's between Lamia Scale and Mermaid Heel.\I see... Then Natsu and the others' match hasn't started yet.\Natsu-san said he'd come and see you before his match.\Rest up a little more until then.\It's important for you to get your strength back. response:	Thank you. I will.
context: It looks like Blue Pegasus won.\The second match is just about to begin.\It's between Lamia Scale and Mermaid Heel.\I see... Then Natsu and the others' match hasn't started yet.\Natsu-san said he'd come and see you before his match.\Rest up a little more until then.\It's important for you to get your strength back.\Thank you. I will. response:	Alright! The second match is next.
context: The second match is just about to begin.\It's between Lamia Scale and Mermaid Heel.\I see... Then Natsu and the others' match hasn't started yet.\Natsu-san said he'd come and see you before his match.\Rest up a little more until then.\It's important for you to get your strength back.\Thank you. I will.\Alright! The second match is next. response:	From Lamia Scale,
context: It's between Lamia Scale and Mermaid Heel.\I see... Then Natsu and the others' match hasn't started yet.\Natsu-san said he'd come and see you before his match.\Rest up a little more until then.\It's important for you to get your strength back.\Thank you. I will.\Alright! The second match is next.\From Lamia Scale, response:	Lyon and Yuka!
context: I see... Then Natsu and the others' match hasn't started yet.\Natsu-san said he'd come and see you before his match.\Rest up a little more until then.\It's important for you to get your strength back.\Thank you. I will.\Alright! The second match is next.\From Lamia Scale,\Lyon and Yuka! response:	And from Mermaid Heel,
