context: Mashiro! So Miho's having her debut as a seiyuu, huh?! response:	It's still just a small part.
context: Mashiro! So Miho's having her debut as a seiyuu, huh?!\It's still just a small part. response:	He's just being shy.
context: Mashiro! So Miho's having her debut as a seiyuu, huh?!\It's still just a small part.\He's just being shy. response:	But it's amazing, isn't it?
context: Mashiro! So Miho's having her debut as a seiyuu, huh?!\It's still just a small part.\He's just being shy.\But it's amazing, isn't it? response:	Now, if you and Takagi make an anime,
context: Mashiro! So Miho's having her debut as a seiyuu, huh?!\It's still just a small part.\He's just being shy.\But it's amazing, isn't it?\Now, if you and Takagi make an anime, response:	then you can use Miho for the heroine and get married, right?!
context: Mashiro! So Miho's having her debut as a seiyuu, huh?!\It's still just a small part.\He's just being shy.\But it's amazing, isn't it?\Now, if you and Takagi make an anime,\then you can use Miho for the heroine and get married, right?! response:	It's almost scary!
context: Mashiro! So Miho's having her debut as a seiyuu, huh?!\It's still just a small part.\He's just being shy.\But it's amazing, isn't it?\Now, if you and Takagi make an anime,\then you can use Miho for the heroine and get married, right?!\It's almost scary! response:	I'm so excited!
context: Mashiro! So Miho's having her debut as a seiyuu, huh?!\It's still just a small part.\He's just being shy.\But it's amazing, isn't it?\Now, if you and Takagi make an anime,\then you can use Miho for the heroine and get married, right?!\It's almost scary!\I'm so excited! response:	You can't get an anime adaptation that easily.
context: It's still just a small part.\He's just being shy.\But it's amazing, isn't it?\Now, if you and Takagi make an anime,\then you can use Miho for the heroine and get married, right?!\It's almost scary!\I'm so excited!\You can't get an anime adaptation that easily. response:	And I don't think Azuki will be able to play the part...
context: He's just being shy.\But it's amazing, isn't it?\Now, if you and Takagi make an anime,\then you can use Miho for the heroine and get married, right?!\It's almost scary!\I'm so excited!\You can't get an anime adaptation that easily.\And I don't think Azuki will be able to play the part... response:	if she doesn't get into the position where she can be a heroine.
context: But it's amazing, isn't it?\Now, if you and Takagi make an anime,\then you can use Miho for the heroine and get married, right?!\It's almost scary!\I'm so excited!\You can't get an anime adaptation that easily.\And I don't think Azuki will be able to play the part...\if she doesn't get into the position where she can be a heroine. response:	Why is he being so cool and collected about this?
context: Now, if you and Takagi make an anime,\then you can use Miho for the heroine and get married, right?!\It's almost scary!\I'm so excited!\You can't get an anime adaptation that easily.\And I don't think Azuki will be able to play the part...\if she doesn't get into the position where she can be a heroine.\Why is he being so cool and collected about this? response:	He's that kind of character.
context: then you can use Miho for the heroine and get married, right?!\It's almost scary!\I'm so excited!\You can't get an anime adaptation that easily.\And I don't think Azuki will be able to play the part...\if she doesn't get into the position where she can be a heroine.\Why is he being so cool and collected about this?\He's that kind of character. response:	Anyway, how about the three of us watch it together when it airs?
context: It's almost scary!\I'm so excited!\You can't get an anime adaptation that easily.\And I don't think Azuki will be able to play the part...\if she doesn't get into the position where she can be a heroine.\Why is he being so cool and collected about this?\He's that kind of character.\Anyway, how about the three of us watch it together when it airs? response:	It's late at night, isn't it?
context: I'm so excited!\You can't get an anime adaptation that easily.\And I don't think Azuki will be able to play the part...\if she doesn't get into the position where she can be a heroine.\Why is he being so cool and collected about this?\He's that kind of character.\Anyway, how about the three of us watch it together when it airs?\It's late at night, isn't it? response:	It's all right.
context: You can't get an anime adaptation that easily.\And I don't think Azuki will be able to play the part...\if she doesn't get into the position where she can be a heroine.\Why is he being so cool and collected about this?\He's that kind of character.\Anyway, how about the three of us watch it together when it airs?\It's late at night, isn't it?\It's all right. response:	I'll just tell my parents I'm watching it with some friends since Miho's in it.
context: And I don't think Azuki will be able to play the part...\if she doesn't get into the position where she can be a heroine.\Why is he being so cool and collected about this?\He's that kind of character.\Anyway, how about the three of us watch it together when it airs?\It's late at night, isn't it?\It's all right.\I'll just tell my parents I'm watching it with some friends since Miho's in it. response:	With guy friends?
context: if she doesn't get into the position where she can be a heroine.\Why is he being so cool and collected about this?\He's that kind of character.\Anyway, how about the three of us watch it together when it airs?\It's late at night, isn't it?\It's all right.\I'll just tell my parents I'm watching it with some friends since Miho's in it.\With guy friends? response:	Well, I won't tell them that much.
context: Why is he being so cool and collected about this?\He's that kind of character.\Anyway, how about the three of us watch it together when it airs?\It's late at night, isn't it?\It's all right.\I'll just tell my parents I'm watching it with some friends since Miho's in it.\With guy friends?\Well, I won't tell them that much. response:	Sorry, I'd rather watch it alone.
context: He's that kind of character.\Anyway, how about the three of us watch it together when it airs?\It's late at night, isn't it?\It's all right.\I'll just tell my parents I'm watching it with some friends since Miho's in it.\With guy friends?\Well, I won't tell them that much.\Sorry, I'd rather watch it alone. response:	RReally? Sorry.
context: Anyway, how about the three of us watch it together when it airs?\It's late at night, isn't it?\It's all right.\I'll just tell my parents I'm watching it with some friends since Miho's in it.\With guy friends?\Well, I won't tell them that much.\Sorry, I'd rather watch it alone.\RReally? Sorry. response:	Well, we're heading to the workplace, so...
context: It's late at night, isn't it?\It's all right.\I'll just tell my parents I'm watching it with some friends since Miho's in it.\With guy friends?\Well, I won't tell them that much.\Sorry, I'd rather watch it alone.\RReally? Sorry.\Well, we're heading to the workplace, so... response:	Okay...
context: It's all right.\I'll just tell my parents I'm watching it with some friends since Miho's in it.\With guy friends?\Well, I won't tell them that much.\Sorry, I'd rather watch it alone.\RReally? Sorry.\Well, we're heading to the workplace, so...\Okay... response:	Hey, is it okay if I watch it with you?
context: I'll just tell my parents I'm watching it with some friends since Miho's in it.\With guy friends?\Well, I won't tell them that much.\Sorry, I'd rather watch it alone.\RReally? Sorry.\Well, we're heading to the workplace, so...\Okay...\Hey, is it okay if I watch it with you? response:	Eh?
context: With guy friends?\Well, I won't tell them that much.\Sorry, I'd rather watch it alone.\RReally? Sorry.\Well, we're heading to the workplace, so...\Okay...\Hey, is it okay if I watch it with you?\Eh? response:	Sei Visual.
context: Well, I won't tell them that much.\Sorry, I'd rather watch it alone.\RReally? Sorry.\Well, we're heading to the workplace, so...\Okay...\Hey, is it okay if I watch it with you?\Eh?\Sei Visual. response:	Azuki becoming a seiyuu...
context: Sorry, I'd rather watch it alone.\RReally? Sorry.\Well, we're heading to the workplace, so...\Okay...\Hey, is it okay if I watch it with you?\Eh?\Sei Visual.\Azuki becoming a seiyuu... response:	and our dream of getting an anime involve me too, don't they?
context: RReally? Sorry.\Well, we're heading to the workplace, so...\Okay...\Hey, is it okay if I watch it with you?\Eh?\Sei Visual.\Azuki becoming a seiyuu...\and our dream of getting an anime involve me too, don't they? response:	Mm, I guess they do.
context: Well, we're heading to the workplace, so...\Okay...\Hey, is it okay if I watch it with you?\Eh?\Sei Visual.\Azuki becoming a seiyuu...\and our dream of getting an anime involve me too, don't they?\Mm, I guess they do. response:	So, you wanna watch it together at the workplace?
context: Okay...\Hey, is it okay if I watch it with you?\Eh?\Sei Visual.\Azuki becoming a seiyuu...\and our dream of getting an anime involve me too, don't they?\Mm, I guess they do.\So, you wanna watch it together at the workplace? response:	Yeah, sorry.
