context: Astrology? What do the public for astrology? response:	Astrology is the moon
context: Astrology? What do the public for astrology?\Astrology is the moon response:	Is not this Marica?
context: Astrology? What do the public for astrology?\Astrology is the moon\Is not this Marica? response:	Declaration of the Assembly Allantij-
context: Astrology? What do the public for astrology?\Astrology is the moon\Is not this Marica?\Declaration of the Assembly Allantij- response:	- Well, here is your score
context: Astrology? What do the public for astrology?\Astrology is the moon\Is not this Marica?\Declaration of the Assembly Allantij-\- Well, here is your score response:	Ica, Could one say that the wall around your mind thin!?
context: Astrology? What do the public for astrology?\Astrology is the moon\Is not this Marica?\Declaration of the Assembly Allantij-\- Well, here is your score\Ica, Could one say that the wall around your mind thin!? response:	Okay?
context: Astrology? What do the public for astrology?\Astrology is the moon\Is not this Marica?\Declaration of the Assembly Allantij-\- Well, here is your score\Ica, Could one say that the wall around your mind thin!?\Okay? response:	What is that?
context: Astrology? What do the public for astrology?\Astrology is the moon\Is not this Marica?\Declaration of the Assembly Allantij-\- Well, here is your score\Ica, Could one say that the wall around your mind thin!?\Okay?\What is that? response:	You will have to make your face Green, also
context: Astrology is the moon\Is not this Marica?\Declaration of the Assembly Allantij-\- Well, here is your score\Ica, Could one say that the wall around your mind thin!?\Okay?\What is that?\You will have to make your face Green, also response:	Say what you have to do? Do Bkivta put something on them too?
context: Is not this Marica?\Declaration of the Assembly Allantij-\- Well, here is your score\Ica, Could one say that the wall around your mind thin!?\Okay?\What is that?\You will have to make your face Green, also\Say what you have to do? Do Bkivta put something on them too? response:	Going on the road. You Ica, a beautiful idea
context: Declaration of the Assembly Allantij-\- Well, here is your score\Ica, Could one say that the wall around your mind thin!?\Okay?\What is that?\You will have to make your face Green, also\Say what you have to do? Do Bkivta put something on them too?\Going on the road. You Ica, a beautiful idea response:	Certainly generate better with pills, pills
context: - Well, here is your score\Ica, Could one say that the wall around your mind thin!?\Okay?\What is that?\You will have to make your face Green, also\Say what you have to do? Do Bkivta put something on them too?\Going on the road. You Ica, a beautiful idea\Certainly generate better with pills, pills response:	when?
context: Ica, Could one say that the wall around your mind thin!?\Okay?\What is that?\You will have to make your face Green, also\Say what you have to do? Do Bkivta put something on them too?\Going on the road. You Ica, a beautiful idea\Certainly generate better with pills, pills\when? response:	- We do this before the beginning of the spring - before the spring?
context: Okay?\What is that?\You will have to make your face Green, also\Say what you have to do? Do Bkivta put something on them too?\Going on the road. You Ica, a beautiful idea\Certainly generate better with pills, pills\when?\- We do this before the beginning of the spring - before the spring? response:	We Nbosr grain on that day, you do commoners as well?
