context: The prince should be with the princess. response:	Who was the one who decided that?
context: The prince should be with the princess.\Who was the one who decided that? response:	Kiss Him, Not Me
context: The prince should be with the princess.\Who was the one who decided that?\Kiss Him, Not Me response:	Can She Do It? A Real Life Otome Game
context: The prince should be with the princess.\Who was the one who decided that?\Kiss Him, Not Me\Can She Do It? A Real Life Otome Game response:	Nice one, Igarashi!
context: The prince should be with the princess.\Who was the one who decided that?\Kiss Him, Not Me\Can She Do It? A Real Life Otome Game\Nice one, Igarashi! response:	Thanks.
context: The prince should be with the princess.\Who was the one who decided that?\Kiss Him, Not Me\Can She Do It? A Real Life Otome Game\Nice one, Igarashi!\Thanks. response:	Nana, nice toss.
context: The prince should be with the princess.\Who was the one who decided that?\Kiss Him, Not Me\Can She Do It? A Real Life Otome Game\Nice one, Igarashi!\Thanks.\Nana, nice toss. response:	Well, of course it was.
context: The prince should be with the princess.\Who was the one who decided that?\Kiss Him, Not Me\Can She Do It? A Real Life Otome Game\Nice one, Igarashi!\Thanks.\Nana, nice toss.\Well, of course it was. response:	Wow, talk about conceited.
context: Who was the one who decided that?\Kiss Him, Not Me\Can She Do It? A Real Life Otome Game\Nice one, Igarashi!\Thanks.\Nana, nice toss.\Well, of course it was.\Wow, talk about conceited. response:	Score.
context: Kiss Him, Not Me\Can She Do It? A Real Life Otome Game\Nice one, Igarashi!\Thanks.\Nana, nice toss.\Well, of course it was.\Wow, talk about conceited.\Score. response:	Score.
context: Can She Do It? A Real Life Otome Game\Nice one, Igarashi!\Thanks.\Nana, nice toss.\Well, of course it was.\Wow, talk about conceited.\Score.\Score. response:	Score!
context: Nice one, Igarashi!\Thanks.\Nana, nice toss.\Well, of course it was.\Wow, talk about conceited.\Score.\Score.\Score! response:	So cute!
context: Thanks.\Nana, nice toss.\Well, of course it was.\Wow, talk about conceited.\Score.\Score.\Score!\So cute! response:	The prince with another prince.
context: Nana, nice toss.\Well, of course it was.\Wow, talk about conceited.\Score.\Score.\Score!\So cute!\The prince with another prince. response:	Can't it be like that?
context: Well, of course it was.\Wow, talk about conceited.\Score.\Score.\Score!\So cute!\The prince with another prince.\Can't it be like that? response:	It should be like that!
context: Wow, talk about conceited.\Score.\Score.\Score!\So cute!\The prince with another prince.\Can't it be like that?\It should be like that! response:	Priceless. Absolutely priceless!
context: Score.\Score.\Score!\So cute!\The prince with another prince.\Can't it be like that?\It should be like that!\Priceless. Absolutely priceless! response:	Lord, thank you for giving me this daily bread!
context: Score.\Score!\So cute!\The prince with another prince.\Can't it be like that?\It should be like that!\Priceless. Absolutely priceless!\Lord, thank you for giving me this daily bread! response:	Oh, no! Nanashima-kun!
context: Score!\So cute!\The prince with another prince.\Can't it be like that?\It should be like that!\Priceless. Absolutely priceless!\Lord, thank you for giving me this daily bread!\Oh, no! Nanashima-kun! response:	Crap, she really got pummeled!
context: So cute!\The prince with another prince.\Can't it be like that?\It should be like that!\Priceless. Absolutely priceless!\Lord, thank you for giving me this daily bread!\Oh, no! Nanashima-kun!\Crap, she really got pummeled! response:	Hey, are you okay? Serinuma!
context: The prince with another prince.\Can't it be like that?\It should be like that!\Priceless. Absolutely priceless!\Lord, thank you for giving me this daily bread!\Oh, no! Nanashima-kun!\Crap, she really got pummeled!\Hey, are you okay? Serinuma! response:	Yeah.
context: Can't it be like that?\It should be like that!\Priceless. Absolutely priceless!\Lord, thank you for giving me this daily bread!\Oh, no! Nanashima-kun!\Crap, she really got pummeled!\Hey, are you okay? Serinuma!\Yeah. response:	It's okay. It's okay, Nanashima-kun.
context: It should be like that!\Priceless. Absolutely priceless!\Lord, thank you for giving me this daily bread!\Oh, no! Nanashima-kun!\Crap, she really got pummeled!\Hey, are you okay? Serinuma!\Yeah.\It's okay. It's okay, Nanashima-kun. response:	Thanks for showing me something nice!
context: Priceless. Absolutely priceless!\Lord, thank you for giving me this daily bread!\Oh, no! Nanashima-kun!\Crap, she really got pummeled!\Hey, are you okay? Serinuma!\Yeah.\It's okay. It's okay, Nanashima-kun.\Thanks for showing me something nice! response:	Don't die!
context: Lord, thank you for giving me this daily bread!\Oh, no! Nanashima-kun!\Crap, she really got pummeled!\Hey, are you okay? Serinuma!\Yeah.\It's okay. It's okay, Nanashima-kun.\Thanks for showing me something nice!\Don't die! response:	Don't die, Serinuma!
context: Oh, no! Nanashima-kun!\Crap, she really got pummeled!\Hey, are you okay? Serinuma!\Yeah.\It's okay. It's okay, Nanashima-kun.\Thanks for showing me something nice!\Don't die!\Don't die, Serinuma! response:	Infirmary
context: Crap, she really got pummeled!\Hey, are you okay? Serinuma!\Yeah.\It's okay. It's okay, Nanashima-kun.\Thanks for showing me something nice!\Don't die!\Don't die, Serinuma!\Infirmary response:	Oh, you're awake.
context: Hey, are you okay? Serinuma!\Yeah.\It's okay. It's okay, Nanashima-kun.\Thanks for showing me something nice!\Don't die!\Don't die, Serinuma!\Infirmary\Oh, you're awake. response:	Are you all right? Can you see, Kae-chan?
context: Yeah.\It's okay. It's okay, Nanashima-kun.\Thanks for showing me something nice!\Don't die!\Don't die, Serinuma!\Infirmary\Oh, you're awake.\Are you all right? Can you see, Kae-chan? response:	A-chan? Where am I?
context: It's okay. It's okay, Nanashima-kun.\Thanks for showing me something nice!\Don't die!\Don't die, Serinuma!\Infirmary\Oh, you're awake.\Are you all right? Can you see, Kae-chan?\A-chan? Where am I? response:	You don't remember?
context: Thanks for showing me something nice!\Don't die!\Don't die, Serinuma!\Infirmary\Oh, you're awake.\Are you all right? Can you see, Kae-chan?\A-chan? Where am I?\You don't remember? response:	Nanashima fell on top of you in P.E.
context: Don't die!\Don't die, Serinuma!\Infirmary\Oh, you're awake.\Are you all right? Can you see, Kae-chan?\A-chan? Where am I?\You don't remember?\Nanashima fell on top of you in P.E. response:	Oh, yeah.
context: Don't die, Serinuma!\Infirmary\Oh, you're awake.\Are you all right? Can you see, Kae-chan?\A-chan? Where am I?\You don't remember?\Nanashima fell on top of you in P.E.\Oh, yeah. response:	He really hit you hard, huh?
context: Infirmary\Oh, you're awake.\Are you all right? Can you see, Kae-chan?\A-chan? Where am I?\You don't remember?\Nanashima fell on top of you in P.E.\Oh, yeah.\He really hit you hard, huh? response:	I mean, my eyes were glued to them.
context: Oh, you're awake.\Are you all right? Can you see, Kae-chan?\A-chan? Where am I?\You don't remember?\Nanashima fell on top of you in P.E.\Oh, yeah.\He really hit you hard, huh?\I mean, my eyes were glued to them. response:	5x7 was unfolding right in front of me.
context: Are you all right? Can you see, Kae-chan?\A-chan? Where am I?\You don't remember?\Nanashima fell on top of you in P.E.\Oh, yeah.\He really hit you hard, huh?\I mean, my eyes were glued to them.\5x7 was unfolding right in front of me. response:	Come on, if you're talking those two, it's gotta be 7x5.
context: A-chan? Where am I?\You don't remember?\Nanashima fell on top of you in P.E.\Oh, yeah.\He really hit you hard, huh?\I mean, my eyes were glued to them.\5x7 was unfolding right in front of me.\Come on, if you're talking those two, it's gotta be 7x5. response:	5 -> First character in Igarashi's name
context: You don't remember?\Nanashima fell on top of you in P.E.\Oh, yeah.\He really hit you hard, huh?\I mean, my eyes were glued to them.\5x7 was unfolding right in front of me.\Come on, if you're talking those two, it's gotta be 7x5.\5 -> First character in Igarashi's name response:	7 -> First character in Nanashima's name
context: Nanashima fell on top of you in P.E.\Oh, yeah.\He really hit you hard, huh?\I mean, my eyes were glued to them.\5x7 was unfolding right in front of me.\Come on, if you're talking those two, it's gotta be 7x5.\5 -> First character in Igarashi's name\7 -> First character in Nanashima's name response:	I get where you're coming from, though.
context: Oh, yeah.\He really hit you hard, huh?\I mean, my eyes were glued to them.\5x7 was unfolding right in front of me.\Come on, if you're talking those two, it's gotta be 7x5.\5 -> First character in Igarashi's name\7 -> First character in Nanashima's name\I get where you're coming from, though. response:	What?! It's gotta be 5x7.
context: He really hit you hard, huh?\I mean, my eyes were glued to them.\5x7 was unfolding right in front of me.\Come on, if you're talking those two, it's gotta be 7x5.\5 -> First character in Igarashi's name\7 -> First character in Nanashima's name\I get where you're coming from, though.\What?! It's gotta be 5x7. response:	Didn't you see who was hugging who?
context: I mean, my eyes were glued to them.\5x7 was unfolding right in front of me.\Come on, if you're talking those two, it's gotta be 7x5.\5 -> First character in Igarashi's name\7 -> First character in Nanashima's name\I get where you're coming from, though.\What?! It's gotta be 5x7.\Didn't you see who was hugging who? response:	It's 7x5. End of discussion.
context: 5x7 was unfolding right in front of me.\Come on, if you're talking those two, it's gotta be 7x5.\5 -> First character in Igarashi's name\7 -> First character in Nanashima's name\I get where you're coming from, though.\What?! It's gotta be 5x7.\Didn't you see who was hugging who?\It's 7x5. End of discussion. response:	I mean, they're tough servant and gentle prince-type characters, right?
context: Come on, if you're talking those two, it's gotta be 7x5.\5 -> First character in Igarashi's name\7 -> First character in Nanashima's name\I get where you're coming from, though.\What?! It's gotta be 5x7.\Didn't you see who was hugging who?\It's 7x5. End of discussion.\I mean, they're tough servant and gentle prince-type characters, right? response:	A-chan, you just don't get it!
