context: Suioh University response:	Hooray for spring.
context: Suioh University\Hooray for spring. response:	Genshiken
context: Suioh University\Hooray for spring.\Genshiken response:	Of course you'd use homing missiles...
context: Suioh University\Hooray for spring.\Genshiken\Of course you'd use homing missiles... response:	However!
context: Suioh University\Hooray for spring.\Genshiken\Of course you'd use homing missiles...\However! response:	W-What a bold assault!
context: Suioh University\Hooray for spring.\Genshiken\Of course you'd use homing missiles...\However!\W-What a bold assault! response:	That's f-fast.
context: Suioh University\Hooray for spring.\Genshiken\Of course you'd use homing missiles...\However!\W-What a bold assault!\That's f-fast. response:	Three times faster than usual.
context: Suioh University\Hooray for spring.\Genshiken\Of course you'd use homing missiles...\However!\W-What a bold assault!\That's f-fast.\Three times faster than usual. response:	It's n-not that fast.
context: Hooray for spring.\Genshiken\Of course you'd use homing missiles...\However!\W-What a bold assault!\That's f-fast.\Three times faster than usual.\It's n-not that fast. response:	It's springtime, don't you have anything else to do?
context: Genshiken\Of course you'd use homing missiles...\However!\W-What a bold assault!\That's f-fast.\Three times faster than usual.\It's n-not that fast.\It's springtime, don't you have anything else to do? response:	Right, stupid question.
context: Of course you'd use homing missiles...\However!\W-What a bold assault!\That's f-fast.\Three times faster than usual.\It's n-not that fast.\It's springtime, don't you have anything else to do?\Right, stupid question. response:	You can't read this pattern!
context: However!\W-What a bold assault!\That's f-fast.\Three times faster than usual.\It's n-not that fast.\It's springtime, don't you have anything else to do?\Right, stupid question.\You can't read this pattern! response:	S-Says who?
context: W-What a bold assault!\That's f-fast.\Three times faster than usual.\It's n-not that fast.\It's springtime, don't you have anything else to do?\Right, stupid question.\You can't read this pattern!\S-Says who? response:	We're back!
context: That's f-fast.\Three times faster than usual.\It's n-not that fast.\It's springtime, don't you have anything else to do?\Right, stupid question.\You can't read this pattern!\S-Says who?\We're back! response:	Ta-da!
context: Three times faster than usual.\It's n-not that fast.\It's springtime, don't you have anything else to do?\Right, stupid question.\You can't read this pattern!\S-Says who?\We're back!\Ta-da! response:	Whoa!
context: It's n-not that fast.\It's springtime, don't you have anything else to do?\Right, stupid question.\You can't read this pattern!\S-Says who?\We're back!\Ta-da!\Whoa! response:	Since it's Ral, it's gotta be a Goaf!
context: It's springtime, don't you have anything else to do?\Right, stupid question.\You can't read this pattern!\S-Says who?\We're back!\Ta-da!\Whoa!\Since it's Ral, it's gotta be a Goaf! response:	Pretty much...
context: Right, stupid question.\You can't read this pattern!\S-Says who?\We're back!\Ta-da!\Whoa!\Since it's Ral, it's gotta be a Goaf!\Pretty much... response:	Y-You too finally, Ohno?
context: You can't read this pattern!\S-Says who?\We're back!\Ta-da!\Whoa!\Since it's Ral, it's gotta be a Goaf!\Pretty much...\Y-You too finally, Ohno? response:	Seeing as its fall, it's gotta be an oaf? What?
context: S-Says who?\We're back!\Ta-da!\Whoa!\Since it's Ral, it's gotta be a Goaf!\Pretty much...\Y-You too finally, Ohno?\Seeing as its fall, it's gotta be an oaf? What? response:	Genshiken
context: We're back!\Ta-da!\Whoa!\Since it's Ral, it's gotta be a Goaf!\Pretty much...\Y-You too finally, Ohno?\Seeing as its fall, it's gotta be an oaf? What?\Genshiken response:	I woke up and as usual forgot my cell and missed the Express.
context: Ta-da!\Whoa!\Since it's Ral, it's gotta be a Goaf!\Pretty much...\Y-You too finally, Ohno?\Seeing as its fall, it's gotta be an oaf? What?\Genshiken\I woke up and as usual forgot my cell and missed the Express. response:	My life reflected in the train window.
context: Whoa!\Since it's Ral, it's gotta be a Goaf!\Pretty much...\Y-You too finally, Ohno?\Seeing as its fall, it's gotta be an oaf? What?\Genshiken\I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window. response:	I'm sure I have something that I won't lose to anyone in Japan...
context: Since it's Ral, it's gotta be a Goaf!\Pretty much...\Y-You too finally, Ohno?\Seeing as its fall, it's gotta be an oaf? What?\Genshiken\I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan... response:	I can't run fast, though.
context: Pretty much...\Y-You too finally, Ohno?\Seeing as its fall, it's gotta be an oaf? What?\Genshiken\I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though. response:	I'm not that strongly-built.
context: Y-You too finally, Ohno?\Seeing as its fall, it's gotta be an oaf? What?\Genshiken\I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though.\I'm not that strongly-built. response:	Here I go, at my dauntless pace.
context: Seeing as its fall, it's gotta be an oaf? What?\Genshiken\I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace. response:	Pass away, today's sadness, raining in the sun!
context: Genshiken\I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun! response:	Hesitation, repetition, dreaming all night, all night.
