context: I hadn't realized... response:	that humans could die so easily.
context: I hadn't realized...\that humans could die so easily. response:	But as long as I have a vessel, you can be with me again.
context: I hadn't realized...\that humans could die so easily.\But as long as I have a vessel, you can be with me again. response:	You can smile at me again.
context: I hadn't realized...\that humans could die so easily.\But as long as I have a vessel, you can be with me again.\You can smile at me again. response:	July 24th Shinjuku Ward Kagurazaka
context: I hadn't realized...\that humans could die so easily.\But as long as I have a vessel, you can be with me again.\You can smile at me again.\July 24th Shinjuku Ward Kagurazaka response:	There's a nasty demon that goes around collecting women.
context: I hadn't realized...\that humans could die so easily.\But as long as I have a vessel, you can be with me again.\You can smile at me again.\July 24th Shinjuku Ward Kagurazaka\There's a nasty demon that goes around collecting women. response:	That's what Huehuecoyotl said, right?
context: I hadn't realized...\that humans could die so easily.\But as long as I have a vessel, you can be with me again.\You can smile at me again.\July 24th Shinjuku Ward Kagurazaka\There's a nasty demon that goes around collecting women.\That's what Huehuecoyotl said, right? response:	Yes.
context: I hadn't realized...\that humans could die so easily.\But as long as I have a vessel, you can be with me again.\You can smile at me again.\July 24th Shinjuku Ward Kagurazaka\There's a nasty demon that goes around collecting women.\That's what Huehuecoyotl said, right?\Yes. response:	An Another shrouded in black sand.
context: that humans could die so easily.\But as long as I have a vessel, you can be with me again.\You can smile at me again.\July 24th Shinjuku Ward Kagurazaka\There's a nasty demon that goes around collecting women.\That's what Huehuecoyotl said, right?\Yes.\An Another shrouded in black sand. response:	That's probably who took Arata's childhood friend and the girls in Toyama Park,
context: But as long as I have a vessel, you can be with me again.\You can smile at me again.\July 24th Shinjuku Ward Kagurazaka\There's a nasty demon that goes around collecting women.\That's what Huehuecoyotl said, right?\Yes.\An Another shrouded in black sand.\That's probably who took Arata's childhood friend and the girls in Toyama Park, response:	as well as Kyoichi's sister.
context: You can smile at me again.\July 24th Shinjuku Ward Kagurazaka\There's a nasty demon that goes around collecting women.\That's what Huehuecoyotl said, right?\Yes.\An Another shrouded in black sand.\That's probably who took Arata's childhood friend and the girls in Toyama Park,\as well as Kyoichi's sister. response:	And you tried to use Arata to get information on it?
context: July 24th Shinjuku Ward Kagurazaka\There's a nasty demon that goes around collecting women.\That's what Huehuecoyotl said, right?\Yes.\An Another shrouded in black sand.\That's probably who took Arata's childhood friend and the girls in Toyama Park,\as well as Kyoichi's sister.\And you tried to use Arata to get information on it? response:	Yeah.
context: There's a nasty demon that goes around collecting women.\That's what Huehuecoyotl said, right?\Yes.\An Another shrouded in black sand.\That's probably who took Arata's childhood friend and the girls in Toyama Park,\as well as Kyoichi's sister.\And you tried to use Arata to get information on it?\Yeah. response:	Even if that meant negotiating with Huehuecoyotl and the Another.
context: That's what Huehuecoyotl said, right?\Yes.\An Another shrouded in black sand.\That's probably who took Arata's childhood friend and the girls in Toyama Park,\as well as Kyoichi's sister.\And you tried to use Arata to get information on it?\Yeah.\Even if that meant negotiating with Huehuecoyotl and the Another. response:	Theo-san, he said he didn't mean negotiating!
context: Yes.\An Another shrouded in black sand.\That's probably who took Arata's childhood friend and the girls in Toyama Park,\as well as Kyoichi's sister.\And you tried to use Arata to get information on it?\Yeah.\Even if that meant negotiating with Huehuecoyotl and the Another.\Theo-san, he said he didn't mean negotiating! response:	That's an obvious lie!
context: An Another shrouded in black sand.\That's probably who took Arata's childhood friend and the girls in Toyama Park,\as well as Kyoichi's sister.\And you tried to use Arata to get information on it?\Yeah.\Even if that meant negotiating with Huehuecoyotl and the Another.\Theo-san, he said he didn't mean negotiating!\That's an obvious lie! response:	The fact that he got you involved proves he was willing to do whatever it took.
context: That's probably who took Arata's childhood friend and the girls in Toyama Park,\as well as Kyoichi's sister.\And you tried to use Arata to get information on it?\Yeah.\Even if that meant negotiating with Huehuecoyotl and the Another.\Theo-san, he said he didn't mean negotiating!\That's an obvious lie!\The fact that he got you involved proves he was willing to do whatever it took. response:	If it meant giving up an arm or whatever, I would have given it.
context: as well as Kyoichi's sister.\And you tried to use Arata to get information on it?\Yeah.\Even if that meant negotiating with Huehuecoyotl and the Another.\Theo-san, he said he didn't mean negotiating!\That's an obvious lie!\The fact that he got you involved proves he was willing to do whatever it took.\If it meant giving up an arm or whatever, I would have given it. response:	Wha
context: And you tried to use Arata to get information on it?\Yeah.\Even if that meant negotiating with Huehuecoyotl and the Another.\Theo-san, he said he didn't mean negotiating!\That's an obvious lie!\The fact that he got you involved proves he was willing to do whatever it took.\If it meant giving up an arm or whatever, I would have given it.\Wha response:	You didn't tell me because you knew I'd try to stop this.
context: Yeah.\Even if that meant negotiating with Huehuecoyotl and the Another.\Theo-san, he said he didn't mean negotiating!\That's an obvious lie!\The fact that he got you involved proves he was willing to do whatever it took.\If it meant giving up an arm or whatever, I would have given it.\Wha\You didn't tell me because you knew I'd try to stop this. response:	I've been searching for her for 17 years,
context: Even if that meant negotiating with Huehuecoyotl and the Another.\Theo-san, he said he didn't mean negotiating!\That's an obvious lie!\The fact that he got you involved proves he was willing to do whatever it took.\If it meant giving up an arm or whatever, I would have given it.\Wha\You didn't tell me because you knew I'd try to stop this.\I've been searching for her for 17 years, response:	and now I finally have a clue.
context: Theo-san, he said he didn't mean negotiating!\That's an obvious lie!\The fact that he got you involved proves he was willing to do whatever it took.\If it meant giving up an arm or whatever, I would have given it.\Wha\You didn't tell me because you knew I'd try to stop this.\I've been searching for her for 17 years,\and now I finally have a clue. response:	I couldn't let it go, no matter the cost.
context: That's an obvious lie!\The fact that he got you involved proves he was willing to do whatever it took.\If it meant giving up an arm or whatever, I would have given it.\Wha\You didn't tell me because you knew I'd try to stop this.\I've been searching for her for 17 years,\and now I finally have a clue.\I couldn't let it go, no matter the cost. response:	Then...!
context: The fact that he got you involved proves he was willing to do whatever it took.\If it meant giving up an arm or whatever, I would have given it.\Wha\You didn't tell me because you knew I'd try to stop this.\I've been searching for her for 17 years,\and now I finally have a clue.\I couldn't let it go, no matter the cost.\Then...! response:	Then you should've gotten me involved from the start.
context: If it meant giving up an arm or whatever, I would have given it.\Wha\You didn't tell me because you knew I'd try to stop this.\I've been searching for her for 17 years,\and now I finally have a clue.\I couldn't let it go, no matter the cost.\Then...!\Then you should've gotten me involved from the start. response:	I would've helped in another way, without manipulating Arata,
context: Wha\You didn't tell me because you knew I'd try to stop this.\I've been searching for her for 17 years,\and now I finally have a clue.\I couldn't let it go, no matter the cost.\Then...!\Then you should've gotten me involved from the start.\I would've helped in another way, without manipulating Arata, response:	you damn moron!
context: You didn't tell me because you knew I'd try to stop this.\I've been searching for her for 17 years,\and now I finally have a clue.\I couldn't let it go, no matter the cost.\Then...!\Then you should've gotten me involved from the start.\I would've helped in another way, without manipulating Arata,\you damn moron! response:	I feel the same... It makes me sick, hearing the truth like this.
context: I've been searching for her for 17 years,\and now I finally have a clue.\I couldn't let it go, no matter the cost.\Then...!\Then you should've gotten me involved from the start.\I would've helped in another way, without manipulating Arata,\you damn moron!\I feel the same... It makes me sick, hearing the truth like this. response:	That said, please don't apologize.
context: and now I finally have a clue.\I couldn't let it go, no matter the cost.\Then...!\Then you should've gotten me involved from the start.\I would've helped in another way, without manipulating Arata,\you damn moron!\I feel the same... It makes me sick, hearing the truth like this.\That said, please don't apologize. response:	If you do, since you've done so much for me,
context: I couldn't let it go, no matter the cost.\Then...!\Then you should've gotten me involved from the start.\I would've helped in another way, without manipulating Arata,\you damn moron!\I feel the same... It makes me sick, hearing the truth like this.\That said, please don't apologize.\If you do, since you've done so much for me, response:	I know I'll forgive you.
context: Then...!\Then you should've gotten me involved from the start.\I would've helped in another way, without manipulating Arata,\you damn moron!\I feel the same... It makes me sick, hearing the truth like this.\That said, please don't apologize.\If you do, since you've done so much for me,\I know I'll forgive you. response:	So instead, you owe me one.
context: Then you should've gotten me involved from the start.\I would've helped in another way, without manipulating Arata,\you damn moron!\I feel the same... It makes me sick, hearing the truth like this.\That said, please don't apologize.\If you do, since you've done so much for me,\I know I'll forgive you.\So instead, you owe me one. response:	Got it.
context: I would've helped in another way, without manipulating Arata,\you damn moron!\I feel the same... It makes me sick, hearing the truth like this.\That said, please don't apologize.\If you do, since you've done so much for me,\I know I'll forgive you.\So instead, you owe me one.\Got it. response:	Storage 1
