context: Seven Goodbyes Part 1 response:	One more week until the final.
context: Seven Goodbyes Part 1\One more week until the final. response:	They averaged 20 percent on the first test.
context: Seven Goodbyes Part 1\One more week until the final.\They averaged 20 percent on the first test. response:	And on the midterm, they averaged 26 percent.
context: Seven Goodbyes Part 1\One more week until the final.\They averaged 20 percent on the first test.\And on the midterm, they averaged 26 percent. response:	At this rate, if nothing goes wrong, we'll make it!
context: Seven Goodbyes Part 1\One more week until the final.\They averaged 20 percent on the first test.\And on the midterm, they averaged 26 percent.\At this rate, if nothing goes wrong, we'll make it! response:	That's right, if nothing goes wrong!
context: Seven Goodbyes Part 1\One more week until the final.\They averaged 20 percent on the first test.\And on the midterm, they averaged 26 percent.\At this rate, if nothing goes wrong, we'll make it!\That's right, if nothing goes wrong! response:	He's late.
context: Seven Goodbyes Part 1\One more week until the final.\They averaged 20 percent on the first test.\And on the midterm, they averaged 26 percent.\At this rate, if nothing goes wrong, we'll make it!\That's right, if nothing goes wrong!\He's late. response:	Saturday is tutoring day.
context: Seven Goodbyes Part 1\One more week until the final.\They averaged 20 percent on the first test.\And on the midterm, they averaged 26 percent.\At this rate, if nothing goes wrong, we'll make it!\That's right, if nothing goes wrong!\He's late.\Saturday is tutoring day. response:	Everyone's here and waiting. What is he doing?
context: One more week until the final.\They averaged 20 percent on the first test.\And on the midterm, they averaged 26 percent.\At this rate, if nothing goes wrong, we'll make it!\That's right, if nothing goes wrong!\He's late.\Saturday is tutoring day.\Everyone's here and waiting. What is he doing? response:	Uesugi-kun?!
context: They averaged 20 percent on the first test.\And on the midterm, they averaged 26 percent.\At this rate, if nothing goes wrong, we'll make it!\That's right, if nothing goes wrong!\He's late.\Saturday is tutoring day.\Everyone's here and waiting. What is he doing?\Uesugi-kun?! response:	He's dead!
context: And on the midterm, they averaged 26 percent.\At this rate, if nothing goes wrong, we'll make it!\That's right, if nothing goes wrong!\He's late.\Saturday is tutoring day.\Everyone's here and waiting. What is he doing?\Uesugi-kun?!\He's dead! response:	He's sleeping like he's dead.
