context: The contract money Gaia transferred into our accounts, response:	the expected monthly salaries from the agency,
context: The contract money Gaia transferred into our accounts,\the expected monthly salaries from the agency, response:	and estimated royalties we'll be receiving from CD sales.
context: The contract money Gaia transferred into our accounts,\the expected monthly salaries from the agency,\and estimated royalties we'll be receiving from CD sales. response:	Our band is no longer some humble amateur band.
context: The contract money Gaia transferred into our accounts,\the expected monthly salaries from the agency,\and estimated royalties we'll be receiving from CD sales.\Our band is no longer some humble amateur band. response:	I figured I could easily support Hachi and her baby now.
context: The contract money Gaia transferred into our accounts,\the expected monthly salaries from the agency,\and estimated royalties we'll be receiving from CD sales.\Our band is no longer some humble amateur band.\I figured I could easily support Hachi and her baby now. response:	Yeah, yeah Yeah, yeah
context: The contract money Gaia transferred into our accounts,\the expected monthly salaries from the agency,\and estimated royalties we'll be receiving from CD sales.\Our band is no longer some humble amateur band.\I figured I could easily support Hachi and her baby now.\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: The contract money Gaia transferred into our accounts,\the expected monthly salaries from the agency,\and estimated royalties we'll be receiving from CD sales.\Our band is no longer some humble amateur band.\I figured I could easily support Hachi and her baby now.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	Baby I'm standing alone
context: The contract money Gaia transferred into our accounts,\the expected monthly salaries from the agency,\and estimated royalties we'll be receiving from CD sales.\Our band is no longer some humble amateur band.\I figured I could easily support Hachi and her baby now.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone response:	An unforgettable rainy day
context: the expected monthly salaries from the agency,\and estimated royalties we'll be receiving from CD sales.\Our band is no longer some humble amateur band.\I figured I could easily support Hachi and her baby now.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day response:	Chasing after your shadow
context: and estimated royalties we'll be receiving from CD sales.\Our band is no longer some humble amateur band.\I figured I could easily support Hachi and her baby now.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow response:	And it's over, it's like sand now
context: Our band is no longer some humble amateur band.\I figured I could easily support Hachi and her baby now.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now response:	I sigh every night
context: I figured I could easily support Hachi and her baby now.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night response:	I scream like a child and cried
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried response:	It hangs there quietly, my sorrow
context: Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow response:	Please, please God, forgive my sins
context: Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins response:	I don't need to hide no more
context: An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more response:	Flowing toward the turquoise light
context: Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light response:	Just keep going on
context: And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on response:	You've got the chance now
context: I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now response:	You've got the power
context: I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power response:	Know you gotta be so true to yourself
context: It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself response:	I show you my life now
context: Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now response:	I show you my love now
context: I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now response:	I show you my everything yeah yeah
context: Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah response:	You'd better change now You'd better catch now
context: Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now response:	Don't ever change so be yourself
