context: I am currently known as Eriol. response:	But I used to be called' Clow Reed.
context: I am currently known as Eriol.\But I used to be called' Clow Reed. response:	Clow is dead!
context: I am currently known as Eriol.\But I used to be called' Clow Reed.\Clow is dead! response:	Yue and I saw it!
context: I am currently known as Eriol.\But I used to be called' Clow Reed.\Clow is dead!\Yue and I saw it! response:	But he is Clow.
context: I am currently known as Eriol.\But I used to be called' Clow Reed.\Clow is dead!\Yue and I saw it!\But he is Clow. response:	Suppi?? You too!?
context: I am currently known as Eriol.\But I used to be called' Clow Reed.\Clow is dead!\Yue and I saw it!\But he is Clow.\Suppi?? You too!? response:	It's easily proven right?
context: I am currently known as Eriol.\But I used to be called' Clow Reed.\Clow is dead!\Yue and I saw it!\But he is Clow.\Suppi?? You too!?\It's easily proven right? response:	Akizuki-san' why?
context: I am currently known as Eriol.\But I used to be called' Clow Reed.\Clow is dead!\Yue and I saw it!\But he is Clow.\Suppi?? You too!?\It's easily proven right?\Akizuki-san' why? response:	O Key that contains the power of darkness'
context: But I used to be called' Clow Reed.\Clow is dead!\Yue and I saw it!\But he is Clow.\Suppi?? You too!?\It's easily proven right?\Akizuki-san' why?\O Key that contains the power of darkness' response:	reveal thy true form to me.
context: Clow is dead!\Yue and I saw it!\But he is Clow.\Suppi?? You too!?\It's easily proven right?\Akizuki-san' why?\O Key that contains the power of darkness'\reveal thy true form to me. response:	By our contract, I, Eriol, command you.
context: Yue and I saw it!\But he is Clow.\Suppi?? You too!?\It's easily proven right?\Akizuki-san' why?\O Key that contains the power of darkness'\reveal thy true form to me.\By our contract, I, Eriol, command you. response:	Release!
context: But he is Clow.\Suppi?? You too!?\It's easily proven right?\Akizuki-san' why?\O Key that contains the power of darkness'\reveal thy true form to me.\By our contract, I, Eriol, command you.\Release! response:	Return to your original forms' Spinel Sun, Ruby Moon.
context: Suppi?? You too!?\It's easily proven right?\Akizuki-san' why?\O Key that contains the power of darkness'\reveal thy true form to me.\By our contract, I, Eriol, command you.\Release!\Return to your original forms' Spinel Sun, Ruby Moon. response:	It's the same as what I saw in my dream.
context: It's easily proven right?\Akizuki-san' why?\O Key that contains the power of darkness'\reveal thy true form to me.\By our contract, I, Eriol, command you.\Release!\Return to your original forms' Spinel Sun, Ruby Moon.\It's the same as what I saw in my dream. response:	And that staff' it looks like Clow-san's.
context: Akizuki-san' why?\O Key that contains the power of darkness'\reveal thy true form to me.\By our contract, I, Eriol, command you.\Release!\Return to your original forms' Spinel Sun, Ruby Moon.\It's the same as what I saw in my dream.\And that staff' it looks like Clow-san's. response:	Yeah' Clow made that staff.
context: O Key that contains the power of darkness'\reveal thy true form to me.\By our contract, I, Eriol, command you.\Release!\Return to your original forms' Spinel Sun, Ruby Moon.\It's the same as what I saw in my dream.\And that staff' it looks like Clow-san's.\Yeah' Clow made that staff. response:	Then' is Hiragizawa really Clow Reed reborn?
context: reveal thy true form to me.\By our contract, I, Eriol, command you.\Release!\Return to your original forms' Spinel Sun, Ruby Moon.\It's the same as what I saw in my dream.\And that staff' it looks like Clow-san's.\Yeah' Clow made that staff.\Then' is Hiragizawa really Clow Reed reborn? response:	If what you say is really true, why have you been causing Sakura so much troubles?
context: By our contract, I, Eriol, command you.\Release!\Return to your original forms' Spinel Sun, Ruby Moon.\It's the same as what I saw in my dream.\And that staff' it looks like Clow-san's.\Yeah' Clow made that staff.\Then' is Hiragizawa really Clow Reed reborn?\If what you say is really true, why have you been causing Sakura so much troubles? response:	You will understand soon, Kerberos.
context: Release!\Return to your original forms' Spinel Sun, Ruby Moon.\It's the same as what I saw in my dream.\And that staff' it looks like Clow-san's.\Yeah' Clow made that staff.\Then' is Hiragizawa really Clow Reed reborn?\If what you say is really true, why have you been causing Sakura so much troubles?\You will understand soon, Kerberos. response:	Clow'
context: Return to your original forms' Spinel Sun, Ruby Moon.\It's the same as what I saw in my dream.\And that staff' it looks like Clow-san's.\Yeah' Clow made that staff.\Then' is Hiragizawa really Clow Reed reborn?\If what you say is really true, why have you been causing Sakura so much troubles?\You will understand soon, Kerberos.\Clow' response:	Shall we begin?
context: It's the same as what I saw in my dream.\And that staff' it looks like Clow-san's.\Yeah' Clow made that staff.\Then' is Hiragizawa really Clow Reed reborn?\If what you say is really true, why have you been causing Sakura so much troubles?\You will understand soon, Kerberos.\Clow'\Shall we begin? response:	The Sun and Moon are disappearing!
context: And that staff' it looks like Clow-san's.\Yeah' Clow made that staff.\Then' is Hiragizawa really Clow Reed reborn?\If what you say is really true, why have you been causing Sakura so much troubles?\You will understand soon, Kerberos.\Clow'\Shall we begin?\The Sun and Moon are disappearing! response:	Tomoyo-chan!
context: Yeah' Clow made that staff.\Then' is Hiragizawa really Clow Reed reborn?\If what you say is really true, why have you been causing Sakura so much troubles?\You will understand soon, Kerberos.\Clow'\Shall we begin?\The Sun and Moon are disappearing!\Tomoyo-chan! response:	This power is Clow!
context: Then' is Hiragizawa really Clow Reed reborn?\If what you say is really true, why have you been causing Sakura so much troubles?\You will understand soon, Kerberos.\Clow'\Shall we begin?\The Sun and Moon are disappearing!\Tomoyo-chan!\This power is Clow! response:	What's wrong?!
context: If what you say is really true, why have you been causing Sakura so much troubles?\You will understand soon, Kerberos.\Clow'\Shall we begin?\The Sun and Moon are disappearing!\Tomoyo-chan!\This power is Clow!\What's wrong?! response:	Clow'
context: You will understand soon, Kerberos.\Clow'\Shall we begin?\The Sun and Moon are disappearing!\Tomoyo-chan!\This power is Clow!\What's wrong?!\Clow' response:	Shao Lan-kun!
context: Clow'\Shall we begin?\The Sun and Moon are disappearing!\Tomoyo-chan!\This power is Clow!\What's wrong?!\Clow'\Shao Lan-kun! response:	What have you done?
context: Shall we begin?\The Sun and Moon are disappearing!\Tomoyo-chan!\This power is Clow!\What's wrong?!\Clow'\Shao Lan-kun!\What have you done? response:	This town has been covered in darkness.
context: The Sun and Moon are disappearing!\Tomoyo-chan!\This power is Clow!\What's wrong?!\Clow'\Shao Lan-kun!\What have you done?\This town has been covered in darkness. response:	Everyone has fallen asleep.
context: Tomoyo-chan!\This power is Clow!\What's wrong?!\Clow'\Shao Lan-kun!\What have you done?\This town has been covered in darkness.\Everyone has fallen asleep. response:	What?
context: This power is Clow!\What's wrong?!\Clow'\Shao Lan-kun!\What have you done?\This town has been covered in darkness.\Everyone has fallen asleep.\What? response:	Why have you done such a thing?
context: What's wrong?!\Clow'\Shao Lan-kun!\What have you done?\This town has been covered in darkness.\Everyone has fallen asleep.\What?\Why have you done such a thing? response:	I had intended for you to fall asleep as well.
context: Clow'\Shao Lan-kun!\What have you done?\This town has been covered in darkness.\Everyone has fallen asleep.\What?\Why have you done such a thing?\I had intended for you to fall asleep as well. response:	You've become quite strong.
context: Shao Lan-kun!\What have you done?\This town has been covered in darkness.\Everyone has fallen asleep.\What?\Why have you done such a thing?\I had intended for you to fall asleep as well.\You've become quite strong. response:	Unless this darkness is ended by dawn,
context: What have you done?\This town has been covered in darkness.\Everyone has fallen asleep.\What?\Why have you done such a thing?\I had intended for you to fall asleep as well.\You've become quite strong.\Unless this darkness is ended by dawn, response:	everyone will stay asleep.
context: This town has been covered in darkness.\Everyone has fallen asleep.\What?\Why have you done such a thing?\I had intended for you to fall asleep as well.\You've become quite strong.\Unless this darkness is ended by dawn,\everyone will stay asleep. response:	For how long?
context: Everyone has fallen asleep.\What?\Why have you done such a thing?\I had intended for you to fall asleep as well.\You've become quite strong.\Unless this darkness is ended by dawn,\everyone will stay asleep.\For how long? response:	Forever.
context: What?\Why have you done such a thing?\I had intended for you to fall asleep as well.\You've become quite strong.\Unless this darkness is ended by dawn,\everyone will stay asleep.\For how long?\Forever. response:	And how am I to wake them?
context: Why have you done such a thing?\I had intended for you to fall asleep as well.\You've become quite strong.\Unless this darkness is ended by dawn,\everyone will stay asleep.\For how long?\Forever.\And how am I to wake them? response:	You must defeat my darkness with your magic.
context: I had intended for you to fall asleep as well.\You've become quite strong.\Unless this darkness is ended by dawn,\everyone will stay asleep.\For how long?\Forever.\And how am I to wake them?\You must defeat my darkness with your magic. response:	What!?
context: You've become quite strong.\Unless this darkness is ended by dawn,\everyone will stay asleep.\For how long?\Forever.\And how am I to wake them?\You must defeat my darkness with your magic.\What!? response:	No way'
context: Unless this darkness is ended by dawn,\everyone will stay asleep.\For how long?\Forever.\And how am I to wake them?\You must defeat my darkness with your magic.\What!?\No way' response:	You're wasting time on questions,
context: everyone will stay asleep.\For how long?\Forever.\And how am I to wake them?\You must defeat my darkness with your magic.\What!?\No way'\You're wasting time on questions, response:	Sakura-san.
context: For how long?\Forever.\And how am I to wake them?\You must defeat my darkness with your magic.\What!?\No way'\You're wasting time on questions,\Sakura-san. response:	But
context: Forever.\And how am I to wake them?\You must defeat my darkness with your magic.\What!?\No way'\You're wasting time on questions,\Sakura-san.\But response:	I can't use my magic against you!
context: And how am I to wake them?\You must defeat my darkness with your magic.\What!?\No way'\You're wasting time on questions,\Sakura-san.\But\I can't use my magic against you! response:	Then you will lose. You may play for a while.
context: You must defeat my darkness with your magic.\What!?\No way'\You're wasting time on questions,\Sakura-san.\But\I can't use my magic against you!\Then you will lose. You may play for a while. response:	No you don't!
context: What!?\No way'\You're wasting time on questions,\Sakura-san.\But\I can't use my magic against you!\Then you will lose. You may play for a while.\No you don't! response:	Well done'
context: No way'\You're wasting time on questions,\Sakura-san.\But\I can't use my magic against you!\Then you will lose. You may play for a while.\No you don't!\Well done' response:	however'
context: You're wasting time on questions,\Sakura-san.\But\I can't use my magic against you!\Then you will lose. You may play for a while.\No you don't!\Well done'\however' response:	Kero-chan!
context: Sakura-san.\But\I can't use my magic against you!\Then you will lose. You may play for a while.\No you don't!\Well done'\however'\Kero-chan! response:	Damn it'
context: But\I can't use my magic against you!\Then you will lose. You may play for a while.\No you don't!\Well done'\however'\Kero-chan!\Damn it' response:	Our master is quite powerful, isn't he?
context: I can't use my magic against you!\Then you will lose. You may play for a while.\No you don't!\Well done'\however'\Kero-chan!\Damn it'\Our master is quite powerful, isn't he? response:	Yue-san' brother!
context: Then you will lose. You may play for a while.\No you don't!\Well done'\however'\Kero-chan!\Damn it'\Our master is quite powerful, isn't he?\Yue-san' brother! response:	What's wrong with him?
context: No you don't!\Well done'\however'\Kero-chan!\Damn it'\Our master is quite powerful, isn't he?\Yue-san' brother!\What's wrong with him? response:	He's asleep.
context: Well done'\however'\Kero-chan!\Damn it'\Our master is quite powerful, isn't he?\Yue-san' brother!\What's wrong with him?\He's asleep. response:	Him too?
context: however'\Kero-chan!\Damn it'\Our master is quite powerful, isn't he?\Yue-san' brother!\What's wrong with him?\He's asleep.\Him too? response:	Because he gave all his magic to me.
context: Kero-chan!\Damn it'\Our master is quite powerful, isn't he?\Yue-san' brother!\What's wrong with him?\He's asleep.\Him too?\Because he gave all his magic to me. response:	Clow.
context: Damn it'\Our master is quite powerful, isn't he?\Yue-san' brother!\What's wrong with him?\He's asleep.\Him too?\Because he gave all his magic to me.\Clow. response:	This is the second time we've met.
context: Our master is quite powerful, isn't he?\Yue-san' brother!\What's wrong with him?\He's asleep.\Him too?\Because he gave all his magic to me.\Clow.\This is the second time we've met. response:	The first time, I returned to Yukito's form against my will.
context: Yue-san' brother!\What's wrong with him?\He's asleep.\Him too?\Because he gave all his magic to me.\Clow.\This is the second time we've met.\The first time, I returned to Yukito's form against my will. response:	You caused that.
context: What's wrong with him?\He's asleep.\Him too?\Because he gave all his magic to me.\Clow.\This is the second time we've met.\The first time, I returned to Yukito's form against my will.\You caused that. response:	It was not yet time for us to meet then.
context: He's asleep.\Him too?\Because he gave all his magic to me.\Clow.\This is the second time we've met.\The first time, I returned to Yukito's form against my will.\You caused that.\It was not yet time for us to meet then. response:	Why did you send us to a new master, when you would be reborn?
context: Him too?\Because he gave all his magic to me.\Clow.\This is the second time we've met.\The first time, I returned to Yukito's form against my will.\You caused that.\It was not yet time for us to meet then.\Why did you send us to a new master, when you would be reborn? response:	Now that Yue's here, I shall have to make my entrance.
context: Because he gave all his magic to me.\Clow.\This is the second time we've met.\The first time, I returned to Yukito's form against my will.\You caused that.\It was not yet time for us to meet then.\Why did you send us to a new master, when you would be reborn?\Now that Yue's here, I shall have to make my entrance. response:	Yue-san!
context: Clow.\This is the second time we've met.\The first time, I returned to Yukito's form against my will.\You caused that.\It was not yet time for us to meet then.\Why did you send us to a new master, when you would be reborn?\Now that Yue's here, I shall have to make my entrance.\Yue-san! response:	You took all Touya-kun's magic power, eh?
context: This is the second time we've met.\The first time, I returned to Yukito's form against my will.\You caused that.\It was not yet time for us to meet then.\Why did you send us to a new master, when you would be reborn?\Now that Yue's here, I shall have to make my entrance.\Yue-san!\You took all Touya-kun's magic power, eh? response:	Your master must be weak.
context: The first time, I returned to Yukito's form against my will.\You caused that.\It was not yet time for us to meet then.\Why did you send us to a new master, when you would be reborn?\Now that Yue's here, I shall have to make my entrance.\Yue-san!\You took all Touya-kun's magic power, eh?\Your master must be weak. response:	It's not her fault!
context: You caused that.\It was not yet time for us to meet then.\Why did you send us to a new master, when you would be reborn?\Now that Yue's here, I shall have to make my entrance.\Yue-san!\You took all Touya-kun's magic power, eh?\Your master must be weak.\It's not her fault! response:	I was just too careless!
context: It was not yet time for us to meet then.\Why did you send us to a new master, when you would be reborn?\Now that Yue's here, I shall have to make my entrance.\Yue-san!\You took all Touya-kun's magic power, eh?\Your master must be weak.\It's not her fault!\I was just too careless! response:	This time it's for real.
context: Why did you send us to a new master, when you would be reborn?\Now that Yue's here, I shall have to make my entrance.\Yue-san!\You took all Touya-kun's magic power, eh?\Your master must be weak.\It's not her fault!\I was just too careless!\This time it's for real. response:	Prepare yourselves!
context: Now that Yue's here, I shall have to make my entrance.\Yue-san!\You took all Touya-kun's magic power, eh?\Your master must be weak.\It's not her fault!\I was just too careless!\This time it's for real.\Prepare yourselves! response:	Let's go!
context: Yue-san!\You took all Touya-kun's magic power, eh?\Your master must be weak.\It's not her fault!\I was just too careless!\This time it's for real.\Prepare yourselves!\Let's go! response:	STOP!
context: You took all Touya-kun's magic power, eh?\Your master must be weak.\It's not her fault!\I was just too careless!\This time it's for real.\Prepare yourselves!\Let's go!\STOP! response:	Shao Lan-kun, please take care of Tomoyo-chan and my brother.
context: Your master must be weak.\It's not her fault!\I was just too careless!\This time it's for real.\Prepare yourselves!\Let's go!\STOP!\Shao Lan-kun, please take care of Tomoyo-chan and my brother. response:	Gotcha.
context: It's not her fault!\I was just too careless!\This time it's for real.\Prepare yourselves!\Let's go!\STOP!\Shao Lan-kun, please take care of Tomoyo-chan and my brother.\Gotcha. response:	I still don't understand why are you doing this?
context: I was just too careless!\This time it's for real.\Prepare yourselves!\Let's go!\STOP!\Shao Lan-kun, please take care of Tomoyo-chan and my brother.\Gotcha.\I still don't understand why are you doing this? response:	Both Eriol-kun and Clow-san have helped me so much.
context: This time it's for real.\Prepare yourselves!\Let's go!\STOP!\Shao Lan-kun, please take care of Tomoyo-chan and my brother.\Gotcha.\I still don't understand why are you doing this?\Both Eriol-kun and Clow-san have helped me so much. response:	WHY!?
context: Prepare yourselves!\Let's go!\STOP!\Shao Lan-kun, please take care of Tomoyo-chan and my brother.\Gotcha.\I still don't understand why are you doing this?\Both Eriol-kun and Clow-san have helped me so much.\WHY!? response:	Before you hear the answer, you must defeat my magic.
context: Let's go!\STOP!\Shao Lan-kun, please take care of Tomoyo-chan and my brother.\Gotcha.\I still don't understand why are you doing this?\Both Eriol-kun and Clow-san have helped me so much.\WHY!?\Before you hear the answer, you must defeat my magic. response:	Morning is approaching.
context: STOP!\Shao Lan-kun, please take care of Tomoyo-chan and my brother.\Gotcha.\I still don't understand why are you doing this?\Both Eriol-kun and Clow-san have helped me so much.\WHY!?\Before you hear the answer, you must defeat my magic.\Morning is approaching. response:	Are you ready, Sakura-san? Or would you prefer that they never wake up?
context: Shao Lan-kun, please take care of Tomoyo-chan and my brother.\Gotcha.\I still don't understand why are you doing this?\Both Eriol-kun and Clow-san have helped me so much.\WHY!?\Before you hear the answer, you must defeat my magic.\Morning is approaching.\Are you ready, Sakura-san? Or would you prefer that they never wake up? response:	NO!
context: Gotcha.\I still don't understand why are you doing this?\Both Eriol-kun and Clow-san have helped me so much.\WHY!?\Before you hear the answer, you must defeat my magic.\Morning is approaching.\Are you ready, Sakura-san? Or would you prefer that they never wake up?\NO! response:	But' but'
