context: masshiro PAGE mekuru response:	I walk through the white pages of my storybook
context: masshiro PAGE mekuru\I walk through the white pages of my storybook response:	tobidasu irodoru hajikeru
context: masshiro PAGE mekuru\I walk through the white pages of my storybook\tobidasu irodoru hajikeru response:	that's just waiting to be painted
context: masshiro PAGE mekuru\I walk through the white pages of my storybook\tobidasu irodoru hajikeru\that's just waiting to be painted response:	mangekyou no fuukei
context: masshiro PAGE mekuru\I walk through the white pages of my storybook\tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei response:	with a kaleidoscope of my experiences
context: masshiro PAGE mekuru\I walk through the white pages of my storybook\tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences response:	From
context: masshiro PAGE mekuru\I walk through the white pages of my storybook\tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences\From response:	Me
context: masshiro PAGE mekuru\I walk through the white pages of my storybook\tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences\From\Me response:	To
context: I walk through the white pages of my storybook\tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences\From\Me\To response:	You
context: tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences\From\Me\To\You response:	kizukeba STORY wa mada
context: that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences\From\Me\To\You\kizukeba STORY wa mada response:	This story has only
context: mangekyou no fuukei\with a kaleidoscope of my experiences\From\Me\To\You\kizukeba STORY wa mada\This story has only response:	gikochinaku hajimatta bakkari
context: with a kaleidoscope of my experiences\From\Me\To\You\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari response:	just barely begun
context: From\Me\To\You\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun response:	shinkokyuu wo mou ikkai
context: Me\To\You\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai response:	I take a deep breath
context: To\You\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath response:	tabi suru kaze tsutsumikomu you ni senaka wo osu
context: You\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\tabi suru kaze tsutsumikomu you ni senaka wo osu response:	and the wind wraps around me and urges me forward
context: kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\tabi suru kaze tsutsumikomu you ni senaka wo osu\and the wind wraps around me and urges me forward response:	aa yawarakakute atatakai kimi no te
context: This story has only\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\tabi suru kaze tsutsumikomu you ni senaka wo osu\and the wind wraps around me and urges me forward\aa yawarakakute atatakai kimi no te response:	Your hand is so warm held within mine
context: gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\tabi suru kaze tsutsumikomu you ni senaka wo osu\and the wind wraps around me and urges me forward\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine response:	nigiri shimete sono kokoro no oku made todoku you ni
context: just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\tabi suru kaze tsutsumikomu you ni senaka wo osu\and the wind wraps around me and urges me forward\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni response:	It reaches all the way into my heart
context: shinkokyuu wo mou ikkai\I take a deep breath\tabi suru kaze tsutsumikomu you ni senaka wo osu\and the wind wraps around me and urges me forward\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart response:	hohoenmi de kumeta nara nigirikaeshite kuretara
context: I take a deep breath\tabi suru kaze tsutsumikomu you ni senaka wo osu\and the wind wraps around me and urges me forward\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara response:	I can't see a brighter future
context: tabi suru kaze tsutsumikomu you ni senaka wo osu\and the wind wraps around me and urges me forward\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future response:	boku wa tada mae wo miteru
context: and the wind wraps around me and urges me forward\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru response:	than you smiling and taking my hand as well
context: aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well response:	Unrequited Love
context: Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well\Unrequited Love response:	Unrequited Love
context: nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well\Unrequited Love\Unrequited Love response:	What? No way! What on earth?
context: It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well\Unrequited Love\Unrequited Love\What? No way! What on earth? response:	Seriously! Even though she knows you like Koichi, Misato!
