context: Do you want to die!? response:	Yow-ow-ow-ow-ow!
context: Do you want to die!?\Yow-ow-ow-ow-ow! response:	Wait!
context: Do you want to die!?\Yow-ow-ow-ow-ow!\Wait! response:	Don't forget that your opponent wants to kill you!
context: Do you want to die!?\Yow-ow-ow-ow-ow!\Wait!\Don't forget that your opponent wants to kill you! response:	I know, Piccolo- san...
context: Do you want to die!?\Yow-ow-ow-ow-ow!\Wait!\Don't forget that your opponent wants to kill you!\I know, Piccolo- san... response:	Nyah-nyah!
context: Do you want to die!?\Yow-ow-ow-ow-ow!\Wait!\Don't forget that your opponent wants to kill you!\I know, Piccolo- san...\Nyah-nyah! response:	Is that all the jumping power you've got?
context: Do you want to die!?\Yow-ow-ow-ow-ow!\Wait!\Don't forget that your opponent wants to kill you!\I know, Piccolo- san...\Nyah-nyah!\Is that all the jumping power you've got? response:	You're even softer than your father.
context: Do you want to die!?\Yow-ow-ow-ow-ow!\Wait!\Don't forget that your opponent wants to kill you!\I know, Piccolo- san...\Nyah-nyah!\Is that all the jumping power you've got?\You're even softer than your father. response:	Well now, shall I finally put you out of your misery?
context: Yow-ow-ow-ow-ow!\Wait!\Don't forget that your opponent wants to kill you!\I know, Piccolo- san...\Nyah-nyah!\Is that all the jumping power you've got?\You're even softer than your father.\Well now, shall I finally put you out of your misery? response:	Die, Kakarrot!!
context: Wait!\Don't forget that your opponent wants to kill you!\I know, Piccolo- san...\Nyah-nyah!\Is that all the jumping power you've got?\You're even softer than your father.\Well now, shall I finally put you out of your misery?\Die, Kakarrot!! response:	S- stop picking on...
context: Don't forget that your opponent wants to kill you!\I know, Piccolo- san...\Nyah-nyah!\Is that all the jumping power you've got?\You're even softer than your father.\Well now, shall I finally put you out of your misery?\Die, Kakarrot!!\S- stop picking on... response:	That little brat!
context: I know, Piccolo- san...\Nyah-nyah!\Is that all the jumping power you've got?\You're even softer than your father.\Well now, shall I finally put you out of your misery?\Die, Kakarrot!!\S- stop picking on...\That little brat! response:	Wake up... Kakarrot...
context: Nyah-nyah!\Is that all the jumping power you've got?\You're even softer than your father.\Well now, shall I finally put you out of your misery?\Die, Kakarrot!!\S- stop picking on...\That little brat!\Wake up... Kakarrot... response:	Wake up... Kakarrot...
context: Is that all the jumping power you've got?\You're even softer than your father.\Well now, shall I finally put you out of your misery?\Die, Kakarrot!!\S- stop picking on...\That little brat!\Wake up... Kakarrot...\Wake up... Kakarrot... response:	What are you doing over there?
context: You're even softer than your father.\Well now, shall I finally put you out of your misery?\Die, Kakarrot!!\S- stop picking on...\That little brat!\Wake up... Kakarrot...\Wake up... Kakarrot...\What are you doing over there? response:	Wake up...
context: Well now, shall I finally put you out of your misery?\Die, Kakarrot!!\S- stop picking on...\That little brat!\Wake up... Kakarrot...\Wake up... Kakarrot...\What are you doing over there?\Wake up... response:	Wake up... Kakarrot...
