context: I wasn't prepared for any of this. response:	It's so lame I could die.
context: I wasn't prepared for any of this.\It's so lame I could die. response:	Well? Come on! What's our plan?
context: I wasn't prepared for any of this.\It's so lame I could die.\Well? Come on! What's our plan? response:	Surely, it would be faster to simply do away with Jirou.
context: I wasn't prepared for any of this.\It's so lame I could die.\Well? Come on! What's our plan?\Surely, it would be faster to simply do away with Jirou. response:	No!
context: I wasn't prepared for any of this.\It's so lame I could die.\Well? Come on! What's our plan?\Surely, it would be faster to simply do away with Jirou.\No! response:	I'll look for Soujoubou with Botanmaru.
context: I wasn't prepared for any of this.\It's so lame I could die.\Well? Come on! What's our plan?\Surely, it would be faster to simply do away with Jirou.\No!\I'll look for Soujoubou with Botanmaru. response:	I just had a great idea!
context: I wasn't prepared for any of this.\It's so lame I could die.\Well? Come on! What's our plan?\Surely, it would be faster to simply do away with Jirou.\No!\I'll look for Soujoubou with Botanmaru.\I just had a great idea! response:	And what might this idea be?
context: I wasn't prepared for any of this.\It's so lame I could die.\Well? Come on! What's our plan?\Surely, it would be faster to simply do away with Jirou.\No!\I'll look for Soujoubou with Botanmaru.\I just had a great idea!\And what might this idea be? response:	Take me to Jirou.
context: It's so lame I could die.\Well? Come on! What's our plan?\Surely, it would be faster to simply do away with Jirou.\No!\I'll look for Soujoubou with Botanmaru.\I just had a great idea!\And what might this idea be?\Take me to Jirou. response:	Make your way inside.
context: Well? Come on! What's our plan?\Surely, it would be faster to simply do away with Jirou.\No!\I'll look for Soujoubou with Botanmaru.\I just had a great idea!\And what might this idea be?\Take me to Jirou.\Make your way inside. response:	Now's our chance to search for the master.
context: Surely, it would be faster to simply do away with Jirou.\No!\I'll look for Soujoubou with Botanmaru.\I just had a great idea!\And what might this idea be?\Take me to Jirou.\Make your way inside.\Now's our chance to search for the master. response:	That way!
context: No!\I'll look for Soujoubou with Botanmaru.\I just had a great idea!\And what might this idea be?\Take me to Jirou.\Make your way inside.\Now's our chance to search for the master.\That way! response:	Could their plan possibly work?
context: I'll look for Soujoubou with Botanmaru.\I just had a great idea!\And what might this idea be?\Take me to Jirou.\Make your way inside.\Now's our chance to search for the master.\That way!\Could their plan possibly work? response:	What, oh what, will become of Nanami and her friends?
context: I just had a great idea!\And what might this idea be?\Take me to Jirou.\Make your way inside.\Now's our chance to search for the master.\That way!\Could their plan possibly work?\What, oh what, will become of Nanami and her friends? response:	I wonder what's happening on this world
context: And what might this idea be?\Take me to Jirou.\Make your way inside.\Now's our chance to search for the master.\That way!\Could their plan possibly work?\What, oh what, will become of Nanami and her friends?\I wonder what's happening on this world response:	I wonder what's happening on this world
context: Take me to Jirou.\Make your way inside.\Now's our chance to search for the master.\That way!\Could their plan possibly work?\What, oh what, will become of Nanami and her friends?\I wonder what's happening on this world\I wonder what's happening on this world response:	I fly through the sky into space
context: Make your way inside.\Now's our chance to search for the master.\That way!\Could their plan possibly work?\What, oh what, will become of Nanami and her friends?\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space response:	I fly through the sky into space
context: Now's our chance to search for the master.\That way!\Could their plan possibly work?\What, oh what, will become of Nanami and her friends?\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space response:	and circle the world
context: That way!\Could their plan possibly work?\What, oh what, will become of Nanami and her friends?\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world response:	and circle the world
context: Could their plan possibly work?\What, oh what, will become of Nanami and her friends?\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world response:	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
context: What, oh what, will become of Nanami and her friends?\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday response:	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
context: I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday response:	With my periodic biorhythm
context: I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm response:	With my periodic biorhythm
context: I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm response:	I'm like a washing machine
context: I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine response:	I'm like a washing machine
context: and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine response:	Just kidding
context: and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding response:	Just kidding
context: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding response:	Yes, I'm spinning around
context: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around response:	Yes, I'm spinning around
context: With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around response:	Around, around the world
context: With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world response:	Around, around the world
context: I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world response:	Because there's no limit to my love
context: I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love response:	Because there's no limit to my love
context: Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love response:	Spinning around, around, around the world
context: Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world response:	Spinning around, around, around the world
context: Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world response:	I want to tell you that I love you, even if it confuses me
context: Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me response:	I want to tell you that I love you, even if it confuses me
context: Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me response:	Bam, bam, bam
context: Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam response:	Bam, bam, bam
context: Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam response:	You're not paying attention
context: Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention response:	You're not paying attention
context: Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention response:	Sometimes love keeps being one-sided
