context: Piercing through the Macro sky, response:	a thunderbolt strikes the Earth
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth response:	To awaken us, the young mankind,
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind, response:	the Light struck
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck response:	Macross! Macross!
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross! response:	The brave youths who arise
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise response:	and fight to protect their loved ones
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones response:	Will set out on their journey as the war rages on.
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on. response:	Will you love me tomorrow?
context: a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow? response:	Slicing through the darkness they fly toward
context: To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward response:	that blue planet that shines in the distance
context: the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\that blue planet that shines in the distance response:	Macross! Macross!
context: Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\that blue planet that shines in the distance\Macross! Macross! response:	Macross!
context: The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross! response:	It has been almost a year since the Macross began its voyage,
context: and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross!\It has been almost a year since the Macross began its voyage, response:	and we have amassed a sizable amount of valuable data.
context: Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross!\It has been almost a year since the Macross began its voyage,\and we have amassed a sizable amount of valuable data. response:	GLOBAL REPORT
context: Will you love me tomorrow?\Slicing through the darkness they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross!\It has been almost a year since the Macross began its voyage,\and we have amassed a sizable amount of valuable data.\GLOBAL REPORT response:	I will now report all we've learned to the UN Forces High Command.
context: Slicing through the darkness they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross!\It has been almost a year since the Macross began its voyage,\and we have amassed a sizable amount of valuable data.\GLOBAL REPORT\I will now report all we've learned to the UN Forces High Command. response:	From the space battleship SDF-1 Macross, UN Forces,
context: that blue planet that shines in the distance\Macross! Macross!\Macross!\It has been almost a year since the Macross began its voyage,\and we have amassed a sizable amount of valuable data.\GLOBAL REPORT\I will now report all we've learned to the UN Forces High Command.\From the space battleship SDF-1 Macross, UN Forces, response:	this is Captain Bruno J. Global.
context: Macross! Macross!\Macross!\It has been almost a year since the Macross began its voyage,\and we have amassed a sizable amount of valuable data.\GLOBAL REPORT\I will now report all we've learned to the UN Forces High Command.\From the space battleship SDF-1 Macross, UN Forces,\this is Captain Bruno J. Global. response:	For those on Earth, I think it's hard to know just what befell
context: Macross!\It has been almost a year since the Macross began its voyage,\and we have amassed a sizable amount of valuable data.\GLOBAL REPORT\I will now report all we've learned to the UN Forces High Command.\From the space battleship SDF-1 Macross, UN Forces,\this is Captain Bruno J. Global.\For those on Earth, I think it's hard to know just what befell response:	the Macross and its surroundings on the day of the launch ceremony,
context: It has been almost a year since the Macross began its voyage,\and we have amassed a sizable amount of valuable data.\GLOBAL REPORT\I will now report all we've learned to the UN Forces High Command.\From the space battleship SDF-1 Macross, UN Forces,\this is Captain Bruno J. Global.\For those on Earth, I think it's hard to know just what befell\the Macross and its surroundings on the day of the launch ceremony, response:	and what happened once it and the island both disappeared.
context: and we have amassed a sizable amount of valuable data.\GLOBAL REPORT\I will now report all we've learned to the UN Forces High Command.\From the space battleship SDF-1 Macross, UN Forces,\this is Captain Bruno J. Global.\For those on Earth, I think it's hard to know just what befell\the Macross and its surroundings on the day of the launch ceremony,\and what happened once it and the island both disappeared. response:	It all began with a sudden roar from the Macross's main gun.
context: GLOBAL REPORT\I will now report all we've learned to the UN Forces High Command.\From the space battleship SDF-1 Macross, UN Forces,\this is Captain Bruno J. Global.\For those on Earth, I think it's hard to know just what befell\the Macross and its surroundings on the day of the launch ceremony,\and what happened once it and the island both disappeared.\It all began with a sudden roar from the Macross's main gun. response:	What is it?
context: I will now report all we've learned to the UN Forces High Command.\From the space battleship SDF-1 Macross, UN Forces,\this is Captain Bruno J. Global.\For those on Earth, I think it's hard to know just what befell\the Macross and its surroundings on the day of the launch ceremony,\and what happened once it and the island both disappeared.\It all began with a sudden roar from the Macross's main gun.\What is it? response:	Look! The ship's original systems have just activated themselves!
context: From the space battleship SDF-1 Macross, UN Forces,\this is Captain Bruno J. Global.\For those on Earth, I think it's hard to know just what befell\the Macross and its surroundings on the day of the launch ceremony,\and what happened once it and the island both disappeared.\It all began with a sudden roar from the Macross's main gun.\What is it?\Look! The ship's original systems have just activated themselves! response:	Huh?
context: this is Captain Bruno J. Global.\For those on Earth, I think it's hard to know just what befell\the Macross and its surroundings on the day of the launch ceremony,\and what happened once it and the island both disappeared.\It all began with a sudden roar from the Macross's main gun.\What is it?\Look! The ship's original systems have just activated themselves!\Huh? response:	Oh, no! It's entered firing mode!
context: For those on Earth, I think it's hard to know just what befell\the Macross and its surroundings on the day of the launch ceremony,\and what happened once it and the island both disappeared.\It all began with a sudden roar from the Macross's main gun.\What is it?\Look! The ship's original systems have just activated themselves!\Huh?\Oh, no! It's entered firing mode! response:	What is going on?!
context: the Macross and its surroundings on the day of the launch ceremony,\and what happened once it and the island both disappeared.\It all began with a sudden roar from the Macross's main gun.\What is it?\Look! The ship's original systems have just activated themselves!\Huh?\Oh, no! It's entered firing mode!\What is going on?! response:	The main cannon is activating!
context: and what happened once it and the island both disappeared.\It all began with a sudden roar from the Macross's main gun.\What is it?\Look! The ship's original systems have just activated themselves!\Huh?\Oh, no! It's entered firing mode!\What is going on?!\The main cannon is activating! response:	We are currently engaged in hostilities with alien forces.
context: It all began with a sudden roar from the Macross's main gun.\What is it?\Look! The ship's original systems have just activated themselves!\Huh?\Oh, no! It's entered firing mode!\What is going on?!\The main cannon is activating!\We are currently engaged in hostilities with alien forces. response:	This is not a drill!
context: What is it?\Look! The ship's original systems have just activated themselves!\Huh?\Oh, no! It's entered firing mode!\What is going on?!\The main cannon is activating!\We are currently engaged in hostilities with alien forces.\This is not a drill! response:	I repeat, this is not a drill!
context: Look! The ship's original systems have just activated themselves!\Huh?\Oh, no! It's entered firing mode!\What is going on?!\The main cannon is activating!\We are currently engaged in hostilities with alien forces.\This is not a drill!\I repeat, this is not a drill! response:	The directive from the previous day's defense council that we were not to fire first
context: Huh?\Oh, no! It's entered firing mode!\What is going on?!\The main cannon is activating!\We are currently engaged in hostilities with alien forces.\This is not a drill!\I repeat, this is not a drill!\The directive from the previous day's defense council that we were not to fire first response:	in the event of an alien encounter had been thoroughly broken.
context: Oh, no! It's entered firing mode!\What is going on?!\The main cannon is activating!\We are currently engaged in hostilities with alien forces.\This is not a drill!\I repeat, this is not a drill!\The directive from the previous day's defense council that we were not to fire first\in the event of an alien encounter had been thoroughly broken. response:	From what we could gather of the situation,
context: What is going on?!\The main cannon is activating!\We are currently engaged in hostilities with alien forces.\This is not a drill!\I repeat, this is not a drill!\The directive from the previous day's defense council that we were not to fire first\in the event of an alien encounter had been thoroughly broken.\From what we could gather of the situation, response:	the alien's enemies had left the Macross behind as a clever trap,
context: The main cannon is activating!\We are currently engaged in hostilities with alien forces.\This is not a drill!\I repeat, this is not a drill!\The directive from the previous day's defense council that we were not to fire first\in the event of an alien encounter had been thoroughly broken.\From what we could gather of the situation,\the alien's enemies had left the Macross behind as a clever trap, response:	a booby trap.
context: We are currently engaged in hostilities with alien forces.\This is not a drill!\I repeat, this is not a drill!\The directive from the previous day's defense council that we were not to fire first\in the event of an alien encounter had been thoroughly broken.\From what we could gather of the situation,\the alien's enemies had left the Macross behind as a clever trap,\a booby trap. response:	As a result of our battle with the enemy's land forces,
context: This is not a drill!\I repeat, this is not a drill!\The directive from the previous day's defense council that we were not to fire first\in the event of an alien encounter had been thoroughly broken.\From what we could gather of the situation,\the alien's enemies had left the Macross behind as a clever trap,\a booby trap.\As a result of our battle with the enemy's land forces, response:	we confirmed that they were giants, five or six times the size of human beings.
context: I repeat, this is not a drill!\The directive from the previous day's defense council that we were not to fire first\in the event of an alien encounter had been thoroughly broken.\From what we could gather of the situation,\the alien's enemies had left the Macross behind as a clever trap,\a booby trap.\As a result of our battle with the enemy's land forces,\we confirmed that they were giants, five or six times the size of human beings. response:	This matches earlier estimates made by UN Forces High Command
context: The directive from the previous day's defense council that we were not to fire first\in the event of an alien encounter had been thoroughly broken.\From what we could gather of the situation,\the alien's enemies had left the Macross behind as a clever trap,\a booby trap.\As a result of our battle with the enemy's land forces,\we confirmed that they were giants, five or six times the size of human beings.\This matches earlier estimates made by UN Forces High Command response:	based on the size of the interior of the Macross.
context: in the event of an alien encounter had been thoroughly broken.\From what we could gather of the situation,\the alien's enemies had left the Macross behind as a clever trap,\a booby trap.\As a result of our battle with the enemy's land forces,\we confirmed that they were giants, five or six times the size of human beings.\This matches earlier estimates made by UN Forces High Command\based on the size of the interior of the Macross. response:	We also gained valuable data on the effectiveness of the Battroids,
context: From what we could gather of the situation,\the alien's enemies had left the Macross behind as a clever trap,\a booby trap.\As a result of our battle with the enemy's land forces,\we confirmed that they were giants, five or six times the size of human beings.\This matches earlier estimates made by UN Forces High Command\based on the size of the interior of the Macross.\We also gained valuable data on the effectiveness of the Battroids, response:	which had been designed to combat such a threat.
context: the alien's enemies had left the Macross behind as a clever trap,\a booby trap.\As a result of our battle with the enemy's land forces,\we confirmed that they were giants, five or six times the size of human beings.\This matches earlier estimates made by UN Forces High Command\based on the size of the interior of the Macross.\We also gained valuable data on the effectiveness of the Battroids,\which had been designed to combat such a threat. response:	Meanwhile, we attempted to launch the ship using the gravity control system...
context: a booby trap.\As a result of our battle with the enemy's land forces,\we confirmed that they were giants, five or six times the size of human beings.\This matches earlier estimates made by UN Forces High Command\based on the size of the interior of the Macross.\We also gained valuable data on the effectiveness of the Battroids,\which had been designed to combat such a threat.\Meanwhile, we attempted to launch the ship using the gravity control system... response:	but we failed.
context: As a result of our battle with the enemy's land forces,\we confirmed that they were giants, five or six times the size of human beings.\This matches earlier estimates made by UN Forces High Command\based on the size of the interior of the Macross.\We also gained valuable data on the effectiveness of the Battroids,\which had been designed to combat such a threat.\Meanwhile, we attempted to launch the ship using the gravity control system...\but we failed. response:	What in the world is happening?!
context: we confirmed that they were giants, five or six times the size of human beings.\This matches earlier estimates made by UN Forces High Command\based on the size of the interior of the Macross.\We also gained valuable data on the effectiveness of the Battroids,\which had been designed to combat such a threat.\Meanwhile, we attempted to launch the ship using the gravity control system...\but we failed.\What in the world is happening?! response:	I don't know, sir!
context: This matches earlier estimates made by UN Forces High Command\based on the size of the interior of the Macross.\We also gained valuable data on the effectiveness of the Battroids,\which had been designed to combat such a threat.\Meanwhile, we attempted to launch the ship using the gravity control system...\but we failed.\What in the world is happening?!\I don't know, sir! response:	Captain! The bow!
context: based on the size of the interior of the Macross.\We also gained valuable data on the effectiveness of the Battroids,\which had been designed to combat such a threat.\Meanwhile, we attempted to launch the ship using the gravity control system...\but we failed.\What in the world is happening?!\I don't know, sir!\Captain! The bow! response:	What is it?
context: We also gained valuable data on the effectiveness of the Battroids,\which had been designed to combat such a threat.\Meanwhile, we attempted to launch the ship using the gravity control system...\but we failed.\What in the world is happening?!\I don't know, sir!\Captain! The bow!\What is it? response:	What are those?!
context: which had been designed to combat such a threat.\Meanwhile, we attempted to launch the ship using the gravity control system...\but we failed.\What in the world is happening?!\I don't know, sir!\Captain! The bow!\What is it?\What are those?! response:	They appear to be the gravity control systems.
context: Meanwhile, we attempted to launch the ship using the gravity control system...\but we failed.\What in the world is happening?!\I don't know, sir!\Captain! The bow!\What is it?\What are those?!\They appear to be the gravity control systems. response:	The gravity control systems?!
context: but we failed.\What in the world is happening?!\I don't know, sir!\Captain! The bow!\What is it?\What are those?!\They appear to be the gravity control systems.\The gravity control systems?! response:	That's impossible!
context: What in the world is happening?!\I don't know, sir!\Captain! The bow!\What is it?\What are those?!\They appear to be the gravity control systems.\The gravity control systems?!\That's impossible! response:	An analysis by our technical crew concluded that the unexpected firing of the main gun
context: I don't know, sir!\Captain! The bow!\What is it?\What are those?!\They appear to be the gravity control systems.\The gravity control systems?!\That's impossible!\An analysis by our technical crew concluded that the unexpected firing of the main gun response:	had affected all of the ship's components, including the Fold System.
context: Captain! The bow!\What is it?\What are those?!\They appear to be the gravity control systems.\The gravity control systems?!\That's impossible!\An analysis by our technical crew concluded that the unexpected firing of the main gun\had affected all of the ship's components, including the Fold System. response:	After transporting the Macross and the nearby island to Pluto's orbit,
