context: Would you go to Europe together with me? response:	Why do I have to study to the point of doing all those things?
context: Would you go to Europe together with me?\Why do I have to study to the point of doing all those things? response:	Really, playing the piano on that stage,
context: Would you go to Europe together with me?\Why do I have to study to the point of doing all those things?\Really, playing the piano on that stage, response:	didn't you enjoy it?
context: Would you go to Europe together with me?\Why do I have to study to the point of doing all those things?\Really, playing the piano on that stage,\didn't you enjoy it? response:	No, I didn't enjoy it.
context: Would you go to Europe together with me?\Why do I have to study to the point of doing all those things?\Really, playing the piano on that stage,\didn't you enjoy it?\No, I didn't enjoy it. response:	OK, I understand.
context: Would you go to Europe together with me?\Why do I have to study to the point of doing all those things?\Really, playing the piano on that stage,\didn't you enjoy it?\No, I didn't enjoy it.\OK, I understand. response:	It's enough.
context: Would you go to Europe together with me?\Why do I have to study to the point of doing all those things?\Really, playing the piano on that stage,\didn't you enjoy it?\No, I didn't enjoy it.\OK, I understand.\It's enough. response:	What's wrong with playing the piano freely and in the way I enjoy it?
context: Would you go to Europe together with me?\Why do I have to study to the point of doing all those things?\Really, playing the piano on that stage,\didn't you enjoy it?\No, I didn't enjoy it.\OK, I understand.\It's enough.\What's wrong with playing the piano freely and in the way I enjoy it? response:	Fukuoka Prefecture, Okawa Town
context: Why do I have to study to the point of doing all those things?\Really, playing the piano on that stage,\didn't you enjoy it?\No, I didn't enjoy it.\OK, I understand.\It's enough.\What's wrong with playing the piano freely and in the way I enjoy it?\Fukuoka Prefecture, Okawa Town response:	Noda
context: Really, playing the piano on that stage,\didn't you enjoy it?\No, I didn't enjoy it.\OK, I understand.\It's enough.\What's wrong with playing the piano freely and in the way I enjoy it?\Fukuoka Prefecture, Okawa Town\Noda response:	Kanpai!!
context: didn't you enjoy it?\No, I didn't enjoy it.\OK, I understand.\It's enough.\What's wrong with playing the piano freely and in the way I enjoy it?\Fukuoka Prefecture, Okawa Town\Noda\Kanpai!! response:	It's been a long time since the whole family is here to make a toast like now, isn't it?
context: No, I didn't enjoy it.\OK, I understand.\It's enough.\What's wrong with playing the piano freely and in the way I enjoy it?\Fukuoka Prefecture, Okawa Town\Noda\Kanpai!!\It's been a long time since the whole family is here to make a toast like now, isn't it? response:	It's been two years since Megumi returns home, isn't it?
context: OK, I understand.\It's enough.\What's wrong with playing the piano freely and in the way I enjoy it?\Fukuoka Prefecture, Okawa Town\Noda\Kanpai!!\It's been a long time since the whole family is here to make a toast like now, isn't it?\It's been two years since Megumi returns home, isn't it? response:	I thought you would return home sooner, you know.
context: It's enough.\What's wrong with playing the piano freely and in the way I enjoy it?\Fukuoka Prefecture, Okawa Town\Noda\Kanpai!!\It's been a long time since the whole family is here to make a toast like now, isn't it?\It's been two years since Megumi returns home, isn't it?\I thought you would return home sooner, you know. response:	I hope she didn't just play around in Tokyo!
