context: Self-practice response:	*softball soccer (baseball team ex-member)
context: Self-practice\*softball soccer (baseball team ex-member) response:	*volleyball soccer (born athletic)
context: Self-practice\*softball soccer (baseball team ex-member)\*volleyball soccer (born athletic) response:	*softball (baseball team)
context: Self-practice\*softball soccer (baseball team ex-member)\*volleyball soccer (born athletic)\*softball (baseball team) response:	*soccer (with everyone else)
context: Self-practice\*softball soccer (baseball team ex-member)\*volleyball soccer (born athletic)\*softball (baseball team)\*soccer (with everyone else) response:	*volleyball (used to play)
context: Self-practice\*softball soccer (baseball team ex-member)\*volleyball soccer (born athletic)\*softball (baseball team)\*soccer (with everyone else)\*volleyball (used to play) response:	New Friends
context: Self-practice\*softball soccer (baseball team ex-member)\*volleyball soccer (born athletic)\*softball (baseball team)\*soccer (with everyone else)\*volleyball (used to play)\New Friends response:	Oh yeah, did you hear about class D?
context: Self-practice\*softball soccer (baseball team ex-member)\*volleyball soccer (born athletic)\*softball (baseball team)\*soccer (with everyone else)\*volleyball (used to play)\New Friends\Oh yeah, did you hear about class D? response:	About the test?
context: *softball soccer (baseball team ex-member)\*volleyball soccer (born athletic)\*softball (baseball team)\*soccer (with everyone else)\*volleyball (used to play)\New Friends\Oh yeah, did you hear about class D?\About the test? response:	The Sadako Notes right?
context: *volleyball soccer (born athletic)\*softball (baseball team)\*soccer (with everyone else)\*volleyball (used to play)\New Friends\Oh yeah, did you hear about class D?\About the test?\The Sadako Notes right? response:	Yeah, the Sadako Notes.
context: *softball (baseball team)\*soccer (with everyone else)\*volleyball (used to play)\New Friends\Oh yeah, did you hear about class D?\About the test?\The Sadako Notes right?\Yeah, the Sadako Notes. response:	Crap, I sort of want them too.
context: *soccer (with everyone else)\*volleyball (used to play)\New Friends\Oh yeah, did you hear about class D?\About the test?\The Sadako Notes right?\Yeah, the Sadako Notes.\Crap, I sort of want them too. response:	Me too.
context: *volleyball (used to play)\New Friends\Oh yeah, did you hear about class D?\About the test?\The Sadako Notes right?\Yeah, the Sadako Notes.\Crap, I sort of want them too.\Me too. response:	Kurumi.
context: New Friends\Oh yeah, did you hear about class D?\About the test?\The Sadako Notes right?\Yeah, the Sadako Notes.\Crap, I sort of want them too.\Me too.\Kurumi. response:	Sorry, did I keep you waiting?
context: Oh yeah, did you hear about class D?\About the test?\The Sadako Notes right?\Yeah, the Sadako Notes.\Crap, I sort of want them too.\Me too.\Kurumi.\Sorry, did I keep you waiting? response:	No, not at all.
context: About the test?\The Sadako Notes right?\Yeah, the Sadako Notes.\Crap, I sort of want them too.\Me too.\Kurumi.\Sorry, did I keep you waiting?\No, not at all. response:	That's good.
context: The Sadako Notes right?\Yeah, the Sadako Notes.\Crap, I sort of want them too.\Me too.\Kurumi.\Sorry, did I keep you waiting?\No, not at all.\That's good. response:	You're so nice.
context: Yeah, the Sadako Notes.\Crap, I sort of want them too.\Me too.\Kurumi.\Sorry, did I keep you waiting?\No, not at all.\That's good.\You're so nice. response:	There've been lots of rumors about Sadako lately.
context: Crap, I sort of want them too.\Me too.\Kurumi.\Sorry, did I keep you waiting?\No, not at all.\That's good.\You're so nice.\There've been lots of rumors about Sadako lately. response:	Especially since what happened last time.
context: Me too.\Kurumi.\Sorry, did I keep you waiting?\No, not at all.\That's good.\You're so nice.\There've been lots of rumors about Sadako lately.\Especially since what happened last time. response:	What's she really like anyway?
context: Kurumi.\Sorry, did I keep you waiting?\No, not at all.\That's good.\You're so nice.\There've been lots of rumors about Sadako lately.\Especially since what happened last time.\What's she really like anyway? response:	It's so weird.
context: Sorry, did I keep you waiting?\No, not at all.\That's good.\You're so nice.\There've been lots of rumors about Sadako lately.\Especially since what happened last time.\What's she really like anyway?\It's so weird. response:	I remember seeing her with Kazehaya.
context: No, not at all.\That's good.\You're so nice.\There've been lots of rumors about Sadako lately.\Especially since what happened last time.\What's she really like anyway?\It's so weird.\I remember seeing her with Kazehaya. response:	Oh yeah.
context: That's good.\You're so nice.\There've been lots of rumors about Sadako lately.\Especially since what happened last time.\What's she really like anyway?\It's so weird.\I remember seeing her with Kazehaya.\Oh yeah. response:	I wonder if they're going out? Just kidding!
context: You're so nice.\There've been lots of rumors about Sadako lately.\Especially since what happened last time.\What's she really like anyway?\It's so weird.\I remember seeing her with Kazehaya.\Oh yeah.\I wonder if they're going out? Just kidding! response:	No way!
context: There've been lots of rumors about Sadako lately.\Especially since what happened last time.\What's she really like anyway?\It's so weird.\I remember seeing her with Kazehaya.\Oh yeah.\I wonder if they're going out? Just kidding!\No way! response:	I wonder.
context: Especially since what happened last time.\What's she really like anyway?\It's so weird.\I remember seeing her with Kazehaya.\Oh yeah.\I wonder if they're going out? Just kidding!\No way!\I wonder. response:	I can imagine him liking her.
context: What's she really like anyway?\It's so weird.\I remember seeing her with Kazehaya.\Oh yeah.\I wonder if they're going out? Just kidding!\No way!\I wonder.\I can imagine him liking her. response:	No way, no way!
context: It's so weird.\I remember seeing her with Kazehaya.\Oh yeah.\I wonder if they're going out? Just kidding!\No way!\I wonder.\I can imagine him liking her.\No way, no way! response:	You know what he's like, he can't help but be nice.
context: I remember seeing her with Kazehaya.\Oh yeah.\I wonder if they're going out? Just kidding!\No way!\I wonder.\I can imagine him liking her.\No way, no way!\You know what he's like, he can't help but be nice. response:	If anything it would be you.
context: Oh yeah.\I wonder if they're going out? Just kidding!\No way!\I wonder.\I can imagine him liking her.\No way, no way!\You know what he's like, he can't help but be nice.\If anything it would be you. response:	Yeah right.
context: I wonder if they're going out? Just kidding!\No way!\I wonder.\I can imagine him liking her.\No way, no way!\You know what he's like, he can't help but be nice.\If anything it would be you.\Yeah right. response:	Why not? You two are so close.
context: No way!\I wonder.\I can imagine him liking her.\No way, no way!\You know what he's like, he can't help but be nice.\If anything it would be you.\Yeah right.\Why not? You two are so close. response:	That's just because we were in the same middle school.
context: I wonder.\I can imagine him liking her.\No way, no way!\You know what he's like, he can't help but be nice.\If anything it would be you.\Yeah right.\Why not? You two are so close.\That's just because we were in the same middle school. response:	You should just go out with him.
context: I can imagine him liking her.\No way, no way!\You know what he's like, he can't help but be nice.\If anything it would be you.\Yeah right.\Why not? You two are so close.\That's just because we were in the same middle school.\You should just go out with him. response:	No.
context: No way, no way!\You know what he's like, he can't help but be nice.\If anything it would be you.\Yeah right.\Why not? You two are so close.\That's just because we were in the same middle school.\You should just go out with him.\No. response:	You might not like him, but he might start liking you.
context: You know what he's like, he can't help but be nice.\If anything it would be you.\Yeah right.\Why not? You two are so close.\That's just because we were in the same middle school.\You should just go out with him.\No.\You might not like him, but he might start liking you. response:	Lately,
context: If anything it would be you.\Yeah right.\Why not? You two are so close.\That's just because we were in the same middle school.\You should just go out with him.\No.\You might not like him, but he might start liking you.\Lately, response:	some strange things have been happening around me.
context: Yeah right.\Why not? You two are so close.\That's just because we were in the same middle school.\You should just go out with him.\No.\You might not like him, but he might start liking you.\Lately,\some strange things have been happening around me. response:	It's Sadako.
